LearnableVariance,ReturnStepMaxmin,EpLenMean,StdIW,EpThisIter,OptimizationReturnMin,OptimizationReturnMax,Bound,EmpiricalD2Arithmetic,Epsilon,Iteration,VarianceInitializer,Penalization,TimestepsSoFar,MaxIW,InitialReturnMax,MinTargetPdf,TimeElapsed,ESSRenyiArithmetic,StdWReturnMean,MeanEntropy,InitialReturnMin,OptimizationReturnMean,MinIW,MeanD2-0,ReturnMeanIW,EmpiricalD2Harmonic,Inner Iteration,MeanIW,EpisodesSoFar,EpRewMean,InitialReturnMean,MinBehavPdf,InitialReturnStd,Weights,WReturnMean,ReturnStepMax,InitialBound,DivergenceHarmonic,ESSRenyiHarmonic
,9.999977,11.272727272727273,505.16608,11,,319.91916,-4.495417e+20,1.0,1.0,1,-1.0,True,124,1779.6208,329.90155,-12.176404,2.2863211631774902,11.0,,0.41894197,9.982406,92.68881,0.39634195,1.0,5018052.5,1.0,1,269.33484,11,102.67121766811019,102.67121,-12.176404,80.78049,[ 0. -0. -0.  0.],17066.865,9.999977,-36012.625,5.6301053e+32,11.0
,9.999837,7.363636363636363,485.3264,11,,99.98532,-4.627786e+17,1.0,1.0,2,-1.0,True,205,1706.5878,119.95781,-9.990995,5.088670015335083,11.0,,0.41894197,19.972492,43.62445,0.251675,1.0,1972802.2,1.0,1,174.92152,22,63.59694636369336,63.59694,-9.990995,31.40399,[ 0.183  0.326 -0.093  0.319],5030.782,9.999837,-7535.7393,3.4130793e+28,11.0
,9.999987,8.181818181818182,1519.7816,11,,189.9792,-23546380000000.0,1.0,1.0,3,-1.0,True,295,4992.1035,199.96207,-18.989399,5.428485870361328,11.0,,0.41894197,9.982868,61.799183,0.80802566,1.0,2191876.8,1.0,1,808.8933,33,71.78204900354434,71.78205,-18.989399,54.740192,[ 0.118 -0.15  -0.043  0.189],8149.1514,9.999987,-15109.62,1.1443838e+19,11.0
,9.999977,12.545454545454545,2.47269,11,,279.93842,-681843700.0,1.0,1.0,4,-1.0,True,433,9.772157,289.92133,-20.639965,5.831164360046387,11.0,,0.41894197,9.982924,105.40916,0.15930828,1.0,28258.584,1.0,1,2.2413359,44,115.39207506589895,115.39208,-20.639965,71.50973,[ 0.086 -0.479 -0.054 -0.186],18428.973,9.999977,-33060.973,2171335400.0,11.0
,9.999736,6.818181818181818,9049.006,11,,109.96281,-7888523000000.0,1.0,1.0,5,-1.0,True,508,31524.654,119.94922,-5.440245,6.0987465381622314,11.0,,0.41894197,9.986409,48.147213,0.6248793,1.0,4631886.5,1.0,1,2911.987,55,58.133620482271546,58.13362,-5.440245,36.371925,[ 0.27  -0.025 -0.122 -0.258],4702.4346,9.999736,-7207.033,9.920079e+18,11.0
,9.9999695,16.09090909090909,883.7788,11,,189.9712,-791728200000000.0,1.0,1.0,6,-1.0,True,685,3110.8408,269.89783,-19.195534,6.474968671798706,11.0,,0.41894197,79.92662,70.894745,2.1797872,1.0,11536751.0,1.0,1,348.51144,66,150.82136806690693,150.82135,-19.195534,58.843678,[ 0.262 -0.831  0.046 -0.825],26209.664,9.9999695,-38890.336,3.898241e+21,11.0
,9.999997,52.72727272727273,3.4900749,11,,720.056,-27529824000.0,1.0,1.0,7,-1.0,True,1265,12.24133,1039.8093,-37.182526,7.204270362854004,11.0,,0.41894197,319.75327,197.31201,0.020467833,1.0,824539.5,1.0,1,3.2040732,77,517.0652570480761,517.06525,-37.182526,191.07553,[ 0.195  0.051 -0.345 -1.081],303866.34,9.999997,-492080.2,21393408000.0,11.0
,9.99999,43.18181818181818,7314041.5,11,,849.8002,-9.415604e+22,1.0,1.0,8,-1.0,True,1740,19113170.0,959.6819,-39.65307,8.034793376922607,11.0,,0.41894197,109.881714,311.7374,0.5124196,1.0,893536240000.0,1.0,1,4368033.5,88,421.61910859539984,421.61914,-39.65307,262.13263,[-0.01   0.184 -0.395 -1.058],246476.17,9.99999,-406800.2,3.4490626e+35,11.0
,9.999999,32.27272727272727,840.2215,11,,529.87646,-4.066187e+16,1.0,1.0,9,-1.0,True,2095,2823.601,569.81726,-27.733221,8.464334487915039,11.0,,0.41894197,39.940826,272.6494,0.6240313,1.0,55051570.0,1.0,1,405.52814,99,312.5902326363202,312.59024,-27.733221,162.28496,[ 0.22   0.222 -0.487 -1.053],124049.06,9.999999,-180570.73,5.175427e+23,11.0
,9.999995,30.636363636363637,1596.7297,11,,989.6599,-145909270000000.0,1.0,1.0,10,-1.0,True,2432,5374.743,989.6599,-47.97274,9.143776178359985,11.0,,0.41894197,,296.20685,0.6423419,1.0,167015700.0,1.0,1,678.8564,110,296.2068339102021,296.20685,-47.97274,281.5161,[ 0.078  0.034 -0.534 -1.124],166989.83,9.999995,-337486.38,7.323773e+17,11.0
