DivergenceHarmonic,VarianceInitializer,Inner Iteration,Weights,StdWReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,MinBehavPdf,Epsilon,StdIW,InitialBound,ESSRenyiHarmonic,MaxIW,ESSRenyiArithmetic,ReturnMeanIW,EpThisIter,TimestepsSoFar,OptimizationReturnMean,EpisodesSoFar,InitialReturnMax,OptimizationReturnMax,MeanD2-0,MinTargetPdf,EpLenMean,ReturnStepMaxmin,MeanIW,InitialReturnMin,WReturnMean,EmpiricalD2Harmonic,MeanEntropy,Bound,InitialReturnStd,OptimizationReturnMin,MinIW,EpRewMean,Iteration,LearnableVariance,TimeElapsed,Penalization,ReturnStepMax
19486964000.0,-1.0,1,[ 0. -0. -0. -0.],,86.306595,1.0,-7.7400255,1.0,7.217332,-12358.755,11.0,25.307434,11.0,68058.69,11,106,46.34737,11,149.80962,109.85039,1.0,-7.7400255,9.636363636363637,9.9999275,4.8778396,39.959225,8451.941,1.0,0.41894197,-545442200.0,31.671957,,0.37864217,86.30659749849941,1,,2.8646302223205566,True,9.9999275
1.7955477e+33,-1.0,1,[-0.243 -0.436 -0.024 -0.019],,129.02382,1.0,-8.688137,1.0,31467232.0,-26578.418,11.0,109459220.0,11.0,63642317000.0,11,259,79.061905,22,209.90437,159.94244,1.0,-8.688137,13.909090909090908,10.0,9951079.0,49.96193,18908.576,1.0,0.41894197,-3.2500086e+20,47.554455,,0.050914295,129.02383078784135,2,,6.306215047836304,True,10.0
1.3665961e+26,-1.0,1,[-0.325 -0.572 -0.279 -0.973],,107.1881,1.0,-19.157282,1.0,154152.86,-27961.898,11.0,536246.1,11.0,3045231000.0,11,388,87.22259,33,249.92188,229.95636,1.0,-19.157282,11.727272727272727,9.999837,48772.004,19.965519,17088.836,1.0,0.41894197,-1.2710765e+17,74.8301,,0.3599255,107.18810961029902,3,,6.727163314819336,True,9.999837
2.8787123e+28,-1.0,1,[-0.78  -0.68  -0.365 -0.093],,114.47595,1.0,-13.780081,1.0,47397.27,-23549.598,11.0,163958.1,11.0,188582340.0,11,525,64.54151,44,219.9298,169.99536,1.0,-13.780081,12.454545454545455,9.999941,19179.885,49.93443,15129.608,1.0,0.41894197,-1.4285989e+18,44.99851,,2.5597863,114.47594620178738,4,,7.1278862953186035,True,9.999941
1.7475163e+22,-1.0,1,[-0.788 -0.746 -0.535 -1.076],,162.62897,1.0,-12.61372,1.0,103554.41,-39920.496,11.0,359534.12,11.0,1465984300.0,11,715,72.747086,55,249.89291,160.01105,1.0,-12.61372,17.272727272727273,9.999931,44865.605,89.881874,29049.951,1.0,0.41894197,-1437017300000000.0,51.007553,,0.6984288,162.62895997500007,5,,7.718973159790039,True,9.999931
443942370.0,-1.0,1,[-0.701 -0.761 -0.806 -2.035],,245.33803,1.0,-24.506126,1.0,45.386665,-116176.28,11.0,159.02922,11.0,3331973.2,11,996,225.3734,66,469.89343,449.9288,1.0,-24.506126,25.545454545454547,9.999992,30.190674,19.96463,77739.92,1.0,0.41894197,-813182900.0,132.47327,,0.14816177,245.33802439374722,6,,8.188435792922974,True,9.999992
7.58402e+20,-1.0,1,[-0.963 -1.007 -0.766 -1.69 ],,196.26021,1.0,-16.370775,1.0,2579.6777,-67488.53,11.0,8868.877,11.0,96442090.0,11,1223,136.34288,77,359.89423,299.9769,1.0,-16.370775,20.636363636363637,9.999984,1415.298,59.91732,44941.297,1.0,0.41894197,-620929900000000.0,80.145035,,0.33070287,196.26020423861212,7,,8.719852447509766,True,9.999984
5.354854e+16,-1.0,1,[-1.563 -1.245 -0.819 -0.928],,138.09625,1.0,-12.50835,1.0,6449.302,-32977.18,11.0,22739.969,11.0,54915250.0,11,1386,68.19239,88,249.91846,180.01459,1.0,-12.50835,14.818181818181818,9.999988,2503.0579,69.90388,22104.42,1.0,0.41894197,-2516071500000.0,55.080334,,0.1208536,138.09626342180326,8,,9.160457372665405,True,9.999988
5.924711e+28,-1.0,1,[-1.559 -1.615 -0.449 -0.076],,103.571754,1.0,-9.956755,1.0,900.97986,-17868.408,11.0,2846.4443,11.0,12819067.0,11,1511,73.62431,99,169.93849,139.99104,1.0,-9.956755,11.363636363636363,9.99998,531.0103,29.947449,12841.201,1.0,0.41894197,-1.2236583e+18,45.979237,,0.4552567,103.57176079437482,9,,9.56606650352478,True,9.99998
2413824600000.0,-1.0,1,[-1.614 -1.347 -0.348  0.881],,99.04883,1.0,-13.908362,1.0,417.73694,-36354.492,11.0,1332.6393,11.0,2056153.4,11,1631,59.109642,110,339.94867,300.0095,1.0,-13.908362,10.909090909090908,9.999999,204.00648,39.939182,16237.182,1.0,0.41894197,-31257280000.0,80.16553,,0.86588025,99.04882754287154,10,,9.953447818756104,True,9.999999
5.051227e+23,-1.0,1,[-1.627 -1.633 -0.359  0.471],,97.216644,1.0,-9.580946,1.0,77925.93,-16933.562,11.0,273119.56,11.0,217418200.0,11,1749,37.264553,121,189.9465,129.99442,1.0,-9.580946,10.727272727272727,9.999911,27087.227,59.952087,10652.893,1.0,0.41894197,-4463794000000000.0,34.66724,,1.7052467,97.21663855057545,11,,10.263566255569458,True,9.999911
1.4776279e+29,-1.0,1,[-1.825 -1.899 -0.626 -0.434],,126.29328,1.0,-11.585268,1.0,308109.2,-26195.094,11.0,1072834.4,11.0,1425116400.0,11,1899,46.36738,132,219.94724,140.02133,1.0,-11.585268,13.636363636363637,9.999994,98530.93,79.9259,17773.771,1.0,0.41894197,-3.237148e+18,42.70573,,2.403987,126.29327996424136,12,,10.772080183029175,True,9.999994
124978510000000.0,-1.0,1,[-1.87  -1.614 -0.526  0.518],,123.58626,1.0,-18.46714,1.0,33.56013,-44707.04,11.0,120.011566,11.0,393214.22,11,2046,73.6264,143,359.95844,309.9986,1.0,-18.46714,13.363636363636363,9.999983,15.364993,49.959846,22151.768,1.0,0.41894197,-252154130000.0,82.93494,,0.16957316,123.5862474389571,13,,11.287948608398438,True,9.999983
4.620152e+31,-1.0,1,[-1.871 -1.336 -0.495  0.932],,82.683655,1.0,-5.9137063,1.0,838359.94,-17414.533,11.0,2732705.5,11.0,3205880800.0,11,2148,82.683655,154,209.90054,209.90054,1.0,-5.9137063,9.272727272727273,9.999961,370986.22,,9744.975,1.0,0.41894197,-5.213127e+19,53.92947,,0.25741294,82.68364929945263,14,,11.717098474502563,True,9.999961
4.6898917e+35,-1.0,1,[-2.078 -1.208 -0.902  0.052],,159.9267,1.0,-10.482215,1.0,3995182.2,-48045.43,11.0,13903417.0,11.0,61187846000.0,11,2335,80.01879,165,309.93857,230.03065,1.0,-10.482215,17.0,10.0,1269666.0,79.90791,31323.182,1.0,0.41894197,-1.1451851e+22,75.80652,,0.3758758,159.92670387181496,15,,12.110541582107544,True,10.0
9.642979e+16,-1.0,1,[-2.093 -1.449 -1.092 -0.899],,148.99731,1.0,-8.316722,1.0,299.49838,-41287.63,11.0,1064.3463,11.0,2226905.5,11,2510,69.119095,176,299.93146,220.05324,1.0,-8.316722,15.909090909090908,9.999981,125.752144,79.87822,25627.785,1.0,0.41894197,-4862873000000.0,58.54558,,0.21288691,148.99731278685522,16,,12.61824631690979,True,9.999981
3.847336e+35,-1.0,1,[-1.927 -0.887 -1.354 -1.667],,167.1537,1.0,-12.369283,1.0,32777.53,-45153.324,11.0,116241.75,11.0,421568960.0,11,2705,57.276768,187,289.893,180.01608,1.0,-12.369283,17.727272727272727,9.999967,13017.687,109.87692,30524.188,1.0,0.41894197,-9.0739955e+21,50.831417,,26.28251,167.1536902821324,17,,13.190670728683472,True,9.999967
1.0211923e+25,-1.0,1,[-1.855  0.055 -1.648 -1.522],,219.8462,1.0,-14.585357,1.0,1730.5397,-62697.082,11.0,5040.6367,11.0,61266532.0,11,2958,40.059155,198,279.88046,100.0934,1.0,-14.585357,23.0,9.999754,1442.2114,179.78706,49061.023,1.0,0.41894197,-4.3575454e+16,26.993738,,0.14215028,219.84621752433577,18,,13.687039852142334,True,9.999754
529706240000000.0,-1.0,1,[-1.717  0.531 -1.679 -1.466],,389.85574,1.0,-24.233818,1.0,79.35398,-227144.27,11.0,278.34262,11.0,5557799.0,11,3398,130.01799,209,609.8441,350.00638,1.0,-24.233818,40.0,9.999999,39.34238,259.83774,162402.94,1.0,0.41894197,-1490046600000.0,102.05607,,0.6513805,389.8557346694831,19,,14.663201093673706,True,9.999999
4.645764e+30,-1.0,1,[-1.642  0.757 -1.703 -1.392],,458.02686,1.0,-25.750784,1.0,362656.66,-314362.12,11.0,1275320.6,11.0,16155094000.0,11,3913,148.213,220,709.8093,399.99548,1.0,-25.750784,46.81818181818182,10.0,131242.08,309.81384,226656.47,1.0,0.41894197,-1.8904056e+20,129.8764,,23.112139,458.02685502109557,20,,15.623798847198486,True,10.0
510350360000.0,-1.0,1,[-1.677  0.396 -1.755 -1.733],,332.56085,1.0,-25.142742,1.0,3000.0266,-144749.11,11.0,10477.652,11.0,171885020.0,11,4290,102.74219,231,419.79553,189.97685,1.0,-25.142742,34.27272727272727,9.999992,993.08905,229.81868,114071.65,1.0,0.41894197,-22087457000.0,58.948467,,0.025352133,332.560865691557,21,,16.21633529663086,True,9.999992
2.778969e+18,-1.0,1,[-1.746  0.253 -1.721 -1.26 ],,316.23807,1.0,-34.604076,1.0,4512.048,-176346.77,11.0,15913.635,11.0,86539900.0,11,4649,136.38222,242,599.88086,420.02502,1.0,-34.604076,32.63636363636363,9.999997,1881.9208,179.85585,113703.586,1.0,0.41894197,-104427575000000.0,117.03445,,1.862365,316.2380776623667,22,,16.8612859249115,True,9.999997
1.1240295e+28,-1.0,1,[-1.765  0.662 -1.776 -0.979],,437.0961,1.0,-37.27738,1.0,2509.3662,-277442.28,11.0,8913.324,11.0,326107460.0,11,5141,187.21088,253,639.83563,389.95038,1.0,-37.27738,44.72727272727273,9.999999,1371.3966,249.88524,206176.53,1.0,0.41894197,-7.5555954e+18,122.97771,,25.255909,437.09610405955647,23,,17.865275382995605,True,9.999999
