Weights,LearnableVariance,TimestepsSoFar,OptimizationReturnMean,MinIW,ESSRenyiArithmetic,InitialReturnMax,ReturnMeanIW,InitialReturnStd,Epsilon,Bound,Inner Iteration,MeanEntropy,InitialReturnMin,ReturnStepMax,EpLenMean,MeanIW,EmpiricalD2Harmonic,DivergenceHarmonic,Penalization,OptimizationReturnMax,OptimizationReturnMin,MinBehavPdf,EpRewMean,InitialBound,EpisodesSoFar,MeanD2-0,EpThisIter,EmpiricalD2Arithmetic,StdWReturnMean,Iteration,ReturnStepMaxmin,StdIW,InitialReturnMean,MaxIW,WReturnMean,TimeElapsed,ESSRenyiHarmonic,MinTargetPdf,VarianceInitializer
[ 0. -0. -0. -0.],,106,46.34737,0.37864217,11.0,149.80962,68058.69,31.671957,1.0,-545442200.0,1,0.41894197,39.959225,9.9999275,9.636363636363637,4.8778396,1.0,19486964000.0,True,109.85039,,-7.7400255,86.30659749849941,-12358.755,11,1.0,11,1.0,,1,9.9999275,7.217332,86.306595,25.307434,8451.941,2.00421142578125,11.0,-7.7400255,-1.0
[-0.243 -0.436 -0.024 -0.019],,259,79.061905,7.140407,2.6646483,209.90437,22692112.0,47.554455,1.0,-111270950000.0,2,0.41894197,49.96193,10.0,13.909090909090908,1824.6036,4.1281247,210384850000000.0,True,159.94244,,-8.688137,129.02383078784135,-3342220.0,22,4.1281247,11,4.1281247,,1,10.0,3709.2393,129.02382,12890.978,4479.2944,4.426093101501465,2.6646483,-10.357634,-1.0
[-0.182  0.338 -0.047  0.61 ],,310,26.35432,1.9465322e-31,1.874237e-23,69.98808,74.59446,21.852564,1.0,-inf,3,0.41894197,9.985741,9.999917,4.636363636363637,0.22298501,5.869055e+23,inf,True,60.002342,,-4.4309416,36.340060364689904,-inf,33,5.869055e+23,11,5.869055e+23,,1,9.999917,0.3785652,36.34006,1.0433805,74.59446,4.616607904434204,1.874237e-23,-38.37924,-1.0
[-0.182  0.338 -0.047  0.61 ],,362,27.258451,2.7888586e-27,4.9016496e-15,119.92558,415.37317,28.29946,1.0,-inf,4,0.41894197,9.983733,9.999199,4.7272727272727275,0.78678244,2244142600000000.0,inf,True,109.94185,,-5.809296,37.24218409586184,-inf,44,2244142400000000.0,11,2244142400000000.0,,1,9.999199,1.3820769,37.242184,4.6652236,415.37317,4.864107370376587,4.9016492e-15,-33.069878,-1.0
[-0.182  0.338 -0.047  0.61 ],,429,40.89009,7.0366014e-24,3.658713e-22,89.95259,3738.8066,23.525848,1.0,nan,5,0.41894197,9.985979,9.999972,6.090909090909091,0.9365213,3.0065218e+22,nan,True,79.96661,,-6.696577,50.87606723799881,nan,55,3.0065218e+22,11,3.0065218e+22,,1,9.999972,1.8611667,50.876064,5.844533,3738.8066,5.1721696853637695,3.658713e-22,-31.071674,-1.0
[-0.182  0.338 -0.047  0.61 ],,475,21.808546,5.6430186e-15,6.001647e-13,79.95708,11565.439,18.97461,1.0,-inf,6,0.41894197,9.984735,9.999814,4.181818181818182,7.4518986,18328301000000.0,inf,True,69.97234,,-6.526912,31.79327994714183,-inf,66,18328301000000.0,11,18328301000000.0,,1,9.999814,15.504624,31.79328,47.659428,11565.439,5.4045305252075195,6.001647e-13,-21.604916,-1.0
[-0.182  0.338 -0.047  0.61 ],,530,20.003904,8.904994e-28,3.0171084e-18,89.95675,433.1413,23.354116,1.0,-inf,7,0.41894197,19.965832,9.999895,5.0,0.24513823,3.645875e+18,inf,True,69.99092,,-6.317716,39.96973488795588,-inf,77,3.645875e+18,11,3.645875e+18,,1,9.999895,0.31324705,39.969738,0.7496476,433.1413,5.683084964752197,3.0171084e-18,-37.4606,-1.0
[-0.182  0.338 -0.047  0.61 ],,576,11.818948,5.221564e-24,6.776924e-23,49.96972,271.10696,9.352522,1.0,-inf,8,0.41894197,19.970709,9.999662,4.181818181818182,0.32233688,1.6231553e+23,inf,True,29.99901,,-3.2009892,31.789656828642503,-inf,88,1.6231553e+23,11,1.6231553e+23,,1,9.999662,0.48673627,31.78966,1.1472765,271.10696,5.96358323097229,6.776924e-23,-30.005611,-1.0
[-0.182  0.338 -0.047  0.61 ],,632,30.892328,1.0153526e-30,1.4884007e-22,69.927444,14090.43,17.283484,1.0,-inf,9,0.41894197,9.987066,9.99994,5.090909090909091,3.541592,7.3904835e+22,inf,True,59.940376,,-6.425145,40.879394964554656,-inf,99,7.390483e+22,11,7.390483e+22,,1,9.99994,6.7082787,40.879395,17.686333,14090.43,6.185127019882202,1.4884005e-22,-38.32749,-1.0
[-0.182  0.338 -0.047  0.61 ],,695,37.257717,5.6598834e-28,2.9241356e-21,79.95614,6.4868255,17.098326,1.0,nan,10,0.41894197,9.987998,9.999983,5.7272727272727275,0.01878085,3.761795e+21,nan,True,69.96814,,-3.0495949,47.24571965850427,nan,110,3.7617954e+21,11,3.7617954e+21,,1,9.999983,0.04930896,47.245716,0.17271842,6.4868255,6.309407711029053,2.9241358e-21,-32.65555,-1.0
[-0.182  0.338 -0.047  0.61 ],,752,21.81046,1.0718167,11.0,69.99112,56519184.0,13.361619,1.0,-5.1563445e+18,1,0.41894197,19.988718,9.999987,5.181818181818182,35648.426,1.0,3.6561667e+31,True,50.002403,,-3.7991915,41.799175573974175,-2778.4685,121,1.0,11,1.0,,2,9.999987,75506.09,41.79918,228627.95,1925.704,6.746526718139648,11.0,-3.7991915,-1.0
[-0.158  0.625 -0.014  1.018],,807,29.995775,4.422651e-09,6.915889e-08,59.99334,1912.1333,15.371946,1.0,-inf,2,0.41894197,9.986866,9.999991,5.0,0.9733687,159054030.0,inf,True,50.006474,,-4.6219907,39.98263986030338,-inf,132,159054030.0,11,159054030.0,,2,9.999991,1.8537465,39.98264,4.9514794,1912.1333,7.008664131164551,6.915889e-08,-11.891416,-1.0
[-0.158  0.625 -0.014  1.018],,855,13.640497,4.0814964e-15,3.625095e-10,49.982925,2.794076,9.791459,1.0,-inf,3,0.41894197,19.975048,9.999866,4.363636363636363,0.0060404716,30344032000.0,inf,True,30.007877,,-9.422549,33.6155443456426,-inf,143,30344032000.0,11,30344032000.0,,2,9.999866,0.011219794,33.615543,0.034829408,2.794076,7.258472442626953,3.625095e-10,-19.705471,-1.0
[-0.158  0.625 -0.014  1.018],,910,29.985828,8.8797334e-18,1.4883238e-10,79.92716,251.58505,20.876484,1.0,-inf,4,0.41894197,9.985392,9.999597,5.0,0.09208388,73908650000.0,inf,True,69.94177,,-4.8246326,39.971220316811134,-inf,154,73908650000.0,11,73908650000.0,,2,9.999597,0.20900288,39.971222,0.7343642,251.58505,7.547223806381226,1.4883238e-10,-23.654512,-1.0
[-0.158  0.625 -0.014  1.018],,952,28.158709,7.6613715e-13,7.0372055e-09,39.982025,531.1936,11.914128,1.0,-inf,5,0.41894197,,9.999824,3.8181818181818183,0.57547855,1563120500.0,inf,True,39.982025,,-4.156045,28.158706346851314,-inf,165,1563120500.0,11,1563120500.0,,2,9.999824,1.3131305,28.158709,4.621962,531.1936,7.785081624984741,7.0372055e-09,-16.90523,-1.0
[-0.158  0.625 -0.014  1.018],,1001,24.54142,3.8589374e-14,4.0078117e-05,49.987255,210.49252,14.37286,1.0,-2.2722344e+20,6,0.41894197,9.985104,9.99996,4.454545454545454,0.52994394,274464.0,2.7288714e+35,True,40.00215,,-5.744591,34.5265232194726,-2.2722344e+20,176,274464.0,11,274464.0,,2,9.99996,1.53175,34.526524,5.358808,210.49252,7.987187385559082,4.0078117e-05,-21.18749,-1.0
[-0.158  0.625 -0.014  1.018],,1047,21.812378,5.065125e-16,1.9611313e-13,79.941574,96.10123,19.44581,1.0,nan,7,0.41894197,9.982457,9.999308,4.181818181818182,0.21863417,56090075000000.0,nan,True,69.959114,,-3.9570687,31.79483434636626,nan,187,56090075000000.0,11,56090075000000.0,,2,9.999308,0.3173214,31.794832,0.766535,96.10123,8.24998164176941,1.9611313e-13,-21.11359,-1.0
[-0.158  0.625 -0.014  1.018],,1100,18.178516,1.7947852e-21,2.2293776e-15,59.96987,99.936325,11.132073,1.0,-inf,8,0.41894197,19.98008,9.999936,4.818181818181818,0.11510021,4934112700000000.0,inf,True,39.98979,,-4.413602,38.1585958897608,-inf,198,4934112700000000.0,11,4934112700000000.0,,2,9.999936,0.25451222,38.158596,0.9006809,99.936325,8.627671718597412,2.2293776e-15,-24.876049,-1.0
[-0.158  0.625 -0.014  1.018],,1146,11.819366,3.2743164e-12,7.0836723e-09,59.966293,4994.584,13.351866,1.0,-inf,9,0.41894197,19.976046,9.998989,4.181818181818182,10.419697,1552866800.0,inf,True,39.99025,,-4.226192,31.795411851737764,-inf,209,1552866800.0,11,1552866800.0,,2,9.998989,28.500063,31.79541,99.93694,4994.584,8.820918083190918,7.0836723e-09,-14.99989,-1.0
[-0.158  0.625 -0.014  1.018],,1196,25.447227,1.559984e-11,3.280518e-10,69.973885,12.440802,16.70672,1.0,-inf,10,0.41894197,9.983781,9.999963,4.545454545454546,0.07392012,33531290000.0,inf,True,59.990105,,-2.452714,35.431008200848595,-inf,220,33531290000.0,11,33531290000.0,,2,9.999963,0.1856456,35.431007,0.64022547,12.440802,9.099903345108032,3.280518e-10,-13.844945,-1.0
[-0.158  0.625 -0.014  1.018],,1239,19.09166,0.019289542,11.0,39.990143,35279484.0,9.002256,1.0,-3692191500000.0,1,0.41894197,9.983686,9.999877,3.909090909090909,22081.477,1.0,1.7589852e+20,True,30.006456,,-3.8762221,29.07534490360212,-1204.8035,231,1.0,11,1.0,,3,9.999877,69539.33,29.075346,241983.67,926.4164,9.311354875564575,11.0,-3.8762221,-1.0
[-0.153  0.906  0.006  1.431],,1287,23.637403,1.4691497e-07,1.1748448e-06,79.9691,21768.906,23.843056,1.0,-inf,2,0.41894197,9.979731,9.999815,4.363636363636363,4.608961,9362939.0,inf,True,69.98937,,-4.0588775,33.61713634431315,-inf,242,9362939.0,11,9362939.0,,3,9.999815,10.383011,33.617134,36.574104,21768.906,9.56352949142456,1.1748448e-06,-8.406036,-1.0
[-0.153  0.906  0.006  1.431],,1333,21.81444,4.6085562e-14,1.2401403e-08,49.985992,47.81046,11.132184,1.0,-inf,3,0.41894197,9.98395,9.999651,4.181818181818182,0.15338752,886996400.0,inf,True,40.002045,,-3.8117008,31.798391034351027,-inf,253,886996400.0,11,886996400.0,,3,9.999651,0.28836113,31.79839,0.8430852,47.81046,9.872663021087646,1.2401403e-08,-16.387856,-1.0
