EmpiricalD2Harmonic,EpRewMean,EpLenMean,Weights,InitialReturnMax,Iteration,MeanD2-0,EpisodesSoFar,Penalization,Inner Iteration,OptimizationReturnMean,MinTargetPdf,ESSRenyiHarmonic,ReturnMeanIW,InitialReturnStd,InitialReturnMean,EmpiricalD2Arithmetic,ReturnStepMaxmin,LearnableVariance,DivergenceHarmonic,OptimizationReturnMax,WReturnMean,EpThisIter,MeanIW,OptimizationReturnMin,StdIW,MaxIW,InitialBound,VarianceInitializer,TimeElapsed,ESSRenyiArithmetic,ReturnStepMax,InitialReturnMin,Epsilon,MinIW,MinBehavPdf,StdWReturnMean,TimestepsSoFar,Bound,MeanEntropy
1.0,102.67121766811019,11.272727272727273,[ 0. -0. -0.  0.],329.90155,1,1.0,11,True,1,92.68881,-12.176404,11.0,5018052.5,80.78049,102.67121,1.0,9.999977,,5.6301053e+32,319.91916,17066.865,11,269.33484,,505.16608,1779.6208,-36012.625,-1.0,2.4833450317382812,11.0,9.999977,9.982406,1.0,0.39634195,-12.176404,,124,-4.495417e+20,0.41894197
80665090000.0,63.59694636369336,7.363636363636363,[ 0.183  0.326 -0.093  0.319],119.95781,1,80665090000.0,22,True,2,43.62445,-19.040695,1.363663e-10,4690.777,31.40399,63.59694,80665090000.0,9.999837,,inf,99.98532,4690.777,11,1.0359524,,2.3005998,8.078851,-inf,-1.0,5.762622594833374,1.363663e-10,9.999837,19.972492,1.0,1.3788933e-08,-9.990995,,205,-inf,0.41894197
1.0,50.87950984264989,6.090909090909091,[ 0.183  0.326 -0.093  0.319],119.969925,2,1.0,33,True,1,40.89711,-9.583443,11.0,34158.83,32.59054,50.879505,1.0,10.0,,4123704800.0,109.987526,3650.8682,11,15.86561,,28.825602,100.240715,-6156.3306,-1.0,6.163811922073364,11.0,10.0,9.982399,1.0,0.13799664,-9.583443,,272,-160925100.0,0.41894197
40.829052,72.69160521422522,8.272727272727273,[ 0.157  0.175 -0.119  0.123],159.95825,2,40.829052,44,True,2,62.710495,-7.865547,0.269416,955.29156,42.008083,72.691605,40.829052,9.999995,,17411637000000.0,149.97714,959.01483,11,0.23026814,,0.30117738,0.86927587,-18695795000.0,-1.0,6.5803515911102295,0.269416,9.999995,9.981113,1.0,0.0004296422,-5.197375,,363,-18585582000.0,0.41894197
1.0,78.13610238227241,8.818181818181818,[ 0.16   0.181 -0.121  0.117],169.85413,3,1.0,55,True,1,68.15213,-10.674221,11.0,109341430.0,46.456112,78.13611,1.0,9.99999,,6.522379e+34,159.87015,8263.422,11,16593.508,,51838.324,180514.97,-13285.639,-1.0,7.094621419906616,11.0,9.99999,9.983977,1.0,0.36661947,-10.674221,,460,-1.2826207e+21,0.41894197
30.115643,62.687106949115716,7.2727272727272725,[-0.374 -0.581 -0.219  0.47 ],169.93478,3,30.115644,66,True,2,52.703125,-7.7255964,0.3652587,214499.3,46.324646,62.687107,30.115644,9.999968,,217364470000000.0,159.9508,3773.825,11,32.42073,,62.059906,221.93399,-34154780000.0,-1.0,7.505805492401123,0.36525866,9.999968,9.98398,1.0,0.8639213,-7.0183663,,540,-74114480000.0,0.41894197
1.0,53.61115778035876,6.363636363636363,[-0.304 -0.236 -0.179  0.822],79.98227,4,1.0,77,True,1,23.629194,-4.5982776,11.0,22805.098,16.109552,53.611156,1.0,9.999915,,596227900.0,50.000305,3133.6738,11,8.013813,,17.098442,61.46245,-4247.2773,-1.0,7.768464088439941,11.0,9.999915,29.981962,1.0,0.5719469,-4.5982776,,610,-27214524.0,0.41894197
173.93243,56.336382807053184,6.636363636363637,[-0.293 -0.077 -0.168  1.015],179.95016,4,173.93243,88,True,2,36.3667,-10.204437,0.06324295,12851.491,40.951283,56.33638,173.93243,9.999849,,9530150000000000.0,159.98048,12815.537,11,4.6914563,,11.910266,42.249367,-551147600000.0,-1.0,8.098322868347168,0.06324295,9.999849,19.96968,1.0,5.5091496e-06,-4.590754,,683,-550297340000.0,0.41894197
1.0,30.886911068298108,4.090909090909091,[-0.296 -0.08  -0.17   1.017],39.985863,5,1.0,99,True,1,20.904924,-5.190546,11.0,10639305.0,10.830403,30.88691,1.0,9.999924,,2.992049e+36,30.003876,1071.299,11,6660.8438,,14040.567,36605.914,-1349.6263,-1.0,8.415453910827637,11.0,9.999924,9.981988,1.0,0.024664963,-5.190546,,728,-4.8143797e+20,0.41894197
2446848.2,49.97081822264658,6.0,[-0.328 -0.342 -0.207  0.594],89.97486,5,2446848.2,110,True,2,29.997143,-12.407288,4.495579e-06,1457.4498,22.564123,49.97082,2446848.2,9.999974,,inf,70.00118,1457.4498,11,0.88533133,,1.4618584,4.781459,-inf,-1.0,8.824827432632446,4.495579e-06,9.999974,19.973677,1.0,1.4312216e-07,-4.527504,,794,-inf,0.41894197
