MinTargetPdf,EmpiricalD2Arithmetic,Penalization,TimeElapsed,LearnableVariance,MeanIW,OptimizationReturnMean,MaxIW,ESSRenyiArithmetic,OptimizationReturnMax,ReturnStepMaxmin,StdWReturnMean,EpLenMean,TimestepsSoFar,VarianceInitializer,ESSRenyiHarmonic,ReturnStepMax,StdIW,Bound,InitialReturnStd,DivergenceHarmonic,ReturnMeanIW,Iteration,InitialBound,OptimizationReturnMin,EpThisIter,InitialReturnMax,Inner Iteration,WReturnMean,Epsilon,EmpiricalD2Harmonic,EpisodesSoFar,MinIW,Weights,EpRewMean,MeanEntropy,MeanD2-0,InitialReturnMin,MinBehavPdf,InitialReturnMean
-7.7400255,1.0,True,2.398177146911621,,4.8778396,46.34737,25.307434,11.0,109.85039,9.9999275,,9.636363636363637,106,-1.0,11.0,9.9999275,7.217332,-545442200.0,31.671957,19486964000.0,68058.69,1,-12358.755,,11,149.80962,1,8451.941,1.0,1.0,11,0.37864217,[ 0. -0. -0. -0.],86.30659749849941,0.41894197,1.0,39.959225,-7.7400255,86.306595
-10.357634,4.1281247,True,5.760098457336426,,1824.6036,79.061905,12890.978,2.6646483,159.94244,10.0,,13.909090909090908,259,-1.0,2.6646483,10.0,3709.2393,-111270950000.0,47.554455,210384850000000.0,22692112.0,1,-3342220.0,,11,209.90437,2,4479.2944,1.0,4.1281247,22,7.140407,[-0.243 -0.436 -0.024 -0.019],129.02383078784135,0.41894197,4.1281247,49.96193,-8.688137,129.02382
-4.4309416,1.0,True,6.353898048400879,,32.106087,26.35432,340.78055,11.0,60.002342,9.999917,,4.636363636363637,310,-1.0,11.0,9.999917,97.612854,-23370636.0,21.852564,741356500.0,153710.6,2,-2650.8247,,11,69.98808,1,1798.1346,1.0,1.0,33,0.53021973,[-0.182  0.338 -0.047  0.61 ],36.340060364689904,0.41894197,1.0,9.985741,-4.4309416,36.34006
-5.6480947,29.090712,True,6.712112903594971,,1.0165719,22.716888,3.5177417,0.37812757,69.981445,9.99987,,4.2727272727272725,357,-1.0,0.37812755,9.99987,1.0667421,-6934336500.0,18.132568,38808120000000.0,839.2296,2,-6936030000.0,,11,79.96506,2,839.53705,1.0,29.090714,44,0.0010749443,[-0.204  0.489 -0.07   0.807],32.700502694261445,0.41894197,29.090712,9.983614,-5.8092957,32.7005
-4.224065,1.0,True,7.124863147735596,,844728.06,35.439243,9274506.0,11.0,50.002518,9.999964,,5.545454545454546,418,-1.0,11.0,9.999964,2665732.8,-1.208407e+20,16.159733,3.7210824e+34,3037796000.0,3,-2951.0237,,11,59.98847,1,2324.5852,1.0,1.0,55,0.3079146,[-0.203  0.488 -0.069  0.808],45.42519212863117,0.41894197,1.0,9.985951,-4.224065,45.425194
-32.8187,554527160000.0,True,7.495712757110596,,0.32226124,33.61473,2.974079,1.9836719e-11,89.929375,9.999307,,5.363636363636363,477,-1.0,1.9836719e-11,9.999307,0.85255086,-inf,23.831747,inf,75.56924,3,-inf,,11,99.91428,2,75.56924,1.0,554527160000.0,66,4.0919307e-20,[-0.203  0.144 -0.039  0.447],43.59964618642545,0.41894197,554527160000.0,9.984911,-10.497356,43.599648
-4.1688633,1.0,True,7.744025468826294,,0.8556864,28.165062,1.9398613,11.0,79.94328,9.999955,,4.818181818181818,530,-1.0,11.0,9.999955,0.4181196,-740256.1,25.862518,275499.03,1377.6554,4,-3531.828,,11,89.92594,1,2124.1182,1.0,1.0,77,0.3655789,[-0.203  0.144 -0.039  0.447],38.147718325932004,0.41894197,1.0,9.982659,-4.1688633,38.147717
-6.679501,16.746244,True,8.05791187286377,,33070.277,29.08399,361348.4,0.6568637,89.98807,9.999961,,7.909090909090909,617,-1.0,0.6568637,9.999961,103811.625,-2007535100.0,28.420403,350696640000.0,266367970.0,4,-2834590200.0,,11,129.96182,2,3727.1055,1.0,16.746244,88,0.30908993,[-0.134 -0.678  0.321  0.882],69.05774668407847,0.41894197,16.746244,39.97376,-6.0066524,69.05775
-6.425145,1.0,True,8.42317795753479,,2.6545537,24.533361,17.051048,11.0,99.98235,9.999971,,5.454545454545454,677,-1.0,11.0,9.999971,4.5978937,-33474.44,27.088852,132.48749,4634.8237,5,-5221.6396,,11,119.97189,1,2716.0945,1.0,1.0,99,0.40127897,[-0.094  0.405 -0.036  0.734],44.52289796626126,0.41894197,1.0,19.989538,-6.425145,44.5229
-6.6150684,1.7329072,True,8.860802412033081,,2556.6814,23.647821,21172.607,6.3477144,90.01158,9.999946,,5.363636363636363,736,-1.0,6.347714,9.999946,6145.503,-3250692400.0,25.326939,2377618300000.0,4201017.5,5,-23974.363,,11,109.97655,2,781.9854,1.0,1.7329073,110,0.33227468,[-0.284 -0.436  0.23   1.165],43.612788511836186,0.41894197,1.7329072,19.964966,-5.1317554,43.61279
-3.6917863,1.0,True,9.219875574111938,,4022717.8,26.356482,44224340.0,11.0,59.991234,9.999825,,4.636363636363637,787,-1.0,11.0,9.999825,12712871.0,-1.680534e+18,16.659775,3.8870776e+30,10045943000.0,6,-2450.586,,11,69.975555,1,1598.202,1.0,1.0,121,0.251429,[-0.269 -0.137  0.244  1.565],36.340800808101875,0.41894197,1.0,9.98432,-3.6917863,36.340805
-37.336052,244588190000000.0,True,9.586086988449097,,2.5471976,30.899836,26.847933,4.4973553e-14,89.936356,9.999969,,5.090909090909091,843,-1.0,4.4973553e-14,9.999969,7.691816,nan,21.069824,nan,6110.7554,6,nan,,11,99.92281,2,6110.7554,1.0,244588190000000.0,132,5.489889e-29,[-0.259  0.178  0.243  1.954],40.88629303034159,0.41894197,244588190000000.0,9.986458,-9.127205,40.88629
-4.3513494,1.0,True,9.961905717849731,,86.29786,19.077913,563.13855,11.0,40.003387,9.999888,,3.909090909090909,886,-1.0,11.0,9.999888,170.9875,-9.074824e+18,10.83229,4.3520687e+32,160963.2,7,-1397.0237,,11,49.988907,1,962.0216,1.0,1.0,143,0.7178977,[-0.259  0.178  0.243  1.954],29.063433076455205,0.41894197,1.0,9.9855175,-4.3513494,29.063433
-21.0156,379903770000.0,True,10.320962905883789,,0.18525149,19.089819,0.8662057,2.8954701e-11,30.003769,9.999911,,3.909090909090909,929,-1.0,2.8954701e-11,9.999911,0.278776,-inf,10.831168,inf,100.548584,7,-inf,,11,39.986526,2,100.548584,1.0,379903770000.0,154,4.5205383e-18,[-0.209  0.394  0.334  2.392],29.072575718200095,0.41894197,379903770000.0,9.982757,-3.951853,29.072577
-4.0838737,1.0,True,10.585279703140259,,765817.25,23.628777,7643945.0,11.0,49.985897,9.999787,,4.363636363636363,977,-1.0,11.0,9.999787,2186039.8,-3478746300000000.0,13.664009,3.0865514e+25,1175050000.0,8,-1943.04,,11,59.975163,1,1316.8779,1.0,1.0,165,0.3742933,[-0.209  0.394  0.334  2.392],33.618041236604874,0.41894197,1.0,9.989265,-4.0838737,33.618042
-23.067955,109673470000.0,True,10.953738927841187,,0.030956564,17.260517,0.26337445,1.0029773e-10,29.981157,9.99953,,4.7272727272727275,1029,-1.0,1.0029773e-10,9.99953,0.075033315,-inf,11.343684,inf,23.559816,8,-inf,,11,49.968525,2,23.559816,1.0,109673470000.0,176,4.0566852e-18,[-0.221 -0.056  0.422  2.195],37.24788574169628,0.41894197,109673470000.0,19.987368,-4.2815614,37.247887
