MeanEntropy,MaxIW,TimeElapsed,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMax,OptimizationReturnMean,InitialBound,LearnableVariance,Epsilon,EpisodesSoFar,EpThisIter,Weights,InitialReturnMin,Iteration,Inner Iteration,Penalization,ReturnStepMax,Bound,StdIW,EpLenMean,VarianceInitializer,InitialReturnStd,TimestepsSoFar,MinIW,WReturnMean,ESSRenyiHarmonic,OptimizationReturnMax,MeanIW,InitialReturnMean,EpRewMean,DivergenceHarmonic,MinBehavPdf,MeanD2-0,ESSRenyiArithmetic,ReturnStepMaxmin,OptimizationReturnMin,ReturnMeanIW,MinTargetPdf,StdWReturnMean
0.41894197,369.24237,4.586850166320801,1.0,1.0,129.96011,44.533867,-8380.004,,1.0,11,11,[ 0. -0.  0.  0.],19.971745,1,1,True,9.999984,-23912157000.0,112.49791,7.454545454545454,-1.0,35.762016,82,0.55608404,5439.8955,11.0,109.98837,56.123924,64.50561,64.50561230091517,66146003000000.0,-8.072796,1.0,11.0,9.999984,,208223.1,-8.072796,
0.41894197,1.4936906,9.056042671203613,12.057786,12.057786,149.90997,73.57607,-142580510.0,,1.0,22,11,[-0.03  -0.286 -0.034 -0.407],9.982861,1,2,True,9.999649,-136668750.0,0.415476,9.363636363636363,-1.0,34.9567,185,0.00064525235,454.1286,0.9122736,139.92711,0.19855218,83.55894,83.55893609690492,1220470700.0,-6.3995776,12.057786,0.9122736,9.999649,,471.2776,-9.423634,
0.41894197,14710053.0,10.401971817016602,1.0,1.0,209.8872,94.48682,-20726.611,,1.0,33,11,[-0.022 -0.239 -0.052 -0.422],,2,1,True,9.999953,-4.5099265e+18,4207719.5,10.454545454545455,-1.0,64.26715,300,0.017348738,13058.027,11.0,209.8872,1487982.8,94.48682,94.48681800368112,3.4586688e+29,-15.822006,1.0,11.0,9.999953,,10391326000.0,-15.822006,
0.41894197,27.706623,11.437444925308228,690517.8,690517.8,239.90897,79.05815,-inf,,1.0,44,11,[-0.177 -0.675 -0.187 -1.298],49.929848,2,2,True,9.999828,-inf,7.9282227,13.909090909090908,-1.0,55.826412,453,2.3588458e-13,17466.781,1.5930074e-05,189.97913,2.6457753,128.988,128.9879980211789,inf,-12.056342,690517.8,1.5930074e-05,9.999828,,17466.781,-26.594059,
0.41894197,111716.336,12.619797468185425,1.0,1.0,399.88275,113.60693,-62399.562,,1.0,55,11,[-0.177 -0.675 -0.187 -1.298],49.918964,3,1,True,9.999971,-1.2368147e+21,32127.299,17.363636363636363,-1.0,88.44611,644,0.6126926,34563.434,11.0,349.96378,12468.069,163.5259,163.52589418613735,1.9742063e+33,-17.91333,1.0,11.0,9.999971,,1690756200.0,-17.91333,
0.41894197,30.155788,13.720707654953003,1.3832774e+16,1.3832774e+16,529.84314,159.92677,-inf,,1.0,66,11,[-0.208 -0.839 -0.373 -2.267],19.964584,3,2,True,9.999992,-inf,8.6677685,19.0,-1.0,162.00557,853,2.486452e-25,1150.8419,7.9521285e-16,509.87854,2.7459056,179.89136,179.89136355163998,inf,-17.251118,1.3832774e+16,7.9521285e-16,9.999992,,1150.8419,-45.578003,
0.41894197,11.489296,14.785362720489502,1.0,1.0,389.867,95.43519,-61981.914,,1.0,77,11,[-0.208 -0.839 -0.373 -2.267],69.90286,4,1,True,9.999936,-17577070000.0,3.2384686,17.545454545454547,-1.0,90.47682,1046,0.43533173,35522.73,11.0,319.96414,4.109922,165.33806,165.3380625078993,441299300000.0,-24.30115,1.0,11.0,9.999936,,156600.97,-24.30115,
0.41894197,28.648104,15.65251636505127,37.72383,37.72383,289.90057,89.02175,-43800800000.0,,1.0,88,11,[-0.242 -1.04  -0.434 -2.719],19.968687,4,2,True,9.99986,-43581490000.0,8.073575,11.909090909090908,-1.0,73.15098,1177,0.002353528,92171.97,0.29159287,269.9319,3.2095282,108.99043,108.99042944004614,8874010000000.0,-12.333209,37.72383,0.29159287,9.99986,,94256.8,-10.668246,
0.41894197,14.797962,16.582017421722412,1.0,1.0,239.88193,61.806213,-29833.195,,1.0,99,11,[-0.255 -1.032 -0.436 -2.723],69.90148,5,1,True,9.999012,-199462540.0,3.9551785,14.181818181818182,-1.0,49.691643,1333,0.17302534,19816.176,11.0,169.98044,3.0138872,131.7077,131.70769431368987,396309700.0,-11.916435,1.0,11.0,9.999012,,48619.89,-11.916435,
0.41894197,4.90172,17.55386185646057,9.252743,9.252743,219.89891,52.71349,-450828500.0,,1.0,110,11,[-0.403 -1.505 -0.37  -2.707],49.920315,5,2,True,9.999303,-15990748000.0,1.3774223,11.272727272727273,-1.0,48.439716,1457,0.0017953152,642.12103,1.1888367,169.97859,0.60982376,102.6338,102.63380546145275,3608766600000.0,-8.678791,9.252743,1.1888367,9.999303,,7235.317,-12.432583,
