MinIW,MeanEntropy,StdIW,EpRewMean,DivergenceHarmonic,InitialReturnMax,StdWReturnMean,Weights,InitialReturnMin,Iteration,Epsilon,OptimizationReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,EpThisIter,EpisodesSoFar,TimestepsSoFar,WReturnMean,InitialReturnStd,TimeElapsed,Penalization,ReturnStepMaxmin,InitialBound,EmpiricalD2Harmonic,ReturnStepMax,VarianceInitializer,MeanIW,LearnableVariance,Bound,ESSRenyiHarmonic,OptimizationReturnMax,OptimizationReturnMin,MinBehavPdf,EpLenMean,ESSRenyiArithmetic,MinTargetPdf,MeanD2-0,MaxIW,Inner Iteration,ReturnMeanIW
0.17426252,0.41894197,326.24713,93.5734099796398,1.5594064e+21,249.95085,,[ 0. -0. -0. -0.],19.96677,1,1.0,73.60664,93.57341,1.0,11,11,114,12450.944,60.786198,2.8204987049102783,True,9.99995,-23326.527,1.0,9.99995,-1.0,107.694725,,-429469100000000.0,11.0,229.98409,,-10.924742,10.363636363636363,11.0,-10.924742,1.0,1139.0464,1,6490901.0
4.4416595e-07,0.41894197,0.082048215,111.74729341143205,123912680000000.0,199.92725,,[-0.107 -0.319 -0.097 -0.357],49.968536,1,1.0,61.77875,111.74729,67.36249,11,22,248,307.6836,40.854164,6.67944073677063,True,9.999923,-77591290000.0,67.36249,9.999923,-1.0,0.059398733,,-77454180000.0,0.16329563,149.95871,,-18.089027,12.181818181818182,0.16329563,-25.402855,67.36249,0.24965169,2,310.4765
0.8180152,0.41894197,204.35907,204.44996033669443,1.2274088e+26,929.78296,,[-0.114 -0.315 -0.101 -0.358],49.9659,2,1.0,154.48407,204.44995,1.0,11,33,484,98805.16,238.75797,7.704687833786011,True,9.999996,-249294.83,1.0,9.999996,-1.0,78.78646,,-1.6672504e+18,11.0,879.8171,,-38.538208,21.454545454545453,11.0,-38.538208,1.0,724.44885,1,2253775.5
3.8665369e-31,0.41894197,5.2777743,317.1099368923635,inf,749.78735,,[-0.12   0.435 -0.517 -0.872],109.92091,2,1.0,207.18901,317.10992,4.2321553e+32,11,44,844,21264.16,167.29463,8.710879802703857,True,9.999996,-inf,4.2321553e+32,9.999996,-1.0,1.7012749,,-inf,2.5991485e-32,639.86646,,-22.34462,32.72727272727273,2.5991485e-32,-54.44501,4.2321553e+32,18.388493,2,21264.16
0.410371,0.41894197,51.48672,285.3230196103176,1.2671578e+33,1149.6002,,[-0.12   0.435 -0.517 -0.872],19.972477,3,1.0,265.35056,285.32303,1.0,11,55,1169,199302.89,343.35648,9.419479846954346,True,9.999995,-429360.94,1.0,9.999995,-1.0,34.73956,,-8.1893996e+21,11.0,1129.6277,,-58.211647,29.545454545454547,11.0,-58.211647,1.0,144.9926,1,16109018.0
3.0001636e-23,0.41894197,12.560409,506.1614491190747,inf,649.78595,,[-0.321  0.333 -0.561 -0.971],39.943703,3,1.0,466.21777,506.16144,9.776952e+16,11,66,1737,1630679.6,167.1456,10.869466066360474,True,9.999987,-inf,9.776952e+16,9.999987,-1.0,4.0979276,,-inf,1.1250951e-16,609.8422,,-36.175064,51.63636363636363,1.1250951e-16,-56.057686,9.776952e+16,43.801113,2,1630679.6
0.25575608,0.41894197,439.1704,410.69974448197394,1.3874585e+22,909.5382,,[-0.321  0.333 -0.561 -0.971],29.948296,4,1.0,380.75143,410.69974,1.0,11,77,2200,250278.64,285.66473,11.92285704612732,True,10.0,-394286.38,1.0,10.0,-1.0,179.09325,,-1.6962696e+16,11.0,879.5899,,-46.31006,42.09090909090909,11.0,-46.31006,1.0,1543.4065,1,44061140.0
3.3323394e-07,0.41894197,0.6665406,300.71208722809297,1.0373364e+27,509.66223,,[-0.558  0.371 -0.595 -0.909],29.954071,4,1.0,270.75803,300.7121,8014.642,11,88,2542,8588.086,149.13013,12.73447299003601,True,9.999996,-1.4563566e+18,8014.6426,9.999996,-1.0,0.45918944,,-1.4563566e+18,0.0013724879,479.70816,,-20.377958,31.09090909090909,0.001372488,-27.542171,8014.642,1.7684637,2,8588.086
0.28109407,0.41894197,4301.9453,399.8231035745497,9.297301e+35,539.76874,,[-0.558  0.371 -0.595 -0.909],169.87157,5,1.0,229.95152,399.82312,1.0,11,99,2993,170019.97,100.80398,13.912229776382446,True,9.999996,-220737.66,1.0,9.999996,-1.0,2049.5603,,-4.890316e+22,11.0,369.89716,,-25.384762,41.0,11.0,-25.384762,1.0,14198.345,1,276455870.0
0.00011640385,0.41894197,0.5944018,279.8388746270252,inf,509.8421,,[-0.713  0.177 -0.595 -0.935],9.981052,5,1.0,269.85782,279.83887,292086.47,11,110,3312,21966.34,129.02168,14.524774074554443,True,9.99999,-inf,292086.47,9.99999,-1.0,0.34643117,,-inf,3.766008e-05,499.86105,,-23.110674,29.0,3.766008e-05,-23.515816,292086.47,2.0595489,2,21966.34
