WReturnMean,ReturnStepMax,Iteration,InitialReturnMax,VarianceInitializer,StdWReturnMean,Epsilon,EpLenMean,ReturnMeanIW,Penalization,OptimizationReturnMin,Weights,MeanEntropy,MinTargetPdf,InitialReturnMin,MeanD2-0,EpisodesSoFar,OptimizationReturnMax,MinBehavPdf,DivergenceHarmonic,MeanIW,EpRewMean,EpThisIter,MinIW,MaxIW,ESSRenyiArithmetic,Bound,EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialBound,StdIW,ESSRenyiHarmonic,InitialReturnMean,EmpiricalD2Harmonic,LearnableVariance,OptimizationReturnMean,TimestepsSoFar,TimeElapsed,InitialReturnStd,Inner Iteration
8628.977,9.999998,1,249.89728,-1.0,,1e-07,8.78,43545.324,True,,[0. 0. 0. 0.],0.4189424,-14.713025,9.980748,1.0,50,239.91653,-14.713025,1.1521971e+26,2.6806746,77.75267961261945,50,0.35212088,31.360136,50.0,-5.4731936e+16,1.0,9.999998,-13727.89,4.72551,50.0,77.75268,1.0,,67.771935,439,1.126314640045166,50.82812,1
3755.3389,9.999978,2,119.94387,-1.0,,1e-07,6.32,26884968000.0,True,,[ 0.14   0.457 -0.112 -0.094],0.4189424,-15.003146,9.982942,1.0,100,109.96093,-15.003146,5.9075552e+35,7470189.5,53.16334919678158,50,0.14779817,369489380.0,50.0,-9.028475e+20,1.0,9.999978,-4929.9946,51719820.0,50.0,53.163353,1.0,,43.180405,755,2.31351637840271,30.479452,1
47944.777,9.999999,3,679.824,-1.0,,1e-07,18.1,4443359.0,True,,[ 0.04   0.147 -0.226 -0.455],0.4189424,-32.798813,9.980962,1.0,150,669.843,-32.798813,4.3143965e+19,83.030945,170.9116599390892,50,0.0450436,1543.0063,50.0,-247860520000000.0,1.0,9.999999,-85680.08,283.19116,50.0,170.91168,1.0,,160.93071,1660,3.1778502464294434,136.87215,1
59642.074,9.999994,4,549.8402,-1.0,,1e-07,20.94,176157.2,True,,[-0.096  0.06  -0.277 -0.639],0.4189424,-27.063107,9.981111,1.0,200,539.8591,-27.063107,18449594000.0,2.4927666,199.27704744517305,50,0.059617672,7.0968704,50.0,-3353077500.0,1.0,9.999994,-84326.77,1.6309303,50.0,199.27705,1.0,,189.29594,2707,4.113309383392334,141.17624,1
134983.53,10.0,5,709.8239,-1.0,,1e-07,31.54,2517920.8,True,,[-0.171  0.239 -0.397 -0.74 ],0.4189424,-35.313797,19.970236,1.0,250,689.8537,-35.313797,3864078000000.0,8.938471,305.2411136252759,50,0.23197751,265.87213,50.0,-80870870000.0,1.0,10.0,-176122.78,37.703358,50.0,305.24112,1.0,,285.27087,4284,5.307666301727295,204.47833,1
157569.88,9.999997,6,1069.6431,-1.0,,1e-07,31.88,284565820.0,True,,[-0.292  0.245 -0.43  -0.742],0.4189424,-46.30779,9.9798355,1.0,300,1059.6632,-46.30779,5.614871e+16,411.7921,308.64377034151744,50,0.063015066,17638.506,50.0,-22136431000000.0,1.0,9.999997,-250988.38,2468.971,50.0,308.6438,1.0,,298.66394,5878,6.2524800300598145,249.61748,1
164697.47,10.0,7,1349.6721,-1.0,,1e-07,32.64,99587970.0,True,,[-0.231  0.345 -0.466 -0.765],0.4189424,-45.583965,19.96256,1.0,350,1329.7096,-45.583965,8.895049e+30,505.16394,316.25074822391434,50,0.5653509,4493.722,50.0,-4.4359345e+20,1.0,10.0,-313432.0,1103.9979,50.0,316.25073,1.0,,296.28818,7510,7.487599849700928,254.32841,1
210753.19,9.999998,8,799.7794,-1.0,,1e-07,40.44,15356116.0,True,,[-0.337  0.237 -0.536 -0.95 ],0.4189424,-44.849407,29.950956,1.0,400,769.8285,-44.849407,8172527700000000.0,70.250984,394.2135161861627,50,0.020610902,791.73956,50.0,-4721439400000.0,1.0,9.999998,-262980.28,176.43951,50.0,394.2135,1.0,,364.26257,9532,9.014804124832153,235.26346,1
275608.22,9.999998,9,1059.662,-1.0,,1e-07,45.62,93972340.0,True,,[-0.262  0.331 -0.565 -0.97 ],0.4189424,-48.795383,9.981886,1.0,450,1049.68,-48.795383,580521400000.0,443.51367,446.00753508162046,50,0.08412412,9862.688,50.0,-69949090000.0,1.0,9.999998,-367291.5,1661.916,50.0,446.0075,1.0,,436.02567,11813,10.774495601654053,276.92148,1
226905.55,9.999999,10,1049.635,-1.0,,1e-07,41.72,2938878.2,True,,[-0.248  0.445 -0.585 -0.926],0.4189424,-46.850075,9.985861,1.0,500,1039.6492,-46.850075,3955368200.0,8.42657,406.9986052104534,50,0.3469288,142.01173,50.0,-5660437500.0,1.0,9.999999,-316861.94,20.574852,50.0,406.99863,1.0,,397.01273,13899,12.464018821716309,247.50291,1
