MeanEntropy,InitialReturnMean,Penalization,EpRewMean,WReturnMean,ESSRenyiArithmetic,StdIW,InitialReturnMax,EmpiricalD2Harmonic,Iteration,OptimizationReturnMin,EmpiricalD2Arithmetic,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,TimeElapsed,DivergenceHarmonic,EpThisIter,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMax,ReturnStepMax,OptimizationReturnMean,VarianceInitializer,Epsilon,MinTargetPdf,Bound,MinBehavPdf,MeanIW,Inner Iteration,LearnableVariance,StdWReturnMean,Weights,InitialBound,MaxIW,InitialReturnMin,EpLenMean,MinIW,ESSRenyiHarmonic,MeanD2-0
0.4189424,79.7525,True,79.7524968927668,9848.464,50.0,2.9016113,329.90155,1.0,1,,1.0,59.05931,449,32645.996,3.989488363265991,15876481000.0,50,50,9.999998,319.9196,9.999998,69.770546,-1.0,1.0,-18.893635,-1119728800.0,-18.893635,1.9657327,1,,,[ 0. -0. -0.  0.],-18734.812,21.290764,9.981951,8.98,0.2265588,50.0,1.0
0.4189424,83.14538,True,83.14538036821176,9384.396,50.0,244.87498,209.96558,1.0,2,,1.0,49.71158,915,1518428.8,9.53695821762085,6.35332e+21,50,100,10.0,199.98557,10.0,73.16536,-1.0,1.0,-17.087387,-286913480000000.0,-17.087387,50.084694,1,,,[ 0.285  0.31  -0.26  -0.072],-12983.968,1682.8301,9.980019,9.32,0.031065105,50.0,1.0
0.4189424,88.743546,True,88.74354460793938,13481.442,50.0,6.8157,319.71304,1.0,3,,1.0,74.8734,1409,75803.36,10.912965536117554,133554510.0,50,150,9.999998,309.72714,9.999998,78.757645,-1.0,1.0,-20.724728,-96526270.0,-20.724728,2.4941404,1,,,[ 0.238  0.139 -0.283 -0.247],-21827.383,48.70874,9.985896,9.88,0.09165036,50.0,1.0
0.4189424,150.31046,True,150.31045326914798,36508.008,50.0,4194.819,579.8851,1.0,4,,1.0,117.960915,2211,31879404.0,12.834984540939331,3125565300000000.0,50,200,10.0,569.9038,10.0,140.32918,-1.0,1.0,-26.439686,-1535011000000.0,-26.439686,605.71704,1,,,[ 0.196  0.042 -0.29  -0.313],-63964.094,29969.336,9.98127,16.04,0.040528666,50.0,1.0
0.4189424,143.90312,True,143.9031193342902,32673.26,50.0,371108.28,469.7125,1.0,5,,1.0,109.38534,2981,4079142100.0,13.964444160461426,1.0826273e+20,50,250,10.0,459.7303,10.0,133.92093,-1.0,1.0,-29.894402,-187442270000000.0,-29.894402,72728.32,1,,,[ 0.186  0.282 -0.499 -0.698],-50687.625,2595998.0,9.982197,15.4,0.16251078,50.0,1.0
0.4189424,294.83765,True,294.8376420740162,123347.12,50.0,472.88123,729.69165,1.0,6,,1.0,190.83472,4506,43566716.0,16.713136672973633,5.5915365e+26,50,300,9.999999,709.72156,9.999999,274.86758,-1.0,1.0,-37.555023,-1.0280132e+18,-37.555023,107.367645,1,,,[ 0.145  0.163 -0.544 -0.909],-166821.53,3352.0286,19.970072,30.5,0.27212372,50.0,1.0
0.4189424,628.35736,True,628.3573743819627,465945.03,50.0,72.61027,1489.7556,1.0,7,,1.0,266.66846,7699,15276133.0,20.147101402282715,21035667000.0,50,350,9.999999,1399.8745,9.999999,538.4762,-1.0,1.0,-67.41606,-26297528000.0,-67.41606,33.772472,1,,,[-0.242  0.352 -0.759 -1.046],-647156.6,325.4751,89.881165,63.86,0.15482448,50.0,1.0
0.4189424,651.71844,True,651.718379496345,568030.94,50.0,25.282927,1539.5171,1.0,8,,1.0,378.54205,11009,9147021.0,24.383731842041016,530379830000.0,50,400,9.999999,1499.5851,9.999999,611.7864,-1.0,1.0,-66.62385,-140943500000.0,-66.62385,11.838818,1,,,[-0.137  0.32  -0.8   -1.09 ],-761550.5,148.88608,39.931984,66.2,0.16644238,50.0,1.0
0.4189424,806.0614,True,806.0613893672136,909564.4,50.0,26039.35,2408.6553,1.0,9,,1.0,509.73468,15091,13995258000.0,27.922197818756104,4.5307267e+32,50,450,9.999999,2398.6719,9.999999,796.07794,-1.0,1.0,-96.05269,-1.0082949e+22,-96.05269,6661.0396,1,,,[-0.061  0.276 -0.826 -1.176],-1383266.8,146496.98,9.983408,81.64,0.04645589,50.0,1.0
0.4189424,706.93414,True,706.9340519490365,664562.1,50.0,2293888.0,2139.5962,1.0,10,,1.0,405.9635,18677,959602200000.0,32.11552166938782,7.8457035e+21,50,500,9.999998,2129.6162,9.999998,696.95416,-1.0,1.0,-103.20515,-3.3109037e+16,-103.20515,366837.12,1,,,[-0.169  0.215 -0.837 -1.188],-1038345.25,16330348.0,9.979867,71.72,0.10095934,50.0,1.0
0.4189424,752.48193,True,752.4819473367488,736261.8,50.0,1989.1718,2019.6099,1.0,11,,1.0,412.3502,22491,793904060.0,35.16081976890564,1.1300038e+17,50,550,10.0,2009.6271,10.0,742.49915,-1.0,1.0,-103.59462,-111952130000000.0,-103.59462,343.64746,1,,,[-0.11   0.321 -0.85  -1.161],-1069297.8,14214.196,9.982848,76.28,0.27811614,50.0,1.0
0.4189424,717.56195,True,717.5619394064742,649116.1,50.0,246993.75,1609.5925,1.0,12,,1.0,366.36188,26130,15275354000.0,38.10672211647034,3.8152256e+17,50,600,10.0,1589.6251,10.0,697.59454,-1.0,1.0,-75.35588,-130676390000000.0,-75.35588,50648.7,1,,,[-0.182  0.264 -0.921 -1.207],-860653.94,1735817.8,19.967392,72.78,0.3894574,50.0,1.0
0.4189424,830.84674,True,830.8467180379832,932372.56,50.0,64051.246,2418.9773,1.0,13,,1.0,492.00232,30336,21939098000.0,42.11569571495056,9.5155896e+29,50,650,9.999999,2418.9773,9.999999,830.84674,-1.0,1.0,-117.32742,-4.6605353e+20,-117.32742,14383.449,1,,,[-0.136  0.378 -0.943 -1.195],-1410143.8,437222.4,,84.12,1.07841,50.0,1.0
