WReturnMean,InitialReturnMean,MaxIW,ReturnMeanIW,StdWReturnMean,MeanEntropy,InitialReturnMax,Iteration,MeanIW,Epsilon,InitialReturnStd,EmpiricalD2Arithmetic,OptimizationReturnMean,EpisodesSoFar,ESSRenyiHarmonic,EmpiricalD2Harmonic,InitialReturnMin,OptimizationReturnMax,ESSRenyiArithmetic,OptimizationReturnMin,InitialBound,MinTargetPdf,VarianceInitializer,Penalization,DivergenceHarmonic,TimeElapsed,EpLenMean,MinIW,LearnableVariance,TimestepsSoFar,StdIW,Weights,Bound,Inner Iteration,MinBehavPdf,EpThisIter,ReturnStepMax,MeanD2-0,ReturnStepMaxmin,EpRewMean
8731.308,79.95307,15371.452,3469575.5,,0.4189424,239.95341,1,352.43936,1e-07,48.3613,1.0,59.987232,50,50.0,1.0,19.965832,219.98758,50.0,,-13432.505,-12.651014,-1.0,True,323714100000000.0,1.1967601776123047,9.0,0.11661358,,450,2147.4243,[ 0. -0. -0. -0.],-84587635000.0,1,-12.651014,50,9.999988,1.0,9.999988,79.95306889481272
22725.049,125.51832,11971.597,1860771.2,,0.4189424,479.89102,2,284.24744,1e-07,83.48773,1.0,105.548294,100,50.0,1.0,19.97004,459.921,50.0,,-41528.6,-23.472004,-1.0,True,4.3386007e+17,2.676316976547241,13.56,0.10383752,,1128,1676.1907,[ 0.039 -0.094 -0.083 -0.482],-12385529000000.0,1,-23.472004,50,9.999997,1.0,9.999997,125.51831992500146
41550.094,171.29173,339.1061,1976492.9,,0.4189424,429.87274,3,19.416672,1e-07,110.49542,1.0,141.3325,150,50.0,1.0,29.95923,399.9135,50.0,,-56638.195,-24.346292,-1.0,True,3.212069e+20,3.687138795852661,18.14,0.40946093,,2035,52.150692,[-0.073 -0.253 -0.207 -0.926],-270412420000000.0,1,-24.346292,50,9.999996,1.0,9.999996,171.2917297399634
217944.8,366.60965,44722.027,199352900.0,,0.4189424,1309.6814,4,1116.5382,1e-07,289.0366,1.0,346.64294,200,50.0,1.0,19.966694,1289.7147,50.0,,-357995.94,-55.175205,-1.0,True,5435844000000000.0,5.33609938621521,37.68,0.14771059,,3919,6308.68,[-0.082  0.205 -0.4   -0.871],-10325892000000.0,1,-55.175205,50,9.999999,1.0,9.999999,366.60965042968695
109958.305,267.659,193.1273,683135.3,,0.4189424,889.71423,5,8.656809,1e-07,195.74718,1.0,257.6768,250,50.0,1.0,9.982215,879.732,50.0,,-174591.56,-39.542885,-1.0,True,12117793000.0,6.507493019104004,27.78,0.095576905,,5308,27.742151,[-0.008  0.297 -0.424 -0.903],-7115557000.0,1,-39.542885,50,10.0,1.0,10.0,267.6590092031174
226216.81,375.63055,86.38587,1472355.2,,0.4189424,1299.5582,6,3.1962287,1e-07,291.75076,1.0,365.6473,300,50.0,1.0,9.983232,1289.575,50.0,,-364111.25,-53.934807,-1.0,True,2.9305883e+18,8.128650665283203,38.58,0.07360859,,7237,11.958733,[-0.104  0.23  -0.447 -0.942],-236060460000000.0,1,-53.934807,50,9.999998,1.0,9.999998,375.63054004072734
212435.45,366.41074,32007.998,256463100.0,,0.4189424,1049.623,7,995.7328,1e-07,279.60443,1.0,356.42813,350,50.0,1.0,9.982584,1039.6405,50.0,,-302389.75,-47.790993,-1.0,True,6.4428017e+19,10.228298664093018,37.66,0.048955582,,9120,4603.1914,[-0.003  0.165 -0.451 -0.975],-722035600000000.0,1,-47.790993,50,10.0,1.0,10.0,366.41071432069725
208262.67,394.9814,15052.867,97246024.0,,0.4189424,1159.3176,8,561.64557,1e-07,228.58772,1.0,355.03714,400,50.0,1.0,39.94429,1119.3733,50.0,,-318001.47,-56.340866,-1.0,True,1.9987567e+17,11.953674793243408,40.52,0.09815447,,11146,2416.634,[-0.083  0.088 -0.48  -1.025],-49061410000000.0,1,-56.340866,50,9.999997,1.0,9.999997,394.9814150769094
209953.53,394.39383,628.7665,8069730.0,,0.4189424,859.5842,9,46.07991,1e-07,233.25319,1.0,374.43286,450,50.0,1.0,19.96098,839.6232,50.0,,-270283.38,-37.700348,-1.0,True,582144700000000.0,13.86982798576355,40.46,0.14859195,,13169,125.562485,[-0.042  0.205 -0.494 -1.031],-1455623900000.0,1,-37.700348,50,9.999999,1.0,9.999999,394.3938426290574
340648.94,466.1922,2225.0928,47866340.0,,0.4189424,1469.7893,10,52.14539,1e-07,351.16068,1.0,436.2416,500,50.0,1.0,29.950592,1439.8387,50.0,,-517035.56,-56.337307,-1.0,True,1278694700.0,15.903015375137329,47.64,0.11239909,,15551,312.33905,[-0.019  0.096 -0.502 -1.086],-6355230700.0,1,-56.337307,50,9.999998,1.0,9.999998,466.1921855803285
