EmpiricalD2Harmonic,VarianceInitializer,ReturnStepMaxmin,MinBehavPdf,InitialReturnMean,LearnableVariance,ReturnStepMax,OptimizationReturnMax,MeanEntropy,InitialReturnMin,MeanIW,ESSRenyiHarmonic,EmpiricalD2Arithmetic,EpRewMean,ReturnMeanIW,MeanD2-0,StdIW,EpisodesSoFar,Bound,DivergenceHarmonic,ESSRenyiArithmetic,Weights,Penalization,StdWReturnMean,Inner Iteration,OptimizationReturnMean,EpLenMean,WReturnMean,MinIW,MaxIW,EpThisIter,InitialReturnStd,InitialBound,TimeElapsed,MinTargetPdf,Epsilon,Iteration,OptimizationReturnMin,InitialReturnMax,TimestepsSoFar
1.0,-1.0,10.0,-10.930424,80.55048,,10.0,249.83664,0.4189424,,595985.94,50.0,1.0,80.55047796447542,2769559000.0,1.0,3666571.5,50,-874971900000000.0,2.947489e+22,50.0,[ 0. -0.  0.  0.],True,,1,80.55048,9.06,9211.835,0.0554786,26075472.0,50,52.186737,-14308.274,1.2831358909606934,-10.930424,1e-07,1,,249.83664,453
1.0,-1.0,9.999995,-16.910774,99.13201,,9.999995,339.9083,0.4189424,9.984653,16.74302,50.0,1.0,99.13200795935263,889812.7,1.0,62.2659,100,-2.6206074e+16,6.8731283e+24,50.0,[-0.058 -0.169 -0.117 -0.452],True,,1,89.147354,10.92,15024.723,0.16174822,398.8877,50,72.094154,-25020.693,2.8373615741729736,-16.910774,1e-07,2,,349.89294,999
1.0,-1.0,9.999999,-15.110816,92.14252,,9.999999,359.91476,0.4189424,,26.65164,50.0,1.0,92.1425156616022,1443185.6,1.0,124.71694,150,-470746600000.0,1980908000000000.0,50.0,[-0.045  0.285 -0.231 -0.277],True,,1,92.14252,10.22,13016.65,0.10526482,885.46405,50,67.27857,-23593.441,3.491058111190796,-15.110816,1e-07,3,,359.91476,1510
1.0,-1.0,9.999999,-21.63383,135.92072,,9.999999,569.8054,0.4189424,9.982237,167221.62,50.0,1.0,135.92070950816841,32263145000.0,1.0,1166279.0,200,-3.0397075e+22,1.2265324e+36,50.0,[-0.031  0.108 -0.234 -0.452],True,,1,125.93848,14.6,34551.035,0.10782997,8331122.5,50,126.793526,-61997.895,4.363435983657837,-21.63383,1e-07,4,,579.78766,2240
1.0,-1.0,9.999999,-23.283665,147.70311,,9.999999,549.84155,0.4189424,9.981848,2.5710626,50.0,1.0,147.7031003420189,100426.71,1.0,2.5332863,250,-400083900000.0,244449360000000.0,50.0,[-0.177 -0.018 -0.284 -0.603],True,,1,137.72125,15.78,34893.39,0.38045597,13.481371,50,114.35553,-60482.6,5.120208978652954,-23.283665,1e-07,5,,559.8234,3029
1.0,-1.0,9.9999895,-37.201584,189.07768,,9.9999895,749.5722,0.4189424,,2557.9424,50.0,1.0,189.07766547350084,316963700.0,1.0,11571.525,300,-6.480432e+18,1.9954702e+28,50.0,[-0.184  0.217 -0.331 -0.533],True,,1,189.07768,19.92,61307.92,0.12660263,77898.85,50,159.86732,-107183.52,6.276830434799194,-37.201584,1e-07,6,,749.5722,4025
1.0,-1.0,10.0,-44.046185,212.2544,,10.0,669.80817,0.4189424,9.987184,3.7131312,50.0,1.0,212.25439883910857,465622.16,1.0,5.319916,350,-7861941300000.0,4.3414822e+16,50.0,[-0.158  0.07  -0.361 -0.732],True,,1,202.26723,22.24,75082.53,0.049436003,25.691853,50,173.2934,-112814.66,7.256385087966919,-44.046185,1e-07,7,,679.79535,5137
1.0,-1.0,10.0,-63.45344,255.06355,,10.0,1299.4038,0.4189424,9.981091,3.9189389,50.0,1.0,255.0635336010046,941162.5,1.0,11.658201,400,-167587950000.0,1433186300000.0,50.0,[-0.083  0.17  -0.372 -0.734],True,,1,245.08244,26.52,133469.22,0.21637079,80.42962,50,261.55655,-273456.8,8.589464664459229,-63.45344,1e-07,8,,1309.3849,6463
1.0,-1.0,9.999999,-41.362503,376.01306,,9.999999,879.81396,0.4189424,9.982085,252.76088,50.0,1.0,376.0130498876513,49008060.0,1.0,862.8102,450,-51981680000000.0,6.4659035e+17,50.0,[-0.189  0.18  -0.408 -0.789],True,,1,366.03098,38.62,195965.12,0.082543604,4537.302,50,233.6221,-260610.31,10.456456184387207,-41.362503,1e-07,9,,889.796,8394
1.0,-1.0,9.999999,-60.814873,339.82828,,9.999999,1379.6305,0.4189424,9.98209,21.527166,50.0,1.0,339.82828222397313,8784638.0,1.0,107.62177,500,-1697708400000000.0,1.15942454e+20,50.0,[-0.125  0.285 -0.426 -0.801],True,,1,329.84622,35.0,191277.3,0.37283763,719.3789,50,275.30716,-348944.97,11.943109273910522,-60.814873,1e-07,10,,1389.6125,10144
1.0,-1.0,9.999999,-36.557457,293.8468,,9.999999,899.7608,0.4189424,9.987581,12.663827,50.0,1.0,293.8467890407923,1936447.0,1.0,30.744232,550,-9452669000000.0,1.9566572e+16,50.0,[-0.019  0.295 -0.455 -0.858],True,,1,283.8592,30.4,132865.83,0.032248117,141.52231,50,215.68471,-200442.64,13.739574432373047,-36.557457,1e-07,11,,909.7484,11664
1.0,-1.0,9.999999,-43.41329,384.22626,,9.999999,1099.4716,0.4189424,9.981112,11352.935,50.0,1.0,384.22627857169596,6451305500.0,1.0,50680.164,600,-1.3130502e+21,1.7069427e+32,50.0,[-0.109  0.214 -0.465 -0.888],True,,1,374.24515,39.44,231209.34,0.016037464,332514.72,50,289.10123,-331710.9,15.61198377609253,-43.41329,1e-07,12,,1109.4526,13636
1.0,-1.0,9.999999,-37.601486,301.8477,,9.999999,999.60065,0.4189424,9.983241,2.1363354,50.0,1.0,301.8476709223058,580488.94,1.0,2.694597,650,-57940210000000.0,4.8470984e+17,50.0,[-0.185  0.44  -0.532 -0.922],True,,1,291.86444,31.2,127893.14,0.25514168,18.585157,50,191.78407,-211115.47,17.340996503829956,-37.601486,1e-07,13,,1009.58386,15196
1.0,-1.0,10.0,-39.995506,392.42493,,10.0,1059.7297,0.4189424,,12.718178,50.0,1.0,392.42490528066196,4548031.0,1.0,36.230003,700,-128481640000.0,1963189300000.0,50.0,[-0.38   0.564 -0.619 -0.957],True,,1,392.42493,40.26,207024.78,0.10894052,239.63718,50,230.27698,-298719.75,19.286588430404663,-39.995506,1e-07,14,,1059.7297,17209
1.0,-1.0,10.0,-42.40278,488.7764,,10.0,1049.6677,0.4189424,29.948235,92.15317,50.0,1.0,488.7763812740222,29210236.0,1.0,211.51477,750,-18032142000.0,35784960000.0,50.0,[-0.437  0.473 -0.639 -1.017],True,,1,458.82812,49.9,290522.12,0.057887677,1071.81,50,227.19995,-385690.8,21.38027286529541,-42.40278,1e-07,15,,1079.616,19704
1.0,-1.0,10.0,-78.17777,677.75116,,10.0,1999.3619,0.4189424,19.962732,9449.766,50.0,1.0,677.7511609852129,3044205300.0,1.0,37394.504,800,-232793030000000.0,4.8887214e+17,50.0,[-0.361  0.409 -0.68  -1.243],True,,1,657.78845,68.8,531108.06,0.20482528,248761.92,50,267.88318,-864049.9,24.826560020446777,-78.17777,1e-07,16,,2019.3247,23144
1.0,-1.0,10.0,-59.93405,656.101,,10.0,1239.7244,0.4189424,79.88624,49.06792,50.0,1.0,656.1010221249095,45738404.0,1.0,183.0127,850,-1083090600000.0,58023110000000.0,50.0,[-0.262  0.472 -0.705 -1.279],True,,1,576.2148,66.64,508722.28,0.0996021,1221.4988,50,279.73865,-650905.25,27.980931043624878,-59.93405,1e-07,17,,1319.6106,26476
1.0,-1.0,10.0,-85.43858,749.1499,,10.0,1819.3811,0.4189424,9.982075,12692644.0,50.0,1.0,749.1498863340092,7990428000000.0,1.0,62665080.0,900,-7.66864e+21,7.876408e+32,50.0,[-0.382  0.499 -0.717 -1.299],True,,1,739.1679,75.94,687797.4,0.64912814,392187460.0,50,355.76923,-961044.75,31.408673763275146,-85.43858,1e-07,18,,1829.3632,30273
1.0,-1.0,9.999998,-51.260986,548.3908,,9.999998,1109.8063,0.4189424,29.947834,8653.7,50.0,1.0,548.3908019466344,1746244900.0,1.0,51181.086,950,-11983130000000.0,1.276029e+16,50.0,[-0.426  0.353 -0.765 -1.49 ],True,,1,518.443,55.86,337681.75,0.047696184,365381.3,50,192.22198,-443748.2,34.053502559661865,-51.260986,1e-07,19,,1139.7542,33066
1.0,-1.0,9.999999,-91.05477,739.735,,9.999999,1469.7057,0.4189424,19.966476,34707.57,50.0,1.0,739.7349559924078,14481386000.0,1.0,127580.41,1000,-482988900000000.0,7.1052074e+18,50.0,[-0.361  0.454 -0.788 -1.516],True,,1,719.76843,75.0,658093.5,0.0790941,806602.25,50,332.9951,-839284.8,37.471662759780884,-91.05477,1e-07,20,,1489.6721,36816
1.0,-1.0,10.0,-92.25723,1033.0471,,10.0,2539.1462,0.4189424,19.964783,218080.94,50.0,1.0,1033.0471236831395,143035200000.0,1.0,1387375.1,1050,-1.71937e+21,1.0338879e+31,50.0,[-0.249  0.505 -0.792 -1.534],True,,1,1013.0824,104.34,1285014.4,0.20065452,9910412.0,50,466.72043,-1819745.0,41.694782972335815,-92.25723,1e-07,21,,2559.111,42033
1.0,-1.0,10.0,-101.86113,907.6364,,10.0,2059.4448,0.4189424,,726.33826,50.0,1.0,907.6364593116357,1041604500.0,1.0,2069.9885,1100,-9742357000000000.0,7.914411e+20,50.0,[-0.336  0.72  -0.885 -1.533],True,,1,907.6364,91.8,1012175.44,0.40335277,10488.17,50,434.01785,-1358478.9,45.228519916534424,-101.86113,1e-07,22,,2059.4448,46623
1.0,-1.0,10.0,-85.95493,829.52686,,10.0,1859.1727,0.4189424,,190691.64,50.0,1.0,829.5268780580041,63531490000.0,1.0,1268229.9,1150,-1661437100000000.0,3.4653482e+19,50.0,[-0.414  0.629 -0.905 -1.561],True,,1,829.52686,83.98,803126.8,0.05903594,9063932.0,50,339.13416,-1085352.0,48.712313652038574,-85.95493,1e-07,23,,1859.1727,50822
1.0,-1.0,10.0,-107.6392,965.23663,,10.0,2549.0044,0.4189424,19.969513,207.96793,50.0,1.0,965.2366712160295,333281820.0,1.0,565.6261,1200,-5334374500000.0,97986270000000.0,50.0,[-0.329  0.718 -0.914 -1.577],True,,1,945.2672,97.56,1195679.8,0.10510292,3352.246,50,513.8073,-1734539.8,52.63015604019165,-107.6392,1e-07,24,,2568.9739,55700
1.0,-1.0,9.999999,-68.62959,890.1155,,9.999999,1599.4532,0.4189424,39.931297,23462.238,50.0,1.0,890.1154395109444,18280098000.0,1.0,60357.145,1250,-8.950478e+16,1.6636434e+23,50.0,[-0.356  0.619 -0.925 -1.646],True,,1,850.18414,90.04,894832.5,0.08221474,301232.8,50,320.19843,-1114273.6,56.328057050704956,-68.62959,1e-07,25,,1639.3845,60202
1.0,-1.0,10.0,-116.81051,1002.7703,,10.0,2529.1626,0.4189424,19.966501,101.634285,50.0,1.0,1002.7702708560179,132606710.0,1.0,383.43735,1300,-236693780000.0,198797480000.0,50.0,[-0.241  0.664 -0.933 -1.657],True,,1,982.8038,101.32,1335826.8,0.04896137,2547.1042,50,574.6988,-1866394.0,60.78818392753601,-116.81051,1e-07,26,,2549.1292,65268
1.0,-1.0,10.0,-122.19412,1155.1316,,10.0,2659.3755,0.4189424,,626.5733,50.0,1.0,1155.131581448955,1159265800.0,1.0,2330.501,1350,-914634560000000.0,2.5088038e+18,50.0,[-0.17   0.626 -0.97  -1.745],True,,1,1155.1316,116.56,1723287.8,0.047389686,12399.924,50,623.66565,-2300740.5,64.86281776428223,-122.19412,1e-07,27,,2659.3755,71096
1.0,-1.0,10.0,-191.91801,1366.3019,,10.0,4548.5293,0.4189424,9.983163,17908.602,50.0,1.0,1366.3019206806969,69482545000.0,1.0,116434.94,1400,-8.12948e+18,2.2957476e+25,50.0,[-0.188  0.773 -1.172 -1.737],True,,1,1356.3187,137.68,2752461.5,0.010988455,832270.06,50,941.1061,-4449156.5,70.29692935943604,-191.91801,1e-07,28,,4558.5127,77980
1.0,-1.0,10.0,-154.22215,1386.3846,,10.0,3419.041,0.4189424,,75774.99,50.0,1.0,1386.3847198781452,166615700000.0,1.0,520775.9,1450,-1.8829766e+16,3.891851e+20,50.0,[-0.237  0.693 -1.199 -1.814],True,,1,1386.3846,139.68,2530502.0,0.11548671,3721107.2,50,780.0254,-3484980.5,75.06922268867493,-154.22215,1e-07,29,,3419.041,84964
1.0,-1.0,10.0,-101.13352,1189.2808,,10.0,1479.9067,0.4189424,699.8576,2465575.0,50.0,1.0,1189.2807212961334,3434486000000.0,1.0,9045545.0,1500,-4.356268e+17,1.2608848e+24,50.0,[-0.346  0.714 -1.227 -1.866],True,,1,489.4231,119.96,1527088.4,0.09956564,51084564.0,50,335.7076,-1915038.8,80.57349395751953,-101.13352,1e-07,30,,2179.7644,90962
1.0,-1.0,10.0,-170.08878,1617.42,,10.0,3798.6348,0.4189424,229.84596,2027.4995,50.0,1.0,1617.420012974653,13577220000.0,1.0,6004.6704,1550,-9.14017e+17,4.758112e+23,50.0,[-0.258  0.796 -1.23  -1.832],True,,1,1387.5742,162.8,3160300.2,0.1326124,30476.375,50,737.7349,-4485375.5,86.54790091514587,-170.08878,1e-07,31,,4028.4807,99102
1.0,-1.0,10.0,-153.17094,1711.8197,,10.0,2859.5996,0.4189424,209.87978,20.452888,50.0,1.0,1711.819721864412,126428940.0,1.0,50.8677,1600,-162313750000.0,44449415000.0,50.0,[-0.161  0.77  -1.247 -1.904],True,,1,1501.94,172.24,3573370.8,0.016753605,246.89345,50,801.9003,-4342656.5,94.27452254295349,-153.17094,1e-07,32,,3069.4795,107714
1.0,-1.0,10.0,-159.20575,1582.0782,,10.0,3459.6782,0.4189424,229.81104,750975.06,50.0,1.0,1582.078288348322,1649810200000.0,1.0,3517717.0,1650,-3.6535463e+21,1.0805765e+31,50.0,[-0.219  0.749 -1.252 -1.913],True,,1,1352.2671,159.26,3134430.8,0.050212786,23327984.0,50,794.6441,-4245882.0,101.65564608573914,-159.20575,1e-07,33,,3689.4893,115677
1.0,-1.0,10.0,-153.89062,1244.1321,,10.0,3588.8823,0.4189424,19.962877,4511.1123,50.0,1.0,1244.1320310267895,56330790000.0,1.0,28022.455,1700,-7.8451524e+18,5.442782e+25,50.0,[-0.128  0.802 -1.26  -1.846],True,,1,1224.1691,125.46,2578946.5,0.046232074,200130.73,50,1015.42206,-3642339.2,107.00969433784485,-153.89062,1e-07,34,,3608.8452,121950
