Weights,WReturnMean,TimeElapsed,OptimizationReturnMean,Epsilon,EpLenMean,InitialBound,EmpiricalD2Arithmetic,InitialReturnStd,MeanD2-0,ESSRenyiArithmetic,MinTargetPdf,OptimizationReturnMax,EmpiricalD2Harmonic,Penalization,StdIW,ESSRenyiHarmonic,InitialReturnMax,EpisodesSoFar,ReturnStepMaxmin,Inner Iteration,MeanIW,InitialReturnMean,MinBehavPdf,EpRewMean,Iteration,OptimizationReturnMin,Bound,MinIW,VarianceInitializer,DivergenceHarmonic,ReturnStepMax,ReturnMeanIW,MeanEntropy,EpThisIter,LearnableVariance,TimestepsSoFar,MaxIW,InitialReturnMin,StdWReturnMean
[-0. -0.  0. -0.],10132.378,5.9696149826049805,67.775604,1.0,8.78,-19018.547,1.0,63.925022,1.0,50.0,-15.862925,319.91803,1.0,True,1461900.1,50.0,329.89825,50,9.999998,1,260948.72,77.75584,-15.862925,77.75583167934485,1,,-3.3187328e+16,0.10520902,-1.0,1.3948122e+25,9.999998,1670311600.0,0.4189424,50,,439,10288603.0,9.980229,
[-0.082 -0.226 -0.094 -0.428],22298.49,14.175373315811157,107.74432,1.0,12.78,-38099.035,1.0,91.862236,1.0,50.0,-23.2795,429.92136,1.0,True,5237.2188,50.0,439.9048,100,9.999998,1,823.1125,117.727745,-23.2795,117.7277414300243,2,,-5231681000.0,0.0054612206,-1.0,108785480000.0,9.999998,20247528.0,0.4189424,50,,1078,37368.79,9.983417,
[-0.266 -0.552 -0.154 -0.754],22620.639,17.188515663146973,116.5371,1.0,13.66,-38421.086,1.0,81.32412,1.0,50.0,-20.416916,429.92166,1.0,True,4.0579157,50.0,439.90344,150,9.999997,1,4.1988735,126.51889,-20.416916,126.51888553721143,3,,-222718450.0,0.21007407,-1.0,198520340.0,9.999997,94633.516,0.4189424,50,,1761,20.968498,9.981786,
[-0.157 -0.157 -0.296 -1.002],50802.27,20.27492904663086,168.50314,1.0,18.86,-80180.04,1.0,137.64056,1.0,50.0,-23.024073,589.8522,1.0,True,2.7652771,50.0,599.83527,200,10.0,1,2.8181741,178.48625,-23.024073,178.48626193696916,4,,-9716377000.0,0.46834564,-1.0,109384220000.0,10.0,193104.7,0.4189424,50,,2704,14.86247,9.983113,
[-0.068  0.066 -0.36  -1.027],181448.33,26.24226975440979,291.01978,1.0,31.12,-491679.3,1.0,301.4085,1.0,50.0,-56.746784,1939.2582,1.0,True,97.746475,50.0,1949.2388,250,9.999998,1,37.975693,301.0004,-56.746784,301.00041767046264,5,,-2.1392772e+17,0.008968414,-1.0,4.7551613e+23,9.999998,25761214.0,0.4189424,50,,4260,580.5121,9.980641,
[ 0.028  0.146 -0.371 -1.034],228179.3,32.536701917648315,366.26044,1.0,41.64,-314735.75,1.0,251.36563,1.0,50.0,-50.30996,989.67334,1.0,True,698277.56,50.0,1029.6083,300,9.999999,1,100270.87,406.1953,-50.30996,406.1953020573946,6,,-44920190000000.0,0.015818246,-1.0,2.6915629e+17,9.999999,14566676000.0,0.4189424,50,,6342,4988194.0,39.93493,
[ 0.042  0.281 -0.445 -1.23 ],272608.94,38.273406982421875,408.4386,1.0,46.86,-374955.94,1.0,249.99634,1.0,50.0,-53.369778,1069.6523,1.0,True,11.435305,50.0,1119.5922,350,10.0,1,8.21111,458.37845,-53.369778,458.378410534415,7,,-250386710000.0,0.1879819,-1.0,5985065000000.0,10.0,1581410.6,0.4189424,50,,8685,54.16035,49.939842,
[-0.075  0.248 -0.463 -1.254],473225.8,46.551620960235596,543.9984,1.0,56.42,-743543.25,1.0,407.84134,1.0,50.0,-66.93009,1809.5505,1.0,True,357.94247,50.0,1819.5298,400,9.999999,1,132.23572,553.9777,-66.93009,553.9776681169432,8,,-279966220000.0,0.10798023,-1.0,1072239150000.0,9.999999,56135190.0,0.4189424,50,,11506,1731.272,9.97927,
[-0.071  0.366 -0.505 -1.26 ],520757.03,54.132598876953125,554.1817,1.0,58.44,-912199.06,1.0,437.16238,1.0,50.0,-89.20716,2169.5889,1.0,True,387.832,50.0,2189.5552,450,10.0,1,76.591965,574.14813,-89.20716,574.1480999895305,9,,-366820340000000.0,0.45280337,-1.0,8.78161e+17,10.0,119485544.0,0.4189424,50,,14428,2779.8518,19.966389,
[-0.151  0.29  -0.528 -1.314],553319.3,62.91142797470093,602.78235,1.0,63.3,-791984.8,1.0,406.82043,1.0,50.0,-78.877174,1689.7214,1.0,True,32310.85,50.0,1709.6882,500,10.0,1,10746.86,622.74915,-78.877174,622.7491359623605,10,,-8.756132e+18,0.03425469,-1.0,1.3460096e+27,10.0,5295318000.0,0.4189424,50,,17593,163184.38,19.96679,
[-0.063  0.377 -0.541 -1.324],483028.78,69.96599578857422,527.6039,1.0,56.78,-806169.25,1.0,414.92767,1.0,50.0,-83.53319,1959.4327,1.0,True,4991.992,50.0,1989.3805,550,9.999998,1,841.998,557.5516,-83.53319,557.5516224799533,11,,-8.906499e+19,0.18069355,-1.0,7.5968554e+28,9.999998,430025920.0,0.4189424,50,,20432,35482.242,29.947752,
[-0.201  0.53  -0.667 -1.392],609538.6,78.26906180381775,614.59436,1.0,70.48,-829015.3,1.0,356.69186,1.0,50.0,-77.02166,1559.6273,1.0,True,3159.552,50.0,1639.5181,600,10.0,1,820.48486,694.4851,-77.02166,694.4851109889906,12,,-1249748200000000.0,0.7483514,-1.0,3.2424336e+19,10.0,589276600.0,0.4189424,50,,23956,18282.607,79.8907,
[-0.28   0.442 -0.684 -1.429],739837.25,85.72522377967834,797.32983,1.0,81.76,-1016087.56,1.0,296.79495,1.0,50.0,-81.367546,1829.407,1.0,True,64500.73,50.0,1839.3876,650,9.999999,1,19614.463,807.3103,-81.367546,807.3103104302589,13,,-7.554659e+16,0.071411416,-1.0,7.4787302e+22,9.999999,10357201000.0,0.4189424,50,,28044,425459.94,9.980534,
[-0.168  0.496 -0.691 -1.434],897016.44,98.25176572799683,619.969,1.0,87.02,-1146914.1,1.0,397.05215,1.0,50.0,-86.04052,1509.5609,1.0,True,40990.41,50.0,1749.4558,700,9.999999,1,17420.928,859.864,-86.04052,859.8639867383852,14,,-9.331002e+20,0.8149504,-1.0,1.3942346e+31,9.999999,25646922000.0,0.4189424,50,,32395,232893.69,239.89494,
[-0.196  0.359 -0.801 -1.609],1186908.2,110.8318018913269,921.55524,1.0,95.18,-1697092.2,1.0,548.12067,1.0,50.0,-101.5647,2479.7134,1.0,True,41886.082,50.0,2499.6846,750,10.0,1,14681.341,941.5264,-101.5647,941.5263960319088,15,,-7334203700000000.0,0.079363085,-1.0,2.0665924e+20,10.0,12309247000.0,0.4189424,50,,37154,251573.3,19.971254,
[-0.131  0.46  -0.827 -1.629],1877499.4,125.88621520996094,1169.9988,1.0,121.04,-2712898.2,1.0,661.54156,1.0,50.0,-143.66577,3168.7188,1.0,True,2227.4094,50.0,3198.6626,800,10.0,1,383.59512,1199.9426,-143.66577,1199.942614438408,16,,-93601860000.0,0.13972293,-1.0,12215923000.0,10.0,1269408900.0,0.4189424,50,,43206,15780.083,29.943768,
[-0.201  0.518 -0.907 -1.6  ],1418335.0,140.93646597862244,1081.2627,1.0,110.16,-1842382.5,1.0,476.9931,1.0,50.0,-81.528046,2268.9377,1.0,True,106061.23,50.0,2278.9187,850,10.0,1,15609.809,1091.2437,-81.528046,1091.2435917279547,17,,-8.247198e+20,0.4148758,-1.0,3.782585e+30,10.0,79402410000.0,0.4189424,50,,48714,758010.2,9.980946,
