DivergenceHarmonic,MinTargetPdf,Bound,OptimizationReturnMean,EmpiricalD2Arithmetic,OptimizationReturnMax,EpThisIter,Inner Iteration,ReturnMeanIW,ReturnStepMax,MeanD2-0,EpLenMean,WReturnMean,Penalization,VarianceInitializer,InitialReturnMean,EmpiricalD2Harmonic,ESSRenyiHarmonic,Weights,Iteration,ReturnStepMaxmin,StdWReturnMean,TimestepsSoFar,ESSRenyiArithmetic,MinIW,InitialReturnMax,MeanIW,InitialReturnMin,MeanEntropy,StdIW,Epsilon,MaxIW,EpisodesSoFar,OptimizationReturnMin,LearnableVariance,InitialBound,EpRewMean,TimeElapsed,InitialReturnStd,MinBehavPdf
1.1521971e+26,-14.713025,-5.4731936e+16,67.771935,1.0,239.91653,50,1,43545.324,9.999998,1.0,8.78,8628.977,True,-1.0,77.75268,1.0,50.0,[0. 0. 0. 0.],1,9.999998,,439,50.0,0.35212088,249.89728,2.6806746,9.980748,0.4189424,4.72551,1e-07,31.360136,50,,,-13727.89,77.75267961261945,0.7641961574554443,50.82812,-14.713025
1.690123e+29,-14.766296,-4.8291386e+17,43.180405,2862.0566,109.96093,50,2,9735.594,9.999978,2862.0566,6.32,9735.594,True,-1.0,53.163353,2862.0566,0.017469956,[ 0.14   0.457 -0.112 -0.094],1,9.999978,,755,0.017469956,2.972713e-05,119.94387,1.4996974,9.982942,0.4189424,2.7816586,1e-07,19.179777,100,,,-4.8291386e+17,53.16334919678158,1.7621474266052246,30.479452,-15.003146
832362300000.0,-8.84198,-2975960800.0,50.583008,1.0,189.89194,50,1,80469.35,9.999998,1.0,7.06,5276.0757,True,-1.0,60.56329,1.0,50.0,[ 0.14   0.457 -0.112 -0.094],2,9.999998,,1108,50.0,0.1580726,199.87222,4.7387342,9.980278,0.4189424,14.523614,1e-07,95.77669,150,,,-8537.892,60.56328642840156,2.114452600479126,40.10192,-8.84198
5.419328e+24,-16.384556,-6854838700000000.0,51.575893,604.19775,179.92035,50,2,36230.684,9.9999,604.19775,7.16,36230.684,True,-1.0,61.55996,604.19775,0.082754366,[ 0.195  0.689 -0.147 -0.026],2,9.9999,,1466,0.082754366,6.982915e-07,189.90442,3.0988617,9.9840765,0.4189424,9.020917,1e-07,60.04302,200,,,-6854838700000000.0,61.55996456744411,2.431570291519165,39.14126,-13.962156
1.7551473e+16,-8.891998,-276776060000.0,53.176586,1.0,149.9712,50,1,581169.56,9.9999895,1.0,7.32,4918.796,True,-1.0,63.16422,1.0,50.0,[ 0.195  0.689 -0.147 -0.026],3,9.9999895,,1832,50.0,0.14949496,159.95883,66.49375,9.987623,0.4189424,287.64044,1e-07,1676.1254,250,,,-7007.952,63.164216623750036,2.73805832862854,30.480774,-8.891998
2.8154207e+20,-28.631927,-60351340000000.0,53.976418,258.53638,199.90216,50,2,199243.27,9.99997,258.53638,7.4,199243.27,True,-1.0,63.958797,258.53638,0.19339639,[ 0.161  0.542 -0.181 -0.222],3,9.99997,,2202,0.19339639,5.274561e-07,209.88455,79.96775,9.982385,0.4189424,553.97565,1e-07,3957.7844,300,,,-60351340000000.0,63.958795814232225,3.0834453105926514,47.565914,-21.404327
331778850000.0,-10.024261,-2278211000.0,58.57462,1.0,209.89105,50,1,4541408.0,9.999999,1.0,7.86,6714.653,True,-1.0,68.557785,1.0,50.0,[ 0.161  0.542 -0.181 -0.222],4,9.999999,,2595,50.0,0.1338433,219.87422,603.6125,9.983175,0.4189424,3402.445,1e-07,24094.592,350,,,-10661.98,68.55779007266108,3.39339280128479,44.882984,-10.024261
2.1466465e+29,-21.632269,-2.1773816e+18,97.94026,3885.25,239.91089,50,2,7131.59,9.999994,3885.25,10.8,7131.59,True,-1.0,97.94026,3885.2502,0.012869184,[ 0.125  0.41  -0.222 -0.428],4,9.999994,,3135,0.012869185,1.2979049e-12,239.91089,1.4003844,,0.4189424,1.946346,1e-07,9.229654,400,,,-2.1773816e+18,97.9402613367831,3.745905637741089,65.97475,-14.405418
2.014969e+21,-15.697087,-210933430000000.0,95.15642,1.0,229.91014,50,1,14604187000.0,9.999989,1.0,11.52,15127.358,True,-1.0,105.13696,1.0,50.0,[ 0.125  0.41  -0.222 -0.428],5,9.999989,,3711,50.0,0.03565275,239.89069,746107.1,9.980548,0.4189424,5219859.5,1e-07,37285120.0,450,,,-19826.098,105.13695920083204,4.0804762840271,63.824593,-15.697087
inf,-87.00322,-inf,324.45352,inf,739.794,50,2,11299.141,10.0,inf,34.46,11299.141,True,-1.0,334.43567,inf,,[-0.274  0.253 -1.123 -0.502],5,10.0,,5434,,,749.7761,1.1274484,9.982131,0.4189424,3.3412824,1e-07,21.582005,500,,,-inf,334.4356700294326,4.721786737442017,196.89262,-30.616161
5.3138697e+20,-45.960033,-1769850700000000.0,382.84198,1.0,959.7205,50,1,747591940.0,10.0,1.0,40.3,209411.0,True,-1.0,392.82352,1.0,50.0,[-0.274  0.253 -1.123 -0.502],6,10.0,,7449,50.0,0.012514646,969.702,4258.0117,9.981519,0.4189424,18948.215,1e-07,128858.72,550,,,-286188.12,392.8235091161851,5.364762783050537,234.73537,-45.960033
1.7739309e+28,-36.085403,-7.3095687e+18,326.6517,2544.583,799.88745,50,2,7891866.0,9.999996,2544.583,35.68,7891866.0,True,-1.0,346.61444,2544.583,0.019649586,[-0.24   0.083 -1.165 -0.677],6,9.999996,,9233,0.019649586,1.6269358e-07,819.8502,30.657137,19.962772,0.4189424,211.78969,1e-07,1513.1617,600,,,-7.3095687e+18,346.61448637938855,5.937021732330322,184.3623,-32.77127
1652760500000000.0,-58.510227,-6408446000000.0,386.4199,1.0,1389.4619,50,1,2051207.5,9.999999,1.0,39.66,215592.11,True,-1.0,386.4199,1.0,50.0,[-0.24   0.083 -1.165 -0.677],7,9.999999,,11216,50.0,0.0750518,1389.4619,9.543427,,0.4189424,10.49301,1e-07,43.572968,650,,,-373225.62,386.4198651143545,6.513716459274292,257.43307,-58.510227
9.082295e+33,-63.79091,-1.4167685e+22,505.8069,135997.9,1339.3655,50,2,620882.9,9.999999,135997.9,52.6,620882.9,True,-1.0,515.7875,135997.9,0.0003676527,[-0.16   0.17  -1.173 -0.718],7,9.999999,,13846,0.0003676527,2.2628267e-10,1349.3461,3.188991,9.980632,0.4189424,15.286431,1e-07,106.92776,700,,,-1.4167685e+22,515.787503811946,7.109959125518799,281.8292,-56.713634
6.325807e+16,-64.35832,-44348155000000.0,568.9849,1.0,1459.4901,50,1,4045241000.0,10.0,1.0,58.92,428879.6,True,-1.0,578.96844,1.0,50.0,[-0.16   0.17  -1.173 -0.718],8,10.0,,16792,50.0,0.064705364,1469.4736,14674.827,9.983501,0.4189424,78233.25,1e-07,555984.94,750,,,-605190.56,578.9684128133144,7.737266540527344,306.06396,-64.35832
3.5677746e+34,-71.782715,-5.8002076e+22,496.16632,36692.484,1929.3156,50,2,23408.115,10.0,36692.484,51.64,23408.115,True,-1.0,506.1518,36692.484,0.0013626768,[-0.072  0.246 -1.207 -0.747],8,10.0,,19374,0.0013626768,1.9611432e-06,1939.301,0.24725996,9.98547,0.4189424,0.43825445,1e-07,1.8181401,800,,,-5.8002076e+22,506.15179754948,8.45795726776123,368.6934,-69.56195
6.5522483e+24,-65.9762,-5.5488194e+17,493.57745,1.0,1629.3918,50,1,40583104.0,9.999999,1.0,50.38,371673.28,True,-1.0,493.57745,1.0,50.0,[-0.072  0.246 -1.207 -0.747],9,9.999999,,21893,50.0,0.3638273,1629.3918,58.96163,,0.4189424,184.13773,1e-07,1146.608,850,,,-588447.0,493.5774609946865,9.035994291305542,357.84717,-65.9762
inf,-76.277565,-inf,683.17096,235784.73,1699.7911,50,2,524730.25,9.999999,235784.73,70.34,524730.25,True,-1.0,693.15125,235784.73,0.00021205783,[-0.152  0.173 -1.226 -0.805],9,9.999999,,25410,0.00021205783,1.2402768e-10,1709.7715,3.12226,9.980354,0.4189424,11.969614,1e-07,61.89968,900,,,-inf,693.151248019629,9.804063081741333,368.8804,-67.84117
1.7588984e+18,-82.977356,-382557030000000.0,641.18524,1.0,1859.5986,50,1,5880783000.0,9.999999,1.0,67.14,549031.2,True,-1.0,661.1518,1.0,50.0,[-0.152  0.173 -1.226 -0.805],10,9.999999,,28767,50.0,0.07337044,1879.5652,17885.69,19.966534,0.4189424,85864.44,1e-07,537823.5,950,,,-837481.3,661.1517474369012,10.508051633834839,334.52884,-82.977356
inf,-95.49225,-inf,564.98267,411747.4,1929.4705,50,2,66544.82,9.999999,411747.4,58.52,66544.82,True,-1.0,574.96533,411747.4,0.00012143367,[-0.084  0.276 -1.245 -0.807],10,9.999999,,31693,0.00012143367,4.1447277e-07,1939.4531,0.46322381,9.982681,0.4189424,0.9606197,1e-07,4.675078,1000,,,-inf,574.9653238736331,11.356986999511719,459.54922,-90.63727
1.2246884e+18,-115.95604,-672880800000000.0,657.1499,1.0,2718.9045,50,1,20361684.0,10.0,1.0,67.74,699790.5,True,-1.0,667.1319,1.0,50.0,[-0.084  0.276 -1.245 -0.807],11,10.0,,35080,50.0,0.08171758,2728.8865,22.979534,9.981912,0.4189424,118.30952,1e-07,846.469,1050,,,-1307823.2,667.1318643807729,12.310931921005249,504.70346,-115.95604
inf,-111.95688,-inf,612.96387,117847.27,2109.0679,50,2,1542294.0,9.999999,117847.27,72.32,1542294.0,True,-1.0,712.89795,117847.27,0.00042427794,[-0.018  0.209 -1.261 -0.888],11,9.999999,,38696,0.00042427794,1.3925957e-07,2209.002,5.1823487,99.9341,0.4189424,17.440348,1e-07,108.22493,1100,,,-inf,712.8979446864124,13.090624809265137,433.9421,-104.063416
976356800000000.0,-135.12918,-36427576000000.0,823.8747,1.0,3768.6572,50,1,6049270.5,9.999999,1.0,84.42,1173812.6,True,-1.0,833.8597,1.0,50.0,[-0.018  0.209 -1.261 -0.888],12,9.999999,,42917,50.0,0.21529058,3778.6423,3.3755014,9.985041,0.4189424,7.6864724,1e-07,37.94591,1150,,,-2339623.0,833.8596678731037,14.060407638549805,691.7302,-135.12918
