Penalization,MinIW,OptimizationReturnMin,InitialReturnMin,Bound,TimestepsSoFar,InitialReturnMean,TimeElapsed,MeanEntropy,EmpiricalD2Arithmetic,InitialReturnStd,DivergenceHarmonic,ReturnMeanIW,OptimizationReturnMax,MaxIW,EpLenMean,MinBehavPdf,EpThisIter,Weights,StdWReturnMean,OptimizationReturnMean,StdIW,Iteration,EpRewMean,EpisodesSoFar,Inner Iteration,VarianceInitializer,ReturnStepMaxmin,WReturnMean,LearnableVariance,Epsilon,ReturnStepMax,InitialBound,ESSRenyiHarmonic,EmpiricalD2Harmonic,MeanD2-0,ESSRenyiArithmetic,MeanIW,MinTargetPdf,InitialReturnMax
True,0.1964465,,9.984456,-798361200000000.0,457,81.35143,1.7906832695007324,0.4189424,1.0,46.163315,2.4510346e+22,87929040.0,239.92642,1290044.9,9.14,-13.105236,50,[ 0. -0. -0. -0.],,71.366974,180594.42,1,81.35143478022601,50,1,-1.0,9.999992,8749.108,,1.0,9.999992,-13848.576,50.0,1.0,1.0,50.0,28284.34,-13.105236,249.91087
True,1.3835886e-07,,9.982383,-2.3284116e+19,1214,141.32213,4.343478202819824,0.4189424,7559.375,101.86156,2.1713556e+30,39460.555,429.9338,86.945,15.14,-19.0934,50,[-0.075 -0.182 -0.092 -0.45 ],,131.33975,12.18393,1,141.32212604816618,100,2,-1.0,9.999998,39460.555,,1.0,9.999998,-2.3284116e+19,0.006614303,7559.3755,7559.375,0.006614303,2.447504,-24.198294,439.9162
True,0.012084466,,19.97265,-8.8500124e+17,1938,134.72261,5.389182806015015,0.4189424,1.0,112.9263,5.500727e+26,60505396.0,659.84076,28984.072,14.48,-33.06469,50,[-0.075 -0.182 -0.092 -0.45 ],,114.74996,6569.554,2,134.72260770185238,150,1,-1.0,9.999999,30902.53,,1.0,9.999999,-68636.65,50.0,1.0,1.0,50.0,2378.4546,-33.06469,679.8134
True,3.1518645e-09,,19.966171,-inf,3141,230.44478,6.363522529602051,0.4189424,744149.94,136.34291,inf,6977.3984,529.9049,194.73949,24.06,-30.454456,50,[-0.549  0.057 -0.447 -1.219],,210.47859,27.253021,2,230.44478214865146,200,2,-1.0,9.999996,6977.3984,,1.0,9.999996,-inf,6.719076e-05,744149.94,744149.94,6.719076e-05,4.193251,-40.242092,549.8711
True,0.2786131,,19.965841,-1883659700000.0,4443,250.24141,7.299076557159424,0.4189424,1.0,136.18466,2491980300000000.0,869544.3,659.84454,56.477272,26.04,-25.886818,50,[-0.549  0.057 -0.447 -1.219],,230.27557,12.84568,3,250.24140684102463,250,1,-1.0,10.0,81167.02,,1.0,10.0,-118900.83,50.0,1.0,1.0,50.0,12.1804905,-25.886818,679.81036
True,3.5092742e-30,,19.964859,-inf,6738,448.77893,8.54175877571106,0.4189424,4.78018e+21,257.28616,inf,7582384.5,1289.6847,1676.426,45.9,-52.15037,50,[-0.453  0.281 -0.497 -1.199],,428.8141,234.79417,3,448.7789489117827,300,2,-1.0,9.999999,7582384.5,,1.0,9.999999,-inf,1.0459858e-20,4.78018e+21,4.78018e+21,1.0459858e-20,36.851654,-67.666824,1309.6495
True,0.31040657,,19.967888,-5110178500000.0,8943,430.77902,9.789265632629395,0.4189424,1.0,189.18324,4816389000000000.0,7060578.0,929.6747,245.99942,44.1,-40.19312,50,[-0.453  0.281 -0.497 -1.199],,410.81113,51.454514,4,430.77902343216704,350,1,-1.0,9.999999,221360.84,,1.0,9.999999,-294994.38,50.0,1.0,1.0,50.0,36.89395,-40.19312,949.6426
True,1.2260844e-10,,39.92952,-8.659406e+21,11822,565.5567,11.106882572174072,0.4189424,54172.934,228.62312,1.0825446e+34,82574.52,969.68463,15.953284,57.58,-43.01235,50,[-0.408  0.389 -0.534 -1.174],,525.6272,2.451328,4,565.5566807354716,400,2,-1.0,9.999998,82574.52,,1.0,9.999998,-8.659406e+21,0.0009229701,54172.934,54172.934,0.0009229701,0.67314965,-51.836613,1009.61414
True,0.031020164,,9.98091,-161979520000000.0,14454,516.1965,13.580967903137207,0.4189424,1.0,281.21255,1.1188879e+18,111897190.0,1359.5002,3606.5193,52.64,-58.094948,50,[-0.408  0.389 -0.534 -1.174],,506.2155,667.14716,5,516.1964295606143,450,1,-1.0,10.0,345539.22,,1.0,10.0,-498671.84,50.0,1.0,1.0,50.0,268.65494,-58.094948,1369.4812
True,8.911722e-13,,19.968845,-inf,17381,575.15155,14.834722518920898,0.4189424,1518821.6,273.41147,inf,1090947.9,1129.6674,151.99644,58.54,-50.11502,50,[-0.303  0.451 -0.542 -1.201],,555.18274,21.256176,5,575.1515977557666,500,2,-1.0,9.999999,1090947.9,,1.0,9.999999,-inf,3.292026e-05,1518821.6,1518821.6,3.292026e-05,3.2466123,-57.571663,1149.6362
True,0.03366141,,19.968725,-1662104400000000.0,20302,573.9603,16.512362480163574,0.4189424,1.0,284.3131,2.2141318e+20,2823198200.0,1149.6672,155380.52,58.42,-56.983883,50,[-0.303  0.451 -0.542 -1.201],,553.9916,26946.92,6,573.96028781294,550,1,-1.0,10.0,410264.38,,1.0,10.0,-521965.4,50.0,1.0,1.0,50.0,5552.176,-56.983883,1169.636
True,4.1552238e-07,,9.979625,-3.9512438e+17,23228,574.9755,17.716716051101685,0.4189424,2195.4275,216.54742,1.024235e+25,1358377.2,1219.694,138.88725,58.52,-55.291473,50,[-0.425  0.443 -0.555 -1.181],,564.9959,25.967173,6,574.9755346591905,600,2,-1.0,9.999999,1358377.2,,1.0,9.999999,-3.9512438e+17,0.022774607,2195.4275,2195.4275,0.022774607,6.0303874,-57.550137,1229.6736
True,0.04525769,,,-40653233000000.0,25781,500.40225,19.526129484176636,0.4189424,1.0,226.9781,3.782918e+17,494430500.0,899.7275,58122.4,51.06,-48.4712,50,[-0.425  0.443 -0.555 -1.181],,500.40225,9967.705,7,500.40229352495936,650,1,-1.0,10.0,301921.5,,1.0,10.0,-368017.88,50.0,1.0,1.0,50.0,2461.8853,-48.4712,899.7275
True,9.253986e-10,,9.981199,-inf,28696,572.76154,21.144986867904663,0.4189424,314379.3,360.48788,inf,1662044.8,1759.2195,198.13036,58.3,-74.71455,50,[-0.34   0.532 -0.564 -1.198],,562.7804,27.709078,7,572.7615864343054,700,2,-1.0,10.0,1662044.8,,1.0,10.0,-inf,0.00015904354,314379.3,314379.3,0.00015904354,4.209176,-77.89651,1769.2007
True,0.06130365,,9.983019,-3.5966345e+17,31707,591.9484,23.084147214889526,0.4189424,1.0,395.0292,6.261422e+23,1053831700.0,2349.4233,165944.58,60.22,-96.73883,50,[-0.34   0.532 -0.564 -1.198],,581.96533,23201.234,8,591.9483688701071,750,1,-1.0,10.0,506450.94,,1.0,10.0,-960979.56,50.0,1.0,1.0,50.0,3607.5793,-96.73883,2359.4062
True,1.0560188e-12,,,-inf,35126,673.5455,25.156492471694946,0.4189424,772837.5,312.96893,inf,2035176.1,1209.5317,322.2064,68.38,-56.284664,50,[-0.25   0.4   -0.618 -1.382],,673.5455,45.05078,8,673.5454848804698,800,2,-1.0,9.999999,2035176.1,,1.0,9.999999,-inf,6.469665e-05,772837.5,772837.5,6.469665e-05,7.1412706,-66.401825,1209.5317
