EmpiricalD2Arithmetic,EpisodesSoFar,VarianceInitializer,TimestepsSoFar,EmpiricalD2Harmonic,DivergenceHarmonic,TimeElapsed,ReturnMeanIW,InitialReturnMean,ReturnStepMaxmin,MeanIW,StdWReturnMean,Bound,Penalization,ESSRenyiArithmetic,LearnableVariance,EpThisIter,InitialReturnStd,Iteration,StdIW,MeanD2-0,ReturnStepMax,InitialBound,Inner Iteration,EpRewMean,EpLenMean,MeanEntropy,MinBehavPdf,InitialReturnMin,OptimizationReturnMean,MaxIW,OptimizationReturnMax,MinIW,MinTargetPdf,WReturnMean,ESSRenyiHarmonic,InitialReturnMax,Epsilon,OptimizationReturnMin
1.0,50,-1.0,411,1.0,6.914488e+20,1.693573236465454,36722696.0,72.16048,9.999999,7594.073,,-123576000000000.0,True,50.0,,50,53.666485,1,48083.875,1.0,9.999999,-12786.754,1,72.16047454200626,8.22,0.4189424,-17.212978,9.982842,62.17763,343864.2,229.92796,0.12485781,-17.212978,8087.2256,50.0,239.91081,1.0,
106.00216,100,-1.0,932,106.00215,1.5726851e+18,3.7796506881713867,3769080.8,94.13046,9.999998,589.71655,,-9832739000000.0,True,0.4716885,,50,60.847603,1,4125.0684,106.00216,9.999998,-10440768000000.0,2,94.1304623140619,10.42,0.4189424,-12.312538,9.982389,84.14808,29465.197,299.9019,5.2891137e-05,-17.011898,4448787.0,0.47168854,309.88428,1.0,
314.3113,150,-1.0,1617,314.3113,5.67905e+21,4.265801191329956,13797.633,126.92815,9.999991,2.085182,,-629699800000000.0,True,0.15907796,,50,78.39855,1,7.838644,314.3113,9.999991,-629699800000000.0,3,126.92814171815216,13.7,0.4189424,-14.726917,,126.92815,43.206314,319.90472,1.0804587e-06,-19.383602,13797.633,0.15907796,319.90472,1.0,
62.48465,200,-1.0,2171,62.48465,1.6361195e+16,4.7050111293792725,6498.765,100.73412,9.999996,2.9732592,,-505057280000.0,True,0.8001965,,50,55.55155,1,17.121767,62.48465,9.999996,-508010760000.0,4,100.73412448831749,11.08,0.4189424,-9.804797,9.981869,90.75226,122.58978,209.9253,2.088842e-05,-15.197207,6514.56,0.8001965,219.90717,1.0,
1837.0906,250,-1.0,2803,1837.0907,6.041902e+27,5.14241361618042,200776.77,116.32865,9.999997,55.94107,,-1.4617319e+18,True,0.027216949,,50,94.5547,1,387.26608,1837.0906,9.999997,-1.4617319e+18,5,116.3286438722808,12.64,0.4189424,-23.263023,9.984995,106.34364,2766.7861,469.92883,4.586961e-12,-36.316925,200776.77,0.027216947,479.91382,1.0,
21252.707,300,-1.0,3475,21252.707,2.7698146e+34,5.531816720962524,25338.451,124.32796,9.999995,9.712902,,-1.4791224e+21,True,0.0023526414,,50,84.53517,1,60.30116,21252.707,9.999995,-1.4791224e+21,6,124.32795397811759,13.44,0.4189424,-16.042654,9.980168,114.34779,431.2447,319.94254,1.1732168e-05,-17.76662,25338.451,0.0023526414,329.9227,1.0,
20021.682,350,-1.0,4118,20021.682,1.6793112e+34,6.139246463775635,10934.046,118.53077,9.999999,1.2073182,,-3.0840864e+21,True,0.0024972928,,50,99.64072,1,4.0575595,20021.682,9.999999,-3.0840864e+21,7,118.53077281558556,12.86,0.4189424,-25.467815,19.966442,98.56434,27.034204,519.9211,4.669963e-11,-37.361458,10934.046,0.0024972928,539.8875,1.0,
67.88499,400,-1.0,4730,67.88499,9.104837e+19,6.5792882442474365,15834544.0,112.32541,9.999992,202.11488,,-74819110000000.0,True,0.7365399,,50,75.94125,1,1251.4161,67.88499,9.999992,-195735780000.0,8,112.32540934868672,12.24,0.4189424,-17.965958,19.96519,92.36022,8954.972,289.92728,0.96483976,-25.470402,5723.8286,0.7365399,309.89246,1.0,
24227312.0,450,-1.0,5007,24227312.0,inf,6.907677888870239,89372.75,45.371357,9.999993,18.853601,,-inf,True,2.0637865e-06,,50,22.64035,1,121.0208,24227312.0,9.999993,-inf,9,45.37135857779257,5.54,0.4189424,-8.121274,,45.371357,865.2167,89.97535,3.4253336e-12,-16.108566,89372.75,2.0637865e-06,89.97535,1.0,
93802110000000.0,500,-1.0,5335,93802110000000.0,inf,7.395366668701172,9374.154,55.56871,9.999988,1.6535422,,-inf,True,5.3303705e-13,,50,33.77087,1,6.5441804,93802110000000.0,9.999988,-inf,10,55.56871296000944,6.56,0.4189424,-13.207136,19.966297,35.602417,44.2545,160.01274,5.081471e-19,-26.890999,9374.154,5.3303705e-13,179.97903,1.0,
