MinIWNorm,J_sample_variance,OptimizationReturnMin,InitialReturnMax,Iteration,InitialReturnStd,EpThisIter,ESSClassic,VarianceInit,TimeElapsed,OptimizationReturnMax,EpLenMean,EpisodesSoFar,EmpiricalD2,MeanIWNorm,InitialReturnMean,OptimizationReturnMean,MeanIW,TimestepsSoFar,MaxIW,EpRewMean,Bound,InitialBound,MaxIWNorm,ESSRenyi,Weights,InitialReturnMin,StdIW,StdIWNorm,LearnableVariance,ReturnMeanIW,MinIW,MeanEntropy,ReturnStepMaxmin,ReturnStepMax
2.6197474e-06,4349659.0,,299.88272,1,57.53132,50,3.4295595,-1,5.920080661773682,289.903,7.78,50,9.854404,0.054212138,67.75416,57.774445,2.7106073,389,64.01236,67.75416273365107,333.97443,15.812946,1.2802472,5.0738735,[-0. -0.  0. -0.  0.],9.979718,9.988554,0.19977109,True,497.02686,0.00013098738,1.1954473,9.999974,9.999974
6.134625e-06,17199074.0,,389.78555,2,109.75957,50,2.45929,-1,18.249469995498657,389.78555,14.54,100,14.377683,0.047742926,135.30898,135.30898,2.3871462,1116,74.95278,135.30897734309443,482.02118,67.79612,1.4990556,3.4776118,[-0.045  0.42  -0.396 -0.861 -0.223],,10.495593,0.20991185,True,738.0158,0.00030673126,0.9728239,10.0,10.0
7.841693e-05,120258830.0,,1019.7191,3,270.18848,50,1.9541937,-1,31.683079719543457,1019.7191,34.78,150,34.35072,0.049618367,337.64218,337.64218,2.4809184,2855,88.26804,337.64218064955594,808.92834,161.02165,1.7653608,1.4555736,[-0.179  0.403 -0.512 -1.126 -0.446],,12.301453,0.24602905,True,1844.0923,0.0039208466,0.832637,9.999997,9.999997
6.266496e-05,112977010.0,,1269.5754,4,293.4976,50,3.797655,-1,46.786699533462524,1259.5951,41.6,200,10.375781,0.048186418,405.8158,395.8354,2.409321,4935,59.62288,405.81577825135383,1421.6677,185.91885,1.1924576,4.8189144,[-0.272  0.326 -0.721 -1.134 -0.586],9.980398,8.403669,0.16807337,True,2129.9878,0.003133248,0.7166139,9.999999,9.999999
0.0015947036,3220592.0,,1569.5887,5,334.52786,50,19.975079,-1,65.79392981529236,1549.6226,53.26,250,1.9476581,0.022791771,522.37476,502.4085,1.1395886,7598,7.545181,522.3747729929034,410.68933,250.514,0.15090361,25.671858,[-0.258  0.417 -0.828 -1.241 -0.702],19.966244,1.3971556,0.027943112,True,790.0942,0.07973518,0.6407475,9.999999,9.999999
0.000104362545,8412223.0,,1239.6035,6,338.9775,50,8.803373,-1,81.38966751098633,1229.6217,54.0,300,4.8450036,0.028484263,529.7582,519.7764,1.4242133,10298,16.512075,529.7582261942232,632.3412,315.05255,0.3302415,10.31991,[-0.288  0.453 -0.872 -1.27  -0.778],9.981818,3.0809264,0.061618526,True,1104.9376,0.0052181273,0.5484919,9.999998,9.999998
0.00013458755,61228890.0,,1359.4858,7,361.4066,50,3.3249867,-1,98.16059970855713,1359.4858,64.62,350,11.5629635,0.044400953,635.92377,635.92377,2.2200477,13529,59.59173,635.9238109903845,1027.4988,400.45392,1.1918346,4.324151,[-0.313  0.558 -0.897 -1.381 -0.87 ],,8.3178215,0.16635643,True,1828.1989,0.0067293774,0.43614858,10.0,10.0
0.00580279,872543.3,,2019.687,8,444.76288,50,40.767136,-1,133.1536407470703,2019.687,89.62,400,1.2105781,0.019788893,885.88763,885.88763,0.9894447,18010,2.4452848,885.8876935572874,558.15063,536.0676,0.048905697,41.30258,[-0.346  0.558 -0.945 -1.476 -0.983],,0.4708738,0.009417476,True,943.0446,0.29013953,0.4452011,10.0,10.0
0.003954236,643290.94,,2099.5056,9,369.68036,50,34.054005,-1,165.41959977149963,2069.5513,88.74,450,1.4242928,0.023037009,877.10516,847.15076,1.1518505,22447,3.404401,877.1051559112503,578.13495,513.4601,0.06808802,35.10514,[-0.35   0.585 -0.958 -1.479 -0.974],29.954407,0.78820235,0.015764046,True,1012.12256,0.1977118,0.4421803,9.999999,9.999999
0.014120268,196990.17,,1739.5332,10,307.49597,50,47.642567,-1,196.1683533191681,1669.6296,88.92,500,1.0647748,0.020755209,878.927,809.0234,1.0377605,26893,1.6142515,878.927054786605,626.9226,577.631,0.03228503,46.95829,[-0.369  0.574 -0.977 -1.488 -0.977],69.90362,0.23084411,0.004616882,True,937.82367,0.7060134,0.4370835,9.999999,9.999999
1.41552855e-05,291320000000.0,,1859.2837,11,392.40305,50,1.035392,-1,221.64749121665955,1859.2837,89.72,550,2138.3555,0.8356185,886.8999,886.8999,41.780922,31379,2052.9915,886.8998998998378,62012.72,564.8624,41.05983,0.023382455,[-0.374  0.586 -1.001 -1.528 -0.982],,287.3206,5.746412,True,76904.484,0.0007077643,0.5201816,10.0,10.0
0.00015881694,1896554100.0,,1269.888,12,279.3872,50,1.5353367,-1,247.73907661437988,1269.888,72.36,600,172.74367,0.13962938,713.3658,713.3658,6.9814696,34997,280.46887,713.3657801942401,4109.08,493.41473,5.6093774,0.2894462,[-0.393  0.492 -0.998 -1.395 -0.899],,39.224514,0.7844904,True,6999.9404,0.007940847,0.6141683,10.0,10.0
0.005157001,867018.6,,1629.5566,13,409.7806,50,36.881134,-1,268.928852558136,1629.5566,65.48,650,1.2379047,0.021336256,644.5422,644.5422,1.0668129,38271,3.876542,644.5421880390738,511.35675,362.29474,0.07753084,40.39083,[-0.378  0.554 -0.985 -1.321 -0.805],,0.63625944,0.012725189,True,825.3886,0.25785005,0.61113876,10.0,10.0
0.00015789413,783017150.0,,2409.2686,14,426.98453,50,1.9981295,-1,291.620103597641,2409.2686,77.92,700,12.761662,0.046757136,768.93524,768.93524,2.3378568,42167,82.32172,768.9353176030598,3012.6846,351.63776,1.6464343,3.9179852,[-0.384  0.596 -1.084 -1.373 -0.808],,11.458695,0.22917388,True,4503.416,0.007894707,0.5053996,9.999999,9.999999
0.009326875,277844.44,,1659.3845,15,307.38422,50,44.331387,-1,316.47623801231384,1609.4634,85.06,750,1.1761192,0.021661825,840.30054,790.3794,1.0830913,46420,2.0032408,840.3005163369018,608.54865,552.88666,0.040064815,42.5127,[-0.419  0.582 -1.133 -1.389 -0.914],49.921204,0.38730046,0.0077460096,True,920.24615,0.4663438,0.47705337,9.999999,9.999999
2.2585562e-05,143973310.0,,1519.524,16,275.91315,50,3.201744,-1,348.83366799354553,1059.7454,93.6,800,25.976385,0.0622163,925.69244,465.91376,3.1108146,51100,79.480606,925.6924449023925,2311.3682,662.5031,1.5896121,1.9248252,[-0.435  0.594 -1.147 -1.395 -0.942],459.7787,11.893116,0.2378623,True,3652.7659,0.0011292781,0.37939376,10.0,10.0
0.00012239198,99917220.0,,1889.6078,17,313.5884,50,3.9702861,-1,381.1694366931915,1879.6248,90.8,850,15.742263,0.05265622,897.7056,887.7226,2.632811,55640,56.74538,897.7056057216,1564.6909,570.4159,1.1349076,3.1761634,[-0.471  0.643 -1.19  -1.297 -1.04 ],9.982998,8.964538,0.17929076,True,2863.2625,0.0061195996,0.30740452,9.999998,9.999998
0.007897912,324838.44,,1769.6565,18,330.48795,50,44.06249,-1,415.9246847629547,1759.6766,97.58,900,1.1345654,0.020867549,965.5032,955.52325,1.0433774,60519,2.1427078,965.5032062237283,701.57666,658.9897,0.042854156,44.06974,[-0.41   0.634 -1.231 -1.329 -1.112],9.979917,0.38300908,0.0076601813,True,1028.0625,0.39489558,0.30003327,9.999999,9.999999
0.005297602,2724243.2,,2319.509,19,404.90518,50,29.653307,-1,454.3402383327484,2309.529,107.1,950,1.5385638,0.022803826,1060.7032,1050.7233,1.1401914,65874,5.8664527,1060.7032814976817,801.0208,658.9525,0.11732905,32.497837,[-0.405  0.623 -1.237 -1.352 -1.119],9.980064,0.94447005,0.0188894,True,1299.3479,0.26488012,0.3275481,10.0,10.0
0.002622317,3000136.8,,2449.4458,20,459.3248,50,28.634918,-1,493.61978816986084,2439.462,108.66,1000,1.8464644,0.02341718,1076.2899,1066.306,1.1708591,71307,4.2618628,1076.2899063630384,840.9158,652.03345,0.08523725,27.07878,[-0.424  0.659 -1.278 -1.351 -1.091],9.98393,1.0113673,0.020227345,True,1417.4153,0.13111585,0.2881786,10.0,10.0
5.7654092e-06,1730185900.0,,2089.5747,21,296.77707,50,1.3503474,-1,530.3730788230896,1869.6996,104.94,1050,37.91292,0.07328433,1039.1481,819.2729,3.6642165,76554,157.48955,1039.148083588951,4915.6943,677.22314,3.149791,1.3188115,[-0.408  0.636 -1.299 -1.378 -1.131],219.87517,21.993696,0.43987393,True,7144.192,0.00028827047,0.17706122,9.999999,9.999999
