ESSClassic,ReturnMeanIW,EpRewMean,LearnableVariance,OptimizationReturnMax,MaxIWNorm,EmpiricalD2,Bound,StdIW,InitialBound,MaxIW,TimestepsSoFar,InitialReturnStd,ReturnStepMaxmin,InitialReturnMean,VarianceInit,EpThisIter,OptimizationReturnMin,Iteration,InitialReturnMin,EpLenMean,MinIW,MinIWNorm,ESSRenyi,MeanEntropy,ReturnStepMax,InitialReturnMax,StdIWNorm,Weights,J_sample_variance,MeanIW,OptimizationReturnMean,EpisodesSoFar,TimeElapsed,MeanIWNorm
37.118008,84.22113,62.762878332316234,True,299.83847,0.08195744,1.1724601,26.114899,0.58012795,9.100037,4.097872,364,52.208504,9.999935,62.762882,-1,50,,1,9.984112,7.28,0.17112803,0.0034225606,42.645374,1.4116874,9.999935,309.82257,0.01160256,[ 0.  0.  0. -0.  0.],31641.47,0.9847471,52.77877,50,6.047694444656372,0.019694941
1.13936,4117.8926,80.55339530217022,True,429.89676,9.224477,202.59926,3033.4185,64.49084,4.3629913,461.22385,817,77.18933,10.0,80.5534,-1,50,,2,9.988734,9.06,0.00047005646,9.401129e-06,0.24679261,1.3360631,10.0,439.8855,1.2898167,[-0.339  0.039 -0.65  -0.127 -0.007],785895230.0,9.848021,70.56466,100,13.723382949829102,0.19696039
43.55455,127.5351,107.92610918394934,True,369.80676,0.049647238,1.1040384,58.416252,0.39771724,42.144516,2.482362,1407,72.736465,9.99998,107.92612,-1,50,,3,9.983451,11.8,0.42230844,0.008446169,45.28828,1.2756997,9.99998,379.79022,0.007954344,[-0.493 -0.238 -0.769 -0.749 -0.083],16853.35,1.0338659,97.94266,150,22.590534925460815,0.020677313
8.4360895,321.179,136.11692865083708,True,459.87662,0.4053501,4.314422,148.54608,3.0518777,53.00522,20.267506,2138,97.90936,9.999999,136.11693,-1,50,,4,19.969074,14.62,0.00057655503,1.15311e-05,11.589038,1.0932755,9.999999,479.8457,0.061037555,[-0.793 -0.182 -0.956 -0.732 -0.143],1274399.6,1.3749268,116.14785,200,30.89597225189209,0.027498534
18.47227,319.96964,174.09942437823,True,449.8679,0.22052942,2.9389484,183.42572,1.7861464,94.45116,11.026471,3059,115.123085,9.999991,174.09941,-1,50,,5,9.981611,18.42,0.06374565,0.001274913,17.012888,1.140381,9.999991,459.8495,0.035722926,[-0.826 -0.188 -0.999 -1.054 -0.326],441511.2,1.3671962,164.11781,250,41.38629603385925,0.027343927
45.367863,213.08646,195.2834417070501,True,489.89233,0.047094416,1.1172451,123.39822,0.32331383,110.43161,2.3547208,4086,118.876274,9.999998,195.28346,-1,50,,6,,20.54,0.6768164,0.0135363275,44.752937,1.1415396,9.999998,489.89233,0.0064662765,[-1.337 -0.174 -1.219 -1.371 -0.279],32217.729,1.0118294,195.28346,300,49.988627910614014,0.020236587
33.727676,271.7743,228.87982794943062,True,579.9023,0.0921347,1.3946524,151.11517,0.7508786,126.70893,4.606735,5281,127.93744,10.0,228.87982,-1,50,,7,9.981647,23.9,0.38975862,0.0077951723,35.851227,1.1611165,10.0,589.8839,0.01501757,[-1.308 -0.073 -1.26  -1.472 -0.277],133398.62,1.081031,218.89818,350,57.68951106071472,0.02162062
16.766876,299.0623,204.273815096842,True,429.87955,0.219339,2.0805123,189.1721,1.6983957,128.08804,10.96695,6353,115.10102,9.999999,204.2738,-1,50,,8,9.979094,21.44,0.19958054,0.003991611,24.032543,1.095595,9.999999,439.85864,0.033967912,[-1.31   0.085 -1.326 -1.453 -0.258],247762.33,1.2063668,194.29472,400,64.53809952735901,0.024127336
2.1289554,3554.3174,281.25934143262,True,679.7151,4.8546896,207.71857,1832.6218,43.94027,161.8004,242.73448,7810,140.95335,9.999993,281.25934,-1,50,,9,9.981422,29.14,8.3967454e-05,1.679349e-06,0.2407103,0.8043762,9.999993,689.69653,0.87880534,[-1.319  0.3   -1.417 -1.595 -0.323],297456320.0,9.266367,271.27792,450,70.11856198310852,0.18532735
30.767485,446.40106,335.2341241286177,True,609.91705,0.091546096,2.043737,278.0657,1.0540591,217.48358,4.577305,9537,109.89161,9.999999,335.2341,-1,50,,10,69.91589,34.54,0.002798017,5.596034e-05,24.464989,0.74640554,9.999999,679.83295,0.021081183,[-1.398  0.459 -1.448 -1.521 -0.615],118159.03,1.3331927,265.31824,500,79.50434398651123,0.026663851
1.0776712,4069.282,346.63727282561115,True,619.8252,8.412185,201.67201,2446.434,58.840992,232.36128,420.60922,11321,112.893105,9.999998,346.63727,-1,50,,11,39.947502,35.68,0.000558909,1.117818e-05,0.24792731,0.7575946,9.999998,659.7727,1.1768199,[-1.428  0.444 -1.407 -1.695 -0.673],652842100.0,8.733123,306.68976,550,94.25460004806519,0.17466241
21.3502,620.15576,434.2218283877304,True,899.86163,0.1791483,2.1528761,386.39026,1.4238603,274.90167,8.957416,13543,162.66435,9.999999,434.22183,-1,50,,12,19.974026,44.44,0.16338955,0.003267791,23.224745,0.75780594,9.999999,919.83563,0.028477207,[-1.482  0.713 -1.551 -1.628 -0.661],792457.94,1.2291576,414.2478,600,113.0203788280487,0.024583152
1.097424,7487.534,418.8108784966905,True,719.7872,10.031622,517.71173,4611.5127,70.16151,292.41058,501.58112,15688,135.58861,9.999996,418.8109,-1,50,,13,9.9853115,42.9,2.2827752e-11,4.5655504e-13,0.096578844,0.53567725,9.999996,729.77246,1.40323,[-1.459  0.78  -1.58  -1.759 -0.661],2604634000.0,10.510425,408.82556,650,131.6812024116516,0.21020848
10.436918,959.5904,462.2285053047711,True,780.07367,0.40661094,4.71418,561.0189,3.0420308,278.65796,20.330547,18050,142.69188,10.0,462.22852,-1,50,,14,279.77155,47.24,0.052082412,0.0010416482,10.606298,0.5666287,10.0,1059.8452,0.060840614,[-1.557  0.69  -1.591 -1.982 -0.883],5178924.5,1.5624448,182.45695,700,150.56867790222168,0.031248892
37.316376,491.51108,435.82273015290616,True,379.92728,0.07297442,1.3518493,358.65106,0.638363,321.55325,3.6487212,20280,99.29657,10.0,435.82272,-1,50,,15,279.80777,44.6,0.33374947,0.006674989,36.98637,0.59402263,10.0,659.73505,0.012767261,[-1.481  0.666 -1.636 -2.159 -0.852],134878.77,1.0949534,156.01495,750,167.7800760269165,0.021899069
