StdIWNorm,MeanEntropy,EmpiricalD2,TimestepsSoFar,MaxIWNorm,LearnableVariance,MeanIW,OptimizationReturnMax,ReturnStepMax,Iteration,J_sample_variance,MinIWNorm,EpThisIter,ReturnMeanIW,Bound,StdIW,InitialReturnMax,OptimizationReturnMean,InitialReturnMean,EpRewMean,EpisodesSoFar,MaxIW,InitialReturnStd,ESSRenyi,ReturnStepMaxmin,ESSClassic,OptimizationReturnMin,TimeElapsed,InitialBound,InitialReturnMin,MinIW,EpLenMean,VarianceInit,MeanIWNorm,Weights
0.004148742,0.4189424,1.130306,864,0.036769513,,1.0524988,359.94882,9.999998,1,10159.158,0.0028967368,100,86.10727,37.938793,0.41487417,369.92975,66.37438,76.355316,76.35530818117397,100,3.6769514,59.57892,88.47162,9.999998,86.55176,,0.9782247543334961,31.048351,9.980929,0.2896737,8.64,-1.0,0.010524985,[ 0.  0.  0. -0.]
0.00412576,0.4189424,1.2197369,1730,0.025090436,,1.0283115,229.945,9.999987,2,7907.0674,0.0029513305,100,88.98934,56.53629,0.412576,239.92575,66.57035,76.5511,76.55110084773872,200,2.5090437,49.46365,81.98489,9.999987,86.13449,,2.64457631111145,47.166317,9.980749,0.29513305,8.66,-1.0,0.010283116,[ 0.063  0.134 -0.075 -0.085]
0.016044606,0.4189424,2.155005,2841,0.14927281,,1.0980462,379.79398,10.0,3,344010.16,0.0010666852,100,174.28033,104.20213,1.6044607,389.7743,91.060814,101.04113,101.04113390019712,300,14.927282,73.362076,46.403606,10.0,31.896975,,3.995363235473633,53.303722,9.980323,0.10666852,11.11,-1.0,0.010980463,[-0.022  0.128 -0.212 -0.16 ]
0.015501511,0.4189424,2.385605,4246,0.121357575,,1.1052773,429.97375,9.999999,4,187106.81,0.0005362117,100,198.38515,115.16026,1.5501512,439.95502,120.4435,130.42476,130.424762376786,400,12.135757,94.00869,41.918087,9.999999,33.704014,,5.538775444030762,76.54149,9.9812565,0.053621173,14.05,-1.0,0.0110527715,[-0.117  0.183 -0.33  -0.362]
0.007027196,0.4189424,1.5049709,6119,0.055395227,,1.0446649,519.78235,9.999997,5,103040.76,0.001982757,100,229.3502,149.75339,0.7027196,529.7684,167.20921,177.19527,177.1952737676759,500,5.5395226,129.11197,66.446465,9.999997,68.847244,,7.764406442642212,112.31216,9.986047,0.19827569,18.73,-1.0,0.01044665,[ 0.1    0.196 -0.436 -0.554]
0.048501693,0.4189424,4.4954114,8601,0.4877262,,1.4962893,719.80133,10.0,6,3169313.2,0.000380342,100,464.80344,275.29663,4.8501687,729.7843,228.09537,238.07832,238.07832298895354,600,48.77262,149.03111,22.244905,10.0,8.690291,,9.870973825454712,148.69836,9.982977,0.0380342,24.82,-1.0,0.014962893,[ 0.056  0.28  -0.563 -0.689]
0.9525362,0.4189424,224.96805,11720,9.578542,,10.123482,999.5864,9.999999,7,2772021200.0,4.4907606e-06,100,5456.3564,3620.1294,95.25362,999.5864,301.7432,301.7432,301.7431669533816,700,957.8542,176.7993,0.44450757,9.999999,1.1169118,,12.513115406036377,179.31927,,0.0004490761,31.19,-1.0,0.10123482,[ 0.021  0.238 -0.583 -0.788]
0.008187973,0.4189424,1.5392015,15783,0.061394103,,1.0245451,1129.7543,10.0,8,570608.7,0.0020692563,100,505.51718,330.82007,0.8187973,1149.7208,376.13556,396.10208,396.10209533035385,800,6.1394105,268.93918,64.96875,10.0,61.02433,,15.64583444595337,255.29063,19.966564,0.20692563,40.63,-1.0,0.01024545,[-0.033  0.171 -0.61  -0.901]
0.048279326,0.4189424,6.4782534,21090,0.44087577,,1.6975784,1159.3799,10.0,9,23640508.0,0.0002500734,100,1302.0669,937.54553,4.827933,1169.3605,510.48615,520.46674,520.4667224888464,900,44.087578,304.89062,15.436259,10.0,11.003034,,18.806957006454468,377.2499,9.980574,0.025007343,53.07,-1.0,0.016975785,[-0.078  0.231 -0.639 -0.971]
0.008333757,0.4189424,1.5180883,28072,0.061349913,,1.125777,2059.6104,10.0,10,1398435.4,0.0018706665,100,890.6118,576.80005,0.83337575,2079.5776,667.9219,687.88904,687.8890627940943,1000,6.1349916,415.66446,65.87232,10.0,64.59967,,22.569753885269165,433.19382,19.9672,0.18706666,69.82,-1.0,0.0112577705,[-0.037  0.193 -0.736 -1.068]
