Iteration,EmpiricalD2,MeanIWNorm,EpLenMean,EpRewMean,VarianceInit,MaxIWNorm,InitialReturnStd,MinIW,ReturnStepMaxmin,InitialReturnMin,LearnableVariance,Bound,J_sample_variance,OptimizationReturnMean,InitialBound,OptimizationReturnMin,ESSClassic,TimeElapsed,StdIWNorm,EpisodesSoFar,MeanIW,ReturnStepMax,MaxIW,EpThisIter,TimestepsSoFar,OptimizationReturnMax,ReturnMeanIW,Weights,MeanEntropy,InitialReturnMean,ESSRenyi,MinIWNorm,StdIW,InitialReturnMax
1,4.0612426,0.016004449,6.24,52.36379700463908,-1,0.59581304,35.619133,0.10666737,9.999996,,True,76.716675,593351.7,52.3638,30.338205,,6.929586,0.6404082775115967,0.058653366,100,1.6004449,9.999996,59.581303,100,624,179.8382,121.1038,[0. 0. 0. 0. 0.],1.4897995,52.3638,24.623007,0.0010666737,5.8653364,179.8382
2,1.069522,0.010058138,5.48,44.77176840269677,-1,0.01941002,31.498552,0.6181741,10.0,,True,27.62242,1749.569,44.771767,26.411013,,95.00446,1.924365758895874,0.0023064096,200,1.0058137,10.0,1.941002,100,1172,149.91495,46.61069,[ 0.156  0.563 -0.076 -0.041  0.071],1.5393171,44.771767,93.49971,0.0061817407,0.23064098,149.91495
3,42.334774,0.044272944,6.48,54.76495487577903,-1,3.3837793,42.32657,2.3857835e-06,9.999999,,True,659.0792,60450988.0,54.76496,26.60495,,1.7047883,2.6905670166015625,0.33617803,300,4.427294,9.999999,338.37793,100,1820,229.92546,842.3028,[ 0.161  0.622 -0.121 -0.18   0.12 ],1.0866271,54.76496,2.3621244,2.3857835e-08,33.6178,229.92546
4,4.797934,0.01462836,10.99,99.84520482329717,-1,0.4760823,96.259544,0.0030050823,9.999988,,True,312.43152,11082480.0,99.84521,16.591255,,5.9857063,3.780581474304199,0.057974216,400,1.462836,9.999988,47.60823,100,2919,679.7656,494.7925,[-0.318  0.591 -0.514 -0.704 -0.332],0.9430133,99.84521,20.842304,3.0050822e-05,5.7974215,679.7656
5,14.133178,0.01865307,20.82,198.0862220791675,-1,1.0812873,161.56522,0.00015557287,9.999994,9.980257,True,695.609,71039740.0,188.10597,101.395485,,2.902848,4.860146522521973,0.107880116,500,1.8653069,9.999994,108.12872,100,5001,779.49615,1059.1093,[-0.34   0.532 -0.614 -0.938 -0.476],0.79093564,198.08623,7.0755496,1.5557287e-06,10.788012,789.47644
6,2.5397239,0.013378247,42.12,411.00000965796863,-1,0.129169,282.61145,0.07870651,9.999997,9.983803,True,674.3406,5436503.5,401.0162,256.74527,,26.97357,6.280686140060425,0.022012534,600,1.3378247,9.999997,12.916901,100,9213,1249.5011,920.1689,[-0.344  0.59  -0.72  -1.26  -0.628],0.76587415,411.0,39.37436,0.0007870651,2.2012537,1259.4849
7,1.9079895,0.011324466,57.57,565.4478123752514,-1,0.0641518,398.4928,0.06350789,10.0,,True,559.0929,2554445.5,565.4478,354.81332,,48.876087,7.882673978805542,0.011581947,700,1.1324466,10.0,6.41518,100,14970,1719.8234,850.0423,[-0.344  0.622 -0.817 -1.449 -0.653],0.7105367,565.4478,52.41119,0.00063507893,1.1581947,1719.8234
8,5.726983,0.016521005,64.74,637.1390046161467,-1,0.42741987,370.7985,0.0033805002,10.0,9.980092,True,640.26434,23790690.0,627.15894,393.45557,,9.387723,9.40791630744934,0.05132747,800,1.6521007,10.0,42.74199,100,21444,1979.6869,1223.426,[-0.332  0.586 -0.884 -1.489 -0.708],0.64343303,637.13904,17.4612,3.3805e-05,5.1327477,1989.667
9,1.5205387,0.011113151,67.11,660.81857190549,-1,0.049285837,298.49332,0.17151749,10.0,,True,582.30524,898302.7,660.8186,453.8869,,63.688797,11.032798051834106,0.00839124,900,1.1113153,10.0,4.9285836,100,28155,1689.5901,837.47296,[-0.299  0.445 -0.923 -1.382 -0.776],0.6273199,660.8186,65.76617,0.0017151749,0.839124,1689.5901
10,1.0853096,0.010170563,77.33,763.009101164796,-1,0.0205592,367.24884,0.4664837,9.999999,9.98242,True,609.7948,322051.28,753.02673,557.3353,,91.73888,12.799521207809448,0.0030520244,1000,1.0170565,9.999999,2.05592,100,35888,1669.337,824.062,[-0.344  0.523 -0.943 -1.522 -0.792],0.62515295,763.00916,92.1396,0.004664837,0.30520245,1679.3195
11,5.1097703,0.015334589,83.74,827.1105600710029,-1,0.19754301,400.7754,0.0038055808,10.0,,True,985.921,17358022.0,827.11053,571.21173,,20.050999,14.564155340194702,0.030620387,1100,1.5334591,10.0,19.754301,100,44262,2089.4048,1564.3751,[-0.37   0.558 -0.969 -1.577 -0.794],0.5427643,827.11053,19.57035,3.805581e-05,3.0620387,2089.4048
12,3097.9255,0.35747734,98.49,974.5618833397656,-1,35.369923,425.15173,1.5898825e-06,10.0,,True,16611.422,103433380000.0,974.56195,689.2799,,1.0214657,16.885133504867554,3.518902,1200,35.747738,10.0,3536.9922,100,54111,2329.3174,32489.932,[-0.425  0.639 -1.013 -1.599 -0.876],0.42020562,974.56195,0.032279667,1.5898824e-08,351.8902,2329.3174
13,1.2826853,0.010525313,104.34,1033.0468604113635,-1,0.031435505,439.71466,0.24531196,10.0,9.979575,True,846.5121,804500.94,1023.06726,762.43604,,78.80243,19.01399540901184,0.005458937,1300,1.0525314,10.0,3.1435504,100,64545,2199.5488,1152.9943,[-0.363  0.706 -1.024 -1.628 -0.999],0.41114476,1033.0469,77.96145,0.0024531195,0.54589367,2209.5283
14,1.0255198,0.010043196,118.25,1172.1003268018628,-1,0.016336039,541.8021,0.6346774,10.0,9.980756,True,727.7646,422941.75,1162.1196,705.6007,,97.19716,20.90085244178772,0.0017054717,1400,1.0043198,10.0,1.6336039,100,76370,3798.9727,1200.1792,[-0.374  0.747 -1.067 -1.645 -1.008],0.41297352,1172.1003,97.51152,0.006346774,0.17054717,3808.9534
15,1.3933643,0.011285301,108.88,1078.4235113122188,-1,0.06537122,430.8767,0.3081302,10.0,29.944328,True,770.3407,989035.0,1048.4792,708.6531,,63.581623,22.67019248008728,0.008540981,1500,1.1285301,10.0,6.5371222,100,87258,2989.2178,1206.8208,[-0.377  0.755 -1.092 -1.643 -1.006],0.4252647,1078.4236,71.76874,0.003081302,0.8540981,3019.162
16,122.54113,0.056544323,111.39,1103.5746000567956,-1,4.8988514,518.8756,0.006733181,10.0,,True,7008.2715,8921697000.0,1103.5746,819.4789,,1.330646,24.633970737457275,0.48691005,1600,5.6544313,10.0,489.88513,100,98397,2319.6313,10153.162,[-0.357  0.742 -1.101 -1.67  -0.994],0.4815974,1103.5746,0.81605256,6.7331806e-05,48.691006,2319.6313
17,4.7281313,0.015762629,107.16,1061.2586227875715,-1,0.3250625,431.8636,0.019889118,9.999999,9.98152,True,1032.5361,32178546.0,1051.277,687.7724,,15.185864,26.64756155014038,0.037251435,1700,1.576263,9.999999,32.506252,100,109113,3039.52,1844.6544,[-0.348  0.649 -1.136 -1.702 -0.937],0.5373231,1061.2587,21.150005,0.00019889118,3.7251434,3049.5015
18,652.6513,0.12114994,98.64,976.1059773262542,-1,10.411309,394.47278,1.139491e-06,10.0,19.963596,True,17273.922,47498162000.0,956.1424,717.74414,,1.3312286,28.55422353744507,1.0430058,1800,12.114995,10.0,1041.131,100,118977,2089.552,23874.303,[-0.342  0.618 -1.152 -1.749 -0.882],0.4124748,976.10596,0.15322118,1.139491e-08,104.30058,2109.5156
19,43.225887,0.038234904,105.53,1044.9755511201965,-1,2.2903047,400.5694,0.011832336,10.0,9.98115,True,3658.9163,2120664200.0,1034.9944,685.0135,,2.6837447,30.54706573486328,0.23024067,1900,3.8234904,10.0,229.03047,100,129530,2929.096,6025.5366,[-0.423  0.713 -1.182 -1.661 -1.006],0.50821674,1044.9756,2.3134284,0.000118323354,23.02407,2939.0771
20,1.1685308,0.010224666,105.04,1040.0613030976033,-1,0.023388049,359.01303,0.27070883,10.0,29.964516,True,777.9596,427898.8,1010.09686,763.3518,,85.07831,32.54823112487793,0.004282023,2000,1.0224667,10.0,2.338805,100,140034,2229.3586,1077.0786,[-0.458  0.735 -1.196 -1.666 -0.911],0.48142517,1040.0613,85.577545,0.0027070881,0.42820227,2259.3232
21,52.451202,0.0429735,98.13,970.9985472506108,-1,2.9752944,431.83884,0.0040213233,10.0,9.979395,True,3243.0303,1896819200.0,961.01917,641.6815,,2.0399504,34.1518120765686,0.2977936,2100,4.29735,10.0,297.52945,100,149847,2678.8823,5628.0493,[-0.466  0.747 -1.193 -1.669 -0.938],0.5746391,970.99854,1.906534,4.0213232e-05,29.779362,2688.8618
22,425.95108,0.09966602,89.12,880.9138402487771,-1,9.738749,342.50186,7.656403e-06,10.0,,True,12858.815,29359190000.0,880.9138,665.4091,,1.0473067,36.05870199203491,0.9687775,2200,9.966602,10.0,973.8749,100,158759,1759.5886,17306.527,[-0.485  0.73  -1.18  -1.597 -0.844],0.3935521,880.9138,0.23476875,7.656403e-08,96.87775,1759.5886
23,4.5504203,0.013187179,115.32,1142.872729367774,-1,0.21026088,405.93045,0.004144661,10.0,9.980729,True,964.3062,25902460.0,1132.8921,751.11084,,15.676609,38.28702235221863,0.03058439,2300,1.3187178,10.0,21.026089,100,170291,3188.7422,1800.0016,[-0.499  0.793 -1.233 -1.675 -1.025],0.3608372,1142.8727,21.975992,4.1446612e-05,3.058439,3198.723
24,1.0844529,0.010229665,122.43,1213.997006510368,-1,0.01964805,534.8772,0.39915124,10.0,,True,798.72217,661480.9,1213.9971,758.48047,,92.53009,40.80846571922302,0.0029065474,2400,1.0229665,10.0,1.9648051,100,182534,3719.2761,1273.0836,[-0.521  0.874 -1.254 -1.835 -1.058],0.36027062,1213.9971,92.212395,0.003991512,0.29065475,3719.2761
25,8857.03,0.8404179,120.78,1197.4910139476303,-1,83.5623,381.98502,0.0006607529,9.999999,209.82733,True,102623.81,1291534000000.0,987.6637,887.6966,,1.0115038,43.0584511756897,8.313882,2500,84.04178,9.999999,8356.23,100,194612,2319.632,131779.11,[-0.54   0.906 -1.252 -1.847 -1.059],0.4615174,1197.491,0.011290466,6.6075286e-06,831.3882,2529.4595
26,9.801133,0.01906339,119.56,1185.2521410399231,-1,0.7603842,482.2381,0.0020503458,10.0,9.980201,True,1849.09,215149230.0,1175.2719,776.2529,,5.5024247,45.54984760284424,0.079001136,2600,1.9063389,10.0,76.03842,100,206568,3329.4836,3129.5337,[-0.483  0.927 -1.256 -1.856 -0.957],0.37242392,1185.2522,10.202902,2.0503458e-05,7.9001145,3339.4639
27,1.5691223,0.010843443,128.06,1270.2586581203184,-1,0.069533706,405.63586,0.23221152,10.0,469.7246,True,947.4634,1954156.8,800.53406,871.0657,,56.848675,47.77461910247803,0.009447223,2700,1.0843444,10.0,6.9533706,100,219374,2789.6724,1447.5109,[-0.505  0.947 -1.284 -1.928 -1.047],0.39203188,1270.2588,63.729897,0.002322115,0.9447223,3259.397
28,1.1097825,0.010758487,137.8,1367.6477739969594,-1,0.022476912,530.00464,0.43904427,9.999999,9.979791,True,1002.71515,425270.5,1357.668,965.9971,,90.48071,49.82568860054016,0.0034895984,2800,1.0758486,9.999999,2.2476912,100,233154,3269.4836,1425.8389,[-0.491  0.956 -1.287 -1.953 -1.027],0.40853804,1367.6478,90.10775,0.0043904427,0.34895983,3279.4634
29,1.37879,0.010697549,123.82,1227.8641188681797,-1,0.03186052,482.1989,0.16068815,10.0,9.9835205,True,1023.90686,1484033.8,1217.8806,909.46906,,72.97653,52.08457398414612,0.006509734,2900,1.069755,10.0,3.1860518,100,245536,2589.7012,1397.7723,[-0.491  0.959 -1.285 -1.942 -1.01 ],0.38759148,1227.864,72.52736,0.0016068814,0.6509734,2599.6848
30,1546.0262,0.14511919,133.06,1320.2482263096213,-1,13.873693,454.13388,0.0016712552,10.0,189.86067,True,17837.557,73159680000.0,1130.3877,1001.8938,,1.0939384,54.42924666404724,1.3798758,3000,14.511921,10.0,1387.3694,100,258842,2409.4917,30355.104,[-0.488  0.985 -1.296 -1.956 -1.031],0.46783438,1320.2483,0.064681955,1.6712553e-05,137.98756,2599.3523
31,1.7907611,0.012061484,118.08,1170.4641563911325,-1,0.11108044,436.7122,0.101245895,9.999999,,True,1023.9851,2354994.5,1170.4642,876.64685,,47.65423,56.745182275772095,0.012641273,3100,1.2061484,9.999999,11.108044,100,270650,2399.0076,1417.1693,[-0.552  0.978 -1.315 -1.938 -0.951],0.43346074,1170.4642,55.84218,0.0010124589,1.2641274,2399.0076
32,1.5539898,0.012157155,126.27,1252.3459882679085,-1,0.047727022,398.6806,0.19235797,10.0,19.967089,True,1086.0974,1094743.4,1232.3789,911.9813,,69.80525,58.93653154373169,0.007995649,3200,1.2157156,10.0,4.772702,100,283277,2759.0974,1510.3928,[-0.584  1.031 -1.324 -1.944 -0.985],0.4571429,1252.3461,64.35049,0.0019235797,0.79956496,2779.0645
33,3.7465549,0.014112106,116.14,1151.0754384864993,-1,0.21492523,459.1784,0.016965,10.0,,True,1061.2319,11294720.0,1151.0754,858.3899,,24.836578,61.30029368400574,0.02454987,3300,1.4112105,10.0,21.492523,100,294891,2389.7676,1627.7548,[-0.612  1.048 -1.33  -1.949 -0.962],0.46148688,1151.0754,26.691189,0.00016965,2.454987,2389.7676
34,1.4379851,0.010758196,120.67,1196.421264084388,-1,0.048129216,376.81934,0.14688793,10.0,19.964588,True,1019.71106,1194562.9,1176.4567,933.16187,,70.414566,63.63531541824341,0.0069734408,3400,1.0758195,10.0,4.8129215,100,306958,2129.5393,1335.4012,[-0.625  1.014 -1.34  -2.001 -0.957],0.43155125,1196.4213,69.54175,0.0014688793,0.69734406,2149.504
35,53.87817,0.030280465,118.76,1177.285596457862,-1,2.135549,381.808,0.0025143842,10.0,369.73376,True,2933.4294,1001192700.0,807.5519,874.8324,,1.9870201,65.68931698799133,0.21266854,3500,3.0280466,10.0,213.5549,100,318834,2099.7856,5153.4883,[-0.615  1.02  -1.364 -1.981 -0.987],0.4371026,1177.2856,1.8560393,2.5143841e-05,21.266853,2469.5193
36,2.2239773,0.011072009,126.43,1253.9907962530212,-1,0.07820298,422.12982,0.0851181,10.0,9.981154,True,996.93024,8673989.0,1244.0096,848.6863,,41.45106,68.40594124794006,0.013158856,3600,1.107201,10.0,7.8202977,100,331477,3299.3157,1601.361,[-0.547  1.006 -1.372 -2.067 -0.982],0.40217015,1253.9908,44.96449,0.000851181,1.3158855,3309.2969
37,2.6005738,0.011964454,126.02,1249.9021762025334,-1,0.14623988,403.0424,0.14356998,10.0,,True,1214.8306,14296407.0,1249.9021,952.3528,,35.863834,70.6171658039093,0.015999857,3700,1.1964457,10.0,14.623988,100,344079,2429.48,1694.6674,[-0.527  1.018 -1.376 -2.077 -1.017],0.43835717,1249.9021,38.453053,0.0014356998,1.5999858,2429.48
38,1.7723547,0.011508956,127.51,1264.8064382685372,-1,0.056109384,450.03445,0.11318966,10.0,,True,1039.1923,3029201.8,1264.8064,930.5006,,58.931576,73.06344985961914,0.009607624,3800,1.1508957,10.0,5.6109385,100,356830,2729.596,1484.253,[-0.555  1.054 -1.413 -2.047 -0.981],0.4670132,1264.8064,56.422115,0.0011318966,0.9607624,2729.596
39,4.1569133,0.015482672,127.16,1261.2892451343303,-1,0.101780005,379.65732,0.015724123,10.0,9.985469,True,1548.843,13129397.0,1251.3037,952.74854,,34.839653,75.63436150550842,0.021173894,3900,1.5482672,10.0,10.178,100,369546,2509.2373,2177.9111,[-0.585  1.072 -1.443 -2.059 -0.952],0.4049986,1261.2893,24.05631,0.00015724121,2.1173894,2519.2227
40,77.55379,0.039904118,127.79,1267.5875276491915,-1,2.940114,429.44376,0.005597353,10.0,179.8945,True,4140.2803,3321522400.0,1087.693,870.85925,,1.8208978,78.49071311950684,0.2930113,4000,3.9904113,10.0,294.0114,100,382325,3059.378,7634.0527,[-0.595  1.082 -1.45  -1.993 -1.014],0.45199642,1267.5875,1.2894276,5.5973527e-05,29.301132,3239.2725
41,1.1448256,0.010344208,125.61,1245.756510573097,-1,0.02128787,510.70328,0.34236464,10.0,9.981313,True,946.9362,684685.8,1235.7751,889.42773,,89.02846,81.7014365196228,0.0036313385,4100,1.0344207,10.0,2.128787,100,394886,2899.4304,1328.1956,[-0.635  1.152 -1.49  -1.923 -0.967],0.45118228,1245.7565,87.34955,0.0034236463,0.36313385,2909.4116
42,4.8664055,0.015710024,137.38,1363.4282362171757,-1,0.22762993,495.61914,0.0026421873,10.0,,True,1183.9521,21816464.0,1363.4282,942.1869,,18.458353,84.50675129890442,0.03301947,4200,1.5710024,10.0,22.762993,100,408624,3439.421,2113.2075,[-0.642  1.157 -1.495 -1.963 -0.968],0.39215007,1363.4282,20.549047,2.6421872e-05,3.3019469,3439.421
43,1.1092279,0.010011223,130.52,1294.8500352837016,-1,0.030990766,405.9013,0.35250542,10.0,9.984469,True,1030.6447,821203.25,1284.8656,993.68225,,87.09206,87.84047889709473,0.003854132,4300,1.0011224,10.0,3.0990767,100,421676,2449.04,1347.8342,[-0.665  1.153 -1.49  -1.911 -1.027],0.39205953,1294.85,90.1528,0.003525054,0.3854132,2459.0244
44,1.4080166,0.01089478,128.12,1270.8625434381822,-1,0.03339868,444.11194,0.17575967,10.0,,True,1058.7397,1169865.9,1270.8627,972.0745,,76.35952,91.06795382499695,0.006061988,4400,1.089478,10.0,3.339868,100,434488,2439.594,1413.2812,[-0.673  1.183 -1.519 -1.947 -1.027],0.38365462,1270.8627,71.02189,0.0017575967,0.6061988,2439.594
45,1.2626853,0.010640153,134.69,1336.5565828916629,-1,0.036857862,554.7522,0.29669708,10.0,,True,1023.57526,1142069.1,1336.5565,934.91486,,78.61545,94.30380177497864,0.005549376,4500,1.0640154,10.0,3.6857862,100,447957,3279.3914,1474.8972,[-0.658  1.194 -1.518 -1.952 -1.035],0.37616235,1336.5565,79.1963,0.0029669707,0.5549376,3279.3914
