VarianceInit,LearnableVariance,MeanIWNorm,OptimizationReturnMin,ESSClassic,MeanEntropy,OptimizationReturnMax,ReturnStepMax,ReturnMeanIW,MinIWNorm,InitialBound,InitialReturnMin,InitialReturnStd,EpRewMean,MaxIW,ReturnStepMaxmin,TimestepsSoFar,InitialReturnMax,EpThisIter,EpLenMean,OptimizationReturnMean,MeanIW,TimeElapsed,Bound,InitialReturnMean,StdIW,MaxIWNorm,MinIW,EmpiricalD2,Weights,ESSRenyi,J_sample_variance,EpisodesSoFar,Iteration,StdIWNorm
-1,True,0.009800024,,89.94916,1.402955,309.82257,9.999998,66.565994,0.0019617653,20.32019,,43.776478,58.26555360293025,2.4517925,9.999998,683,309.82257,100,6.83,58.265556,0.98000246,1.3397586345672607,26.964417,58.265556,0.32758936,0.024517924,0.19617654,1.0891999,[ 0.  0.  0. -0.  0.],91.81051,7866.204,100,1,0.0032758936
-1,True,0.010821542,,72.94643,1.3708353,339.8647,9.999995,94.25164,0.0008600797,25.72808,,55.339714,67.35284448651575,3.490779,9.999995,1457,339.8647,100,7.74,67.352844,1.0821542,3.169313907623291,43.773216,67.352844,0.65902114,0.034907788,0.086007975,1.4706463,[-0.204  0.046 -0.31  -0.134 -0.016],67.997314,24536.037,200,2,0.0065902113
-1,True,0.011344591,,36.157566,1.2871696,459.7754,9.999977,194.19444,0.0009680268,34.732906,,85.79774,91.04367017982048,11.166195,9.999977,2468,459.7754,100,10.11,91.04367,1.1344591,4.906522274017334,124.79404,91.04367,1.5074534,0.11166195,0.09680268,1.5189426,[-0.058  0.004 -0.391 -0.422 -0.048],65.83527,411841.16,300,3,0.015074536
-1,True,0.010445832,,45.82687,1.316097,519.8123,9.999991,180.2627,0.0019646932,52.163513,,112.16609,115.8272566431148,10.535642,9.999991,3727,519.8123,100,12.59,115.82726,1.0445831,7.347946643829346,95.6442,115.82726,1.1357293,0.10535642,0.19646932,1.7666321,[-0.25   0.231 -0.534 -0.806 -0.132],56.60488,273907.7,400,4,0.011357294
-1,True,0.23971015,,1.0537755,1.2339957,739.5697,9.999999,16486.395,1.1666946e-06,90.4188,,173.81061,180.9972400217506,2335.1018,9.999999,5638,739.5697,100,19.11,180.99725,23.971014,10.159088611602783,10173.705,180.99725,232.28008,23.351017,0.000116669464,4857.1265,[-0.37   0.343 -0.66  -1.147 -0.103],0.020588305,26686601000.0,500,5,2.3228004
-1,True,0.010619258,,67.722885,1.2045902,1349.5186,9.999999,442.80716,0.0013268378,186.54445,,266.7796,351.826067615065,4.8877616,9.999999,9258,1349.5186,100,36.2,351.82608,1.0619259,14.975690364837646,244.69862,351.82608,0.733118,0.048877615,0.13268378,1.4366713,[-0.271  0.489 -0.808 -1.842 -0.185],69.60535,373613.34,600,6,0.00733118
-1,True,0.011563272,,61.00938,1.1847405,1439.576,10.0,634.2557,0.00093050685,284.54327,9.983934,283.49698,462.07738867003206,5.0765123,10.0,13981,1449.5599,100,47.23,452.09344,1.1563272,19.592050790786743,405.51077,462.0774,0.9244054,0.050765123,0.09305069,1.6601192,[-0.28   0.459 -0.85  -1.965 -0.214],60.23664,608373.0,700,7,0.009244054
-1,True,0.014763938,,12.094362,1.2455451,1639.2554,9.999999,1125.798,0.0009103019,302.09323,,348.90897,502.86019272607825,38.46302,9.999999,19112,1639.2554,100,51.31,502.86017,1.4763939,24.565269231796265,758.5325,502.86017,3.9803305,0.3846302,0.091030195,3.3463836,[-0.275  0.53  -0.936 -2.158 -0.234],29.883005,22873318.0,800,8,0.0398033
-1,True,0.014678785,,9.214062,1.181332,1779.4529,10.0,1368.1654,0.00055225333,316.29877,9.9803095,372.5315,535.4586439476561,44.79734,10.0,24569,1789.4332,100,54.57,525.47833,1.4678786,29.37573266029358,871.42993,535.4586,4.6075897,0.4479734,0.055225335,5.1372194,[-0.339  0.58  -1.04  -2.341 -0.173],19.465784,64244936.0,900,9,0.0460759
-1,True,0.013338124,,12.02426,1.0835711,1829.1042,9.999999,1450.4131,0.00011769065,437.55743,9.988035,442.91077,662.799302045466,29.843498,9.999999,31300,1839.0923,100,67.31,652.8112,1.3338124,35.179524421691895,914.56696,662.7993,3.6078377,0.29843497,0.011769066,5.6595497,[-0.211  0.484 -1.092 -2.345 -0.238],17.66925,37492016.0,1000,10,0.036078375
-1,True,0.010597374,,86.85724,1.0680073,2508.8613,10.0,776.95184,0.0039329156,390.13144,,506.06378,697.4030347309604,2.9191265,10.0,38377,2508.8613,100,70.77,697.40314,1.0597374,42.106436252593994,446.7055,697.40314,0.41222897,0.029191265,0.3932916,1.1551316,[-0.24   0.556 -1.11  -2.339 -0.335],86.57022,769838.9,1100,11,0.00412229
-1,True,0.015942419,,6.0406313,1.0419458,1779.2095,10.0,1445.9358,4.1233227e-05,418.40735,,408.3975,636.3150921456103,62.9385,10.0,44843,1779.2095,100,64.66,636.3151,1.5942417,48.615336418151855,808.5975,636.3151,6.2875733,0.629385,0.0041233227,8.5545,[-0.227  0.51  -1.161 -2.331 -0.351],11.6897545,54506244.0,1200,12,0.06287573
-1,True,0.01852611,,6.574589,0.9457965,2429.4194,9.999998,1924.7418,2.167327e-05,448.8099,9.986314,480.06622,747.5748871002781,66.83645,9.999998,52422,2439.4058,100,75.79,737.5886,1.852611,55.38818097114563,1001.272,747.57495,6.983651,0.66836447,0.002167327,9.554019,[-0.297  0.668 -1.217 -2.313 -0.377],10.4668,70401150.0,1300,13,0.0698365
-1,True,0.0108323,,51.271275,0.9409991,2998.88,10.0,1232.2328,0.0015258754,533.7638,,487.59082,901.0500454344404,9.385855,10.0,61536,2998.88,100,91.14,901.05005,1.08323,63.26955008506775,742.1477,901.05005,1.05603,0.09385855,0.15258755,1.7804654,[-0.33   0.729 -1.283 -2.264 -0.473],56.165092,8509822.0,1400,14,0.010560299
-1,True,0.0339339,,3.3057477,0.94141155,2868.9817,9.999999,3631.3984,0.00013191372,685.09436,9.9807005,579.75745,1037.6938759102313,176.64362,9.999999,72017,2878.9624,100,104.81,1027.7133,3.3933902,72.06695079803467,2125.8706,1037.6938,18.352673,1.7664361,0.013191373,18.231163,[-0.312  0.784 -1.389 -2.364 -0.478],5.4851136,380261920.0,1500,15,0.18352671
-1,True,0.13071914,,1.1093473,0.96458375,3998.5906,9.999999,50230.92,0.0001615327,612.08203,,634.7516,1101.807273945047,1241.0333,9.999999,83139,3998.5906,100,111.22,1101.8074,13.071914,83.00809001922607,41024.14,1101.8074,123.41928,12.410333,0.01615327,353.43573,[-0.22   0.645 -1.373 -2.351 -0.478],0.28293687,246193700000.0,1600,16,1.2341928
-1,True,0.14497107,,1.2803344,0.85796577,4988.236,9.999999,66087.99,8.838065e-06,398.52484,9.980036,784.7429,1010.6788506631373,1280.0757,9.999999,93349,4998.216,100,102.1,1000.6989,14.497108,92.35404515266418,53706.176,1010.67883,127.29799,12.800756,0.0008838065,409.117,[-0.099  0.537 -1.476 -2.204 -0.454],0.24442886,407529750000.0,1700,17,1.27298
-1,True,0.02675791,,2.0159569,0.78164047,4998.267,10.0,9862.616,3.6463072e-05,679.445,,1032.0961,1291.6052653977167,188.01266,10.0,106369,4998.267,100,130.2,1291.6052,2.6757913,103.18226861953735,6255.704,1291.6052,18.65474,1.8801266,0.0036463072,34.716904,[-0.045  0.541 -1.495 -2.199 -0.561],2.8804412,7623814000.0,1800,18,0.18654743
-1,True,0.010454338,,90.420006,0.78119045,4999.0,10.0,1818.5648,0.005663268,951.16406,,1159.8253,1563.414115732162,2.4557838,10.0,122106,4999.0,100,157.37,1563.4141,1.0454338,118.29647517204285,1181.0854,1563.4141,0.34028834,0.024557838,0.5663268,1.0841132,[-0.046  0.484 -1.566 -2.209 -0.637],92.24129,3221853.5,1900,19,0.0034028837
-1,True,0.010637798,,66.57123,0.7611019,4998.8975,10.0,2041.1797,0.00078621774,981.2418,,1204.9803,1593.4792084097548,5.2429495,10.0,138144,4998.8975,100,160.38,1593.4792,1.0637798,130.9279637336731,1297.0317,1593.4792,0.7538218,0.052429494,0.078621775,1.4773346,[-0.047  0.488 -1.645 -2.239 -0.638],67.68947,12167293.0,2000,20,0.007538218
-1,True,0.013684988,,26.4808,0.724277,4998.7104,9.999999,3457.8142,0.00010210987,1165.4185,,1462.8407,1777.6329570017622,15.073156,9.999999,156023,4998.7104,100,178.79,1777.6328,1.3684988,144.6371591091156,2344.1304,1777.6328,2.2802331,0.15073156,0.010210987,3.3091514,[-0.035  0.516 -1.696 -2.256 -0.658],30.219227,85870616.0,2100,21,0.02280233
-1,True,0.011401,,62.994907,0.7047345,4999.304,10.0,3092.8914,0.0010914452,1780.3739,,1454.8125,2392.6613156224007,4.284818,10.0,180048,4999.304,100,240.25,2392.6614,1.1401,162.24520683288574,2303.1912,2392.6614,0.8738179,0.04284818,0.109144524,1.6634669,[-0.023  0.471 -1.716 -2.246 -0.695],60.115414,16793732.0,2200,22,0.008738179
-1,True,0.010444116,,59.630604,0.6781336,4988.9883,10.0,2728.1462,0.0011067211,1728.2731,9.988653,1603.4639,2340.52035952851,6.7152023,10.0,203551,4998.977,100,235.03,2330.5315,1.0444114,180.18372082710266,1973.8687,2340.5203,0.85933596,0.06715202,0.11067212,1.51778,[-0.013  0.487 -1.772 -2.229 -0.714],65.885704,12645857.0,2300,23,0.008593359
-1,True,0.010849454,,54.538193,0.65839374,4989.236,10.0,3333.023,0.0016687872,1976.3938,9.980182,1686.8756,2588.6701563855822,5.345187,10.0,229526,4999.216,100,259.75,2578.6902,1.0849454,199.77751636505127,2532.4165,2588.6704,0.9905602,0.05345187,0.16687873,1.7097913,[-0.016  0.472 -1.802 -2.214 -0.741],58.48667,20803144.0,2400,24,0.009905602
-1,True,0.028624255,,1.657332,0.59283495,4639.543,10.0,13219.148,5.631494e-07,2190.929,359.64398,1561.9353,2803.202087127824,221.0581,10.0,257650,4999.187,100,281.24,2443.558,2.8624256,222.726824760437,7754.408,2803.2021,22.049583,2.210581,5.631494e-05,79.66159,[-0.019  0.44  -1.846 -2.186 -0.761],1.25531,10588852000.0,2500,25,0.22049583
-1,True,0.011910401,,40.08502,0.5907356,4999.151,10.0,4184.068,0.0009203246,2453.1123,,1611.7958,3065.3804685742493,9.054703,10.0,288387,4999.151,100,307.37,3065.3806,1.1910402,247.18345880508423,3218.8823,3065.3806,1.4561398,0.090547025,0.09203246,2.4850664,[-0.014  0.396 -1.855 -2.207 -0.826],40.24037,48909136.0,2600,26,0.014561397
-1,True,0.011967426,,20.312807,0.55423874,4989.2363,10.0,4515.332,0.00014843699,2338.0095,9.980502,1653.7593,2950.2859855040747,15.912232,10.0,317975,4999.217,100,295.88,2940.3057,1.1967425,267.39764976501465,3274.1255,2950.286,2.3703365,0.15912232,0.0148436995,4.109537,[-0.011  0.418 -1.858 -2.171 -0.828],24.333641,147406740.0,2700,27,0.023703365
-1,True,0.019847922,,2.3211265,0.48987007,4999.328,10.0,9058.258,2.535051e-06,3038.378,,1597.3656,3650.668200867495,129.5517,10.0,354546,4999.328,100,365.71,3650.6682,1.9847922,294.5263342857361,5313.2437,3650.6682,12.875555,1.295517,0.0002535051,37.410404,[-0.004  0.42  -1.868 -2.119 -0.865],2.6730533,4185641200.0,2800,28,0.12875555
