InitialReturnMax,InitialReturnStd,MeanEntropy,StdIW,Bound,MinIW,ReturnMeanIW,ESSClassic,TimestepsSoFar,MaxIWNorm,EmpiricalD2,EpThisIter,OptimizationReturnMax,ESSRenyi,Iteration,InitialReturnMin,InitialReturnMean,MinIWNorm,EpisodesSoFar,OptimizationReturnMin,VarianceInit,ReturnStepMax,MaxIW,MeanIW,MeanIWNorm,StdIWNorm,J_sample_variance,EpLenMean,Weights,LearnableVariance,OptimizationReturnMean,EpRewMean,ReturnStepMaxmin,InitialBound,TimeElapsed
329.89252,41.564095,1.2881955,1.4135315,41.06287,0.0014396359,97.08389,36.554314,621,0.13465907,1.922498,100,329.89252,52.01566,1,,52.065,1.4396358e-05,100,,-1,9.9999895,13.465907,1.072936,0.010729361,0.014135318,197718.12,6.21,[ 0.  0.  0. -0.  0.],True,52.065,52.06499812389933,9.9999895,11.661575,1.266254186630249
379.7696,68.24756,1.4326975,3.7651165,96.05152,0.17633061,173.27882,10.905308,1604,0.3728961,2.7568307,100,379.7696,36.273537,2,,88.24212,0.0017633061,200,,-1,9.999995,37.28961,1.31726,0.0131726,0.037651163,592880.0,9.83,[-0.332 -0.178 -0.288 -0.218 -0.131],True,88.24212,88.24212653428263,9.999995,41.730038,3.217015504837036
309.87494,68.94174,1.1842167,2.419046,125.44033,0.011393813,197.44524,19.616686,2631,0.20830125,3.5996475,100,309.87494,27.780499,3,,92.63927,0.000113938135,300,,-1,9.999969,20.830126,1.1950167,0.011950166,0.024190458,485601.84,10.27,[-0.829 -0.071 -0.628 -0.374  0.014],True,92.63927,92.63926027182347,9.999969,54.687477,5.394235610961914
519.8325,111.530426,1.1278822,4.991626,299.19232,0.0024194391,493.1569,9.269074,4169,0.36446476,9.281683,100,519.8325,10.773909,4,,143.7147,2.419439e-05,400,,-1,9.999997,36.446476,1.5954475,0.015954474,0.04991626,5597845.5,15.38,[-1.21   0.065 -0.883 -0.641 -0.235],True,143.7147,143.7147121818992,9.999997,80.04848,7.8459367752075195
649.7473,135.9275,1.123919,0.68051624,162.61511,0.41019475,256.00412,66.90701,6312,0.04633882,1.3772454,100,649.7473,72.6087,5,,204.1818,0.0041019474,500,,-1,10.0,4.633882,0.96762335,0.009676234,0.0068051624,197492.58,21.43,[-1.234  0.12  -1.039 -1.117 -0.291],True,204.1818,204.18178699577228,10.0,124.604324,10.584825038909912
649.82184,122.961876,0.9811351,120.316826,3302.7676,4.01996e-05,4658.3945,1.0878649,8979,12.096032,290.13528,100,649.82184,0.3446668,6,,256.56656,4.01996e-07,600,,-1,9.999999,1209.6033,12.617958,0.12617958,1.2031682,1999418600.0,26.67,[-1.247  0.272 -1.19  -1.254 -0.295],True,256.56656,256.566545123627,9.999999,176.97992,13.366650819778442
1009.8117,189.05263,0.75082797,105.84469,2705.7197,1.456519e-07,5111.5166,1.0503775,13099,10.64023,378.39536,100,999.83154,0.26427385,7,9.980151,401.80994,1.4565189e-09,700,,-1,9.999999,1064.0231,10.905227,0.10905227,1.0584469,2393081000.0,41.2,[-1.078  0.514 -1.384 -1.765 -0.438],True,391.82977,401.8099258813681,9.999999,278.13376,17.40343141555786
1379.6976,201.48297,0.6371766,3.9235365,590.36804,0.00027193394,1028.9867,15.484932,18458,0.25007072,6.737754,100,1379.6976,14.841742,8,,525.683,2.7193394e-06,800,,-1,10.0,25.007072,1.679443,0.01679443,0.039235365,8715183.0,53.59,[-0.918  0.575 -1.387 -1.952 -0.668],True,525.683,525.6829159444297,10.0,356.70514,22.88188862800598
1039.5851,160.2294,0.637117,0.2590602,403.41672,0.5391337,535.7118,93.89848,23763,0.019333113,1.0796325,100,1009.6283,92.62411,9,29.956785,520.2905,0.005391337,900,,-1,10.0,1.9333113,1.0162758,0.010162758,0.002590602,53531.723,53.05,[-0.894  0.557 -1.422 -2.099 -0.782],True,490.3337,520.2904819912603,10.0,392.9678,28.235337257385254
1229.7507,163.66629,0.53716344,1.8576355,441.23035,0.035948724,699.6187,33.68432,29011,0.111524954,2.9432049,100,1219.7668,33.976566,10,9.983843,514.5761,0.00035948723,1000,,-1,9.999999,11.152495,1.3239337,0.013239336,0.018576356,1276938.2,52.48,[-0.909  0.58  -1.406 -2.063 -0.782],True,504.59232,514.5761523663723,9.999999,363.963,33.041990756988525
