InitialReturnStd,InitialReturnMean,OptimizationReturnMin,EpLenMean,ReturnMeanIW,MaxIW,MeanIW,OptimizationReturnMax,EpRewMean,Iteration,StdIWNorm,ESSClassic,InitialReturnMax,EpThisIter,ReturnStepMaxmin,EpisodesSoFar,ESSRenyi,OptimizationReturnMean,MeanEntropy,TimeElapsed,Bound,MinIW,LearnableVariance,InitialReturnMin,MaxIWNorm,Weights,StdIW,TimestepsSoFar,ReturnStepMax,MinIWNorm,J_sample_variance,EmpiricalD2,MeanIWNorm,VarianceInit,InitialBound
45.863834,77.05167,,8.71,132.42831,19.349766,1.1361413,239.93079,77.05166722692795,1,0.0216111,21.653593,249.91089,100,9.999999,100,29.771526,67.071556,0.4189424,0.7889785766601562,76.33252,0.044645656,,9.980106,0.19349766,[ 0. -0. -0. -0.],2.1611104,871,9.999999,0.00044645654,193916.44,3.3589141,0.011361413,-1.0,46.443954
79.78935,99.84189,,10.99,115.22591,3.9966664,0.9901031,369.897,99.84188543916069,2,0.0046941517,81.64745,379.87714,100,9.999999,200,84.4585,89.86175,0.4189424,2.1973485946655273,64.60066,0.30239186,,9.980138,0.039966665,[-0.072  0.29  -0.162 -0.359],0.46941516,1970,9.999999,0.0030239185,22626.809,1.1840134,0.009901032,-1.0,53.31662
107.03443,131.0257,,14.11,187.73679,6.929594,1.0167431,529.84283,131.0257108062232,3,0.009468193,53.556557,529.84283,100,9.999998,300,57.04778,131.0257,0.4189424,3.270552158355713,101.82093,0.0743683,,,0.069295935,[-0.157  0.361 -0.273 -0.466],0.9468193,3381,9.999998,0.00074368296,217653.05,1.7529166,0.010167432,-1.0,66.13348
164.72006,197.98994,,20.81,820.281,63.530056,1.5131683,939.4921,197.9899439802187,4,0.06297049,5.4590874,949.47595,100,9.999998,400,43.727444,188.00613,0.4189424,4.298571348190308,644.4269,0.03913079,,9.983812,0.6353005,[-0.156  0.341 -0.351 -0.585],6.297049,5462,9.999998,0.00039130787,35515836.0,2.2868934,0.015131683,-1.0,81.70336
161.05952,261.16968,,27.13,997.4167,127.61101,2.1472714,699.7898,261.1697047748159,5,0.1265459,2.7986586,709.771,100,9.999999,500,3.3149023,251.18849,0.4189424,5.544702053070068,519.966,0.0027939081,,9.981213,1.27611,[-0.224  0.442 -0.601 -0.74 ],12.654591,8175,9.999999,2.793908e-05,54572224.0,30.166801,0.021472715,-1.0,174.24088
283.3763,360.82364,,37.1,17692.133,1425.1177,15.272246,1429.5745,360.8236419476866,6,1.417285,1.1478301,1439.5563,100,9.999999,600,0.467167,350.84183,0.4189424,7.1406567096710205,15112.617,0.00327078,,9.981781,14.251177,[-0.066  0.361 -0.604 -0.885],141.7285,11885,9.999999,3.2707798e-05,28247742000.0,214.05621,0.15272245,-1.0,184.51468
407.65137,693.7218,,70.4,1017.40717,5.781954,1.2172084,1939.4779,693.7217429174956,7,0.01285874,47.258823,1959.4468,100,10.0,700,43.523987,673.75287,0.4189424,9.488919734954834,653.64734,0.06565049,,19.96883,0.057819538,[-0.171  0.425 -0.945 -1.096],1.285874,18925,10.0,0.00065650494,2158158.8,2.2975836,0.012172085,-1.0,453.7395
383.4014,682.622,,69.29,714.8331,1.9958572,0.9946859,1669.3607,682.6221206967646,8,0.0026366275,93.435005,1669.3607,100,10.0,800,94.04251,682.622,0.4189424,11.20241928100586,504.0025,0.52741754,,,0.019958572,[-0.178  0.383 -0.964 -1.126],0.26366276,25854,10.0,0.005274175,257649.38,1.0633489,0.0099468585,-1.0,478.16803
405.1941,810.7897,,82.11,1058.4058,5.5118594,1.0521684,2339.4717,810.7896792849222,9,0.009904091,53.02084,2369.418,100,10.0,900,57.55936,780.84344,0.4189424,13.141463279724121,675.9076,0.07184304,,29.946169,0.055118594,[-0.191  0.39  -0.995 -1.147],0.9904091,34065,10.0,0.00071843044,2278479.2,1.7373369,0.010521684,-1.0,520.59644
547.6036,970.44653,,98.08,1853.8406,14.196793,1.2684778,3178.8623,970.4465441964828,10,0.019278795,30.212345,3178.8623,100,10.0,1000,30.43222,970.44653,0.4189424,15.489368438720703,1148.0912,0.044878606,,,0.14196792,[-0.181  0.405 -1.167 -1.217],1.9278798,43873,10.0,0.00044878604,28565360.0,3.285991,0.012684776,-1.0,581.11694
522.1906,1129.9391,,114.03,2295.8018,41.03631,1.7358234,2529.5159,1129.939182555642,11,0.049403075,10.988742,2579.442,100,10.0,1100,11.759877,1080.0132,0.4189424,18.289920330047607,1374.5676,0.0017382399,,49.926025,0.41036308,[-0.178  0.458 -1.268 -1.342],4.9403076,55276,10.0,1.73824e-05,70317330.0,8.50349,0.017358234,-1.0,814.02325
642.05273,1119.3124,,112.97,1254.6788,3.8609354,1.03983,3728.7295,1119.3124087758392,12,0.004792429,82.479965,3738.7114,100,9.999999,1200,82.32887,1109.3306,0.4189424,21.58616352081299,750.02747,0.3620629,,9.98182,0.038609352,[-0.21   0.542 -1.32  -1.327],0.47924295,66573,9.999999,0.003620629,2342848.2,1.2146407,0.010398299,-1.0,661.4156
