EpisodesSoFar,OptimizationReturnMin,OptimizationReturnMax,InitialBound,EpLenMean,TimeElapsed,VarianceInit,InitialReturnMean,ReturnMeanIW,StdIW,EpRewMean,OptimizationReturnMean,Weights,ESSRenyi,ReturnStepMax,InitialReturnMax,ReturnStepMaxmin,EmpiricalD2,StdIWNorm,J_sample_variance,InitialReturnStd,MinIW,LearnableVariance,EpThisIter,MaxIWNorm,MeanIWNorm,InitialReturnMin,ESSClassic,MeanEntropy,MeanIW,Bound,MinIWNorm,TimestepsSoFar,Iteration,MaxIW
100,,189.94368,48.26179,8.28,1.3230984210968018,-1.0,72.74739,126.41382,2.357355,72.74739175438627,62.76699,[0. 0. 0. 0.],44.366272,9.999999,199.92407,9.999999,2.2539644,0.023573551,74579.7,42.337128,0.19202496,,100,0.16128026,0.014038648,9.980396,26.18022,0.4189424,1.4038649,89.653076,0.0019202495,828,1,16.128027
200,,289.87564,49.42766,9.62,3.860363721847534,-1.0,86.152565,120.86893,1.1778286,86.15257051640705,76.170586,[-0.621  0.035 -0.637  0.19 ],50.997463,9.999996,299.85764,9.999996,1.9608818,0.011778285,41867.54,49.87224,0.06083196,,100,0.09312206,0.011067374,9.981983,46.891205,0.4189424,1.1067375,69.44249,0.0006083196,1790,2,9.312206
300,,359.77182,63.54828,11.89,5.645681381225586,-1.0,108.83391,122.19496,0.36119223,108.83390849551387,98.85012,[-0.872  0.205 -0.806 -0.037],84.13881,9.999999,369.7556,9.999999,1.1885122,0.0036119223,17683.402,77.03241,0.3655197,,100,0.023200354,0.009739266,9.983781,87.90912,0.4189424,0.97392654,72.82506,0.0036551969,2979,3,2.3200355
400,,329.97974,73.976204,12.69,7.908161163330078,-1.0,116.836205,274.6082,4.189861,116.83619507008942,96.86563,[-0.862  0.239 -0.852 -0.129],23.610298,9.999998,349.9503,9.999998,4.23544,0.041898612,1826431.9,80.6802,0.038799047,,100,0.4201248,0.013055754,19.970554,8.850332,0.4189424,1.3055753,186.40155,0.00038799047,4248,4,42.01248
500,,499.79218,126.14363,19.99,10.335516929626465,-1.0,189.80164,243.2422,0.7119684,189.80166358356357,169.82822,[-0.786  0.304 -1.006 -0.334],63.226456,10.0,519.7656,10.0,1.5816164,0.0071196845,111945.06,116.53561,0.1061076,,100,0.05199036,0.010317816,19.973446,67.74369,0.4189424,1.0317817,163.18439,0.001061076,6247,5,5.199036
600,,589.8716,176.32172,25.87,13.314429521560669,-1.0,248.56592,685.5537,8.492178,248.56594299931498,248.56592,[-0.773  0.374 -1.097 -0.448],8.124026,9.999999,589.8716,9.999999,12.309168,0.08492178,10522230.0,128.15108,0.0047534816,,100,0.8271117,0.01887368,,4.7069144,0.4189424,1.8873678,432.08905,4.7534813e-05,8834,6,82.711174
700,,1199.631,199.99518,35.83,17.753544330596924,-1.0,348.1416,399.91724,0.7146642,348.1416073096696,338.1622,[-0.66   0.392 -1.173 -0.62 ],74.39239,9.999999,1209.6105,9.999999,1.3442235,0.007146642,220052.27,190.84702,0.25127634,,100,0.0570714,0.010166965,9.979452,66.929596,0.4189424,1.0166966,228.1553,0.0025127635,12417,7,5.70714
800,,1049.7054,282.63025,42.26,22.230029106140137,-1.0,412.41495,602.05273,1.9098188,412.41500231654305,402.43237,[-0.646  0.404 -1.221 -0.691],36.56014,10.0,1059.688,10.0,2.7352195,0.019098189,1513165.1,170.29279,0.045392096,,100,0.16910234,0.012106886,9.982586,28.666481,0.4189424,1.2106887,387.40826,0.00045392095,16643,8,16.910234
900,,869.7765,320.3828,43.71,27.85492777824402,-1.0,426.9083,449.6045,0.45061493,426.90823005322255,426.9083,[-0.701  0.508 -1.282 -0.842],82.952736,9.999998,869.7765,9.999998,1.2055057,0.00450615,84352.68,187.83311,0.19351389,,100,0.023243288,0.01030661,,83.95233,0.4189424,1.030661,332.64435,0.0019351388,21014,9,2.324329
1000,,1179.5504,346.11322,50.2,32.764068841934204,-1.0,491.80087,547.9776,0.5649817,491.8008790784099,481.81644,[-0.694  0.482 -1.287 -0.87 ],73.86204,9.999999,1189.5348,9.999999,1.3538754,0.0056498167,219146.25,237.8077,0.11160315,,100,0.033518795,0.010642465,9.98443,78.01359,0.4189424,1.0642467,378.46103,0.0011160314,26034,10,3.3518796
1100,,1119.6576,366.8162,51.66,37.20530915260315,-1.0,506.39203,671.64716,1.2196368,506.39204187886446,486.4178,[-0.796  0.542 -1.396 -0.899],49.288105,10.0,1139.6318,10.0,2.028887,0.012196369,840635.0,198.64626,0.1870144,,100,0.078266956,0.011908393,19.974302,48.80549,0.4189424,1.1908393,472.83673,0.0018701439,31200,11,7.826696
1200,,1449.7456,399.50705,58.73,43.54378080368042,-1.0,577.0639,650.2682,0.4557158,577.0639037817288,577.0639,[-0.77   0.558 -1.417 -0.99 ],85.35813,10.0,1449.7456,10.0,1.1715345,0.004557158,262052.67,257.44058,0.42499575,,100,0.03082252,0.01061792,,84.444595,0.4189424,1.061792,458.08517,0.0042499574,37073,12,3.082252
1300,,1359.6902,415.41302,59.46,48.84662318229675,-1.0,584.3856,693.5249,0.8470885,584.3856330531366,564.4202,[-0.791  0.592 -1.463 -1.048],66.98393,10.0,1379.6555,10.0,1.4928954,0.0084708845,504329.56,229.71967,0.16475907,,100,0.060191054,0.010566383,19.965368,60.875572,0.4189424,1.0566382,487.06726,0.0016475907,43019,13,6.0191054
1400,,1439.7178,410.92926,59.87,54.045233488082886,-1.0,588.48035,595.68054,0.10280437,588.4803578073377,578.50006,[-0.873  0.685 -1.522 -1.178],98.94524,9.999999,1449.6981,9.999999,1.01066,0.0010280437,64164.26,218.54066,0.6950824,,100,0.012310528,0.009957792,9.980297,98.9454,0.4189424,0.9957793,417.18567,0.006950824,49006,14,1.2310529
1500,,1419.5812,464.63568,68.67,61.187191009521484,-1.0,676.4386,685.6469,0.10100596,676.4385772676046,366.65622,[-0.895  0.705 -1.535 -1.204],98.7309,10.0,1729.3635,10.0,1.0128541,0.0010100596,162231.73,225.72691,0.79178226,,100,0.012770496,0.010058991,309.78238,99.001755,0.4189424,1.0058991,472.4871,0.007917822,55873,15,1.2770497
1600,,1519.5303,447.6945,65.75,67.98636674880981,-1.0,647.26373,683.1044,0.2816661,647.2637294270079,537.31805,[-0.915  0.726 -1.548 -1.217],91.06051,10.0,1629.476,10.0,1.0981709,0.0028166608,113331.25,221.7852,0.5279077,,100,0.01998819,0.010408945,109.94566,93.17715,0.4189424,1.0408944,473.96848,0.005279077,62448,16,1.998819
1700,,1799.5507,437.48212,67.18,74.61086225509644,-1.0,661.5506,750.6166,0.42609495,661.5506737468262,631.58984,[-0.928  0.751 -1.558 -1.208],85.23827,10.0,1829.5115,10.0,1.1731819,0.0042609493,345142.62,236.84084,0.47457558,,100,0.024248574,0.010568321,29.960823,86.0174,0.4189424,1.056832,507.9201,0.004745756,69166,17,2.4248574
1800,,1559.5984,474.71976,67.72,81.39514303207397,-1.0,666.9533,870.21967,1.4317998,666.9532956949278,656.9713,[-0.971  0.798 -1.607 -1.283],47.262405,10.0,1569.5803,10.0,2.1158466,0.014317999,1540290.2,265.72568,0.08320159,,100,0.110963866,0.012028787,9.981993,41.376335,0.4189424,1.2028787,590.5977,0.0008320159,75938,18,11.096387
1900,,1199.8484,555.29535,75.29,88.60960650444031,-1.0,742.6463,787.6953,0.3395793,742.6463595867896,412.78015,[-0.952  0.827 -1.702 -1.281],87.47053,10.0,1529.7146,10.0,1.1432422,0.0033957933,237699.38,232.75143,0.29507494,,100,0.018392516,0.010188658,329.8662,90.00224,0.4189424,1.0188658,587.37494,0.0029507494,83467,19,1.8392516
2000,,1529.5769,577.3684,77.62,95.3644745349884,-1.0,765.92523,771.0995,0.121204205,765.9252500315596,755.9422,[-0.963  0.828 -1.932 -1.279],98.53444,10.0,1539.56,10.0,1.0148736,0.001212042,89873.664,252.87465,0.73579234,,100,0.013371839,0.009960998,9.983151,98.54103,0.4189424,0.99609977,581.14557,0.0073579233,91229,20,1.337184
2100,,1549.6101,577.72327,77.9,103.31825399398804,-1.0,768.73346,824.55164,0.79730886,768.7334669931931,758.75256,[-0.966  0.833 -1.94  -1.296],72.821144,10.0,1559.5911,10.0,1.3732276,0.007973089,667561.94,256.66464,0.16729607,,100,0.047531206,0.010173974,9.980925,61.952244,0.4189424,1.0173974,600.7168,0.0016729606,99019,21,4.753121
2200,,1289.8987,655.12463,86.5,110.29050970077515,-1.0,854.71967,935.9732,0.5432632,854.7196463933049,514.93225,[-0.933  0.828 -1.982 -1.3  ],79.4634,10.0,1629.6862,10.0,1.258441,0.005432632,395956.94,247.68542,0.24186347,,100,0.02766015,0.010484107,339.7874,78.83273,0.4189424,1.0484107,712.067,0.0024186347,107669,22,2.766015
2300,,1579.6658,612.8757,81.66,116.54968214035034,-1.0,806.3445,2169.835,13.631615,806.3444046336845,806.3445,[-0.946  0.865 -2.014 -1.347],3.6141598,10.0,1579.6658,10.0,27.668947,0.13631618,252168690.0,258.29214,0.005382513,,100,1.3701569,0.02076868,,2.2685957,0.4189424,2.076868,1152.1646,5.382513e-05,115835,23,137.01569
2400,,1139.8782,690.0421,87.42,125.18106865882874,-1.0,863.92096,2397.646,13.141853,863.9209308430304,584.085,[-0.887  0.897 -2.026 -1.407],2.9382136,10.0,1419.7141,10.0,34.034286,0.13141854,173489440.0,231.52298,0.0072534843,,100,1.3152095,0.02141543,279.8359,2.5867722,0.4189424,2.141543,1383.2561,7.2534844e-05,124577,24,131.52095
2500,,1539.9187,722.0278,95.76,133.09967470169067,-1.0,947.3382,1096.449,0.45287907,947.338259319349,647.60516,[-0.783  0.862 -2.023 -1.472],80.37424,10.0,1839.6519,10.0,1.2441797,0.0045287907,404278.03,267.49933,0.2643457,,100,0.021885306,0.010970188,299.7331,85.438965,0.4189424,1.0970188,845.1314,0.002643457,134153,25,2.1885307
2600,,1709.6184,728.06464,94.77,142.85228776931763,-1.0,937.4493,1220.5326,1.5719181,937.4493081454585,937.4493,[-0.844  0.936 -2.136 -1.564],41.1901,9.999999,1709.6184,9.999999,2.4277678,0.01571918,2465617.2,236.43178,0.0685229,,100,0.11524713,0.013105905,,41.007935,0.4189424,1.3105906,894.2842,0.00068522897,143630,26,11.5247135
2700,,1969.6979,691.18445,94.39,153.10306119918823,-1.0,933.645,969.5828,0.23262645,933.6449845049116,923.6613,[-0.935  1.    -2.215 -1.674],95.17156,10.0,1979.6815,10.0,1.050734,0.0023262643,173907.4,272.6917,0.4430148,,100,0.017761374,0.010281427,9.983682,95.13002,0.4189424,1.0281428,721.048,0.004430148,153069,27,1.7761374
