Inner Iteration,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMin,Bound,ESSRenyiHarmonic,LearnableVariance,WReturnMean,TimestepsSoFar,MeanD2-0,InitialReturnStd,EpLenMean,MinBehavPdf,MinTargetPdf,MinIW,EpRewMean,MeanIW,ReturnMeanIW,EpThisIter,ESSRenyiArithmetic,Weights,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,Iteration,StdWReturnMean,InitialBound,TimeElapsed,MaxIW,EpisodesSoFar,DivergenceHarmonic,ReturnStepMax,StdIW,VarianceInitializer,InitialReturnMean,Penalization
1,1.0,1.0,9.98297,-3.4624126e+17,100.0,,9315.919,898,1.0,54.35938,8.98,-11.834084,-11.834084,0.05192948,79.75573281757119,79312.02,452554620.0,100,100.0,[ 0. -0. -0.  0.],279.9594,9.999999,0.4189424,1,,-13841.035,1.1540398597717285,4177386.5,100,5.8546194e+27,9.999999,493217.28,-1,79.75573,True
1,1.0,1.0,9.98649,-1.8646948e+19,100.0,,19789.996,2154,1.0,80.2673,12.56,-30.741987,-30.741987,0.3845438,115.52989935927496,1703.2478,50842816.0,100,100.0,[-0.15  -0.319 -0.072 -0.347],369.8736,9.999999,0.4189424,2,,-27688.527,3.2924916744232178,70349.1,200,5.5734406e+30,9.999999,7578.235,-1,115.5299,True
1,1.0,1.0,19.96054,-5958501000000.0,100.0,,132907.89,5255,1.0,207.24757,31.01,-52.523224,-52.523224,0.09343127,299.92722047043657,8.759779,1637026.8,100,100.0,[-0.18   0.071 -0.49  -1.167],1119.8221,9.999999,0.4189424,3,,-205307.83,4.185235023498535,72.988525,300,6773278300000000.0,9.999999,11.769276,-1,299.92722,True
1,1.0,1.0,9.980606,-51755760000000.0,100.0,,446101.38,10640,1.0,408.66177,53.85,-80.80687,-80.80687,0.053368106,528.2962860643427,1436.8687,388092260.0,100,100.0,[-0.11   0.174 -0.503 -1.16 ],1799.6086,10.0,0.4189424,4,,-633082.06,5.5973780155181885,113928.0,400,7.661606e+16,10.0,11339.935,-1,528.29626,True
1,1.0,1.0,19.962751,-12664775000000.0,100.0,,397068.62,16262,1.0,304.0103,56.22,-54.48806,-54.48806,0.113312624,551.9477920150554,460.70532,234168350.0,100,100.0,[-0.092  0.291 -0.528 -1.132],1509.6102,9.999999,0.4189424,5,,-528642.7,6.92277979850769,25559.336,500,9264904000000000.0,9.999999,2802.7554,-1,551.9478,True
1,1.0,1.0,9.981544,-1.9235997e+17,100.0,,355978.28,21313,1.0,333.25864,50.51,-62.401375,-62.401375,0.04303406,494.8908491426428,23638.783,29278874000.0,100,100.0,[-0.134  0.192 -0.537 -1.194],1569.5515,9.999999,0.4189424,6,,-498208.44,8.041354894638062,1452733.0,600,1.8291451e+24,9.999999,148581.08,-1,494.89087,True
1,1.0,1.0,9.981388,-1110385500000.0,100.0,,394469.8,26625,1.0,350.84662,53.12,-64.056274,-64.056274,0.0524614,520.9380819580779,11.840595,10726744.0,100,100.0,[-0.045  0.278 -0.552 -1.198],1569.6685,9.999999,0.4189424,7,,-536721.2,9.299777507781982,173.03929,700,60929656000000.0,9.999999,28.225979,-1,520.9381,True
1,1.0,1.0,9.982996,-110170640000.0,100.0,,648281.6,33765,1.0,391.17053,71.4,-103.87846,-103.87846,0.16837867,703.752270611422,170.9553,98709784.0,100,100.0,[-0.149  0.266 -0.619 -1.195],2389.2844,10.0,0.4189424,8,,-977873.6,10.787107944488525,1675.435,800,111532910000.0,10.0,350.60123,-1,703.7523,True
1,1.0,1.0,19.963701,-2.0099023e+20,100.0,,845442.9,41793,1.0,466.28726,80.28,-89.48545,-89.48545,0.0070898645,792.4765190201983,2608.6526,3619053000.0,100,100.0,[-0.075  0.3   -0.668 -1.276],2179.2656,10.0,0.4189424,9,,-1119639.1,12.461733102798462,178708.89,900,5.3731698e+29,10.0,18080.559,-1,792.4765,True
1,1.0,1.0,9.980523,-92349190000000.0,100.0,,690908.75,49409,1.0,355.50674,76.16,-86.680145,-86.680145,0.12056546,751.3479127843377,55748.285,13779910000.0,100,100.0,[-0.167  0.257 -0.701 -1.341],1859.3708,9.999999,0.4189424,10,,-890514.56,14.033476829528809,4133245.0,1000,2.1399011e+17,9.999999,420377.72,-1,751.3479,True
1,1.0,1.0,19.970886,-115574640000000.0,100.0,,941215.25,57678,1.0,523.87646,82.69,-95.345695,-95.345695,0.09093055,816.5591224839004,5279.9604,7889127000.0,100,100.0,[-0.122  0.373 -0.716 -1.335],2269.533,10.0,0.4189424,11,,-1238597.0,15.859773397445679,405319.06,1100,1.510223e+17,10.0,40730.234,-1,816.5592,True
1,1.0,1.0,19.968803,-28902674000.0,100.0,,795886.4,64774,1.0,553.96356,70.96,-114.69999,-114.69999,0.051792484,699.2930725324318,3.0951033,5342303.0,100,100.0,[-0.045  0.395 -0.766 -1.416],2629.4043,10.0,0.4189424,12,,-1195054.4,17.615625619888306,45.331882,1200,5240917000.0,10.0,5.6970787,-1,699.293,True
1,1.0,1.0,,-122385620000000.0,100.0,,1003842.8,73301,1.0,542.51526,85.27,-115.78765,-115.78765,0.029497074,842.330093890032,195.35197,207884670.0,100,100.0,[-0.092  0.368 -0.78  -1.443],2818.9707,10.0,0.4189424,13,,-1462641.8,19.18917202949524,9589.378,1300,7.1157107e+16,10.0,1023.1426,-1,842.3301,True
1,1.0,1.0,9.983035,-11877466000.0,100.0,,1546840.2,83957,1.0,658.317,106.56,-145.42535,-145.42535,0.044592764,1055.205660030811,26.927732,46235724.0,100,100.0,[-0.086  0.265 -0.806 -1.508],2999.5093,10.0,0.4189424,14,,-2066288.2,21.180871725082397,299.8623,1400,518776420.0,10.0,54.956455,-1,1055.2057,True
1,1.0,1.0,9.980879,-2694607300000.0,100.0,,1506587.2,94541,1.0,639.03015,105.84,-132.28607,-132.28607,0.030127887,1047.9636452381214,35.441605,255985060.0,100,100.0,[-0.032  0.295 -0.813 -1.514],3579.0562,10.0,0.4189424,15,,-2246156.5,23.18783974647522,3250.2986,1500,13272590000000.0,10.0,323.1296,-1,1047.9636,True
1,1.0,1.0,29.950764,-616575100000.0,100.0,,1550735.4,105375,1.0,631.99854,108.34,-171.63217,-171.63217,0.24347274,1072.9926512573381,79.56509,157551220.0,100,100.0,[-0.09   0.313 -0.826 -1.507],3879.213,9.999999,0.4189424,16,,-2419554.0,25.304942846298218,2676.153,1600,503380870000.0,9.999999,340.15536,-1,1072.9927,True
1,1.0,1.0,,-1125274450000000.0,100.0,,1535464.9,115620,1.0,712.09656,102.45,-141.00607,-141.00607,0.0025298018,1014.0924115947194,3058.3462,13258170000.0,100,100.0,[-0.031  0.319 -0.837 -1.526],3509.1736,10.0,0.4189424,17,,-2246435.0,27.610586643218994,162333.14,1700,2.5050044e+18,10.0,20286.36,-1,1014.0924,True
1,1.0,1.0,9.986334,-8209614300.0,100.0,,1321572.5,124904,1.0,691.8757,92.84,-139.93506,-139.93506,0.10857832,918.0853303999023,24.020836,22606156.0,100,100.0,[-0.047  0.201 -0.876 -1.53 ],3458.902,9.999999,0.4189424,18,,-2012318.0,29.416520833969116,257.3846,1800,140481330.0,9.999999,41.766506,-1,918.0853,True
1,1.0,1.0,,-381198660000.0,100.0,,2029898.5,136415,1.0,853.70074,115.11,-205.86465,-205.86465,0.037299037,1140.6549598165332,9.135814,20855830.0,100,100.0,[-0.011  0.251 -0.888 -1.529],4708.704,10.0,0.4189424,19,,-3310001.0,31.458644151687622,69.02906,1900,88668815000.0,10.0,11.06776,-1,1140.655,True
