TimestepsSoFar,EpRewMean,EpLenMean,meankl,entropy,surrgain,EpisodesSoFar,TimeElapsed,optimgain,entloss,EpThisIter,ev_tdlam_before,DiscEpRewMean,Step_size
911,81.05393408024315,9.11,0.009886917,0.4189424,0.0061764577,100,50.43837356567383,0.0061764577,,100,,0.29955951690673827,1.0
1886,87.44492520105234,9.75,0.00941561,0.4189424,0.007531454,200,77.07211494445801,0.007531454,,100,,1.799205083847046,1.0
2972,98.53978587251505,10.86,0.009227214,0.4189424,0.008000071,300,132.22341513633728,0.008000071,,100,,4.096239376068115,1.0
4046,97.34714718682612,10.74,0.009854565,0.4189424,0.006603298,400,197.56804871559143,0.006603298,,100,,2.8986372566223144,1.0
5330,118.32689361666905,12.84,0.00944719,0.4189424,0.0090775415,500,236.604474067688,0.0090775415,,100,,5.596547813415527,1.0
6458,102.74133426456542,11.28,0.009776723,0.4189424,0.010642509,600,288.830228805542,0.010642509,,100,,2.5986219692230224,1.0
7756,119.7323111662305,12.98,0.009009435,0.4189424,0.0040781177,700,327.8488721847534,0.0040781177,,100,,3.8980874252319335,1.0
9278,142.13070955370608,15.22,0.009892488,0.4189424,0.008393274,800,368.4739828109741,0.008393274,,100,,3.997058506011963,1.0
10620,124.13432240879197,13.42,0.0099090645,0.4189424,0.010604171,900,425.13151025772095,0.010604171,,100,,2.498620767593384,1.0
12040,131.9244957574284,14.2,0.009793098,0.4189424,0.005191893,1000,473.9149441719055,0.005191893,,100,,3.697662744522095,1.0
13634,149.32005614299186,15.94,0.009695272,0.4189424,0.010530671,1100,506.50303983688354,0.010530671,,100,,5.497962837219238,1.0
15431,169.61204928723745,17.97,0.00986119,0.4189424,0.010163695,1200,540.1527338027954,0.010163695,,100,,5.6976082897186275,1.0
17531,199.90426125514742,21.0,0.009534779,0.4189424,0.007361847,1300,564.6453514099121,0.007361847,,100,,7.596813468933106,1.0
19309,167.7157213297557,17.78,0.009699994,0.4189424,0.008465166,1400,609.42613697052,0.008465166,,100,,4.8963564586639405,1.0
21209,179.90667484316805,19.0,0.009655839,0.4189424,0.0036456373,1500,624.2164797782898,0.0036456373,,100,,8.59558557510376,1.0
23099,178.9068318293292,18.9,0.0091117015,0.4189424,0.006381013,1600,664.1683993339539,0.006381013,,100,,7.896287832260132,1.0
24787,158.71961149353643,16.88,0.009230386,0.4189424,0.0056624,1700,685.2923488616943,0.0056624,,100,,7.796918363571167,1.0
26988,209.99335820662225,22.01,0.009686867,0.4189424,0.008633024,1800,746.7951531410217,0.008633024,,100,,7.79553376197815,1.0
29429,233.98510887079948,24.41,0.010009411,0.4189424,0.010858244,1900,782.4889044761658,0.010858244,,100,,7.49543176651001,1.0
32173,264.27997885942716,27.44,0.009951694,0.4189424,0.013027117,2000,820.9148209095001,0.013027117,,100,,13.594182176589966,1.0
35458,318.3504433192244,32.85,0.009984845,0.4189424,0.012082199,2100,852.7456197738647,0.012082199,,100,,22.990153894424438,1.0
40917,535.6717458474396,54.59,0.009904623,0.4189424,0.018678471,2200,886.987461566925,0.018678471,,100,,56.97760815620423,1.0
46437,541.783353812613,55.2,0.00906767,0.4189424,0.013754109,2300,938.180374622345,0.013754109,,100,,81.57008632659912,1.0
51533,499.3923296848481,50.96,0.009932171,0.4189424,0.013529805,2400,958.402765750885,0.013529805,,100,,41.581980562210084,1.0
58212,657.6590741425763,66.79,0.009827304,0.4189424,0.014302734,2500,1002.7317173480988,0.014302734,,100,,88.1659834766388,1.0
65626,731.1296954642817,74.14,0.009622461,0.4189424,0.015070234,2600,1038.3488836288452,0.015070234,,100,,103.06293655395508,1.0
75103,937.3695686791651,94.77,0.009657931,0.4189424,0.008896113,2700,1086.2191400527954,0.008896113,,100,,194.22708415985107,1.0
85342,1013.6076174323974,102.39,0.009341902,0.4189424,0.0082815355,2800,1114.5766785144806,0.0082815355,,100,,213.237428150177,1.0
97072,1162.6666178789576,117.3,0.00978151,0.4189424,0.013468238,2900,1148.0597760677338,0.013468238,,100,,241.53437341690062,1.0
109169,1199.4062560077691,120.97,0.009500875,0.4189424,0.0076874476,3000,1202.2394995689392,0.0076874476,,100,,297.8284770202637,1.0
121175,1190.3326368462185,120.06,0.009545328,0.4189424,0.009463404,3100,1240.9631371498108,0.009463404,,100,,289.7336011123657,1.0
131938,1066.0891270067434,107.63,0.0075250026,0.4189424,0.010304975,3200,1278.4103503227234,0.010304975,,100,,233.05395874023438,1.0
143309,1126.8913932451164,113.71,0.008331791,0.4189424,0.008197109,3300,1335.1308653354645,0.008197109,,100,,246.15325114250183,1.0
156948,1353.680919749892,136.39,0.0087668635,0.4189424,0.006140136,3400,1394.3060772418976,0.006140136,,100,,386.73775300979617,1.0
169602,1255.1739510414302,126.54,0.0099514695,0.4189424,0.014176098,3500,1436.2751777172089,0.014176098,,100,,324.94194696426393,1.0
182170,1246.5850258368575,125.68,0.009676812,0.4189424,0.009186863,3600,1475.9347066879272,0.009186863,,100,,323.74705021858216,1.0
193931,1165.906805698478,117.61,0.0099109085,0.4189424,0.019878443,3700,1515.1186861991882,0.019878443,,100,,269.05253398895263,1.0
204916,1088.3034776600841,109.85,0.008074651,0.4189424,0.0076232897,3800,1575.6679470539093,0.0076232897,,100,,228.55673444747924,1.0
217245,1222.6853141689655,123.29,0.008732528,0.4189424,0.010635423,3900,1602.7065908908844,0.010635423,,100,,300.5463193511963,1.0
229145,1179.8009832574423,119.0,0.008412926,0.4189424,0.007693362,4000,1637.2622661590576,0.007693362,,100,,267.6533633327484,1.0
240941,1169.4144049083434,117.96,0.0062558665,0.4189424,0.002647992,4100,1663.428127527237,0.002647992,,100,,274.0555278110504,1.0
254129,1308.6034399729378,131.88,0.005697119,0.4189424,0.008407881,4200,1696.482299566269,0.008407881,,100,,367.44632622718814,1.0
