entropy,optimgain,meankl,EpisodesSoFar,ev_tdlam_before,surrgain,DiscEpRewMean,EpLenMean,TimestepsSoFar,entloss,EpRewMean,EpThisIter,TimeElapsed,Step_size
0.4189424,0.0069360584,0.009051971,100,,0.0069360584,1.9989609432220459,9.17,917,,81.6509691733491,100,5.827073097229004,1.0
0.4189424,0.0074479384,0.009230232,200,,0.0074479384,3.4988593101501464,9.54,1871,,85.35028136056093,100,11.293667078018188,1.0
0.4189424,0.0078022224,0.009778763,300,,0.0078022224,1.5986463356018066,10.31,2902,,93.04219144551585,100,16.571138858795166,1.0
0.4189424,0.01056615,0.0092201065,400,,0.01056615,2.4988208770751954,11.3,4032,,102.93373745241331,100,22.045793056488037,1.0
0.4189424,0.009455327,0.00981359,500,,0.009455327,3.3979702281951902,13.4,5372,,123.9312830929708,100,27.47489309310913,1.0
0.4189424,0.006622633,0.009486671,600,,0.006622633,2.798897190093994,13.6,6732,,125.92918857908043,100,32.34325051307678,1.0
0.4189424,0.0047641555,0.0099955145,700,,0.0047641555,2.9978976821899415,13.41,8073,,124.0307511749896,100,37.684187173843384,1.0
0.4189424,0.008951567,0.00998426,800,,0.008951567,1.7991619873046876,14.9,9563,,138.9232604514435,100,42.91887903213501,1.0
0.4189424,0.011617978,0.00961318,900,,0.011617978,3.2980824279785157,19.66,11529,,186.50126580770888,100,48.561394691467285,1.0
0.4189424,0.006788385,0.009777603,1000,,0.006788385,5.796845874786377,17.69,13298,,166.8053585925899,100,54.23606300354004,1.0
0.4189424,0.009007338,0.009547649,1100,,0.009007338,12.89321346282959,19.02,15200,,180.1136133093861,100,59.76725363731384,1.0
0.4189424,0.008871361,0.00982923,1200,,0.008871361,11.195079374313355,20.07,17207,,190.60159103095026,100,65.4707465171814,1.0
0.4189424,0.008937957,0.009935252,1300,,0.008937957,6.596005058288574,18.95,19102,,179.40240911837986,100,71.26886224746704,1.0
0.4189424,0.00855551,0.009869936,1400,,0.00855551,9.594767990112304,21.81,21283,,207.99277689056217,100,77.15186214447021,1.0
0.4189424,0.0033110587,0.008894491,1500,,0.0033110587,8.396411056518554,24.19,23702,,231.78559431294997,100,82.94696879386902,1.0
0.4189424,0.011406271,0.009962426,1600,,0.011406271,8.794860935211181,20.22,25724,,192.10359822904792,100,88.47690510749817,1.0
0.4189424,0.0134331435,0.009948914,1700,,0.0134331435,11.194241743087769,26.06,28330,,250.47484336421297,100,93.93616819381714,1.0
0.4189424,0.011395066,0.00993285,1800,,0.011395066,19.490971660614015,31.52,31482,,305.0652570186333,100,99.36630892753601,1.0
0.4189424,0.015140575,0.010000888,1900,,0.015140575,25.08796959877014,37.5,35232,,364.83449295021654,100,105.36078381538391,1.0
0.4189424,0.008969167,0.0095641855,2000,,0.008969167,48.07734851837158,45.46,39778,,444.39870058067345,100,111.8864676952362,1.0
0.4189424,0.020517148,0.00955883,2100,,0.020517148,68.97353861808777,51.57,44935,,505.4962434384384,100,118.92675137519836,1.0
0.4189424,0.01360734,0.009942059,2200,,0.01360734,56.77421304702759,49.49,49884,,484.6828228570674,100,125.43322467803955,1.0
0.4189424,0.015276296,0.00981283,2300,,0.015276296,79.3697901725769,60.35,55919,,593.2685918706859,100,132.44796776771545,1.0
0.4189424,0.02582681,0.009581753,2400,,0.02582681,96.27143630027771,68.08,62727,,670.5635814273894,100,140.34335112571716,1.0
0.4189424,0.023480225,0.009659665,2500,,0.023480225,137.45164353370666,79.27,70654,,782.4246672277094,100,149.19433736801147,1.0
0.4189424,0.026272764,0.0094447285,2600,,0.026272764,143.9502168750763,84.67,79121,,836.4131602586581,100,157.22335815429688,1.0
0.4189424,0.027407095,0.009914069,2700,,0.027407095,167.84898385047913,86.38,87759,,853.5354452333942,100,165.5639307498932,1.0
0.4189424,0.018721795,0.009943039,2800,,0.018721795,179.2454609489441,96.31,97390,,952.8224757284058,100,173.94342851638794,1.0
0.4189424,0.015037506,0.0084657315,2900,,0.015037506,196.74276610374451,101.13,107503,,1001.0179276575966,100,183.22647547721863,1.0
0.4189424,0.018513823,0.009174771,3000,,0.018513823,206.34282133102417,102.63,117766,,1016.0248618698652,100,192.3729350566864,1.0
0.4189424,0.015695898,0.009729769,3100,,0.015695898,249.43547499656677,111.83,128949,,1108.021568237963,100,202.3555064201355,1.0
0.4189424,0.0130567225,0.009857798,3200,,0.0130567225,219.1475178337097,110.57,140006,,1095.4424626750563,100,211.24235272407532,1.0
0.4189424,0.004933093,0.0047854334,3300,,0.004933093,244.24427634239197,115.0,151506,,1139.7544886857586,100,219.44641733169556,1.0
0.4189424,0.0057441993,0.007826218,3400,,0.0057441993,265.94378922462465,110.25,162531,,1092.2565660722407,100,227.30588173866272,1.0
0.4189424,0.009232776,0.009091025,3500,,0.009232776,220.75071915626526,115.19,174050,,1141.6735659767248,100,235.16300344467163,1.0
0.4189424,0.0069029615,0.0040621767,3600,,0.0069029615,255.15007113456727,111.76,185226,,1107.3746220475268,100,243.19568300247192,1.0
0.4189424,0.0030841238,0.0075466274,3700,,0.0030841238,283.74511323928834,120.2,197246,,1191.7697915177193,100,253.43193101882935,1.0
0.4189424,0.0118790725,0.009652118,3800,,0.0118790725,316.53823885917666,121.5,209396,,1204.7596700439274,100,264.4445424079895,1.0
