LearnableVariance,Iteration,OptimizationReturnMax,InitialReturnStd,MinIW,ESSClassic,ESSRenyi,J_sample_variance,MeanEntropy,MaxIWNorm,VarianceInit,InitialReturnMax,Bound,ReturnStepMaxmin,TimestepsSoFar,MeanIWNorm,ReturnMeanIW,MeanIW,OptimizationReturnMin,ReturnStepMax,InitialReturnMean,EmpiricalD2,MinIWNorm,InitialReturnMin,EpLenMean,StdIWNorm,MaxIW,TimeElapsed,EpRewMean,OptimizationReturnMean,EpThisIter,StdIW,EpisodesSoFar,InitialBound,Weights
,1,280.28604,60.28132,0.502431,78.86351,86.811386,25461.422,0.4189424,0.050557755,-1.0,370.85004,75.55048,9.359792,1881,0.0106220655,194.95787,1.0622064,,9.359792,172.76477,1.1519226,0.0050243097,90.563995,18.81,0.005499044,5.0557756,2.3456203937530518,172.76475646840152,82.20076,100,0.54990447,100,61.50975,[ 0. -0. -0. -0. -0. -0. -0. -0.  0.  0.  0.]
,2,383.0999,58.226234,0.71681106,98.81987,99.028366,10016.346,0.4189424,0.014381792,-1.0,464.5892,35.96141,9.359938,3777,0.010251677,176.02026,1.0251678,,9.359938,174.16248,1.0098116,0.0071681105,81.4893,18.96,0.0011203104,1.4381793,5.673305511474609,174.16247940070738,92.67317,100,0.11203104,200,34.785706,[ 0.004 -0.002 -0.001 -0.002 -0.003  0.015 -0.014 -0.02   0.     0.  0.   ]
,3,185.51968,44.141773,0.6145237,89.741234,90.36504,11521.4795,0.4189424,0.024513457,-1.0,266.76578,90.676125,9.35994,5571,0.010350559,174.8643,1.035056,,9.35994,164.58139,1.1066226,0.006145237,81.24609,17.94,0.003499577,2.4513457,8.25394320487976,164.5814019570603,83.33531,100,0.34995773,300,84.55166,[ 0.005 -0.004 -0.002  0.002 -0.001  0.009 -0.019 -0.021  0.     0.  0.   ]
,4,194.42636,40.590256,0.5116437,97.03886,97.59789,9138.401,0.4189424,0.015688367,-1.0,275.87524,90.66396,9.359841,7438,0.010083004,174.43883,1.0083005,,9.359841,171.32805,1.0246123,0.005116437,81.44889,18.67,0.0017613572,1.5688367,11.703453779220581,171.3280615119126,89.87917,100,0.17613572,400,88.56548,[ 0.005 -0.002 -0.003  0.005 -0.001  0.017 -0.024 -0.033  0.     0.  0.   ]
,5,308.9009,50.296745,0.3191766,91.649704,89.33735,13488.986,0.4189424,0.017271284,-1.0,390.49045,70.1528,9.359676,9380,0.010527884,194.09384,1.0527883,,9.359676,178.26054,1.1193527,0.003191766,81.58954,19.42,0.003177801,1.7271284,14.366788148880005,178.26053272068407,96.671,100,0.3177801,500,61.11342,[ 0.013  0.008  0.006  0.011  0.005  0.024 -0.012 -0.027  0.     0.  0.   ]
,6,355.62177,60.001606,0.40199324,37.774387,67.32771,153125.44,0.4189424,0.14724615,-1.0,446.18732,96.278,9.359928,11448,0.011998235,259.4109,1.1998235,,9.359928,189.99866,1.4852724,0.0040199324,90.56555,20.68,0.015399381,14.724615,17.80339026451111,189.99864165527197,99.4331,100,1.5399381,600,56.142456,[ 0.015  0.01   0.011  0.009 -0.     0.021 -0.006 -0.032  0.     0.  0.   ]
,7,417.94342,61.20208,0.42488903,90.943275,89.56145,17436.31,0.4189424,0.022886911,-1.0,499.5196,52.74939,9.359758,13521,0.010746845,211.09763,1.0746845,,9.359758,190.56348,1.1165519,0.00424889,81.57617,20.73,0.0033914184,2.2886913,22.15161967277527,190.5634896866586,108.98731,100,0.33914185,700,40.707626,[ 0.025  0.023  0.012  0.006 -0.004  0.058  0.007 -0.04   0.     0.  0.   ]
,8,309.5572,57.54373,0.23211037,90.18312,87.67335,18368.42,0.4189424,0.020427294,-1.0,408.75244,93.48451,9.359638,15732,0.010697768,224.44727,1.0697769,,9.359638,203.3398,1.1405975,0.0023211036,99.19527,22.11,0.0035295344,2.0427294,25.370338201522827,203.33980557008533,104.14454,100,0.35295343,800,80.71407,[ 0.032  0.021  0.013  0.012  0.004  0.066  0.008 -0.048  0.     0.  0.   ]
,9,289.34467,56.50409,0.5063625,87.03925,91.4329,16505.488,0.4189424,0.039384354,-1.0,379.89847,91.81334,9.359824,17913,0.010291016,211.00272,1.0291016,,9.359824,200.50427,1.0936983,0.005063625,90.553795,21.81,0.0039711446,3.9384356,28.256335973739624,200.5042743857153,109.95048,100,0.39711446,900,86.53474,[ 0.032  0.029  0.018  0.022  0.012  0.068  0.022 -0.049  0.     0.  0.   ]
,10,297.1409,55.10286,0.4747712,92.38913,92.96448,17076.115,0.4189424,0.022185497,-1.0,396.61383,82.713905,9.35921,20054,0.010245344,206.11829,1.0245343,,9.35921,196.71965,1.0756797,0.004747712,99.47293,21.41,0.0029405802,2.2185497,31.309382438659668,196.7196359010651,97.2467,100,0.29405802,1000,77.7355,[ 0.036  0.03   0.018  0.021  0.014  0.077  0.014 -0.058  0.     0.  0.   ]
,11,299.541,66.00692,0.05999396,80.39164,76.56107,33496.625,0.4189424,0.03855655,-1.0,399.19586,121.29649,9.359903,22425,0.0109477425,258.16492,1.0947741,,9.359903,218.3022,1.3061467,0.0005999396,99.65487,23.71,0.005406792,3.8556552,35.54978108406067,218.30220504758702,118.64733,100,0.54067916,1100,98.543434,[ 0.039  0.029  0.022  0.012  0.004  0.083  0.018 -0.06   0.     0.  0.   ]
,12,372.7616,67.834694,0.25291982,90.801285,89.572495,21371.234,0.4189424,0.017871195,-1.0,472.694,89.27425,9.359617,24832,0.010262647,239.1095,1.0262647,,9.359617,221.63336,1.1164142,0.002529198,99.9324,24.07,0.0032664556,1.7871196,39.76003623008728,221.6333692099155,121.70097,100,0.32664558,1200,79.82518,[ 0.047  0.03   0.028  0.003 -0.001  0.079  0.037 -0.061  0.     0.  0.   ]
,13,308.7487,57.717438,0.5600271,90.167915,93.71508,18603.879,0.4189424,0.03082032,-1.0,417.7367,100.124985,9.35994,27208,0.010726953,229.58008,1.0726951,,9.35994,218.66191,1.0670642,0.0056002713,108.988,23.76,0.003542196,3.082032,44.43791341781616,218.66190192972007,109.67389,100,0.35421965,1300,93.34091,[ 0.05   0.032  0.028  0.009  0.003  0.078  0.048 -0.064  0.     0.  0.   ]
,14,354.25214,64.970566,0.5455533,91.76989,92.98725,29337.732,0.4189424,0.02260323,-1.0,499.08417,85.82007,9.359761,29685,0.010370362,241.08856,1.0370361,,9.359761,228.1488,1.0754162,0.005455533,144.83203,24.77,0.003105603,2.260323,48.497122049331665,228.14879718465508,83.31676,100,0.31056032,1400,78.42357,[ 0.05   0.033  0.024  0.014  0.009  0.074  0.033 -0.068  0.     0.  0.   ]
,15,327.70642,72.30768,0.24983887,76.813866,77.69605,29024.8,0.4189424,0.034254633,-1.0,436.86865,129.57103,9.35991,32276,0.011331107,278.2579,1.1331108,,9.35991,238.91148,1.2870667,0.0024983888,109.16222,25.91,0.006225391,3.4254632,53.00742983818054,238.91148342228996,129.74925,100,0.62253916,1500,107.85089,[ 0.046  0.042  0.021  0.017  0.008  0.075  0.027 -0.076  0.     0.  0.   ]
,16,516.1264,72.141106,0.47133586,93.67151,93.47206,20712.545,0.4189424,0.019916197,-1.0,606.6815,64.41705,9.359691,34845,0.0102519505,252.66971,1.0251951,,9.359691,236.78908,1.0698384,0.0047133584,90.55513,25.69,0.0026647302,1.9916198,57.20848560333252,236.7890930013668,146.23396,100,0.26647303,1600,54.784653,[ 0.051  0.041  0.018  0.014  0.003  0.08   0.021 -0.091  0.     0.  0.   ]
,17,300.01306,64.6755,0.46129212,83.80866,87.129486,24680.682,0.4189424,0.027625054,-1.0,418.0814,118.056305,9.359895,37390,0.010815782,252.42545,1.0815783,,9.359895,234.5649,1.1477171,0.0046129213,118.06834,25.45,0.004753953,2.7625055,61.83908295631409,234.56489841373744,116.49656,100,0.47539526,1700,109.1405,[ 0.053  0.038  0.017  0.013 -0.001  0.069  0.017 -0.098  0.     0.  0.   ]
,18,327.9125,58.383533,0.40430194,93.01022,92.67433,21825.64,0.4189424,0.0201171,-1.0,446.32208,107.36058,9.359937,39936,0.010288064,246.44865,1.0288064,,9.359937,234.7373,1.0790474,0.0040430194,118.40957,25.46,0.0028203288,2.0117102,66.77160811424255,234.7373134709478,116.32774,100,0.2820329,1800,100.84068,[ 0.054  0.043  0.017 -0.001 -0.014  0.071  0.023 -0.094  0.     0.  0.   ]
,19,301.20642,56.80249,0.31111747,95.21559,94.12213,25602.182,0.4189424,0.016098194,-1.0,436.926,116.81517,9.359559,42503,0.010512862,251.92386,1.0512862,,9.359559,236.60664,1.0624493,0.0031111746,135.71956,25.67,0.0023565765,1.6098194,70.70653986930847,236.60663982226862,100.88707,100,0.23565768,1900,105.52884,[ 0.048  0.049  0.015  0.004 -0.007  0.067  0.03  -0.092  0.     0.  0.   ]
,20,280.08582,51.867233,0.4381501,95.76315,92.716324,28200.662,0.4189424,0.015087388,-1.0,425.8955,123.13049,9.359523,45121,0.010441269,255.82294,1.044127,,9.359523,241.39168,1.0785587,0.004381501,145.8097,26.18,0.0021962244,1.5087389,75.90460729598999,241.39168111954356,95.581985,100,0.21962245,2000,113.62303,[ 0.033  0.054  0.004  0.008 -0.004  0.056  0.018 -0.102  0.     0.  0.   ]
,21,401.60748,70.39943,0.6709446,98.72666,98.858345,27445.434,0.4189424,0.014746534,-1.0,547.3954,89.36113,9.359886,47848,0.0100605,254.52525,1.00605,,9.359886,251.69133,1.0115484,0.0067094457,145.78789,27.27,0.0011425402,1.4746534,81.99892091751099,251.691310403244,105.90342,100,0.11425403,2100,87.4727,[ 0.039  0.053 -0.     0.015  0.004  0.054  0.018 -0.108  0.     0.  0.   ]
,22,289.92554,56.34499,0.5003998,96.48906,95.21764,29984.475,0.4189424,0.015289822,-1.0,444.50568,125.470535,9.359675,50596,0.010165077,262.13004,1.0165076,,9.359675,253.60274,1.0502255,0.005003998,154.58014,27.48,0.0019390228,1.5289822,87.11116003990173,253.6027239477731,99.02259,100,0.19390228,2200,120.25102,[ 0.044  0.056  0.005  0.018  0.005  0.062  0.024 -0.107  0.     0.  0.   ]
,23,443.9552,66.74547,0.4366851,95.933075,95.78498,26213.33,0.4189424,0.01623806,-1.0,580.94574,93.42874,9.359825,53455,0.010196793,271.50586,1.0196793,,9.359825,264.02374,1.044005,0.004366851,136.99055,28.59,0.0020994812,1.623806,93.39575743675232,264.02374100861493,127.033195,100,0.20994812,2300,89.740036,[ 0.045  0.059  0.002  0.015  0.004  0.06   0.027 -0.112  0.     0.  0.   ]
,24,290.0404,59.028282,0.4959637,94.325645,93.30871,31438.348,0.4189424,0.023920732,-1.0,444.967,128.42656,9.35969,56212,0.010588337,266.62018,1.0588338,,9.35969,254.54326,1.0717113,0.004959637,154.92662,27.57,0.0025969974,2.3920732,98.52878189086914,254.54325074769167,99.61662,100,0.2596998,2400,121.05313,[ 4.421e-02  6.464e-02 -9.187e-05  1.624e-02  4.705e-03  5.808e-02  2.472e-02 -1.198e-01  0.000e+00  0.000e+00  0.000e+00]
