MinIW,Weights,MeanIWNorm,EmpiricalD2,InitialReturnMin,MaxIW,StdIW,InitialReturnMax,OptimizationReturnMax,MaxIWNorm,ReturnStepMax,Iteration,InitialBound,MinIWNorm,StdIWNorm,VarianceInit,J_sample_variance,ESSRenyi,ReturnMeanIW,EpThisIter,Bound,EpisodesSoFar,EpLenMean,ESSClassic,OptimizationReturnMin,MeanIW,MeanEntropy,TimeElapsed,InitialReturnStd,TimestepsSoFar,EpRewMean,LearnableVariance,ReturnStepMaxmin,InitialReturnMean,OptimizationReturnMean
0.54639125,[-0. -0.  0.  0.  0.  0. -0.  0.  0.  0.  0.],0.010261754,1.0311542,81.61586,1.4313083,0.15661052,341.44104,259.8252,0.014313082,9.359906,1,67.84528,0.005463912,0.0015661053,-1.0,10276.61,96.97871,175.83522,100,71.81955,100,18.55,97.723854,,1.0261753,0.4189424,3.7197675704956055,51.327484,1855,170.27759758027864,,9.359906,170.2776,88.661736
0.7341248,[ 0.003 -0.002  0.007 -0.004 -0.002 -0.013  0.009  0.006  0.     0.  0.   ],0.0102213295,1.0176075,108.741394,1.3851357,0.13220613,370.53296,261.79156,0.013851356,9.359965,2,56.422287,0.0073412475,0.0013220613,-1.0,14818.999,98.26972,169.87447,100,57.740227,200,18.26,98.35457,,1.0221331,0.4189424,8.032895565032959,50.003517,3681,167.58218243244298,,9.359965,167.58218,58.840786
0.39279896,[ 5.305e-03 -5.004e-05  9.236e-03  1.882e-03  1.506e-03 -2.116e-02  9.923e-03  9.764e-03  0.000e+00  0.000e+00  0.000e+00],0.011553855,1.1456467,90.645645,2.1576555,0.36851466,333.45813,242.81248,0.021576554,9.359811,3,67.58821,0.0039279894,0.003685146,-1.0,14010.406,87.28694,188.36449,100,81.28952,300,18.26,90.76622,,1.1553855,0.4189424,12.252029657363892,47.92989,5507,167.62564493895738,,9.359811,167.62564,76.98
0.35598803,[ 0.004 -0.003  0.014  0.001  0.002 -0.034  0.011  0.023  0.     0.  0.   ],0.010617384,1.1446155,72.39588,2.1710157,0.39933205,332.30695,259.91107,0.021710157,9.359779,4,64.606,0.0035598802,0.0039933207,-1.0,12751.902,87.36558,179.5819,100,72.92462,400,17.91,87.60711,,1.0617384,0.4189424,16.058019161224365,46.206764,7298,164.2980647976988,,9.359779,164.29805,91.902176
0.5386336,[ 0.004  0.004  0.016  0.015  0.019 -0.028  0.014  0.019  0.     0.  0.   ],0.01015904,1.0384369,81.34937,2.0165217,0.20483892,304.05835,222.70898,0.020165216,9.359557,5,81.70708,0.005386336,0.0020483893,-1.0,10718.641,96.298584,179.18665,100,86.23262,500,18.84,96.09326,,1.015904,0.4189424,20.724088668823242,43.60579,9182,172.9245787731966,,9.359557,172.92458,91.5752
0.0071230764,[ 0.014  0.01   0.033  0.017  0.024 -0.018  0.029  0.022  0.     0.  0.   ],0.03658055,23.69796,81.3831,270.43735,26.940245,352.3852,271.00208,2.7043734,9.359977,6,57.961952,7.123076e-05,0.2694024,-1.0,45642184.0,4.2197723,1071.6886,100,557.05945,600,17.85,1.810352,,3.658054,0.4189424,24.838871240615845,49.637386,10967,163.67751106913724,,9.359977,163.67752,82.29441
0.55930877,[ 0.027  0.032  0.044  0.006  0.005  0.016  0.058 -0.005  0.     0.  0.   ],0.010271246,1.0311384,90.70016,1.5396655,0.15530372,427.3969,336.69675,0.015396655,9.359926,7,67.760056,0.0055930875,0.0015530372,-1.0,13328.337,96.98019,202.2647,100,72.06465,700,21.32,97.7649,,1.0271245,0.4189424,29.93731164932251,61.85657,13099,195.97913429422948,,9.359926,195.97914,105.27898
0.4542726,[ 0.025  0.032  0.046  0.012  0.009  0.005  0.065 -0.     0.     0.  0.   ],0.01055559,1.092166,90.67283,3.9740407,0.39777848,370.0398,279.36697,0.039740406,9.359856,8,81.1859,0.004542726,0.0039777844,-1.0,17717.613,91.56118,204.83884,100,88.823875,800,20.93,87.56495,,1.0555589,0.4189424,34.72340154647827,54.766846,15192,192.1978324107935,,9.359856,192.19781,101.52501
0.30243728,[ 0.028  0.033  0.046  0.012  0.012  0.023  0.054 -0.011  0.     0.  0.   ],0.011106418,1.2176486,100.112564,2.3053522,0.40833086,351.6283,251.51573,0.023053521,9.359948,9,95.23018,0.0030243727,0.0040833084,-1.0,18853.219,82.125496,228.98778,100,112.584274,900,21.83,88.092636,,1.1106418,0.4189424,39.885863304138184,43.432125,17375,200.7186669630524,,9.359948,200.71869,100.6061
0.039574347,[ 0.022  0.043  0.046  0.003  0.003  0.016  0.061 -0.016  0.     0.  0.   ],0.011148918,1.2475176,99.98311,2.9047375,0.47011784,427.07904,327.09595,0.029047374,9.3597555,10,76.87366,0.00039574347,0.004701178,-1.0,30495.104,80.15919,243.44252,100,100.338165,1000,22.29,84.90357,,1.114892,0.4189424,45.16438055038452,59.471783,19604,204.99735344459936,,9.3597555,204.99736,105.01425
0.14081678,[ 0.019  0.054  0.055  0.004  0.003 -0.002  0.096  0.002  0.     0.  0.   ],0.014025389,2.1793437,90.65021,29.081366,3.0392141,396.71597,306.06577,0.29081365,9.359955,11,87.581055,0.0014081678,0.030392136,-1.0,284337.88,45.885372,291.10925,100,115.412476,1100,22.47,17.557356,,1.4025388,0.4189424,50.50191950798035,56.44486,21851,206.59583919345368,,9.359955,206.59586,115.94563
0.14885992,[0.03  0.069 0.068 0.026 0.009 0.024 0.109 0.025 0.    0.    0.   ],0.015750665,2.4798183,81.578186,38.69527,4.02452,341.6256,260.04742,0.3869527,9.359864,12,89.480034,0.0014885991,0.0402452,-1.0,465660.66,40.325535,320.21426,100,158.82242,1200,20.91,13.282405,,1.5750663,0.4189424,56.182060956954956,48.081627,23942,191.9677159624605,,9.359864,191.96771,110.38952
0.33887792,[0.042 0.082 0.072 0.05  0.027 0.076 0.109 0.018 0.    0.    0.   ],0.010507353,1.1556468,90.48663,5.2326784,0.59544885,377.80435,287.31772,0.052326784,9.359845,13,77.93125,0.003388779,0.005954488,-1.0,16428.914,86.53163,204.05826,100,82.21521,1300,20.83,75.691864,,1.0507352,0.4189424,63.35691833496094,49.630985,26025,191.2725533789865,,9.359845,191.27254,100.78592
0.3015071,[0.04  0.087 0.071 0.055 0.022 0.089 0.104 0.006 0.    0.    0.   ],0.01152825,1.5104387,90.92026,18.547373,1.8131148,340.68915,249.76889,0.18547373,9.359747,14,89.42221,0.0030150707,0.018131144,-1.0,222011.36,66.20593,248.91516,100,123.30318,1400,20.86,28.788849,,1.1528249,0.4189424,68.7626690864563,47.418728,28111,191.62897425770257,,9.359747,191.62898,100.70872
0.2833715,[ 0.049  0.088  0.071  0.048  0.018  0.123  0.097 -0.005  0.     0.  0.   ],0.010888041,1.2111101,100.01033,2.5266173,0.41894814,334.06342,234.05309,0.025266172,9.359972,15,87.16047,0.002833715,0.0041894815,-1.0,18363.268,82.56888,213.4158,100,103.12432,1500,20.41,87.10391,,1.0888044,0.4189424,74.62808012962341,46.32192,30152,187.37949115951156,,9.359972,187.37949,87.36916
0.44113097,[ 0.05   0.083  0.071  0.043  0.013  0.11   0.099 -0.013  0.     0.  0.   ],0.010936737,1.2359893,108.71207,4.5902734,0.63143605,351.42908,242.71701,0.045902733,9.359794,16,94.510826,0.0044113095,0.0063143605,-1.0,28935.715,80.906845,226.81631,100,109.60588,1600,21.76,74.99982,,1.0936738,0.4189424,80.93747735023499,55.460335,32328,199.93954639402887,,9.359794,199.93954,91.22748
0.2378003,[ 0.055  0.078  0.072  0.023 -0.003  0.116  0.088 -0.018  0.     0.  0.   ],0.010536344,1.1504638,109.15903,2.1258366,0.37451953,427.65866,318.49963,0.021258365,9.359918,17,74.96164,0.002378003,0.0037451952,-1.0,21385.768,86.92146,223.40999,100,85.7984,1700,22.1,88.7825,,1.0536344,0.4189424,86.50701713562012,56.36459,34538,203.2592205297857,,9.359918,203.25923,94.1002
0.3597985,[ 0.049  0.084  0.072  0.014 -0.009  0.114  0.088 -0.026  0.     0.  0.   ],0.01052155,1.1093355,127.02585,2.1271434,0.3320056,399.00583,271.97998,0.021271434,9.359878,18,99.768974,0.0035979848,0.0033200562,-1.0,25752.268,90.14405,238.29282,100,112.21696,1800,23.84,90.94458,,1.052155,0.4189424,91.6277403831482,60.95641,36922,219.47073435433504,,9.359878,219.47075,92.444885
0.28450364,[ 0.051  0.093  0.074  0.011 -0.016  0.129  0.104 -0.026  0.     0.  0.   ],0.010842588,1.1563897,109.10649,2.614907,0.4244086,606.1204,497.01392,0.02614907,9.359687,19,49.903122,0.0028450363,0.0042440863,-1.0,27021.766,86.476036,259.6372,100,64.09871,1900,25.15,86.714066,,1.0842589,0.4189424,97.38874340057373,68.5023,39437,231.739240270774,,9.359687,231.73921,122.632744
0.046467233,[ 0.057  0.093  0.076  0.007 -0.02   0.136  0.105 -0.036  0.     0.  0.   ],0.011593092,1.7104318,99.596855,5.216737,0.86962,398.84906,299.2522,0.052167367,9.359928,20,103.06674,0.0004646723,0.008696199,-1.0,55637.223,58.464767,286.58206,100,130.09346,2000,24.17,63.9927,,1.1593095,0.4189424,103.08143830299377,56.192898,41854,222.72146795352316,,9.359928,222.72148,123.12462
0.2439413,[ 0.061  0.094  0.083  0.01  -0.021  0.146  0.117 -0.053  0.     0.  0.   ],0.010515472,1.1779394,145.99844,2.545687,0.41299805,389.94363,243.94519,0.025456868,9.359938,21,121.30106,0.002439413,0.0041299807,-1.0,30264.223,84.89401,257.9135,100,130.94836,2100,25.83,86.635994,,1.0515472,0.4189424,109.1134147644043,51.987015,44437,238.28415133830262,,9.359938,238.28413,92.285706
0.3669152,[ 0.06   0.097  0.08   0.02  -0.015  0.151  0.117 -0.062  0.     0.  0.   ],0.010281317,1.0757124,117.80471,1.7469708,0.25335228,434.62057,316.81586,0.017469708,9.359983,22,121.64719,0.0036691518,0.002533523,-1.0,21254.385,92.96165,263.89865,100,128.6666,2200,27.31,94.27534,,1.0281318,0.4189424,116.15472102165222,63.34556,47168,252.0333396777135,,9.359983,252.03336,134.2286
0.41762835,[ 0.065  0.099  0.079  0.019 -0.014  0.159  0.118 -0.069  0.     0.  0.   ],0.010805288,1.1592673,126.80824,2.7685218,0.35012937,498.95795,372.14972,0.027685218,9.359305,23,110.44089,0.0041762833,0.0035012932,-1.0,36022.934,86.26138,293.12976,100,131.96245,2300,28.17,90.49784,,1.0805289,0.4189424,121.51249074935913,68.24252,49985,260.12826933612104,,9.359305,260.1283,133.32002
0.09723541,[ 0.057  0.106  0.077  0.011 -0.02   0.171  0.124 -0.075  0.     0.  0.   ],0.010822594,1.2610776,163.74622,3.5709314,0.50644386,484.0278,320.2816,0.035709314,9.359943,24,109.53961,0.0009723541,0.0050644386,-1.0,45757.465,79.29726,290.7469,100,127.681244,2400,27.57,82.03595,,1.0822594,0.4189424,127.21455335617065,60.91462,52742,254.7479437152931,,9.359943,254.74796,91.00174
0.017278334,[ 0.053  0.111  0.074  0.014 -0.02   0.173  0.131 -0.089  0.     0.  0.   ],0.014206854,2.3421166,153.81273,37.918854,3.8452623,482.7899,328.97717,0.37918854,9.359857,25,140.05968,0.00017278334,0.03845262,-1.0,968098.3,42.696423,443.95157,100,222.29343,2500,30.81,12.010836,,1.4206855,0.4189424,133.7481405735016,74.13985,55823,284.8966324094749,,9.359857,284.89664,131.08391
0.32652155,[ 0.05   0.097  0.076  0.034 -0.001  0.139  0.12  -0.09   0.     0.  0.   ],0.010835038,1.1272937,155.04092,3.4287467,0.5108026,498.5758,343.53488,0.034287468,9.359785,26,117.58501,0.0032652153,0.0051080263,-1.0,38085.168,88.70802,286.70874,100,127.90126,2600,28.91,81.81619,,1.0835036,0.4189424,140.57663130760193,68.52759,58714,267.15774459476523,,9.359785,267.15775,112.11683
0.57721734,[ 0.047  0.088  0.072  0.029 -0.01   0.122  0.111 -0.089  0.     0.  0.   ],0.01023321,1.0469267,144.84055,1.3767537,0.17089769,510.35922,365.51868,0.013767537,9.359821,27,123.31735,0.0057721734,0.0017089767,-1.0,30024.512,95.51767,286.79642,100,130.13742,2700,29.9,97.28668,,1.023321,0.4189424,147.350647687912,73.29463,61704,276.42513149189216,,9.359821,276.42514,131.5846
0.016208475,[ 0.051  0.089  0.07   0.035 -0.007  0.13   0.122 -0.092  0.     0.  0.   ],0.013425383,2.2056482,172.40689,22.637989,2.294182,605.6372,433.23032,0.22637989,9.359342,28,101.909805,0.00016208475,0.022941822,-1.0,469116.8,45.338146,446.6001,100,176.76285,2800,30.66,25.509342,,1.3425381,0.4189424,154.3860445022583,79.89912,64770,283.6009439052032,,9.359342,283.60095,111.19405
0.15337786,[ 0.053  0.083  0.068  0.024 -0.012  0.115  0.116 -0.122  0.     0.  0.   ],0.011276211,1.2189615,192.98256,2.9966588,0.49699247,576.99005,384.0075,0.029966587,9.359773,29,116.33641,0.0015337786,0.0049699247,-1.0,63804.844,82.03705,335.38083,100,144.27032,2900,31.28,83.73416,,1.127621,0.4189424,161.75811433792114,75.62694,67898,289.4334190593015,,9.359773,289.4334,96.45086
0.12280366,[ 0.082  0.068  0.07   0.018 -0.016  0.113  0.103 -0.137  0.     0.  0.   ],0.011470153,1.3472972,155.04218,8.21673,0.9481763,545.7002,390.65802,0.0821673,9.359814,30,121.86755,0.0012280366,0.009481763,-1.0,80988.96,74.22267,336.107,100,146.0836,3000,30.89,59.40555,,1.1470155,0.4189424,168.3534927368164,74.55137,70987,285.57759881598275,,9.359814,285.5776,130.53542
