InitialReturnMean,MinIWNorm,EpisodesSoFar,StdIW,MeanEntropy,OptimizationReturnMin,J_sample_variance,OptimizationReturnMean,StdIWNorm,MaxIW,InitialReturnStd,ReturnMeanIW,EpThisIter,ReturnStepMaxmin,ESSClassic,MeanIW,EmpiricalD2,ReturnStepMax,EpLenMean,OptimizationReturnMax,Iteration,InitialReturnMax,LearnableVariance,MinIW,ESSRenyi,VarianceInit,MeanIWNorm,InitialReturnMin,Bound,TimeElapsed,Weights,InitialBound,EpRewMean,MaxIWNorm,TimestepsSoFar
171.1278,0.009082519,100,0.043924194,0.4189424,,9678.691,89.56485,0.00043924202,1.1508499,53.745438,171.78229,100,9.359892,99.80901,1.004132,1.0018157,9.359892,18.64,308.22296,1,389.78595,,0.908252,99.81876,-1.0,0.010041321,81.56297,54.740395,2.963815212249756,[-0.  0. -0.  0. -0. -0.  0.  0.  0.  0. -0.],54.192047,171.12782663349586,0.011508499,1864
162.61278,0.0054241735,200,0.13693936,0.4189424,,11776.607,81.36457,0.0013693934,1.4646862,55.138065,168.8247,100,9.35992,98.240875,1.0233526,1.0251716,9.35992,17.73,318.57025,2,399.81848,,0.54241735,97.54464,-1.0,0.010233526,81.248215,47.378937,6.364336252212524,[ 5.150e-04  5.310e-03  7.634e-04 -3.103e-03 -7.406e-05  2.376e-03 -7.659e-05 -6.583e-04  0.000e+00  0.000e+00  0.000e+00],42.667244,162.6127808848699,0.014646861,3637
169.69191,0.004938385,300,0.14541742,0.4189424,,11126.197,88.300026,0.0014541743,1.4123582,52.359684,176.6875,100,9.359541,98.05378,1.0321736,1.0222303,9.359541,18.49,335.72482,3,417.1167,,0.49383852,97.82532,-1.0,0.010321735,81.39188,50.169243,10.89615774154663,[-0.001 -0.005  0.006 -0.005 -0.002 -0.016 -0.005 -0.005  0.     0.  0.   ],44.556892,169.69190951776076,0.014123581,5486
177.64265,0.0038586156,400,0.14756359,0.4189424,,10336.947,96.2485,0.0014756358,1.3616,49.605972,185.3595,100,9.359907,97.98712,1.0295687,1.0317051,9.359907,19.34,270.98297,4,352.3771,,0.38586158,96.92692,-1.0,0.010295686,81.39415,77.98361,15.269638776779175,[ 0.001 -0.001  0.01   0.     0.003 -0.019  0.008  0.004  0.     0.  0.   ],71.92951,177.6426391536721,0.013616,7420
175.12816,0.0035121643,500,0.40082085,0.4189424,,14590.947,93.677635,0.0040082084,2.7343493,46.434875,189.9331,100,9.359604,87.1729,1.0449045,1.1303958,9.359604,19.08,308.13913,5,389.58966,,0.35121644,88.46459,-1.0,0.0104490435,81.45053,65.6695,19.46121335029602,[ 0.002  0.001  0.015 -0.002  0.002 -0.028  0.022  0.013  0.     0.  0.   ],58.25125,175.12816410170063,0.027343491,9328
182.42943,0.0059598894,600,0.7558334,0.4189424,,61727.844,91.52877,0.007558333,7.1735067,59.550762,205.41994,100,9.359651,65.96509,1.0522542,1.1466521,9.359651,19.86,317.67505,6,408.5757,,0.5959889,87.21041,-1.0,0.010522542,90.90067,74.166824,23.150059938430786,[ 0.001  0.008  0.014 -0.009 -0.009 -0.022  0.022  0.006  0.     0.  0.   ],59.85672,182.4294403103291,0.07173507,11314
174.46597,0.0037798767,700,0.29905617,0.4189424,,11516.341,102.05995,0.0029905618,2.5743873,54.06808,184.90623,100,9.359945,92.40155,1.0428699,1.0759635,9.359945,19.0,308.72333,7,381.12936,,0.37798768,92.93996,-1.0,0.0104287,72.40604,66.30413,26.9476101398468,[ 0.01   0.006  0.015 -0.018 -0.018 -0.003  0.011 -0.005  0.     0.  0.   ],60.127182,174.4659895362806,0.025743872,13214
174.9774,0.0038918473,800,0.3550065,0.4189424,,15196.406,93.47468,0.0035500648,2.8797488,51.234787,197.09265,100,9.359825,90.37876,1.0880628,1.1575443,9.359825,19.06,242.97507,8,324.47778,,0.38918474,86.389786,-1.0,0.010880629,81.50272,92.36171,30.92298674583435,[ 0.012  0.004  0.016 -0.027 -0.028  0.001  0.006 -0.013  0.     0.  0.   ],77.63407,174.97741076906163,0.028797487,15120
181.34926,0.0077222106,900,0.096042044,0.4189424,,9999.822,99.729935,0.00096042035,1.2881126,51.387196,184.652,100,9.36,99.09928,1.0073909,1.010673,9.36,19.74,249.66583,9,331.28516,,0.7722211,98.94397,-1.0,0.010073909,81.61932,84.73748,35.308560848236084,[ 0.011 -0.001  0.014 -0.021 -0.016 -0.009  0.001 -0.023  0.     0.  0.   ],81.963715,181.34926411124198,0.012881126,17094
186.15298,0.0019515633,1000,0.36809835,0.4189424,,14539.937,104.664825,0.0036809833,2.0829797,49.831215,207.64505,100,9.359862,89.48928,1.074072,1.1678158,9.359862,20.26,252.79395,10,334.2821,,0.19515634,85.629944,-1.0,0.010740719,81.48816,99.27195,39.10574412345886,[ 0.011  0.017  0.022 -0.021 -0.019 -0.004  0.01  -0.019  0.     0.  0.   ],85.86835,186.15298033472712,0.020829797,19120
