EpLenMean,VarianceInit,J_sample_variance,InitialBound,StdIW,ReturnMeanIW,MaxIWNorm,OptimizationReturnMean,EpRewMean,ReturnStepMax,Iteration,EmpiricalD2,InitialReturnMin,TimestepsSoFar,Weights,MeanIWNorm,ESSRenyi,Bound,TimeElapsed,MeanIW,ReturnStepMaxmin,MinIWNorm,ESSClassic,MaxIW,MeanEntropy,InitialReturnStd,InitialReturnMax,LearnableVariance,EpThisIter,StdIWNorm,OptimizationReturnMax,InitialReturnMean,MinIW,OptimizationReturnMin,EpisodesSoFar
15.37,-1,14891.428,54.666565,0.43546733,166.44696,0.036297232,77.54362,140.61893959660927,9.359936,1,1.1958691,63.07532,1537,[-0. -0. -0.  0.  0. -0.  0.  0. -0. -0. -0.  0.],0.011425899,83.62119,72.45305,7.546136379241943,1.1425899,9.359936,0.0021617087,87.31681,3.6297233,1.4349356,48.944477,286.50793,True,100,0.0043546734,223.43262,140.61894,0.21617088,,100
16.21,-1,8581.787,59.703003,0.26614895,155.93532,0.019197388,85.2742,148.34566278989,9.359745,2,1.0573618,63.071465,3158,[ 0.013 -0.012  0.007  0.05   0.05   0.001 -0.01  -0.026  0.     0.  0.     0.016],0.01048069,94.575005,64.78574,18.254640340805054,1.0480691,9.359745,0.0024454119,93.942,1.9197388,1.4570346,50.336544,295.4756,True,100,0.0026614894,232.40411,148.34566,0.24454118,,200
15.27,-1,6486.393,70.41809,0.17737722,144.83786,0.01378845,76.944336,139.61939511752854,9.359929,3,1.0391581,62.675068,4685,[ 0.008 -0.008  0.021  0.064  0.056 -0.033  0.006 -0.001  0.     0.  0.     0.038],0.010323708,96.23175,74.29466,26.73114538192749,1.0323708,9.359929,0.0043977955,97.13261,1.378845,1.4311638,42.578682,230.67105,True,100,0.0017737722,167.99599,139.61938,0.43977955,,300
15.01,-1,6045.887,68.12787,0.17264345,140.38531,0.015201527,74.4004,137.20437676603663,9.359827,4,1.0318295,62.803978,6186,[ 0.022 -0.012  0.049  0.073  0.051 -0.055  0.028  0.019  0.     0.  0.     0.012],0.0102599105,96.91524,70.218094,35.56689500808716,1.0259911,9.359827,0.0058189463,97.24649,1.5201527,1.4053171,38.93428,230.25499,True,100,0.0017264343,167.45102,137.20439,0.58189464,,400
15.39,-1,11769.616,43.53501,0.39942452,156.18228,0.023104211,77.98785,140.72490992513352,9.359298,5,1.1510276,62.737064,7725,[ 0.03  -0.02   0.06   0.067  0.05  -0.054  0.013  0.012  0.     0.  0.    -0.014],0.010543815,86.87889,51.911163,42.951910972595215,1.0543815,9.359298,0.0033461426,87.45026,2.3104212,1.3586538,48.650455,323.96637,True,100,0.003994245,261.2293,140.72491,0.33461428,,500
15.92,-1,13501.789,68.15068,0.7821105,167.60826,0.056985985,82.752205,145.6725694089074,9.359688,6,1.2897154,62.92036,9317,[ 0.028 -0.019  0.067  0.041  0.018 -0.064  0.02   0.01   0.     0.  0.    -0.06 ],0.0115457745,77.53648,79.570015,52.08096122741699,1.1545776,9.359688,0.0026290761,68.546196,5.698599,1.3886144,44.28372,258.40634,True,100,0.0078211045,195.48598,145.67256,0.26290762,,600
15.85,-1,26715.76,39.57428,0.72291946,178.88943,0.057770852,82.13895,145.08692838806894,9.359335,7,1.246829,62.947983,10902,[-0.008 -0.017  0.063 -0.001 -0.044 -0.13  -0.016  0.009  0.     0.  0.    -0.03 ],0.011183052,80.20346,61.072426,60.53178572654724,1.1183054,9.359335,0.0037060233,70.52749,5.7770853,1.3314781,48.906277,351.70886,True,100,0.007229194,288.76086,145.08693,0.37060234,,700
16.34,-1,10324.47,27.77584,0.27923208,160.45926,0.016541926,86.52549,149.5563386015922,9.359781,8,1.0723503,63.030853,12536,[ 0.002 -0.005  0.059  0.012 -0.014 -0.072 -0.03  -0.031  0.     0.  0.    -0.087],0.010230314,93.25311,34.350258,70.66293263435364,1.0230315,9.359781,0.0034060131,93.0666,1.6541927,1.291505,52.58892,405.935,True,100,0.0027923207,342.90414,149.55634,0.34060133,,800
16.49,-1,16090.424,67.77486,0.53981954,175.92442,0.026466006,88.18192,150.9093338967789,9.359532,9,1.2907008,62.72741,14185,[ 0.005 -0.006  0.069  0.016 -0.014 -0.079 -0.021 -0.032  0.     0.  0.    -0.127],0.0106645,77.47729,81.47614,78.56874299049377,1.06645,9.359532,0.0014997461,79.60377,2.6466007,1.2459847,43.32654,277.115,True,100,0.0053981952,214.38757,150.90933,0.14997461,,900
17.96,-1,10472.615,70.765076,0.32968158,173.77313,0.02330827,92.335075,164.62766778244074,9.359786,10,1.077505,72.29259,15981,[ 0.026 -0.005  0.084  0.003 -0.031 -0.074  0.025 -0.028  0.     0.  0.    -0.173],0.010352777,92.80699,76.34101,86.68609595298767,1.0352777,9.359786,0.005808207,90.79281,2.330827,1.230423,50.00146,312.87527,True,100,0.0032968158,240.58269,164.62766,0.58082074,,1000
