ReturnStepMax,MaxIWNorm,InitialReturnStd,Weights,ReturnMeanIW,ESSRenyi,ESSClassic,TimeElapsed,OptimizationReturnMin,MaxIW,EpRewMean,TimestepsSoFar,Iteration,Bound,StdIWNorm,StdIW,EpisodesSoFar,InitialReturnMean,EmpiricalD2,OptimizationReturnMean,EpThisIter,OptimizationReturnMax,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,MeanIW,InitialReturnMin,MinIWNorm,VarianceInit,EpLenMean,InitialBound,LearnableVariance,MinIW,MeanIWNorm,J_sample_variance
9.359607,0.021440364,54.62303,[-0. -0. -0. -0. -0. -0. -0. -0.  0. -0.  0.  0.],157.96156,89.51137,91.34636,0.6869220733642578,,2.1440365,141.04877562908604,1542,1,16.925842,0.0032177872,0.3217787,100,141.04877,1.1171765,78.34183,100,382.07483,444.78177,9.359607,1.3960716,1.0454508,62.706947,0.0033048214,-1,15.42,7.614258,True,0.33048216,0.0104545085,14947.893
9.359699,0.025348734,45.804024,[-0.002  0.01  -0.007  0.004 -0.001  0.008  0.016 -0.01   0.     0.  0.    -0.023],166.09732,83.64978,84.65892,2.251509189605713,,2.5348735,143.41860106712662,3110,2,69.21159,0.004746536,0.4746536,200,143.41861,1.1954604,80.549385,100,232.50389,295.3731,9.359699,1.3292384,1.1150258,62.869217,0.0032810266,-1,15.68,54.806664,True,0.32810268,0.011150257,11250.517
9.359993,0.03660996,57.607574,[-0.005 -0.     0.003 -0.027 -0.028 -0.011  0.014 -0.016  0.     0.  0.    -0.09 ],213.92052,63.275837,72.489716,3.9375364780426025,,3.660996,161.516486237221,4872,3,81.19058,0.0071616005,0.71616006,300,161.51648,1.5803821,98.727684,100,289.14954,351.93835,9.359993,1.3171394,1.1625209,62.788807,0.00039696568,-1,17.62,55.934982,True,0.03969657,0.011625208,29545.73
9.359724,0.021624075,61.885674,[-0.004 -0.004  0.013 -0.04  -0.044 -0.045  0.04  -0.029  0.     0.  0.    -0.102],190.94022,90.193115,90.553795,5.296222925186157,,2.1624076,172.06435250215682,6748,4,53.820953,0.0034177667,0.34177667,400,172.06436,1.1087321,90.98559,100,352.9954,434.07416,9.359724,1.3067026,1.0581985,81.078766,0.004145143,-1,18.76,41.842102,True,0.4145143,0.010581984,17422.246
9.35969,0.025186788,57.867207,[-0.013 -0.001  0.011 -0.012 -0.017 -0.049  0.023 -0.048  0.     0.  0.    -0.112],199.9151,82.573456,84.14882,6.4999237060546875,,2.518679,176.68559631104273,8673,5,77.27364,0.0045069633,0.45069635,500,176.68561,1.2110429,104.61352,100,299.40866,371.48074,9.35969,1.2807772,1.03843,72.072075,0.0011267405,-1,19.25,65.24138,True,0.11267405,0.0103843,20294.652
9.359887,0.07511498,61.519722,[-0.015 -0.013  0.026 -0.023 -0.021 -0.097  0.037 -0.051  0.     0.  0.    -0.138],237.27705,67.82126,53.42955,7.879570245742798,,7.511498,188.0419711337836,10721,6,64.76169,0.0105193695,1.0519371,600,188.04195,1.4744639,115.8666,100,401.4004,473.57574,9.359887,1.2910186,1.1267443,72.17537,0.0024977725,-1,20.48,45.969254,True,0.24977724,0.011267441,70757.32
9.359806,0.024018155,54.92995,[ 0.003 -0.013  0.023 -0.033 -0.022 -0.088  0.032 -0.091  0.     0.  0.    -0.128],219.30182,85.87633,84.79938,8.949094295501709,,2.4018157,195.20536847195388,12846,7,78.19887,0.004542606,0.45426056,700,195.20537,1.1644653,113.685974,100,354.3452,435.8646,9.359806,1.2470124,1.0729287,81.51938,0.002792065,-1,21.25,64.446,True,0.2792065,0.010729284,20422.205
9.359801,0.021568233,67.37418,[ 0.008  0.009  0.032 -0.05  -0.039 -0.059  0.063 -0.092  0.     0.  0.    -0.172],248.5653,87.67487,89.04335,10.382797956466675,,2.1568234,207.69422508245637,15105,8,106.00609,0.0039368127,0.3936813,800,207.69421,1.1405777,117.272675,100,354.52887,444.95044,9.359801,1.2114742,1.1222936,90.421555,0.0027828023,-1,22.59,74.20911,True,0.27828023,0.011222934,27070.027
9.359917,0.020187821,57.9965,[ 0.035  0.019  0.046 -0.038 -0.028 -0.026  0.128 -0.069  0.     0.  0.    -0.207],219.03574,90.84801,90.96485,12.189479351043701,,2.0187821,203.7084201002434,17321,9,75.83655,0.0033235678,0.3323568,900,203.70842,1.1007396,103.92408,100,355.17966,454.964,9.359917,1.2180909,1.0545667,99.78433,0.0049527455,-1,22.16,67.21924,True,0.49527457,0.010545666,17023.674
9.359765,0.028671196,54.63302,[ 0.043  0.02   0.044 -0.041 -0.027 -0.011  0.124 -0.087  0.     0.  0.    -0.201],230.42836,85.37032,87.2562,13.421753883361816,,2.8671196,201.5768259304283,19514,10,71.809586,0.004159714,0.41597143,1000,201.57684,1.1713673,93.110306,100,380.0585,488.52502,9.359765,1.1920905,1.0884595,108.46653,0.0015423624,-1,21.93,55.019333,True,0.15423624,0.010884595,29698.98
