TimestepsSoFar,EmpiricalD2,Weights,EpLenMean,ReturnStepMax,LearnableVariance,InitialReturnMean,J_sample_variance,Iteration,ESSRenyi,EpRewMean,MaxIWNorm,StdIW,ReturnStepMaxmin,ReturnMeanIW,MinIWNorm,MeanEntropy,MinIW,EpisodesSoFar,MeanIWNorm,OptimizationReturnMin,InitialReturnMin,VarianceInit,ESSClassic,InitialBound,InitialReturnStd,TimeElapsed,EpThisIter,InitialReturnMax,Bound,MaxIW,OptimizationReturnMax,StdIWNorm,OptimizationReturnMean,MeanIW
1870,2.0904627,[-0. -0. -0.  0.  0. -0.  0.  0. -0. -0. -0.],18.7,9.359941,,171.64885,689875.94,1,47.8363,171.64884316185947,0.25224736,2.492402,9.359941,287.00256,0.0008898838,0.4189424,0.08898838,100,0.012767572,,90.6748,-1.0,20.786434,46.30899,51.37075,11.296993017196655,100,417.7995,105.78078,25.224737,327.1247,0.024924021,80.97405,1.2767572
3727,1.0692726,[ 0.023 -0.01   0.008  0.021  0.018  0.017  0.004 -0.02   0.     0.  0.   ],18.57,9.359579,,170.40004,11335.046,2,93.521515,170.40003629504147,0.018258195,0.28569916,9.359579,179.85588,0.004190383,0.4189424,0.41903833,200,0.01028992,,81.161194,-1.0,92.84282,67.92864,48.333683,21.636356115341187,100,341.57135,73.89468,1.8258196,260.41016,0.0028569913,89.238846,1.028992
5641,1.0207783,[ 0.013  0.006 -0.001  0.023  0.025  0.026  0.015 -0.018  0.     0.  0.   ],19.14,9.359846,,175.76053,11440.874,3,97.96446,175.76051899865763,0.011911584,0.120812386,9.359846,179.63635,0.0053584115,0.4189424,0.53584117,300,0.010210015,,90.778336,-1.0,98.619194,67.45266,49.921593,30.601541757583618,100,361.02615,70.20907,1.1911584,270.2478,0.0012081238,84.98218,1.0210016
7591,1.0224214,[ 0.017 -0.002  0.002  0.029  0.031  0.01   0.011 -0.021  0.     0.  0.   ],19.5,9.359935,,178.9933,11126.564,4,97.80703,178.99329624718783,0.017306613,0.17868863,9.359935,185.53462,0.0062204944,0.4189424,0.62204945,400,0.010205692,,81.658676,-1.0,97.025635,53.951813,53.452385,39.51544976234436,100,416.805,59.0991,1.7306613,335.1463,0.0017868865,97.33462,1.0205693
9595,1.1430235,[ 0.021  0.008  0.007  0.025  0.028  0.019  0.028 -0.013  0.     0.  0.   ],20.04,9.359757,,184.0625,17473.611,5,87.48727,184.06248461007416,0.019840255,0.34121245,9.359757,201.94374,0.0025224295,0.4189424,0.25224295,500,0.010616625,,100.35854,-1.0,90.63762,89.37926,48.549263,48.69429039955139,100,315.61078,100.715744,1.9840256,215.25223,0.0034121247,83.70395,1.0616622
11581,1.0172162,[ 0.019  0.015  0.008  0.014  0.017  0.012  0.043 -0.006  0.     0.  0.   ],19.86,9.359886,,182.44147,9958.931,6,98.30752,182.44148215429456,0.012630796,0.11238877,9.359886,188.26102,0.006977951,0.4189424,0.69779515,600,0.010237537,,81.38367,-1.0,98.80919,90.74637,47.164307,57.65797662734985,100,305.6504,95.77995,1.2630796,224.26672,0.0011238876,101.057816,1.0237538
13555,1.0854131,[ 0.014  0.008  0.003  0.014  0.019 -0.01   0.035 -0.009  0.     0.  0.   ],19.74,9.359855,,181.24121,14002.069,7,92.13082,181.24122634533242,0.015339202,0.22961874,9.359855,192.43889,0.004132933,0.4189424,0.4132933,700,0.010409282,,99.952225,-1.0,95.359764,92.29623,43.311405,66.06855583190918,100,296.4834,99.773155,1.5339203,196.53117,0.0022961874,81.289,1.0409281
15615,1.0128639,[ 0.014  0.009  0.002  0.014  0.026 -0.032  0.046 -0.006  0.     0.  0.   ],20.6,9.359896,,189.22354,12469.756,8,98.72995,189.22351551193137,0.012960131,0.113788314,9.359896,192.08115,0.006636494,0.4189424,0.6636494,800,0.0101201115,,90.697136,-1.0,98.75157,58.329712,58.261326,74.89899754524231,100,436.3127,60.34813,1.2960131,345.61557,0.0011378832,98.526375,1.0120112
17785,1.8427744,[ 0.015  0.004  0.007  0.011  0.025 -0.043  0.046 -0.005  0.     0.  0.   ],21.7,9.359922,,199.52286,96500.05,9,54.266003,199.52286057420355,0.11479307,1.6891948,9.359922,270.37277,0.00079386,0.4189424,0.079386,900,0.012417082,,81.57645,-1.0,35.079926,83.01452,60.879475,83.67116689682007,100,388.3611,112.21408,11.479307,306.78467,0.016891947,117.94642,1.2417082
19918,1.0709164,[ 0.02   0.018  0.012  0.005  0.025 -0.011  0.065 -0.015  0.     0.  0.   ],21.33,9.359829,,195.95508,13509.908,10,93.37797,195.9550814864405,0.016146002,0.24083632,9.359829,204.37276,0.0035308995,0.4189424,0.35308996,1000,0.010510137,,99.73813,-1.0,95.01115,101.40199,44.419952,93.3000898361206,100,315.1769,106.52443,1.6146002,215.43878,0.0024083632,96.21695,1.0510138
22161,1.1229601,[ 0.022  0.017  0.016  0.019  0.035 -0.014  0.069 -0.016  0.     0.  0.   ],22.43,9.359888,,206.20827,19748.994,11,89.05036,206.20824819311085,0.017805709,0.2961287,9.359888,222.88313,0.0027201318,0.4189424,0.2720132,1100,0.010412977,,108.95416,-1.0,92.5177,94.73987,56.94373,102.64163827896118,100,371.5613,104.76029,1.780571,262.60715,0.0029612868,97.25409,1.0412978
24589,1.0782039,[ 0.023  0.015  0.02   0.019  0.035 -0.021  0.082 -0.018  0.     0.  0.   ],24.28,9.359779,,223.50894,24006.715,12,92.74683,223.50895504692144,0.016158639,0.24311963,9.359779,244.60588,0.0040896875,0.4189424,0.40896875,1200,0.010674927,,118.031204,-1.0,95.06885,62.105057,68.93381,113.1999351978302,100,538.013,77.00957,1.6158638,419.9818,0.0024311964,105.47775,1.0674927
26836,1.0535226,[ 0.024  0.024  0.026  0.019  0.032 -0.017  0.107 -0.011  0.     0.  0.   ],22.47,9.359862,,206.69887,15685.125,13,94.919655,206.69885382924952,0.01432749,0.21702437,9.359862,213.32898,0.004472866,0.4189424,0.4472866,1300,0.010398717,,108.7233,-1.0,95.826126,95.43612,47.31112,122.7626588344574,100,370.87585,99.1275,1.432749,262.15256,0.0021702438,97.97556,1.0398717
29207,1.081142,[ 0.025  0.027  0.026  0.032  0.039 -0.021  0.113 -0.011  0.     0.  0.   ],23.71,9.359925,,218.16534,19045.195,14,92.49479,218.1653564023493,0.02135375,0.32803947,9.359925,233.61676,0.0034810095,0.4189424,0.34810096,1400,0.010480063,,99.59271,-1.0,91.076584,79.82564,61.75369,132.09909749031067,100,461.13245,89.773895,2.135375,361.53973,0.0032803945,118.57264,1.0480063
31702,1.1217178,[ 0.021  0.022  0.022  0.034  0.038 -0.032  0.099 -0.025  0.     0.  0.   ],24.95,9.359936,,229.8144,23984.572,15,89.14898,229.8144119346854,0.019957503,0.3297539,9.359936,249.0765,0.0042815865,0.4189424,0.42815864,1500,0.010478509,,109.139206,-1.0,90.98905,91.02548,63.46576,142.01711988449097,100,462.62985,102.083496,1.9957503,353.49066,0.0032975392,120.6752,1.0478508
34064,1.2675589,[ 0.019  0.025  0.024  0.027  0.028 -0.033  0.096 -0.031  0.     0.  0.   ],23.62,9.359809,,217.3307,26252.795,16,78.89179,217.33070200577043,0.031176418,0.60674876,9.359809,252.33792,0.0036991185,0.4189424,0.36991185,1600,0.01134708,,117.99535,-1.0,77.76514,100.883415,49.063557,151.8091425895691,100,388.1576,121.23468,3.117642,270.16223,0.006067487,99.33535,1.1347079
36595,68.005936,[ 0.018  0.015  0.028  0.012  0.013 -0.056  0.098 -0.031  0.     0.  0.   ],25.31,9.3599415,,233.0716,116148690.0,17,1.4704599,233.0716062011545,8.881411,88.3488,9.3599415,2127.4988,0.00015041907,0.4189424,0.015041907,1700,0.0993923,,99.84327,-1.0,1.2498046,121.78879,62.89327,161.82234168052673,100,370.94275,1209.7971,888.1411,271.0995,0.883488,133.22833,9.93923
38701,1.0788257,[ 0.041  0.03   0.039  0.05   0.048 -0.012  0.103  0.003  0.     0.  0.   ],21.06,9.359887,,193.49644,17609.76,18,92.693375,193.49644179861752,0.021075243,0.31654248,9.359887,204.50148,0.004500715,0.4189424,0.4500715,1800,0.010260464,,99.6238,-1.0,91.30948,68.32823,55.243614,172.83958840370178,100,417.22736,74.49359,2.1075244,317.60355,0.0031654248,93.872635,1.0260464
40923,1.1085495,[ 0.038  0.03   0.039  0.037  0.038 -0.018  0.102  0.005  0.     0.  0.   ],22.22,9.359944,,204.28189,24980.695,19,90.20797,204.2819093608575,0.01802782,0.30859366,9.359944,220.66037,0.003443982,0.4189424,0.3443982,1900,0.010494688,,127.173706,-1.0,92.04174,79.08167,58.46852,181.66776394844055,100,417.33414,88.839935,1.802782,290.16043,0.0030859364,77.10821,1.049469
