Bound,ReturnMeanIW,LearnableVariance,ESSRenyi,OptimizationReturnMin,StdIW,MinIW,MeanIW,EpThisIter,TimeElapsed,TimestepsSoFar,MeanIWNorm,InitialReturnMin,Iteration,J_sample_variance,OptimizationReturnMax,MeanEntropy,Weights,InitialReturnMax,ESSClassic,MaxIWNorm,MaxIW,EpLenMean,EpisodesSoFar,StdIWNorm,ReturnStepMaxmin,ReturnStepMax,InitialReturnMean,EpRewMean,OptimizationReturnMean,MinIWNorm,VarianceInit,InitialReturnStd,InitialBound,EmpiricalD2
62.998535,205.65118,True,54.677467,,1.8518639,0.28714424,1.2972517,100,1.836564302444458,1486,0.012972517,62.712738,1,96920.17,288.89853,1.4429128,[ 0.  0. -0.  0.  0. -0.  0. -0.  0. -0.  0.  0.],351.61127,32.91815,0.10793213,10.793213,14.86,100,0.018518638,9.35929,9.35929,135.81679,135.8167802929315,73.10404,0.0028714424,-1,47.73698,30.333397,1.8289069
67.472046,170.6881,True,83.589195,,0.4369721,0.2936135,1.0491458,100,4.675092458724976,3140,0.010491458,63.02484,2,13784.419,251.53342,1.4239615,[ 0.007 -0.002 -0.013  0.014  0.02   0.054 -0.036 -0.079  0.     0.  0.     0.024],314.55826,85.217,0.024324782,2.4324782,16.54,200,0.004369721,9.359629,9.359629,151.3994,151.3993881485731,88.37455,0.0029361348,-1,48.50936,57.031914,1.1963269
91.22476,206.98245,True,70.14224,,0.63594806,0.14881314,1.1094164,100,7.297711610794067,4943,0.011094164,71.951164,3,24853.191,251.20944,1.3857533,[ 0.013 -0.001  0.001 -0.006 -0.003  0.065 -0.024 -0.101  0.     0.  0.     0.005],323.1606,75.26778,0.02959331,2.959331,18.03,300,0.0063594803,9.359455,9.359455,165.33789,165.33789482997915,93.38673,0.0014881314,-1,56.56172,68.38971,1.4256744
69.37256,214.93987,True,66.83632,,0.85379493,0.09758645,1.2310057,100,9.474781274795532,6800,0.012310055,72.310234,4,25022.637,324.37756,1.2770965,[ 0.015 -0.002  0.009  0.012  0.012  0.046 -0.003 -0.121  0.     0.  0.    -0.033],396.6878,67.51983,0.0383802,3.83802,18.57,400,0.008537949,9.358856,9.358856,170.29416,170.29415033021533,97.98392,0.00097586453,-1,52.18669,51.28781,1.4961925
78.83293,185.0554,True,88.83448,,0.3660746,0.398721,1.070999,100,12.487895250320435,8654,0.01070999,71.80556,5,10543.014,261.9173,1.2532347,[ 0.025  0.01   0.003 -0.012 -0.005  0.054 -0.002 -0.113  0.     0.  0.    -0.142],333.72284,89.539,0.027437104,2.7437105,18.54,500,0.0036607457,9.358867,9.358867,169.86922,169.8692098244885,98.06366,0.00398721,-1,47.109447,69.75237,1.125689
82.144394,192.2201,True,92.087456,,0.29622504,0.61002195,1.041077,100,14.524874925613403,10619,0.010410769,72.30039,6,11649.911,279.8032,1.2766879,[ 0.028  0.013 -0.001 -0.027 -0.019  0.069 -0.01  -0.133  0.     0.  0.    -0.166],352.10358,92.51023,0.027476165,2.7476165,19.65,600,0.0029622503,9.359462,9.359462,180.33482,180.33481428010316,108.034424,0.006100219,-1,53.5935,74.70374,1.0859243
96.91986,263.155,True,61.854,,0.82943314,0.066,1.1585907,100,17.50688147544861,12741,0.011585907,81.29135,7,72774.35,354.5069,1.2413331,[ 0.036  0.01  -0.005 -0.021 -0.014  0.072 -0.018 -0.15   0.     0.  0.    -0.142],435.79825,66.11525,0.053036302,5.3036304,21.22,700,0.00829433,9.359473,9.359473,194.96107,194.96107701963513,113.66972,0.00065999996,-1,70.85548,64.2216,1.6167103
90.946045,215.94035,True,87.26423,,0.4951683,0.4527584,1.0615356,100,20.689118146896362,14901,0.010615356,90.4407,8,19331.53,298.77213,1.257154,[ 0.003  0.053 -0.003 -0.046 -0.02   0.079  0.033 -0.151  0.     0.  0.    -0.178],389.21283,82.12953,0.034672093,3.4672093,21.6,800,0.004951683,9.358527,9.358527,198.51176,198.51175246526986,108.07105,0.0045275837,-1,53.63537,81.74791,1.145945
70.41469,219.45633,True,93.88729,,0.26958573,0.47465843,1.0276002,100,23.553640604019165,17137,0.010276001,72.05138,9,16012.069,409.33057,1.2595676,[-0.008  0.049 -0.021 -0.048 -0.026  0.077 -0.001 -0.178  0.     0.  0.    -0.162],481.38196,93.5607,0.021150796,2.1150796,22.36,900,0.0026958573,9.359943,9.359943,205.54832,205.54831491356137,133.49693,0.004746584,-1,63.76914,61.133713,1.0651069
105.12559,212.43436,True,92.14094,,0.3003678,0.26666015,1.0164156,100,26.078437089920044,19343,0.010164155,99.69501,10,16892.402,243.65756,1.2498628,[-0.032  0.048 -0.024 -0.03  -0.013  0.062 -0.021 -0.194  0.     0.  0.    -0.159],343.35257,91.9684,0.021921344,2.1921344,22.06,1000,0.0030036778,9.359928,9.359928,202.93037,202.93037774218203,103.235374,0.0026666014,-1,53.280262,99.92461,1.0852939
87.90915,252.90332,True,85.92126,,0.40798584,0.25589135,1.0923675,100,29.080376148223877,21747,0.010923675,90.86543,11,26970.902,418.932,1.2003788,[-0.068  0.063 -0.028 -0.045 -0.027  0.045 -0.02  -0.201  0.     0.  0.    -0.169],509.79745,87.75833,0.022519404,2.2519405,24.04,1100,0.0040798583,9.359451,9.359451,221.34528,221.3452671119998,130.47983,0.0025589135,-1,73.33918,68.40604,1.1638564
107.326904,250.39407,True,90.43302,,0.31477284,0.25361353,1.0280479,100,31.985185861587524,24259,0.010280478,81.082016,12,20495.092,372.42316,1.1905508,[-0.101  0.065 -0.035 -0.046 -0.037  0.012 -0.038 -0.211  0.     0.  0.    -0.219],453.5052,91.428635,0.01972683,1.9726831,25.12,1200,0.0031477283,9.359932,9.359932,231.39906,231.39906128440884,150.31705,0.0025361353,-1,72.35766,95.34752,1.1057907
