EpLenMean,ReturnStepMax,DivergenceHarmonic,WReturnMean,ReturnStepMaxmin,ReturnMeanIW,EmpiricalD2Arithmetic,OptimizationReturnMean,InitialBound,ESSRenyiHarmonic,InitialReturnMax,MeanIW,Inner Iteration,EmpiricalD2Harmonic,TimestepsSoFar,StdWReturnMean,StdIW,ESSRenyiArithmetic,MeanD2-0,InitialReturnStd,OptimizationReturnMin,MinTargetPdf,InitialReturnMin,EpThisIter,OptimizationReturnMax,MaxIW,VarianceInitializer,MinIW,MeanEntropy,InitialReturnMean,EpisodesSoFar,LearnableVariance,Weights,Iteration,Penalization,Epsilon,MinBehavPdf,Bound,TimeElapsed,EpRewMean
18.7,9.359941,13701029000000.0,32102.277,9.359941,80528290.0,1.0,80.97405,-33856.637,100.0,417.79953,5692.786,1,1.0,1870,,44014.78,100.0,1.0,51.370754,,-21.71635,90.67479,100,327.12476,428500.06,-1.0,0.0052809943,0.4189424,171.64885,100,,[-0. -0. -0.  0.  0. -0.  0.  0. -0. -0. -0.],1,True,2.0,-21.71635,-6574268000.0,7.877938508987427,171.64884316185947
22.27,9.359949,123896376.0,44943.785,9.359949,2007801.8,1.0,105.07129,-46464.48,100.0,388.98215,39.521217,1,1.0,4097,,245.89119,100.0,1.0,54.45648,,-18.82134,99.81473,100,289.16742,2451.5408,-1.0,0.113368616,0.4189424,204.88602,200,,[ 0.003  0.005 -0.003  0.025  0.024  0.     0.028 -0.043  0.     0.  0.   ],2,True,2.0,-18.82134,-18934452.0,14.744892120361328,204.88602039307642
20.55,9.359835,2106902000000000.0,38729.17,9.359835,175196770.0,1.0,98.01492,-40183.57,100.0,380.40836,8761.592,1,1.0,6152,,57578.24,100.0,1.0,55.637794,,-21.3046,90.75374,100,289.6546,557638.56,-1.0,0.037516866,0.4189424,188.76865,300,,[-0.006  0.008  0.005  0.022  0.019 -0.032  0.04   0.007  0.     0.  0.   ],3,True,2.0,-21.3046,-66933400000.0,19.29876184463501,188.76866794811664
24.81,9.359899,18043505000.0,55829.21,9.359899,54910950.0,1.0,129.12157,-57491.344,100.0,406.66934,964.3831,1,1.0,8633,,5389.1475,100.0,1.0,60.19395,,-22.398983,99.364525,100,307.3048,52313.273,-1.0,0.015295557,0.4189424,228.48611,400,,[-0.004  0.014  0.     0.023  0.019 -0.029  0.068 -0.048  0.     0.  0.   ],4,True,2.0,-22.398983,-278178560.0,25.25704526901245,228.48610375362307
29.44,9.359837,1.5268714e+25,78445.25,9.359837,1071173000.0,1.0,106.31856,-81081.75,100.0,512.17975,21416.348,1,1.0,11577,,121911.53,100.0,1.0,66.95016,,-25.924421,165.6427,100,346.53705,871280.4,-1.0,0.027578173,0.4189424,271.96124,500,,[-0.004  0.022 -0.005  0.003 -0.001 -0.022  0.09  -0.098  0.     0.  0.   ],5,True,2.0,-25.924421,-1.0302164e+16,32.02549695968628,271.96126055446746
28.99,9.359881,342736800.0,75214.484,9.359881,8776456.0,1.0,112.86649,-77385.66,100.0,464.7885,127.898674,1,1.0,14476,,577.2941,100.0,1.0,59.806946,,-23.592339,154.78555,100,310.00296,5429.9526,-1.0,0.027962659,0.4189424,267.65204,600,,[-0.025  0.025  0.007  0.012  0.016 -0.113  0.168 -0.077  0.     0.  0.   ],6,True,2.0,-23.592339,-48971590.0,38.969971656799316,267.6520470579947
31.5,9.359694,81921800000.0,89813.914,9.359694,20624028.0,1.0,90.24293,-93840.69,100.0,632.9755,346.32407,1,1.0,17626,,1785.5656,100.0,1.0,70.96002,,-36.69687,200.92471,100,432.0508,17313.916,-1.0,0.04227558,0.4189424,291.16766,700,,[-0.026  0.031  0.003  0.03   0.036 -0.116  0.196 -0.125  0.     0.  0.   ],7,True,2.0,-36.69687,-1173164000.0,46.03102898597717,291.1676343831677
34.1,9.359765,4775094300.0,104397.97,9.359765,42394496.0,1.0,94.96344,-107526.484,100.0,557.9275,281.81165,1,1.0,21036,,2002.8229,100.0,1.0,68.86943,,-32.968933,220.71832,100,337.20917,19921.66,-1.0,0.024396818,0.4189424,315.68176,800,,[-0.027  0.038 -0.005  0.011  0.018 -0.089  0.196 -0.174  0.     0.  0.   ],8,True,2.0,-32.968933,-258581150.0,59.330241441726685,315.6817556473758
36.8,9.3599415,597997760000000.0,123682.65,9.3599415,26304012.0,1.0,101.30919,-129264.375,100.0,745.23425,198.0127,1,1.0,24716,,820.7337,100.0,1.0,86.68412,,-29.441748,239.52583,100,505.70844,6836.821,-1.0,0.09001236,0.4189424,340.835,900,,[-0.022  0.042 -0.01   0.016  0.022 -0.081  0.216 -0.231  0.     0.  0.   ],9,True,2.0,-29.441748,-136521630000.0,73.27418637275696,340.8350260627033
38.26,9.359893,191043300.0,131388.22,9.359893,1991962.8,1.0,115.83792,-135279.69,100.0,622.25073,17.343159,1,1.0,28542,,41.839146,100.0,1.0,75.9551,,-40.2545,238.58984,100,383.6609,256.99216,-1.0,0.022995668,0.4189424,354.42776,1000,,[-0.014  0.045 -0.018  0.027  0.033 -0.06   0.218 -0.287  0.     0.  0.   ],10,True,2.0,-40.2545,-55779188.0,86.26441073417664,354.4277704807571
35.21,9.359677,4070775800.0,112385.96,9.359677,8076055.5,1.0,96.50813,-117246.805,100.0,695.4474,107.280556,1,1.0,32063,,337.64243,100.0,1.0,77.599785,,-29.20474,229.62717,100,465.82022,2173.8555,-1.0,0.022215672,0.4189424,326.13528,1100,,[-0.01   0.049 -0.012  0.061  0.063 -0.073  0.226 -0.248  0.     0.  0.   ],11,True,2.0,-29.20474,-318210200.0,99.02295589447021,326.13530434343454
37.67,9.359981,321257100000.0,129215.49,9.359981,27594200.0,1.0,129.00687,-133614.89,100.0,661.6147,82.98248,1,1.0,35830,,773.23724,100.0,1.0,85.12641,,-32.202663,220.23373,100,441.38095,7774.3105,-1.0,0.050544675,0.4189424,349.24063,1200,,[-0.007  0.049 -0.02   0.037  0.039 -0.047  0.205 -0.287  0.     0.  0.   ],12,True,2.0,-32.202663,-2521149700.0,115.8925678730011,349.2405937713746
37.12,9.359936,8112992400000.0,122563.03,9.359936,146862380.0,1.0,113.418846,-126595.74,100.0,633.44183,1485.195,1,1.0,39542,,13305.243,100.0,1.0,65.85365,,-30.043415,230.4217,100,403.02014,133734.23,-1.0,0.00045550356,0.4189424,343.84055,1300,,[-0.004  0.036 -0.017  0.003  0.005 -0.074  0.191 -0.266  0.     0.  0.   ],13,True,2.0,-30.043415,-11633328000.0,132.89599919319153,343.84055428037567
39.04,9.359867,7385586000000000.0,140384.4,9.359867,12968068.0,1.0,111.5165,-148927.66,100.0,921.97675,94.41247,1,1.0,43446,,514.46094,100.0,1.0,96.272575,,-43.829018,250.58295,100,671.3938,4124.6465,-1.0,0.063049935,0.4189424,362.09943,1400,,[ 0.003  0.04  -0.026 -0.003 -0.001 -0.033  0.171 -0.305  0.     0.  0.   ],14,True,2.0,-43.829018,-734213700000.0,151.71509885787964,362.09944052445456
