Inner Iteration,TimeElapsed,LearnableVariance,OptimizationReturnMax,Iteration,ESSRenyiHarmonic,ReturnStepMaxmin,EmpiricalD2Harmonic,StdIW,VarianceInitializer,StdWReturnMean,Weights,EpisodesSoFar,InitialReturnStd,EmpiricalD2Arithmetic,MinTargetPdf,DivergenceHarmonic,ReturnStepMax,InitialReturnMin,ESSRenyiArithmetic,MinBehavPdf,MaxIW,MeanIW,EpRewMean,Bound,WReturnMean,ReturnMeanIW,InitialBound,MeanD2-0,EpLenMean,InitialReturnMax,TimestepsSoFar,Penalization,InitialReturnMean,MeanEntropy,OptimizationReturnMean,Epsilon,EpThisIter,MinIW,OptimizationReturnMin
1,1.0568995475769043,,177.68233,1,100.0,9.359775,1.0,5628.061,-1.0,,[-0. -0. -0. -0. -0. -0. -0. -0.  0. -0.  0.],100,46.33255,1.0,-17.789635,2952561300000000.0,9.359775,90.73476,100.0,-17.789635,47137.773,1592.2986,165.0531659787908,-39386124000.0,29389.252,39981550.0,-30113.36,1.0,17.99,268.41708,1799,True,165.05316,0.4189424,74.318405,2.0,100,0.050810102,
1,2.6307153701782227,,280.34424,2,100.0,9.359826,1.0,197491.75,-1.0,,[-0.001  0.005 -0.003  0.007  0.007 -0.015  0.037 -0.046  0.     0.  0.   ],200,51.473293,1.0,-22.35468,4.064148e+17,9.359826,118.20506,100.0,-22.35468,1985245.5,21467.043,216.21527770197935,-1018083400000.0,49398.543,356417200.0,-50994.96,1.0,23.5,398.54932,4149,True,216.21527,0.4189424,98.01022,2.0,100,0.12724587,
1,3.618293523788452,,381.472,3,100.0,9.359849,1.0,9321.974,-1.0,,[-0.009  0.018  0.002 -0.058 -0.062 -0.056  0.104 -0.06   0.     0.  0.   ],300,70.27129,1.0,-25.433723,1.6219608e+29,9.359849,126.65535,100.0,-25.433723,90677.266,1363.2427,237.84902782815027,-1.0450756e+18,61510.215,247654460.0,-64105.16,1.0,25.81,508.12735,6730,True,237.84904,0.4189424,111.19367,2.0,100,0.015167815,
1,4.772038459777832,,356.71936,4,100.0,9.359898,1.0,807395.94,-1.0,,[-0.033  0.028  0.009  0.013  0.007 -0.105  0.153 -0.051  0.     0.  0.   ],400,62.284447,1.0,-26.082949,9.69494e+23,9.359898,145.212,100.0,-26.082949,7525508.0,143215.47,262.2489684363879,-2493137200000000.0,72653.875,14771552000.0,-75185.92,1.0,28.43,501.93137,9573,True,262.24893,0.4189424,117.036964,2.0,100,0.054997537,
1,6.1533122062683105,,355.99664,5,100.0,9.359811,1.0,175.61491,-1.0,,[-0.032  0.044  0.018 -0.051 -0.047 -0.131  0.232 -0.088  0.     0.  0.   ],500,67.54879,1.0,-27.157207,2904575400000.0,9.359811,182.87042,100.0,-27.157207,1141.0839,52.781784,277.11831498512515,-4978952000.0,81357.4,5167025.0,-84275.81,1.0,30.0,538.86707,12573,True,277.1183,0.4189424,94.247894,2.0,100,0.064070925,
1,7.336661338806152,,261.84058,6,100.0,9.359788,1.0,437.38962,-1.0,,[-0.025  0.05   0.012 -0.073 -0.07  -0.103  0.237 -0.133  0.     0.  0.   ],600,58.45579,1.0,-25.46402,2593819600.0,9.359788,173.14917,100.0,-25.46402,3501.8845,118.49633,275.5276640737135,-102191680.0,79332.57,5339299.5,-81234.266,1.0,29.84,434.98975,15557,True,275.52765,0.4189424,102.37849,2.0,100,0.024443489,
1,8.686338186264038,,477.5878,7,100.0,9.359932,1.0,363648.12,-1.0,,[-0.023  0.055  0.007 -0.045 -0.042 -0.09   0.252 -0.176  0.     0.  0.   ],700,82.40124,1.0,-41.288616,1.043227e+29,9.359932,211.18454,100.0,-41.288616,3611646.2,53661.86,306.0167930022207,-1.5400088e+18,100436.234,3147877600.0,-105204.22,1.0,33.08,688.77234,18865,True,306.01678,0.4189424,94.83225,2.0,100,0.2006706,
1,10.288358211517334,,338.565,8,100.0,9.359848,1.0,3850.2524,-1.0,,[-0.022  0.087 -0.019  0.031  0.025 -0.037  0.23  -0.194  0.     0.  0.   ],800,70.81773,1.0,-27.962013,1499344200000000.0,9.359848,220.49782,100.0,-27.962013,38424.473,481.30136,325.8975301811982,-121691640000.0,111224.35,57846604.0,-114365.62,1.0,35.2,559.0628,22385,True,325.89752,0.4189424,105.39973,2.0,100,0.19788118,
1,12.099061489105225,,355.70673,9,100.0,9.359942,1.0,413.62857,-1.0,,[-0.035  0.084 -0.013  0.011  0.004 -0.078  0.238 -0.161  0.     0.  0.   ],900,79.03624,1.0,-28.559689,195176200000000.0,9.359942,203.09334,100.0,-28.559689,3538.2336,110.11212,331.22473818964465,-43855032000.0,115956.555,11181643.0,-119094.87,1.0,35.79,558.80005,25964,True,331.22473,0.4189424,128.13141,2.0,100,0.04609349,
1,13.852930307388306,,422.53882,10,100.0,9.359972,1.0,564.1789,-1.0,,[-0.03   0.092 -0.019  0.02   0.011 -0.058  0.256 -0.215  0.     0.  0.   ],1000,78.69215,1.0,-34.1033,85651120000.0,9.359972,239.08691,100.0,-34.1033,4143.136,115.348465,344.0857212812002,-1300867600.0,124587.43,13289050.0,-128986.98,1.0,37.16,661.62573,29680,True,344.0857,0.4189424,104.9988,2.0,100,0.09482552,
