DivergenceHarmonic,StdIW,MinIW,LearnableVariance,EpisodesSoFar,OptimizationReturnMean,InitialReturnMean,MinBehavPdf,MeanEntropy,EpLenMean,MinTargetPdf,ESSRenyiArithmetic,Inner Iteration,InitialReturnMax,InitialReturnMin,Iteration,EpThisIter,StdWReturnMean,OptimizationReturnMax,EpRewMean,MeanD2-0,ReturnMeanIW,EmpiricalD2Harmonic,VarianceInitializer,InitialBound,MeanIW,TimestepsSoFar,TimeElapsed,Weights,WReturnMean,Epsilon,OptimizationReturnMin,ESSRenyiHarmonic,InitialReturnStd,Bound,MaxIW,ReturnStepMaxmin,EmpiricalD2Arithmetic,ReturnStepMax,Penalization
1.595256e+20,17031090.0,0.042469263,,100,94.650154,166.62149,-17.45885,0.4189424,18.16,-17.45885,100.0,1,324.51184,71.97133,1,100,,252.54051,166.62148434948674,1.0,32559045000.0,1.0,-1.0,-31564.828,1719235.9,1816,4.1109678745269775,[ 0.  0.  0. -0.  0.  0.  0.  0. -0. -0.  0.],30506.441,2.0,,100.0,52.380566,-13400321000000.0,171175920.0,9.359928,1.0,9.359928,True
584508100000.0,3604.237,0.0057677915,,200,87.39544,214.1248,-24.546024,0.4189424,23.28,-24.546024,100.0,1,407.3222,126.729385,2,100,,280.59283,214.12482585138866,1.0,19767440.0,1.0,-1.0,-51082.94,755.3,4144,9.98848843574524,[-0.002  0.003 -0.004  0.005  0.005 -0.018  0.032 -0.05   0.     0.  0.   ],49415.47,2.0,,100.0,59.71628,-1294602000.0,32176.697,9.359821,1.0,9.359821,True
182082200.0,749.1834,0.06661903,,300,151.85818,260.75284,-25.513905,0.4189424,28.26,-25.513905,100.0,1,510.9551,108.894684,3,100,,402.06042,260.7528593225689,1.0,5756089.5,1.0,-1.0,-76410.3,184.41913,6970,15.325368642807007,[-0.002  0.01  -0.011  0.008  0.009 -0.01   0.054 -0.107  0.     0.  0.   ],73786.39,2.0,,100.0,76.12056,-41162476.0,6253.57,9.359774,1.0,9.359774,True
484470620.0,168.58884,0.055329703,,400,106.44525,307.19934,-38.549423,0.4189424,33.21,-38.549423,100.0,1,604.92957,200.75409,4,100,,404.17548,307.1993378472808,1.0,3550808.2,1.0,-1.0,-104746.22,34.166576,10291,20.415128231048584,[ 0.001  0.02  -0.011 -0.004 -0.004 -0.008  0.096 -0.149  0.     0.  0.   ],101068.375,2.0,,100.0,81.83487,-84502460.0,1589.9777,9.35998,1.0,9.35998,True
202461920.0,503.13126,0.09037552,,500,94.15292,295.2973,-28.097837,0.4189424,31.92,-28.097837,100.0,1,548.6522,201.14438,5,100,,347.50784,295.2972999894967,1.0,7049658.0,1.0,-1.0,-95457.91,90.3875,13483,25.13917875289917,[-0.007  0.03  -0.005 -0.031 -0.031 -0.034  0.131 -0.131  0.     0.  0.   ],92432.55,2.0,,100.0,72.33298,-50097200.0,4379.1885,9.359909,1.0,9.359909,True
1752623600.0,1166.4535,0.05437546,,600,133.12018,325.02652,-40.136086,0.4189424,35.08,-40.136086,100.0,1,678.8913,191.90634,6,100,,486.98495,325.02652055863047,1.0,16278949.0,1.0,-1.0,-117417.92,231.97958,16991,30.803256273269653,[ 0.008  0.041 -0.008 -0.019 -0.017  0.009  0.148 -0.162  0.     0.  0.   ],112785.76,2.0,,100.0,84.51935,-210201010.0,9660.791,9.359981,1.0,9.359981,True
88230840000000.0,4698.8506,0.01901966,,700,117.318985,337.20102,-27.883696,0.4189424,36.37,-27.883696,100.0,1,643.2175,219.88202,7,100,,423.3355,337.20101482488565,1.0,29730592.0,1.0,-1.0,-124379.16,563.2947,20628,36.86470150947571,[ 0.015  0.044 -0.017  0.006  0.007  0.032  0.142 -0.208  0.     0.  0.   ],120221.016,2.0,,100.0,80.72478,-39087580000.0,47166.37,9.359786,1.0,9.359786,True
1.486709e+25,11092.146,0.1363109,,800,163.0521,384.8585,-31.512651,0.4189424,41.51,-31.512651,100.0,1,806.69653,221.80637,8,100,,584.89014,384.8584548541472,1.0,545773400.0,1.0,-1.0,-168582.28,1371.0815,24779,42.68241000175476,[ 0.031  0.048 -0.022 -0.01  -0.01   0.075  0.137 -0.243  0.     0.  0.   ],162041.89,2.0,,100.0,118.00787,-2.5218298e+16,109333.44,9.359949,1.0,9.359949,True
3.788612e+26,1710739.0,0.012371725,,900,138.6623,378.26437,-36.699352,0.4189424,40.8,-36.699352,100.0,1,809.33105,239.60207,9,100,,569.729,378.2643557968931,1.0,68436620000.0,1.0,-1.0,-161309.62,242035.14,28859,48.56176161766052,[ 0.012  0.053 -0.023 -0.003 -0.003  0.033  0.169 -0.268  0.     0.  0.   ],154726.45,2.0,,100.0,107.90057,-1.2813715e+17,13848710.0,9.359883,1.0,9.359883,True
2.8808912e+18,28994.154,0.2751498,,1000,133.98965,419.66098,-36.23607,0.4189424,45.21,-36.23607,100.0,1,810.0715,285.67136,10,100,,524.40015,419.6610055387407,1.0,587424260.0,1.0,-1.0,-195776.17,3257.7769,33380,56.31025004386902,[ 0.049  0.067 -0.031  0.003  0.005  0.062  0.233 -0.363  0.     0.  0.   ],189180.94,2.0,,100.0,114.30475,-11194774000000.0,291613.12,9.359968,1.0,9.359968,True
