DivergenceHarmonic,EpLenMean,WReturnMean,TimestepsSoFar,ESSRenyiArithmetic,Weights,MaxIW,EpisodesSoFar,Epsilon,EpThisIter,EpRewMean,InitialReturnMax,OptimizationReturnMean,StdWReturnMean,OptimizationReturnMin,VarianceInitializer,MinBehavPdf,StdIW,MeanD2-0,MeanEntropy,ReturnStepMaxmin,MinTargetPdf,EmpiricalD2Harmonic,Iteration,OptimizationReturnMax,LearnableVariance,ESSRenyiHarmonic,InitialReturnMin,Inner Iteration,ReturnStepMax,ReturnMeanIW,InitialBound,TimeElapsed,Penalization,Bound,MinIW,EmpiricalD2Arithmetic,MeanIW,InitialReturnStd,InitialReturnMean
2.533709e+18,500.0,0.23952441,50000,100.0,[-0. -0.],2493.3455,100,2.0,100,-416.21153167039154,-415.3447,0.42897156,,,-1.0,-261.25272,257.1504,1.0,0.4189424,0.8418998,-261.25272,1.0,1,1.2958069,,100.0,-416.6405,1,0.8418998,16.2113,-0.29549658,19.32207727432251,True,-89091810.0,0.33214858,1.0,85.04749,0.23560095,-416.21152
2.1629934e+32,500.0,20.760881,100000,100.0,[-0.013  0.25 ],482688.9,200,2.0,100,-412.91727393686773,-404.836,3.48574,,,-1.0,-258.8623,47999.547,1.0,0.4189424,0.84325767,-258.8623,1.0,2,11.567017,,100.0,-416.403,1,0.84325767,276490.16,-25.220875,42.94888997077942,True,-6.5591723e+16,0.4250709,1.0,5820.936,2.934365,-412.91727
353918760000000.0,500.0,171.3994,150000,100.0,[-0.008  0.375],36499.94,300,2.0,100,-400.6321211311221,-389.38934,11.954794,,,-1.0,-245.52255,4069.589,1.0,0.4189424,0.8520571,-245.52255,1.0,3,23.19757,,100.0,-412.5869,1,0.8520571,126479.766,-189.33745,64.38166952133179,True,-337581220.0,0.12313771,1.0,851.14526,5.336881,-400.63214
1.51233e+21,500.0,755.2384,200000,100.0,[-0.009  0.437],405189.2,400,2.0,100,-390.45350861802694,-368.59756,25.887585,,,-1.0,-249.16862,54896.72,1.0,0.4189424,0.85194594,-249.16862,1.0,4,47.74353,,100.0,-416.3411,1,0.85194594,6586114.5,-831.22186,88.02784538269043,True,-2954827000000.0,1.5841087,1.0,12755.156,9.223414,-390.4535
2.4231337e+30,473.05,6426.983,247305,100.0,[-0.003  0.499],21469440.0,500,2.0,100,-348.933421972394,-172.26196,64.43871,,,-1.0,-257.18915,2600503.8,1.0,0.4189424,0.8601193,-257.18915,1.0,5,241.11017,,100.0,-413.37213,1,0.8601193,1683927300.0,-8364.829,114.95905828475952,True,-3.0164664e+18,0.012807856,1.0,640173.2,47.693146,-348.93344
2.0270835e+24,317.96,19814.676,279101,100.0,[9.375e-06 5.617e-01],28695224.0,600,2.0,100,-227.9393599307537,-117.10069,129.96347,,,-1.0,-249.79118,2891569.8,1.0,0.4189424,0.86115277,-249.79118,1.0,6,240.80214,,100.0,-357.90283,1,0.86115277,1787047400.0,-21747.559,138.26737880706787,True,-2751918400000000.0,0.016300213,1.0,383944.97,54.075623,-227.93936
2.702924e+17,246.0,31789.316,303701,100.0,[0.001 0.624],489721.9,700,2.0,100,-176.7341651633382,-82.29521,172.85963,,,-1.0,-225.86758,74629.02,1.0,0.4189424,0.8650435,-225.86758,1.0,7,267.29858,,100.0,-349.59378,1,0.8650435,371740800.0,-34170.957,160.37595629692078,True,-1238566400000.0,0.08840228,1.0,19195.758,43.69063,-176.73416
236414880000000.0,204.57,18356.555,324158,100.0,[-0.002  0.687],139620.0,800,2.0,100,-147.03052562251688,-84.70127,130.49889,,,-1.0,-168.7771,14205.485,1.0,0.4189424,0.8609128,-168.7771,1.0,8,192.82816,,100.0,-277.52942,1,0.8609128,27059160.0,-19595.986,174.01666498184204,True,-19084170000.0,0.050397005,1.0,2356.4639,36.42246,-147.03053
11262769000.0,183.49,9157.373,342507,100.0,[-0.007  0.749],67334.75,900,2.0,100,-131.43571967035533,-74.24716,90.82328,,,-1.0,-133.97723,7972.1284,1.0,0.4189424,0.8646268,-133.97723,1.0,9,148.01184,,100.0,-222.259,1,0.8646268,8667614.0,-9887.628,187.80542540550232,True,-86166296.0,0.15248579,1.0,1370.9136,30.141417,-131.43573
11084936000.0,169.65,8205.089,359472,100.0,[-0.035  0.805],39209.543,1000,2.0,100,-122.14134554877877,-72.826294,84.34194,,,-1.0,-117.11145,3900.7964,1.0,0.4189424,0.85667765,-117.11145,1.0,10,133.657,,100.0,-206.48329,1,0.85667765,2917472.8,-8800.564,201.42427849769592,True,-65611870.0,0.19483449,1.0,569.4826,33.038235,-122.14135
81285496.0,152.93,7122.3423,374765,100.0,[-0.023  0.866],11442.01,1100,2.0,100,-109.00918451562524,-61.862854,80.53134,,,-1.0,-118.11902,1168.7482,1.0,0.4189424,0.8600779,-118.11902,1.0,11,127.67767,,100.0,-189.54053,1,0.8600779,1263491.8,-7665.73,212.74673652648926,True,-6162580.0,0.10697002,1.0,202.51332,25.239748,-109.00918
218361520000000.0,146.45,5444.941,389410,100.0,[0.095 0.906],21716.436,1200,2.0,100,-104.59769403710962,-62.09326,69.24935,,,-1.0,-116.71582,3287.9849,1.0,0.4189424,0.8582434,-116.71582,1.0,12,111.753784,,100.0,-173.84705,1,0.8582434,4557054.0,-5861.2393,224.14091539382935,True,-6156202000.0,0.005815923,1.0,912.88135,25.48468,-104.597694
