LearnableVariance,MaxIWNorm,ReturnStepMaxmin,InitialReturnStd,ESSRenyi,StdIWNorm,MeanIW,MeanIWNorm,J_sample_variance,MaxIW,Bound,Weights,InitialBound,EpThisIter,InitialReturnMean,EmpiricalD2,TimestepsSoFar,EpLenMean,Iteration,OptimizationReturnMean,TimeElapsed,VarianceInit,MeanEntropy,StdIW,ESSClassic,OptimizationReturnMax,ReturnStepMax,EpRewMean,MinIWNorm,MinIW,OptimizationReturnMin,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin
True,0.052064303,0.8428666,1.0268129,46.725533,0.008107466,0.93505186,0.00935052,152989.34,5.2064304,-408.2388,[ 0. -0.  0.],-428.23825,100,-414.36462,2.1401575,50000,500.0,1,1.8443809,54.07208180427551,-1,1.4012309,0.81074667,57.084335,4.904846,0.8428666,-414.3646051205695,0.00038818087,0.038818087,,-387.9427,-411.30414,100,-416.20898
True,0.07242451,0.8423418,0.67682886,33.592606,0.008852901,0.8096261,0.00809626,114663.44,7.242451,-359.55707,[-0.014 -0.092 -0.018],-428.8383,100,-414.96698,2.9768455,100000,500.0,2,1.1716092,128.39454889297485,-1,1.4173151,0.8852901,45.544704,3.2185974,0.8423418,-414.9670005469024,0.0012985523,0.12985523,,-335.62418,-412.92,200,-416.1386
True,0.060460288,0.8429861,1.1854869,6.1914635,0.010065325,0.6654406,0.006654406,77344.914,6.046029,-331.7241,[ 0.029  0.039 -0.002],-427.87985,100,-414.01874,16.15127,150000,500.0,3,1.8163114,202.26218390464783,-1,1.4495325,1.0065325,30.414547,6.644806,0.8429861,-414.0187110170722,6.691418e-06,0.0006691418,,-276.01794,-409.19022,300,-415.83502
True,0.03660892,0.8432472,0.7115375,3.0702767,0.0066113053,0.3687939,0.0036879384,23778.338,3.660892,-232.20062,[ 0.053 -0.113  0.031],-428.86188,100,-414.9944,32.570354,200000,500.0,4,1.0322983,276.35073041915894,-1,1.3884737,0.6611305,23.732048,4.616272,0.8432472,-414.9943742284179,6.0201232e-06,0.0006020123,,-153.05788,-411.4104,400,-416.02667
True,0.103517324,0.84325826,0.73569435,42.37737,0.011818011,0.93339735,0.009333974,152389.88,10.351732,-408.60202,[ 0.042 -0.046 -0.03 ],-428.74152,100,-414.87067,2.35975,250000,500.0,5,1.2558563,350.18725991249084,-1,1.3592391,1.1818011,38.416,3.9942322,0.84325826,-414.87066878318785,0.00018144089,0.01814409,,-387.29428,-412.1323,500,-416.12653
True,0.06921117,0.8419428,0.7406265,2.5242996,0.010921963,0.49768698,0.00497687,43342.53,6.9211173,-293.50775,[ 0.029 -0.079 -0.06 ],-428.94858,100,-415.076,39.61495,300000,500.0,6,1.101994,418.70957469940186,-1,1.3272703,1.0921962,17.193874,4.0603333,0.8419428,-415.07598504051566,4.273693e-05,0.004273693,,-206.19305,-412.11765,600,-416.17798
True,0.036410656,0.843751,1.4856306,2.3700068,0.005655922,0.36696517,0.0036696515,23500.484,3.6410656,-241.17587,[ 0.071  0.151 -0.092],-427.2199,100,-413.36734,42.193974,350000,500.0,7,2.2107556,492.1987211704254,-1,1.324582,0.5655922,29.62514,5.769165,0.843751,-413.3673329907656,0.00018143674,0.018143674,,-151.19368,-409.80893,700,-415.5781
True,0.10718197,0.84953547,3.6657166,2.3943667,0.0123418765,0.4606028,0.0046060276,37202.11,10.718197,-276.0448,[-0.056  0.342 -0.094],-422.5936,100,-408.75284,41.764698,400000,500.0,8,6.4702992,556.6479964256287,-1,1.29309,1.2341878,12.225312,14.149689,0.84953547,-408.7528443768621,5.0163337e-05,0.005016334,,-186.59795,-401.07346,800,-415.22314
True,0.033854153,0.84941983,5.228198,3.2273073,0.0068067904,0.431453,0.0043145297,32243.533,3.3854156,-247.73993,[-0.057  0.459 -0.126],-415.04602,100,-401.28427,30.985584,450000,500.0,9,11.568429,628.1133012771606,-1,1.2758147,0.6806791,28.661844,25.915619,0.84941983,-401.28429570794106,6.549753e-05,0.0065497532,,-171.13553,-386.9371,900,-412.85272
True,0.036830407,0.8512154,6.9179306,2.0915613,0.008086298,0.4684962,0.004684962,36404.586,3.6830409,-276.62112,[-0.111  0.552 -0.143],-404.67007,100,-391.18878,47.811172,500000,500.0,10,13.248119,699.6213726997375,-1,1.2140636,0.8086298,25.131212,34.677795,0.8512154,-391.1888332441449,1.9747217e-06,0.00019747217,,-183.4043,-369.75916,1000,-404.43695
True,0.046720374,0.8515818,7.3277016,77.0334,0.0059776134,0.9888809,0.009888809,170665.38,4.6720376,-400.44003,[-0.158  0.524 -0.205],-406.06268,100,-392.23718,1.2981381,550000,500.0,11,22.528013,766.1933443546295,-1,1.208724,0.59776133,73.238655,49.07306,0.8515818,-392.23718651250005,0.002435389,0.2435389,,-384.68784,-365.69214,1100,-414.7652
True,0.05358007,0.8532018,7.748083,2.9055767,0.01035322,0.52384,0.0052383994,45290.07,5.3580074,-282.6974,[-0.187  0.544 -0.21 ],-401.24643,100,-387.80548,34.416576,600000,500.0,12,15.422724,841.5226600170135,-1,1.1496581,1.035322,20.382404,43.099182,0.8532018,-387.8054869993031,7.812437e-06,0.00078124367,,-203.84523,-360.12903,1200,-403.2282
True,0.07109653,0.85136765,7.292278,3.7979062,0.009801683,0.507659,0.005076591,44312.05,7.109653,-265.14117,[-0.151  0.518 -0.269],-405.98557,100,-392.37854,26.330297,650000,500.0,13,15.8328285,909.7945582866669,-1,1.1647178,0.9801683,21.151318,35.55356,0.85136765,-392.3785364572704,9.4895666e-05,0.009489567,,-195.31927,-372.6578,1300,-408.21136
True,0.04903981,0.8545456,20.457945,4.0678263,0.00795432,0.5073213,0.005073213,43421.746,4.903981,-254.16444,[-0.199  0.583 -0.254],-389.58325,100,-376.17035,24.583155,699556,495.56,14,26.217478,971.8509542942047,-1,1.2048466,0.795432,28.915697,134.66388,0.8545456,-376.1703364634514,4.7104393e-05,0.0047104396,,-187.66127,-267.72394,1400,-402.38782
True,0.10070629,0.8609811,39.646103,3.5696013,0.016040895,0.6887534,0.006887534,158432.88,10.070629,-273.52682,[-0.176  0.621 -0.214],-379.84998,100,-366.2602,28.014334,748281,487.25,15,41.433647,1024.7525610923767,-1,1.170287,1.6040896,15.566322,203.9155,0.8609811,-366.260206772238,2.2669085e-05,0.0022669085,,-201.59799,-203.77835,1500,-407.69385
