InitialReturnMean,LearnableVariance,J_sample_variance,InitialBound,VarianceInit,MeanIW,ReturnStepMaxmin,StdIW,EpThisIter,Weights,MeanEntropy,StdIWNorm,InitialReturnStd,TimeElapsed,ReturnStepMax,OptimizationReturnMean,OptimizationReturnMin,ReturnMeanIW,InitialReturnMax,Bound,InitialReturnMin,MinIW,TimestepsSoFar,ESSClassic,EpRewMean,EpisodesSoFar,MeanIWNorm,EmpiricalD2,OptimizationReturnMax,MinIWNorm,ESSRenyi,MaxIW,MaxIWNorm,Iteration,EpLenMean
-416.20853,,73826.52,-430.09415,-1.0,0.6489874,0.84202,1.0687506,100,[ 0. -0.],0.4189424,0.010687506,0.25949177,61.263787031173706,0.84202,0.35935822,,-269.98245,-415.2511,-335.23395,-416.5679,0.02614424,50000,26.940084,-416.20854343041776,100,0.0064898734,22.082676,1.316803,0.0002614424,4.5284367,8.2167635,0.08216763,1,500.0
-415.32828,,137201.83,-429.21378,-1.0,0.88473856,0.84230196,0.6595733,100,[-0.136  0.151],0.4189424,0.006595732,1.0653305,129.84080862998962,0.84230196,1.2358719,,-367.85953,-410.47845,-395.1141,-416.5642,0.0015923119,100000,64.2768,-415.32833390682936,200,0.008847385,3.8526304,6.0857544,1.5923119e-05,25.956293,2.7568662,0.02756866,2,500.0
-415.79922,,74330.945,-429.68604,-1.0,0.6510966,0.8421084,1.3806161,100,[-0.327  0.108],0.4189424,0.013806161,0.60061324,194.72075533866882,0.8421084,0.80548704,,-270.26874,-413.5763,-342.98233,-416.6047,0.047284182,150000,18.194069,-415.79921905174854,300,0.006510965,27.417343,3.0284119,0.0004728418,3.6473265,10.608175,0.106081754,3,500.0
-414.03394,,46035.89,-427.91925,-1.0,0.51241785,0.8426409,0.92704535,100,[-0.472  0.217],0.4189424,0.009270453,1.7197138,264.9418065547943,0.8426409,2.5258276,,-211.89795,-409.33307,-269.25928,-416.55978,0.043792985,200000,23.402452,-414.0339541092515,400,0.005124179,17.065792,7.226715,0.00043792985,5.8596754,6.1000366,0.061000366,4,500.0
-410.5106,,139245.05,-424.39142,-1.0,0.8915794,0.8442876,0.8084669,100,[-0.488  0.284],0.4189424,0.00808467,3.696186,323.3249351978302,0.8442876,5.9143305,,-368.0675,-399.73312,-393.7396,-416.42493,0.009918854,250000,54.87718,-410.51059079825876,500,0.008915793,3.4205167,16.691803,9.918853e-05,29.23535,4.521121,0.04521121,5,500.0
-413.02933,,81201.11,-426.9095,-1.0,0.678663,0.8429917,1.9921144,100,[-0.511  0.252],0.4189424,0.019921144,2.855024,384.5317802429199,0.8429917,3.3760285,,-277.51382,-404.18365,-346.05197,-416.40536,0.029086502,300000,10.399023,-413.0293393135071,600,0.0067866296,24.38229,12.22171,0.00029086502,4.1013374,15.654738,0.15654738,6,500.0
-407.972,,145249.6,-421.8512,-1.0,0.9106658,0.8437573,0.69979763,100,[-0.545  0.309],0.4189424,0.006997976,4.5038886,439.90345668792725,0.8437573,8.405007,,-373.594,-397.41306,-392.86276,-416.37698,0.036210865,350000,62.87292,-407.97197591423986,700,0.009106658,1.9274244,18.963928,0.00036210864,51.88271,3.2989051,0.03298905,7,500.0
-410.44937,,141959.08,-424.3248,-1.0,0.9005699,0.84375644,0.7834784,100,[-0.564  0.288],0.4189424,0.007834784,3.6984057,510.0835716724396,0.84375644,5.813231,,-371.69788,-399.452,-399.254,-416.2626,0.0047775325,400000,56.91953,-410.4493690761924,800,0.009005698,3.9440603,16.810608,4.7775324e-05,25.354582,3.253229,0.03253229,8,500.0
-412.9275,,173672.4,-426.81332,-1.0,0.9953682,0.84345907,0.17966263,100,[-0.578  0.254],0.4189424,0.0017966264,2.9417284,580.7684102058411,0.84345907,3.6475523,,-411.4464,-406.26736,-425.5587,-416.57504,0.54900444,450000,96.844795,-412.9274892309308,900,0.009953683,1.0328807,10.307678,0.005490044,96.816605,1.3994588,0.013994588,9,500.0
-413.23587,,36817.883,-427.11826,-1.0,0.45836326,0.84356177,0.48195943,100,[-0.581  0.247],0.4189424,0.0048195943,2.4755123,636.1068115234375,0.84356177,3.235329,,-189.18066,-407.48947,-257.56824,-416.4712,0.026786244,500000,47.49221,-413.2358608111739,1000,0.0045836326,24.267595,8.98172,0.00026786243,4.1207213,2.482364,0.02482364,10,500.0
-409.72754,,38624.383,-423.60886,-1.0,0.46883905,0.8439209,0.757994,100,[-0.688  0.307],0.4189424,0.00757994,4.426452,709.0969114303589,0.8439209,6.711648,,-191.00443,-400.42157,-264.14984,-416.43918,0.027738828,550000,27.671167,-409.72753102988,1100,0.0046883905,27.766027,16.017609,0.0002773883,3.6015234,5.464327,0.054643266,11,500.0
-404.0382,,129580.44,-417.91364,-1.0,0.85996133,0.85147583,1.1513168,100,[-0.67   0.354],0.4189424,0.011513168,5.675815,770.3057134151459,0.85147583,12.226136,,-349.61227,-392.17883,-388.19272,-416.2643,0.0067900163,600000,35.811653,-404.0381767746806,1200,0.008599613,7.7310514,24.08548,6.790016e-05,12.934852,7.357437,0.07357437,12,500.0
-404.35852,,85808.28,-418.23282,-1.0,0.699954,0.84844995,1.0033252,100,[-0.795  0.34 ],0.4189424,0.010033251,4.6574016,839.4717416763306,0.84844995,11.869363,,-285.5782,-394.29535,-332.8755,-416.2279,0.001540181,650000,32.736637,-404.3585421951115,1300,0.00699954,11.621247,21.932556,1.5401809e-05,8.604928,6.2278547,0.062278546,13,500.0
-408.53366,,115264.516,-422.413,-1.0,0.8112275,0.84846467,0.83449215,100,[-0.836  0.307],0.4189424,0.008344921,4.326135,907.6388590335846,0.84846467,7.8450203,,-333.9148,-397.69867,-371.7647,-416.3787,0.005063311,700000,48.586636,-408.5336728064716,1400,0.008112274,7.4369593,18.680023,5.0633113e-05,13.446356,3.3321471,0.03332147,14,500.0
-411.98267,,65051.117,-425.8633,-1.0,0.6091365,0.84848607,1.1011976,100,[-0.869  0.272],0.4189424,0.011011977,3.3962073,970.4390964508057,0.84848607,4.4366207,,-250.25797,-402.29547,-297.67944,-416.4193,0.02988991,750000,23.429388,-411.9826907928288,1500,0.0060913647,11.671621,14.12384,0.00029889907,8.56779,9.69478,0.096947804,15,500.0
-408.10547,,44183.535,-421.97372,-1.0,0.5018809,0.8484967,0.9271779,100,[-0.929  0.319],0.4189424,0.009271778,4.0657115,1045.5022718906403,0.8484967,7.941933,,-204.03052,-399.8716,-272.92282,-416.0474,0.022501748,800000,22.660786,-408.10545886293056,1600,0.0050188084,24.677334,16.175781,0.00022501747,4.0523014,6.1598215,0.061598215,16,500.0
-402.09586,,77882.266,-415.95477,-1.0,0.66750723,0.84890854,0.8653363,100,[-0.933  0.364],0.4189424,0.008653362,5.3600783,1121.892678976059,0.84890854,13.67273,,-270.86847,-392.8498,-309.71964,-415.7686,0.004738794,850000,37.305428,-402.09585389643905,1700,0.0066750715,7.8586364,22.918793,4.738794e-05,12.7248535,4.1213875,0.041213874,17,500.0
-405.38422,,101924.61,-419.25262,-1.0,0.76230776,0.8498658,0.98177624,100,[-1.005  0.34 ],0.4189424,0.009817762,4.8169427,1188.9642112255096,0.8498658,10.66826,,-307.86176,-393.54834,-345.2712,-416.05246,0.024211185,900000,37.612556,-405.3841976983845,1800,0.007623077,7.276273,22.50412,0.00024211184,13.7433,5.3577604,0.053577602,18,500.0
-404.7628,,46462.305,-418.63266,-1.0,0.5148077,0.84986633,0.64826095,100,[-0.866  0.35 ],0.4189424,0.006482609,5.304798,1247.2670588493347,0.84986633,11.333816,,-207.87123,-391.63788,-268.73038,-416.0966,0.0023202815,950000,38.67487,-404.76277148067953,1900,0.005148077,19.253336,24.45871,2.3202814e-05,5.193905,2.8390973,0.028390972,19,500.0
-401.27734,,46655.395,-415.1525,-1.0,0.5145004,0.8498596,0.8195606,100,[-0.743  0.375],0.4189424,0.008195605,5.898805,1322.7819051742554,0.8498596,14.978508,,-205.96075,-390.38956,-277.48367,-416.25583,0.005013142,1000000,28.269266,-401.27732163548467,2000,0.005145003,26.571274,25.866272,5.0131417e-05,3.7634628,5.753602,0.057536017,20,500.0
-397.4118,,39101.28,-411.28214,-1.0,0.47100154,0.8517699,0.7064436,100,[-0.723  0.411],0.4189424,0.0070644356,7.5095615,1392.7735750675201,0.8517699,18.699694,,-186.83899,-382.00467,-264.9919,-416.11145,0.004950028,1050000,30.772776,-397.41176136747004,2100,0.004710015,31.747803,34.10678,4.950028e-05,3.1498244,3.8260653,0.038260654,21,500.0
-392.11072,,93706.32,-405.8303,-1.0,0.7353118,0.8523983,1.3839992,100,[-0.852  0.434],0.4189424,0.013839992,7.110615,1465.4457294940948,0.8523983,19.476555,,-287.35342,-365.91733,-358.26266,-411.58728,0.0036342153,1100000,22.013569,-392.11072554036974,2200,0.007353118,26.713102,45.669952,3.6342153e-05,3.7434814,8.405768,0.08405768,22,500.0
-388.25366,,93096.695,-401.96332,-1.0,0.7359253,0.8504323,1.2452759,100,[-0.968  0.455],0.4189424,0.012452759,7.5880055,1534.0330135822296,0.8504323,23.034918,,-288.505,-371.01956,-340.07523,-411.2886,0.002986714,1150000,25.884747,-388.2536891515553,2300,0.007359252,14.149692,40.269043,2.986714e-05,7.0672917,6.7926855,0.067926854,23,500.0
-392.55206,,138313.84,-406.29453,-1.0,0.89494455,0.8518928,0.97879696,100,[-1.049  0.437],0.4189424,0.009787969,7.3723454,1608.8578279018402,0.8518928,19.721704,,-349.9146,-368.65106,-371.91376,-412.27377,0.065534085,1200000,45.533813,-392.5520668284595,2400,0.008949446,2.562609,43.62271,0.00065534085,39.02273,4.895821,0.04895821,24,500.0
-391.4464,,86858.414,-405.19415,-1.0,0.70288277,0.8524316,1.7001406,100,[-0.979  0.443],0.4189424,0.017001405,7.0824404,1661.6957576274872,0.8524316,20.986729,,-274.7387,-378.84512,-336.1884,-412.4331,0.0046188114,1250000,14.597164,-391.44637664616107,2500,0.0070288274,19.979038,33.587982,4.6188114e-05,5.005246,13.682723,0.13682723,25,500.0
