ReturnStepMax,EpisodesSoFar,OptimizationReturnMin,InitialReturnMin,J_sample_variance,MeanIW,OptimizationReturnMax,LearnableVariance,OptimizationReturnMean,Iteration,ReturnStepMaxmin,EpLenMean,MeanIWNorm,InitialReturnMean,StdIWNorm,Bound,MaxIW,InitialReturnMax,MinIW,EmpiricalD2,Weights,ReturnMeanIW,EpRewMean,TimeElapsed,VarianceInit,MinIWNorm,StdIW,MaxIWNorm,MeanEntropy,TimestepsSoFar,InitialBound,ESSClassic,InitialReturnStd,ESSRenyi,EpThisIter
0.8420527,100,,-416.6426,139100.36,0.8906722,1.3084717,,0.4604944,1,0.8420527,500.0,0.008906723,-416.18207,0.0075549684,-396.1028,3.151224,-415.33414,0.010629945,3.3217568,[-0.  0.],-370.79083,-416.18211299598215,45.37763547897339,-1.0,0.00010629945,0.7554968,0.031512238,0.4189424,50000,-430.07022,58.156517,0.25642306,30.104551,100
0.84203035,200,,-416.61218,89413.72,0.71414685,0.89624023,,0.34445494,2,0.84203035,500.0,0.0071414686,-416.2677,0.008806639,-346.63892,4.188121,-415.71594,0.002637086,12.610862,[ 0.24  -0.092],-297.32346,-416.26772507041693,93.75784111022949,-1.0,2.6370859e-05,0.8806639,0.041881207,0.4189424,100000,-430.1548,39.671417,0.17516609,7.9296722,100
0.84201616,300,,-416.61325,94152.66,0.7328257,0.5946655,,0.25998414,3,0.84201616,500.0,0.0073282565,-416.35327,0.011327749,-350.35223,8.422455,-416.0186,0.0012466,10.602121,[ 0.706 -0.226],-305.13455,-416.3532681787014,155.07196402549744,-1.0,1.2465999e-05,1.132775,0.084224544,0.4189424,150000,-430.24036,29.503891,0.12077655,9.432075,100
0.84198815,400,,-416.6898,157998.4,0.9491414,0.5292053,,0.28879058,4,0.84198815,500.0,0.009491414,-416.401,0.006979625,-410.3711,7.10293,-416.16058,0.31864408,1.1917647,[ 0.167 -0.357],-395.20804,-416.40099969550965,221.90931963920593,-1.0,0.0031864408,0.6979626,0.0710293,0.4189424,200000,-430.29068,64.90315,0.121807024,83.90918,100
0.84181905,500,,-416.64755,170870.88,0.9871491,0.46725464,,0.23581786,5,0.84181905,500.0,0.00987149,-416.41174,0.0028456359,-425.4793,1.8591024,-416.1803,0.37213588,1.0768552,[-0.064 -0.317],-411.06723,-416.41173069283366,277.68200063705444,-1.0,0.0037213587,0.2845636,0.018591024,0.4189424,250000,-430.3,92.3277,0.10799064,92.863,100
0.8418797,600,,-416.6532,38953.812,0.47132203,0.53518677,,0.24633515,6,0.8418797,500.0,0.00471322,-416.40683,0.0065369722,-275.57233,3.8705106,-416.118,0.010892732,32.607983,[-0.033 -0.356],-196.26462,-416.40686197176575,329.5038661956787,-1.0,0.00010892732,0.65369713,0.038705103,0.4189424,300000,-430.29526,34.204258,0.11198889,3.0667338,100
0.8418038,700,,-416.57727,63666.26,0.6026642,0.9876709,,0.25533447,7,0.8418038,500.0,0.006026642,-416.32196,0.010947362,-325.50644,6.759954,-415.5896,0.017140921,28.927298,[-0.125 -0.099],-250.82233,-416.32193790882826,394.5996367931366,-1.0,0.0001714092,1.0947362,0.067599535,0.4189424,350000,-430.20782,23.257694,0.15802908,3.4569423,100
0.8418751,800,,-416.6407,56989.91,0.57008284,2.5169067,,0.7503714,8,0.8418751,500.0,0.0057008285,-415.89032,0.0107867075,-312.59094,7.6286263,-414.12378,0.037377033,29.773264,[-0.373  0.091],-236.81111,-415.890314963758,455.329115152359,-1.0,0.00037377034,1.0786709,0.076286264,0.4189424,400000,-429.77832,21.83332,0.49413115,3.3587182,100
0.843028,900,,-416.51645,135937.16,0.8806799,7.348236,,2.4540296,9,0.843028,500.0,0.008806799,-414.06238,0.01323268,-410.76547,7.47921,-409.1682,0.00686995,11.086987,[-0.347  0.209],-364.53613,-414.06241912424565,525.1233656406403,-1.0,6.86995e-05,1.323268,0.074792095,0.4189424,450000,-427.9463,30.696836,1.8567849,9.019584,100
0.84321874,1000,,-416.37515,115387.13,0.8116982,8.250793,,2.8887177,10,0.84321874,500.0,0.008116983,-413.48645,0.008535922,-377.00952,3.9848068,-408.12436,0.0046411585,8.582912,[-0.095  0.231],-336.34827,-413.4864327904582,599.5742466449738,-1.0,4.6411584e-05,0.8535921,0.039848067,0.4189424,500000,-427.3656,47.485878,2.3296654,11.651056,100
0.8432791,1100,,-416.48987,142845.73,0.90291214,8.178192,,2.5072217,11,0.8432791,500.0,0.009029122,-413.98267,0.0061211633,-395.1112,2.3821843,-408.31168,0.012811583,2.1455479,[0.137 0.204],-374.77582,-413.9826445169747,669.706390619278,-1.0,0.00012811582,0.6121164,0.023821842,0.4189424,550000,-427.86563,68.51207,2.0257585,46.608143,100
0.8421483,1200,,-416.47736,124362.66,0.84250146,4.6271667,,1.547644,12,0.8421483,500.0,0.008425013,-414.92972,0.0073529333,-382.08276,3.1450706,-411.8502,0.0036212243,5.275604,[0.086 0.168],-350.19632,-414.92971313729885,734.8120291233063,-1.0,3.621224e-05,0.7352933,0.031450704,0.4189424,600000,-428.8123,56.76358,1.1927153,18.955177,100
0.8422545,1300,,-416.47696,94367.555,0.7338996,2.9908447,,0.6946344,13,0.8422545,500.0,0.0073389965,-415.78232,0.00809126,-346.96597,4.2389264,-413.4861,0.001931956,9.026357,[0.004 0.106],-305.25732,-415.78232512190937,802.5510487556458,-1.0,1.931956e-05,0.809126,0.042389262,0.4189424,650000,-429.6649,45.136307,0.6062992,11.078667,100
0.8418801,1400,,-416.54602,150830.27,0.92768115,2.781433,,0.6098666,14,0.8418801,500.0,0.009276811,-415.93616,0.007412867,-405.14072,4.248419,-413.7646,0.12814017,1.8998239,[-0.395  0.083],-386.00262,-415.9361593829095,868.2208993434906,-1.0,0.0012814016,0.74128675,0.042484187,0.4189424,700000,-429.821,61.030666,0.49035114,52.636456,100
0.8420479,1500,,-416.6005,39059.977,0.47202197,1.5322266,,0.50162417,15,0.8420479,500.0,0.00472022,-416.09888,0.0062769745,-263.51642,4.7217627,-415.06827,0.01607794,23.387978,[-0.645  0.063],-196.35886,-416.0988717344403,933.9624412059784,-1.0,0.0001607794,0.62769747,0.047217626,0.4189424,750000,-429.9856,36.122173,0.32499453,4.275701,100
0.8420265,1600,,-416.48138,75003.305,0.6541126,6.5838013,,1.3340927,16,0.8420265,500.0,0.006541126,-415.1473,0.011563012,-334.48575,7.919853,-409.89758,0.07713463,21.145903,[-0.966  0.187],-270.64655,-415.14728947132824,1002.0079946517944,-1.0,0.0007713463,1.1563011,0.07919853,0.4189424,800000,-429.03,24.242975,1.3038521,4.7290487,100
0.843609,1700,,-416.3862,60920.977,0.58955306,10.246338,,3.4790769,17,0.843609,500.0,0.0058955313,-412.9071,0.011095901,-301.14462,6.6831346,-406.13986,0.01502168,17.790552,[-1.045  0.262],-242.60233,-412.9071256291866,1072.8339035511017,-1.0,0.0001502168,1.1095902,0.06683134,0.4189424,850000,-426.78668,22.015514,2.5584302,5.620961,100
0.84846234,1800,,-416.4078,116092.48,0.8139615,18.473602,,8.784209,18,0.84846234,500.0,0.008139614,-407.62363,0.0099753495,-376.50302,6.6893597,-397.9342,0.0007308255,9.3858385,[-1.077  0.319],-333.979,-407.6235956804454,1135.482250213623,-1.0,7.3082547e-06,0.997535,0.06689359,0.4189424,900000,-421.50385,39.96921,4.364861,10.654349,100
0.8484814,1900,,-416.38953,42902.363,0.49457014,12.737366,,5.452098,19,0.8484814,500.0,0.0049457015,-410.9374,0.007802678,-271.8492,5.194103,-403.65216,0.022255072,24.909216,[-1.087  0.282],-202.57707,-410.93742965921757,1208.3805458545685,-1.0,0.00022255072,0.78026783,0.051941026,0.4189424,950000,-424.81708,28.66119,3.141025,4.0145783,100
0.8490584,2000,,-416.441,139337.0,0.8917304,20.10083,,10.142312,20,0.8490584,500.0,0.008917304,-406.2987,0.009390599,-394.70123,4.446117,-396.34018,0.003302991,4.58636,[-1.054  0.332],-364.9732,-406.29870201408863,1280.467898607254,-1.0,3.3029908e-05,0.93905985,0.04446117,0.4189424,1000000,-420.18005,47.416534,4.560138,21.803783,100
0.8484575,2100,,-416.2689,73572.72,0.6461541,15.662872,,6.2870483,21,0.8484575,500.0,0.0064615416,-409.98184,0.018008333,-317.13947,17.413183,-400.60602,0.012594536,15.049592,[-1.03   0.302],-263.3106,-409.9818387657404,1348.972894668579,-1.0,0.00012594536,1.8008333,0.17413183,0.4189424,1050000,-423.85745,11.40591,3.9771376,6.6446986,100
0.85166484,2200,,-416.05368,100809.03,0.7590731,25.180267,,11.148495,22,0.85166484,500.0,0.0075907307,-404.90515,0.009769679,-359.60254,4.5377707,-390.8734,0.0001730297,12.857677,[-1.01   0.346],-309.87357,-404.905183776319,1408.9491744041443,-1.0,1.7302968e-06,0.976968,0.045377705,0.4189424,1100000,-418.77365,37.64341,5.113204,7.7774544,100
