Iteration,MeanEntropy,OptimizationReturnMean,ReturnMeanIW,TimestepsSoFar,ReturnStepMaxmin,InitialReturnMean,EpLenMean,Bound,MeanIW,StdIW,MeanIWNorm,EpThisIter,LearnableVariance,InitialBound,StdIWNorm,EmpiricalD2,MaxIW,TimeElapsed,MinIW,ESSRenyi,InitialReturnMax,ReturnStepMax,OptimizationReturnMin,MaxIWNorm,J_sample_variance,ESSClassic,EpRewMean,VarianceInit,MinIWNorm,Weights,EpisodesSoFar,OptimizationReturnMax,InitialReturnMin,InitialReturnStd
1,0.4189424,0.49870697,-298.072,50000,0.8419927,-416.16345,500.0,-365.82736,0.7168896,1.8151681,0.007168896,100,,-430.05215,0.018151682,23.799168,14.823394,19.309086322784424,0.020147722,4.2018275,-415.28232,0.8419927,,0.14823394,90128.44,13.493367,-416.1634341660142,-1.0,0.00020147722,[0. 0.],100,1.3798218,-416.66214,0.2839692
2,0.4189424,1.0288913,-269.97687,100000,0.8420366,-415.40808,500.0,-342.88782,0.6514802,1.1274613,0.006514801,100,,-429.28937,0.011274612,27.588577,8.43153,42.216490268707275,0.033226993,3.6246886,-411.99054,0.8420366,,0.0843153,74366.66,25.031116,-415.4081239068508,-1.0,0.00033226993,[-0.189  0.146],200,4.446472,-416.437,1.0173059
3,0.4189424,2.7000277,-301.65152,150000,0.8434773,-413.62378,500.0,-358.9651,0.73360896,2.429657,0.007336091,100,,-427.50125,0.024296569,17.056688,24.258457,67.3406732082367,0.047838382,5.862803,-407.53284,0.8434773,,0.24258457,94625.18,8.355031,-413.6237934090197,-1.0,0.00047838382,[-0.061  0.229],300,8.790985,-416.32382,2.044716
4,0.4189424,6.786659,-285.40063,200000,0.84366274,-409.66492,500.0,-327.82635,0.69146806,0.70567966,0.00691468,100,,-423.5466,0.007056797,9.340545,3.104063,97.71765327453613,0.00044683946,10.706014,-399.5491,0.84366274,,0.03104063,83766.04,48.98292,-409.66490720823407,-1.0,4.4683943e-06,[-0.155  0.291],400,16.902466,-416.45157,4.0957465
5,0.4189424,3.7365038,-244.35751,250000,0.84360003,-412.79645,500.0,-310.15988,0.5930705,0.78462917,0.0059307045,100,,-426.68085,0.007846292,22.460888,4.1252217,135.7795615196228,0.017781312,4.4521837,-405.05035,0.84360003,,0.04125222,61680.277,36.35947,-412.796456579566,-1.0,0.00017781311,[-0.146  0.249],500,11.482605,-416.53296,2.8917966
6,0.4189424,5.3307304,-375.89008,300000,0.843261,-410.94736,500.0,-404.9528,0.91001177,0.7928907,0.009100117,100,,-424.82324,0.007928907,4.3868027,3.952377,175.4120659828186,0.009530948,22.795647,-402.08392,0.843261,,0.03952377,144958.05,56.845356,-410.94731835246085,-1.0,9.530947e-05,[-0.384  0.28 ],600,14.194122,-416.27805,3.4322681
7,0.4189424,3.0481374,-201.20009,350000,0.8437409,-413.47925,500.0,-267.52783,0.4877079,0.51622444,0.004877079,100,,-427.3635,0.005162244,22.821592,2.8965516,217.5684998035431,0.040831484,4.381815,-405.69397,0.8437409,,0.028965516,41695.305,47.161804,-413.47923653766514,-1.0,0.00040831484,[-0.343  0.242],700,10.833405,-416.52737,2.5865974
8,0.4189424,7.7022057,-207.46849,400000,0.8442104,-408.78128,500.0,-286.22644,0.5109747,0.83528876,0.005109747,100,,-422.6641,0.008352888,32.183678,4.2875967,272.6470220088959,0.015307873,3.107165,-399.49033,0.8442104,,0.042875968,45877.824,27.23138,-408.7813137350976,-1.0,0.00015307873,[-0.366  0.304],800,16.993195,-416.48352,4.0997314
9,0.4189424,11.126759,-372.11273,450000,0.8484675,-405.01636,500.0,-388.87543,0.9220505,0.8013467,0.009220505,100,,-418.88782,0.008013467,1.4603071,6.4326396,330.9422583580017,0.15245594,68.478745,-393.43552,0.8484675,,0.0643264,148973.77,56.969635,-405.0163990983367,-1.0,0.0015245593,[-0.316  0.35 ],900,22.707642,-416.14316,5.431827
10,0.4189424,14.404259,-358.0617,500000,0.8512735,-401.60236,500.0,-380.03064,0.88695383,0.7130185,0.008869538,100,,-415.46924,0.007130184,2.5099218,4.0873733,387.874463558197,0.020213269,39.84188,-390.9098,0.8512735,,0.040873732,137593.3,60.74417,-401.60233440354466,-1.0,0.00020213268,[-0.286  0.363],1000,25.096802,-416.0066,5.5220666
