Weights,EpisodesSoFar,ReturnStepMaxmin,EpRewMean,TimeElapsed,ESSRenyi,Bound,InitialReturnStd,EpLenMean,OptimizationReturnMean,LearnableVariance,TimestepsSoFar,J_sample_variance,StdIWNorm,InitialReturnMin,MeanEntropy,InitialBound,VarianceInit,MeanIWNorm,MeanIW,MaxIWNorm,InitialReturnMax,EmpiricalD2,Iteration,OptimizationReturnMin,EpThisIter,ReturnMeanIW,StdIW,ReturnStepMax,InitialReturnMean,OptimizationReturnMax,ESSClassic,MinIW,MaxIW,MinIWNorm
[0. 0.],100,0.8418396,-416.1971074965596,63.12973356246948,2.581148,-308.8704,0.26424915,500.0,0.40085235,,50000,50129.426,0.009639548,-416.59796,0.4189424,-430.0837,-1.0,0.005347407,0.53474075,0.080814004,-415.31436,38.74245,1,,100,-222.43542,0.96395487,0.8418396,-416.1971,1.2835999,23.531754,0.0102793565,8.081401,0.000102793565
[0.028 0.161],200,0.8421212,-415.08306225419045,139.17051100730896,19.478453,-386.39093,1.0425233,500.0,1.3137571,,100000,127653.85,0.007943179,-416.39682,0.4189424,-428.96295,-1.0,0.008537425,0.8537424,0.0487757,-411.93063,5.133878,2,,100,-354.94177,0.7943179,0.8421212,-415.0831,4.4661865,53.601036,0.0047365623,4.87757,4.7365622e-05
[0.036 0.093],300,0.8420337,-415.7262318050861,207.47778153419495,21.173409,-359.76257,0.66882885,500.0,0.7846649,,150000,109937.89,0.0067893295,-416.5109,0.4189424,-429.60995,-1.0,0.007920723,0.7920723,0.024516042,-413.22165,4.722905,3,,100,-329.59018,0.6789329,0.8420337,-415.72626,3.2892456,57.646072,0.0051987404,2.4516044,5.19874e-05
[0.122 0.011],400,0.8418796,-416.1404513476789,282.8078203201294,3.0521026,-333.3543,0.2925316,500.0,0.44310668,,200000,65284.207,0.012286354,-416.58356,0.4189424,-430.02655,-1.0,0.006102637,0.61026365,0.10368163,-415.26654,32.764297,4,,100,-253.87003,1.2286354,0.8418796,-416.14047,1.3170166,19.788963,0.019596323,10.368163,0.00019596324
[0.409 0.141],500,0.84195304,-415.33326819881796,358.88295221328735,90.13953,-421.02103,1.1092829,500.0,1.2908169,,250000,167610.92,0.0031359366,-416.62408,0.4189424,-429.22073,-1.0,0.009777417,0.9777417,0.015325036,-411.44882,1.1093912,5,,100,-406.39368,0.3135937,0.84195304,-415.33328,5.1752625,90.67257,0.21827026,1.5325036,0.0021827025
[0.386 0.121],600,0.842013,-415.6067491918802,433.3741731643677,34.540993,-406.3479,0.69931716,500.0,0.9428424,,300000,148421.36,0.008531006,-416.5496,0.4189424,-429.49173,-1.0,0.009202347,0.92023474,0.061123483,-413.1163,2.8951108,6,,100,-382.72256,0.8531006,0.842013,-415.60672,3.4332886,53.780342,0.012420804,6.1123486,0.00012420803
[0.545 0.059],700,0.8418942,-415.95657027587293,514.0181615352631,63.140175,-418.9595,0.41663975,500.0,0.6332065,,350000,163178.3,0.00573643,-416.58978,0.4189424,-429.84286,-1.0,0.009648062,0.9648062,0.031862445,-414.4984,1.5837777,7,,100,-401.4838,0.5736431,0.8418942,-415.9565,2.0913696,73.88191,0.14106132,3.1862447,0.0014106132
[0.428 0.01 ],800,0.84185135,-416.1476245233417,582.8958611488342,3.7607036,-323.39252,0.24931087,500.0,0.37248567,,400000,64210.5,0.01359681,-416.5201,0.4189424,-430.03165,-1.0,0.0060531395,0.6053139,0.116258085,-415.17313,26.590769,8,,100,-251.79794,1.3596812,0.84185135,-416.14764,1.3469849,16.540956,0.016809572,11.625809,0.0001680957
[-0.082  0.125],900,0.8421825,-415.6919738817215,655.3769154548645,3.6121407,-258.33752,0.6922359,500.0,0.9584778,,450000,34905.234,0.0062940875,-416.65045,0.4189424,-429.58032,-1.0,0.004461487,0.44614872,0.040543746,-413.6271,27.684414,9,,100,-185.2626,0.6294088,0.8421825,-415.69196,3.023346,33.442093,0.04723733,4.0543747,0.00047237327
[-0.066  0.232],1000,0.8434834,-413.0908656555414,729.5931308269501,72.53349,-402.05527,2.571152,500.0,3.444533,,500000,152301.4,0.004597058,-416.5354,0.4189424,-426.97537,-1.0,0.009322037,0.9322038,0.023104016,-407.15417,1.3786734,10,,100,-385.7525,0.45970577,0.8434834,-413.09082,9.381226,80.43852,0.052010976,2.3104017,0.0005201097
[0.02  0.217],1100,0.842926,-413.9618929363787,808.4540476799011,3.81359,-307.0246,1.889839,500.0,2.3682175,,550000,57218.695,0.008656342,-416.3301,0.4189424,-427.8396,-1.0,0.005715282,0.5715282,0.06636684,-408.20303,26.222012,11,,100,-235.9606,0.8656342,0.842926,-413.9619,8.127075,30.358227,0.037279297,6.636684,0.00037279297
[-0.084  0.287],1200,0.8434422,-410.35763349458574,887.5462160110474,96.374535,-418.08582,4.3247337,500.0,6.055455,,600000,169972.44,0.0024744577,-416.4131,0.4189424,-424.23807,-1.0,0.009850103,0.9850104,0.023178587,-398.65506,1.0376185,12,,100,-403.94672,0.24744576,0.8434422,-410.35757,17.758026,94.0639,0.60539556,2.3178587,0.0060539553
[-0.112  0.289],1300,0.8438453,-409.6916531483829,963.1779417991638,13.961326,-374.8451,3.4529123,500.0,6.76599,,650000,117641.24,0.009091353,-416.45764,0.4189424,-423.57358,-1.0,0.008193931,0.8193931,0.046981025,-402.89313,7.1626434,13,,100,-337.69275,0.9091353,0.8438453,-409.69165,13.564514,44.822132,0.0047694137,4.6981025,4.7694135e-05
