InitialReturnStd,ReturnStepMax,MaxIWNorm,TimestepsSoFar,OptimizationReturnMin,EmpiricalD2,Bound,InitialBound,MinIWNorm,ReturnMeanIW,InitialReturnMin,ESSClassic,MeanIW,EpLenMean,OptimizationReturnMax,InitialReturnMax,EpThisIter,MaxIW,J_sample_variance,Iteration,ReturnStepMaxmin,TimeElapsed,MinIW,Weights,MeanIWNorm,LearnableVariance,VarianceInit,EpRewMean,StdIWNorm,OptimizationReturnMean,StdIW,EpisodesSoFar,ESSRenyi,MeanEntropy,InitialReturnMean
0.7885044,0.8421697,0.082535475,50000,,31.28777,-304.63196,-428.40396,1.9217692e-05,-227.07993,-415.93668,19.309298,0.5476067,500.0,3.54187,-412.3948,100,8.253548,52405.168,1,0.8421697,26.312743425369263,0.0019217693,[0. 0. 0.],0.005476068,True,-1,-414.5394293652475,0.011194309,1.3972467,1.119431,100,3.1961372,1.4741207,-414.53943
1.0309321,0.84204865,0.08754476,100000,,38.33573,-289.39972,-428.27493,1.0167603e-05,-203.5286,-416.07004,14.404456,0.4912051,500.0,5.533661,-410.53638,100,8.754477,42195.176,2,0.84204865,53.01813721656799,0.0010167604,[0.002 0.017 0.055],0.004912051,True,-1,-414.4059299813211,0.011974021,1.6641104,1.1974021,200,2.6085324,1.4102325,-414.40594
1.239308,0.84252,0.12096286,150000,,13.73391,-340.5768,-428.0953,2.5388301e-06,-289.1757,-416.099,14.571834,0.6996398,500.0,5.615448,-410.48355,100,12.096286,85641.266,3,0.84252,92.89298844337463,0.00025388302,[ 0.005  0.041 -0.009],0.006996399,True,-1,-414.2253529907763,0.016940176,1.8736484,1.6940176,300,7.281248,1.3660882,-414.2254
1.6210182,0.84326935,0.088302515,200000,,43.8739,-280.67828,-427.13672,6.14739e-05,-188.80869,-416.09247,18.120907,0.4586635,500.0,7.7233276,-408.36914,100,8.830252,36841.074,4,0.84326935,144.474294424057,0.0061473898,[-0.157  0.161 -0.053],0.004586634,True,-1,-413.2669934004545,0.009749687,2.8254735,0.97496873,400,2.2792594,1.4072269,-413.26697
2.8239057,0.8466804,0.06809628,250000,,39.46396,-261.42633,-424.45038,2.0978236e-05,-174.55917,-414.83618,14.977066,0.42823738,500.0,11.399048,-403.43713,100,6.8096285,31977.312,5,0.8466804,216.05587553977966,0.0020978237,[-0.102  0.295 -0.012],0.004282374,True,-1,-410.6225156474113,0.010203267,4.21367,1.0203267,500,2.5339577,1.3569196,-410.6225
4.25991,0.8540352,0.044908643,300000,,34.196163,-229.2939,-419.71512,0.00016918241,-148.32617,-415.37894,28.913647,0.3682976,500.0,18.4487,-396.93024,100,4.4908643,23729.346,6,0.8540352,284.2118091583252,0.016918242,[-0.101  0.4   -0.062],0.0036829764,True,-1,-405.86917001470925,0.0057748486,9.50977,0.57748485,600,2.9243047,1.3608952,-405.86914
6.6628776,0.8509389,0.05388848,350000,,50.716133,-235.72888,-411.2947,2.8561485e-07,-137.40425,-414.2004,16.257627,0.34533912,500.0,29.781189,-384.41922,100,5.3888483,20825.43,7,0.8509389,346.2475743293762,2.8561486e-05,[-0.118  0.516 -0.058],0.0034533916,True,-1,-397.48807259902355,0.007837719,16.712336,0.78377205,700,1.9717592,1.2968292,-397.48804
5.826642,0.85079944,0.06022481,400000,,54.534664,-286.2028,-412.97318,6.7160574e-05,-184.51888,-413.0829,21.425232,0.4693516,500.0,31.379517,-381.70337,100,6.022481,38567.36,8,0.85079944,411.42280673980713,0.0067160577,[-0.179  0.491 -0.122],0.0046935156,True,-1,-399.2037526221573,0.00898829,13.879131,0.898829,800,1.8336961,1.2974702,-399.20374
17.140102,0.853264,0.121744156,449767,,49.444687,-336.76422,-399.29486,5.382921e-06,-241.8934,-404.75674,13.052479,0.68158585,497.67,145.9816,-258.77515,100,12.174416,110151.75,9,0.853264,479.1332666873932,0.0005382921,[-0.247  0.588 -0.121],0.0068158577,True,-1,-385.80298502087595,0.01759149,18.953762,1.7591492,900,2.022462,1.2539681,-385.80298
39.150898,0.8610686,0.06488085,498253,,35.304897,-310.89932,-373.79733,7.2054805e-05,-232.46251,-396.02606,25.400253,0.6419697,484.86,216.31659,-179.70947,100,6.4880853,70443.164,10,0.8610686,552.7626388072968,0.0072054807,[-0.326  0.651 -0.165],0.006419697,True,-1,-360.5964506995678,0.0110018095,35.42961,1.100181,1000,2.8324683,1.3098726,-360.5965
