MeanIW,ReturnStepMaxmin,InitialReturnMin,OptimizationReturnMax,Weights,MinIW,EmpiricalD2,TimeElapsed,ESSClassic,MaxIW,Bound,J_sample_variance,MeanEntropy,InitialBound,Iteration,MaxIWNorm,EpRewMean,StdIW,EpisodesSoFar,ESSRenyi,MinIWNorm,InitialReturnMax,InitialReturnStd,TimestepsSoFar,EpLenMean,VarianceInit,OptimizationReturnMean,EpThisIter,MeanIWNorm,StdIWNorm,LearnableVariance,ReturnMeanIW,ReturnStepMax,InitialReturnMean,OptimizationReturnMin
0.5327726,0.8430634,-416.15033,5.337158,[ 0. -0.  0.],0.0025081025,28.506655,36.02516961097717,20.646141,8.383916,-294.80634,49660.184,1.4735116,-428.43674,1,0.083839156,-414.56505541577934,1.0444952,100,3.507953,2.5081024e-05,-410.81317,1.083424,50000,500.0,-1,1.5852777,100,0.005327726,0.010444952,True,-220.74321,0.8430634,-414.56506,
0.7609207,0.84281594,-416.01562,7.4473267,[-0.007  0.006  0.055],0.004926575,22.862297,91.45209980010986,28.089602,6.6442804,-381.51306,101227.24,1.5254635,-428.1763,2,0.0664428,-414.30913485750557,1.2174819,200,4.374014,4.926575e-05,-408.5683,1.1322086,100000,500.0,-1,1.706492,100,0.007609207,0.012174817,True,-315.20773,0.84281594,-414.30914,
0.55933833,0.842939,-416.08197,4.3835754,[-0.033 -0.038  0.107],0.031424936,36.02538,161.1203191280365,21.040241,6.906693,-314.45465,54728.46,1.5441787,-428.39166,3,0.06906693,-414.5222303895652,1.0835578,300,2.775821,0.00031424937,-411.6984,0.8615916,150000,500.0,-1,1.5597421,100,0.005593383,0.010835578,True,-231.20892,0.842939,-414.52222,
0.85403883,0.84409314,-415.70926,9.802429,[-0.018  0.215  0.125],0.04735808,2.2484689,231.96170330047607,41.017914,8.433836,-373.31494,127327.195,1.5210656,-425.92804,4,0.08433836,-412.07108234480023,1.0241202,400,44.47471,0.0004735808,-405.90683,1.7554488,200000,500.0,-1,3.6381805,100,0.008540388,0.010241202,True,-352.53656,0.84409314,-412.07104,
0.8272977,0.8466436,-416.12766,8.683319,[-0.023  0.151  0.102],0.050111655,5.052339,300.3210687637329,28.076696,8.641745,-371.9351,119777.09,1.5493553,-426.9159,5,0.086417444,-413.04498386114835,1.3241087,500,19.792812,0.00050111656,-407.44434,1.7758192,250000,500.0,-1,3.082671,100,0.008272977,0.013241085,True,-340.75684,0.8466436,-413.045,
0.3654848,0.8473859,-415.33914,10.481781,[-0.062  0.256  0.13 ],0.0001031697,47.91247,367.8099751472473,15.190354,7.459601,-246.39319,23281.318,1.4854022,-425.47202,6,0.07459601,-411.62740410640833,0.8635908,600,2.0871391,1.031697e-06,-404.85736,1.9553313,300000,500.0,-1,3.7117405,100,0.0036548483,0.008635907,True,-150.56221,0.8473859,-411.6274,
0.4930481,0.8478013,-414.89517,12.571808,[-0.069  0.314  0.066],0.00032107538,37.71748,444.66675662994385,12.172452,9.758287,-287.45752,42314.688,1.4241972,-423.58676,7,0.09758287,-409.75694236814974,1.3243893,700,2.6512907,3.2107537e-06,-402.32336,3.0723886,350000,500.0,-1,5.1382265,100,0.0049304813,0.013243892,True,-202.52216,0.8478013,-409.75696,
0.7057239,0.8475412,-415.25934,10.55896,[-0.066  0.262  0.005],0.008569615,21.989712,517.5058209896088,22.356827,6.5762224,-354.69675,86805.27,1.4729538,-424.85522,8,0.06576222,-411.01325505286457,1.3151685,800,4.547581,8.569615e-05,-404.70038,2.2936718,400000,500.0,-1,4.2460856,100,0.0070572384,0.013151684,True,-289.7873,0.8475412,-411.01324,
0.8824385,0.84770983,-415.97668,16.656921,[-0.097  0.322  0.054],0.014657857,2.5158207,587.7278509140015,27.340456,13.745835,-383.4165,136187.39,1.44215,-423.91107,9,0.13745835,-410.04515557557346,1.4385599,900,39.74846,0.00014657856,-399.31976,3.472786,450000,500.0,-1,5.9315276,100,0.008824385,0.0143856,True,-361.42334,0.84770983,-410.04517,
0.7788642,0.848494,-414.7135,13.791687,[-0.102  0.338  0.023],0.0030404807,21.75802,656.4914748668671,26.03447,7.2641716,-382.68073,105471.695,1.4932834,-423.08978,10,0.072641715,-409.2659997606277,1.3128105,1000,4.5960064,3.0404806e-05,-400.9218,3.0943139,500000,500.0,-1,5.4474974,100,0.007788643,0.013128105,True,-318.199,0.848494,-409.26602,
