WReturnMean,ReturnStepMaxmin,StdIW,LearnableVariance,OptimizationReturnMax,MinTargetPdf,Bound,EpisodesSoFar,MaxIW,TimestepsSoFar,MeanD2-0,ESSRenyiArithmetic,MeanEntropy,DivergenceHarmonic,InitialReturnStd,MeanIW,InitialReturnMin,OptimizationReturnMean,MinIW,EpLenMean,ReturnMeanIW,ReturnStepMax,OptimizationReturnMin,Penalization,Epsilon,EmpiricalD2Harmonic,EpThisIter,InitialBound,Iteration,InitialReturnMax,MinBehavPdf,ESSRenyiHarmonic,VarianceInitializer,EmpiricalD2Arithmetic,StdWReturnMean,TimeElapsed,Weights,EpRewMean,Inner Iteration,InitialReturnMean
0.23969544,0.8419744,140.3939,,1.2996216,-245.78181,-758645760.0,100,1238.6726,50000,1.0,100.0,0.4189424,1.8157368e+20,0.23577994,59.15989,-416.63992,0.42907256,0.33692646,500.0,12.173144,0.8419744,,True,2.0,1.0,100,-0.29599765,1,-415.3403,-245.78181,100.0,-1.0,1.0,,8.030491590499878,[ 0. -0.],-416.2108487585187,1,-416.21085
24.429625,0.8433413,7405.826,,12.421448,-251.10962,-1.24584065e+17,200,72970.82,100000,1.0,100.0,0.4189424,5.8678455e+32,2.9171588,1699.736,-416.5047,3.9899633,0.41352963,500.0,80275.734,0.8433413,,True,2.0,1.0,100,-29.572853,2,-404.08325,-251.10962,100.0,-1.0,1.0,,16.002652406692505,[-0.004  0.25 ],-412.51473534360525,1,-412.51474
282.79016,0.8490208,958.58887,,32.927002,-258.91058,-10074109000.0,300,5628.4517,150000,1.0,100.0,0.4189424,7.770332e+16,6.157726,398.82977,-416.2329,15.648404,0.19102232,500.0,85793.86,0.8490208,,True,2.0,1.0,100,-318.93073,3,-383.3059,-258.91058,100.0,-1.0,1.0,,24.577044010162354,[-0.002  0.375],-400.5845055039227,1,-400.5845
731.4417,0.85222197,83018.63,,47.22455,-248.8289,-151184150000.0,400,817655.9,200000,1.0,100.0,0.4189424,4.1356313e+18,8.814457,13111.619,-416.2716,25.56848,0.12234362,500.0,7314321.0,0.85222197,,True,2.0,1.0,100,-805.7822,4,-369.04706,-248.8289,100.0,-1.0,1.0,,34.676411628723145,[-0.001  0.437],-390.70312735810876,1,-390.70312
6367.6895,0.8586942,2946252.2,,227.10974,-243.68405,-5.3240635e+18,500,24549570.0,246992,1.0,100.0,0.4189424,9.589277e+30,49.5377,610890.2,-410.4569,62.559616,0.050130103,469.92,2361510400.0,0.8586942,,True,2.0,1.0,100,-8087.0225,5,-183.34717,-243.68405,100.0,-1.0,1.0,,47.63855481147766,[-0.023  0.496],-347.89728699103,1,-347.8973
23704.395,0.8650503,7670702.0,,255.55075,-242.75894,-3.3713425e+17,600,76139010.0,280687,1.0,100.0,0.4189424,2.3984991e+28,63.90755,998569.06,-382.7978,140.0722,0.005107768,336.95,2477758700.0,0.8650503,,True,2.0,1.0,100,-25881.299,6,-127.24703,-242.75894,100.0,-1.0,1.0,,57.65990424156189,[-0.029  0.558],-242.72559548586608,1,-242.72559
19523.646,0.86016476,683899.94,,214.26913,-189.24138,-10136679000000.0,700,6875251.0,306731,1.0,100.0,0.4189424,4.3871833e+19,45.228214,71619.2,-320.87363,132.20459,0.047447022,260.44,112491910.0,0.86016476,,True,2.0,1.0,100,-21054.037,7,-106.60449,-189.24138,100.0,-1.0,1.0,,67.05040311813354,[-0.037  0.62 ],-188.6690267416835,1,-188.66904
30899.154,0.85849583,20339.291,,225.23154,-153.06358,-7373984300.0,800,193205.33,327184,1.0,100.0,0.4189424,18802104000000.0,39.946453,3317.586,-318.21817,171.18246,0.05906139,204.53,41682124.0,0.85849583,,True,2.0,1.0,100,-32590.14,8,-92.986626,-153.06358,100.0,-1.0,1.0,,74.75310921669006,[-0.025  0.681],-147.03570734232665,1,-147.0357
14289.697,0.8588937,6000.9834,,169.01642,-128.45471,-4873681400.0,900,53946.71,346039,1.0,100.0,0.4189424,26078297000000.0,31.116697,1116.2421,-251.15051,115.418564,0.01091343,188.55,10996063.0,0.8588937,,True,2.0,1.0,100,-15241.921,9,-82.134094,-128.45471,100.0,-1.0,1.0,,83.17439532279968,[-0.003  0.74 ],-135.73193477630616,1,-135.73195
16014.835,0.86647105,4374.1396,,172.32593,-136.21822,-218861420.0,1000,41536.305,363039,1.0,100.0,0.4189424,44887847000.0,33.133995,735.6372,-244.68929,122.135056,0.1369964,170.0,9139238.0,0.86647105,,True,2.0,1.0,100,-17004.715,10,-72.363365,-136.21822,100.0,-1.0,1.0,,91.79042172431946,[-0.016  0.801],-122.5542249532044,1,-122.55422
