EpThisIter,OptimizationReturnMean,ReturnStepMaxmin,MeanEntropy,StdIWNorm,TimestepsSoFar,EpisodesSoFar,ESSRenyi,MinIWNorm,Bound,InitialReturnMin,EpRewMean,InitialReturnMax,OptimizationReturnMin,ESSClassic,ReturnStepMax,EpLenMean,InitialReturnStd,MeanIW,VarianceInit,InitialBound,EmpiricalD2,TimeElapsed,OptimizationReturnMax,StdIW,MaxIWNorm,MaxIW,MinIW,ReturnMeanIW,Iteration,LearnableVariance,MeanIWNorm,J_sample_variance,InitialReturnMean
100,13.347077,0.04728076,1.6378663,111.62479,50000,100,2.4230189e-05,1.0140789e-08,6402.6616,-15.16017,-1.8130930751816845,11.117987,,1.0008223,0.3095365,500.0,5.877083,1122.3372,-0.6,-2.5711017,4127083.0,39.91072058677673,26.278156,11162.4795,1121.876,112187.6,1.0140789e-06,7942.5728,1,,11.22337,62544245000.0,-1.8130931
100,17.479155,0.050417095,1.6378663,0.074166015,100000,200,6.846469,0.00017873877,-1.2190068,-23.113424,-5.634268177591263,8.679812,,4.7768564,0.25404173,500.0,6.262441,1.6611345,-0.6,-6.789939,14.60607,104.9993679523468,31.793236,7.416602,0.6777576,67.775764,0.017873878,3.1977246,2,,0.016611343,46385.074,-5.6342683
100,13.923654,0.039465845,1.6378663,0.13131632,150000,300,2.6039674,4.1692758e-05,4.3035235,-15.348709,-1.4250554787052878,13.752494,,2.8743775,0.26326203,500.0,6.526926,2.2590392,-0.6,-2.192491,38.40294,186.9083034992218,29.101204,13.131635,1.3130463,131.30464,0.004169276,9.059329,3,,0.022590391,80219.164,-1.4250557
100,14.480319,0.053542256,1.6378663,0.1289265,200000,400,0.64915717,7.6048163e-06,14.544524,-12.369849,2.110468388746778,14.59837,,4.9055104,0.27180547,500.0,5.6235857,2.9282398,-0.6,1.3805499,154.0459,270.221289396286,26.96822,12.892651,0.9394628,93.94628,0.00076048163,23.603924,4,,0.029282397,92800.414,2.1104686
100,17.073177,0.047154635,1.6378663,6.112007,250000,500,0.004291093,4.771419e-08,339.91296,-13.189163,3.884013340038079,15.505999,,1.0296994,0.2523727,500.0,6.2539263,62.342846,-0.6,3.1087132,23304.086,336.18154525756836,28.695162,611.2007,61.43602,6143.602,4.7714193e-06,458.26773,5,,0.6234285,160883490.0,3.8840137
100,17.319931,0.010863453,1.6378663,1.2202843,300000,600,0.017271785,5.8164186e-08,112.323044,-12.7555685,4.5643630226913325,15.931112,,1.9289836,0.20255043,500.0,6.0123897,17.114138,-0.6,3.7678075,5789.7896,421.842093706131,28.68668,122.028435,11.496541,1149.6542,5.8164187e-06,172.93349,6,,0.17114136,10784195.0,4.564363
100,15.776267,0.09240401,1.6378663,0.9196523,350000,700,0.039110743,4.1768013e-07,95.77431,-7.952759,7.823507226046416,19.412533,,1.0988266,0.29520455,500.0,5.4752464,9.693654,-0.6,6.8528805,2556.8423,497.8425211906433,27.365292,91.96523,9.246518,924.6518,4.1768013e-05,144.85426,7,,0.09693653,4569634.5,7.8235073
100,13.717425,0.031283647,1.6378663,39.09357,400000,800,0.0008067721,6.5039806e-08,4264.057,-4.2009177,9.516508440936343,26.66157,,1.0142733,0.29267424,500.0,5.216294,395.7278,-0.6,8.183431,123950.74,578.9172492027283,30.862488,3909.3574,392.9294,39292.94,6.503981e-06,4733.389,8,,3.9572783,4029719000.0,9.516508
100,11.519502,0.03717345,1.6378663,6.609589,450000,900,0.0025931431,3.66511e-08,563.911,-1.0254595,10.494042206527272,20.33999,,1.0370324,0.29493427,500.0,5.2261305,67.660355,-0.6,9.477043,38563.24,649.6443977355957,21.36545,660.959,66.439644,6643.9644,3.6651104e-06,763.6246,9,,0.67660356,66797924.0,10.494041
100,10.164874,0.027006418,1.6378663,3.150274,500000,1000,0.00893352,5.5255794e-07,514.1045,2.7804601,12.945334152890235,24.722132,,1.0159584,0.3577524,500.0,3.925179,31.915651,-0.6,11.709228,11193.796,733.9507660865784,21.941671,315.0274,31.663813,3166.3813,5.5255794e-05,644.8855,10,,0.3191565,30578650.0,12.945334
100,11.638701,0.005960703,1.6378663,5.2838893,550000,1100,0.0056561087,1.9011948e-08,689.648,1.5776936,13.21639403995403,21.52223,,1.0318406,0.2207955,500.0,4.3605475,53.95259,-0.6,12.140282,17680.0,820.4220676422119,19.944536,528.3889,53.110413,5311.0415,1.9011949e-06,832.73444,11,,0.539526,54440212.0,13.216394
100,10.866901,0.007647693,1.6378663,284.8919,600000,1200,5.852068e-06,8.7488035e-09,35349.516,1.0189373,11.885839543317227,19.479519,,1.000307,0.276072,500.0,3.9079688,2863.7153,-0.6,10.911864,17087976.0,908.8489079475403,18.46058,28489.191,2863.276,286327.6,8.7488036e-07,39375.7,12,,28.637157,132893660000.0,11.885839
100,12.603096,0.0011261702,1.6378663,23.825542,650000,1300,7.48905e-05,5.3779408e-09,3045.8281,-3.4553983,9.14769673141132,21.586937,,1.0010138,0.27180326,500.0,5.0192556,239.57828,-0.6,8.068349,1335282.9,993.2181358337402,25.042336,2382.5542,239.45692,23945.693,5.377941e-07,4293.0615,13,,2.3957827,2620877600.0,9.1476965
100,14.328525,0.026434213,1.6378663,7.1750727,700000,1400,0.0053431736,1.4121414e-09,797.7645,-2.8912354,11.43728831656459,21.63223,,1.1084726,0.3776306,500.0,4.8467917,75.96426,-0.6,10.355676,18715.469,1071.1321198940277,24.523466,717.5074,72.11968,7211.9688,1.4121414e-07,945.7338,14,,0.75964254,122548930.0,11.437289
100,23.22351,0.061640486,1.6378663,44.554268,750000,1500,0.00018896778,1.0138342e-08,7643.687,-11.729621,11.493891406959417,22.775883,,1.0012178,0.2724783,500.0,4.9001594,448.0626,-0.6,10.355098,529190.75,1153.7577574253082,34.505505,4455.427,447.78998,44779.0,1.0138342e-06,8472.108,15,,4.480625,18854687000.0,11.493892
100,9.65157,0.06372255,1.6378663,6.872737,800000,1600,0.00081297266,6.328332e-09,1242.7966,3.854579,13.506149374042058,23.715591,,1.0440539,0.2718122,500.0,3.9437346,70.59439,-0.6,12.320371,123005.37,1239.9578557014465,19.861012,687.27374,69.08221,6908.221,6.3283323e-07,1658.6747,16,,0.7059438,188295950.0,13.50615
