OptimizationReturnMin,StdIWNorm,TimestepsSoFar,Bound,MinIW,InitialReturnMax,MinIWNorm,ESSRenyi,InitialReturnMin,InitialReturnMean,OptimizationReturnMean,EpRewMean,ESSClassic,StdIW,MeanEntropy,EpThisIter,OptimizationReturnMax,InitialReturnStd,Iteration,ReturnStepMax,MaxIW,ReturnMeanIW,LearnableVariance,MeanIW,InitialBound,EpLenMean,TimeElapsed,VarianceInit,MaxIWNorm,MeanIWNorm,EpisodesSoFar,EmpiricalD2,ReturnStepMaxmin,J_sample_variance
,0.012806149,50000,0.18202841,0.023217183,11.644316,0.00023217182,25.861113,-15.68979,-1.1293811,14.560409,-1.1293811487411058,30.862413,1.280615,1.6378663,100,27.334106,5.5911403,1,0.24812028,9.273043,1.7246647,,0.8556111,-1.9138706,500.0,53.660441398620605,-0.6,0.092730425,0.008556111,100,3.8668096,0.054394975,1120.8783
,1.0113726,100000,58.679432,2.824807e-05,18.554258,2.824807e-07,0.041071337,-15.860556,0.4762902,16.336845,0.4762902740853596,1.0939066,101.13726,1.6378663,100,34.414814,5.8391714,2,0.22745319,1016.6951,104.4561,,10.63628,-0.45142266,500.0,124.3704469203949,-0.6,10.166951,0.106362775,200,2434.788,0.019953564,7060434.0
,1.376449,150000,106.5475,2.4721157e-07,19.893581,2.4721156e-09,0.01076103,-11.88938,4.9151697,16.80455,4.9151693870064,1.0586956,137.6449,1.6378663,100,31.782963,6.3090005,3,0.25292674,1383.7408,202.43369,,14.238256,3.9204907,500.0,204.01843571662903,-0.6,13.837408,0.14238256,300,9292.791,0.03926015,13366982.0
,1.3045331,200000,231.60507,1.4115854e-07,26.759447,1.4115853e-09,0.011368412,-9.031657,7.625138,16.656794,7.62513803517612,1.1075172,130.45332,1.6378663,100,35.791103,7.247942,4,0.23121957,1311.6384,357.09164,,13.805392,6.2871656,500.0,286.4180381298065,-0.6,13.116384,0.1380539,400,8796.304,0.002203852,22043814.0
,21.320835,250000,3066.7551,8.324248e-08,25.089901,8.324248e-10,0.00022291829,-7.285076,11.364026,18.649103,11.364026263648896,1.0075033,2132.0833,1.6378663,100,32.374977,7.4177656,5,0.27537233,21429.008,3906.9812,,215.093,10.109531,500.0,367.5186882019043,-0.6,214.29007,2.15093,500,448594.88,0.043176696,2982300400.0
,16.957401,300000,1873.5431,3.83962e-07,22.221653,3.8396197e-09,0.00021785623,-12.51676,8.872189,21.388948,8.872187955664334,1.0034277,1695.7404,1.6378663,100,34.73841,7.2649317,6,0.2787914,17043.117,2626.3115,,170.72313,7.761105,500.0,449.97445344924927,-0.6,170.43117,1.7072313,600,459018.3,0.04930429,2269097200.0
,48.28969,350000,6705.268,2.2646232e-06,31.56644,2.2646232e-08,0.0004969671,-2.5825799,13.9499655,16.532547,13.949966425824293,1.008198,4828.9688,1.6378663,100,34.14902,6.710281,7,0.26115376,48534.7,7413.2656,,487.3351,12.371644,500.0,546.077855348587,-0.6,485.347,4.873351,700,201220.56,0.06379484,7432858000.0
,11.709752,400000,1363.0748,8.45233e-06,28.206305,8.45233e-08,0.001234223,2.4471006,16.773178,14.326079,16.773178823720137,1.0139344,1170.9753,1.6378663,100,25.759205,5.9198775,8,0.30837223,11769.461,1764.5137,,118.5129,15.362863,500.0,635.6915814876556,-0.6,117.6946,1.1851288,800,81022.63,0.07183668,213309420.0
,2.353148,450000,502.58862,1.9984352e-06,32.56887,1.9984352e-08,0.006515492,1.4858125,19.122728,17.636917,19.122728898396122,1.020669,235.31479,1.6378663,100,31.083057,6.564189,9,0.2755343,2365.2288,704.3319,,23.895681,17.494286,500.0,718.9168267250061,-0.6,23.652287,0.2389568,900,15348.034,0.022530794,44111936.0
,13.033881,500000,3508.2634,6.561315e-06,40.426132,6.561315e-08,0.00047346568,9.966174,24.671284,14.705109,24.671283431314368,1.0044158,1303.3881,1.6378663,100,30.459957,6.069958,10,0.293383,13099.827,4437.204,,131.28726,22.649975,500.0,802.6508610248566,-0.6,130.99828,1.3128729,1000,211208.55,0.02740109,977743940.0
,3.1999595,550000,557.4844,7.4037334e-06,42.24743,7.403733e-08,0.003462986,8.31434,27.58067,19.266333,27.580671247100184,1.077502,319.99594,1.6378663,100,33.93309,5.1698313,11,0.23532316,3216.76,916.4435,,33.39689,25.4683,500.0,892.4464218616486,-0.6,32.1676,0.33396894,1100,28876.812,0.019714713,37996190.0
,8.072152,600000,1084.8081,3.7441014e-06,38.668762,3.7441012e-08,0.0021333583,10.998426,27.728388,16.72996,27.72838672233318,1.0162357,807.21533,1.6378663,100,27.670336,4.879633,12,0.22367392,8113.4146,1503.4072,,81.79083,25.794947,500.0,983.9718713760376,-0.6,81.13414,0.81790835,1200,46874.453,0.0319539,35968550.0
,164.07571,650000,43449.504,2.7827593e-08,35.162483,2.7827593e-10,5.732678e-06,7.962368,25.9311,17.968735,25.931102897229422,1.0001674,16407.57,1.6378663,100,27.200115,5.6019387,13,0.3994654,164902.42,50792.457,,1649.1622,24.17298,500.0,1050.5837469100952,-0.6,1649.0242,16.491621,1300,17443854.0,0.21585587,141987150000.0
,6.7300386,700000,1976.271,1.0855413e-06,39.84038,1.0855413e-08,0.0011733512,10.016642,29.408867,19.392225,29.40886859733093,1.0031261,673.0038,1.6378663,100,29.82374,5.625135,14,0.29123276,6764.049,2557.8108,,67.74614,27.416847,500.0,1125.2174446582794,-0.6,67.64049,0.6774614,1400,85225.98,0.033319294,352689730.0
,26.783804,750000,8931.142,3.5152425e-06,44.921825,3.5152425e-08,0.00018747788,20.30216,33.786095,13.483932,33.78609323722605,1.0011321,2678.3804,1.6378663,100,24.619665,5.627241,15,0.26773223,26918.887,10571.552,,269.3412,31.539999,500.0,1199.7293286323547,-0.6,269.18887,2.6934118,1500,533396.25,0.016804934,2633113600.0
,10.49137,800000,3769.6028,0.000110301684,45.342453,1.1030169e-06,0.027947808,14.632372,34.4455,19.81313,34.445500593176845,1.0047399,1049.1371,1.6378663,100,30.710081,5.660314,16,0.29729635,10544.474,3905.2158,,105.69437,32.17837,500.0,1272.5102903842926,-0.6,105.44473,1.0569435,1600,3578.0981,0.07668725,556640400.0
,4.23819,850000,1196.1749,1.5583071e-05,44.92627,1.558307e-07,0.0054094163,18.613182,32.172325,13.559144,32.17232671611755,1.0282367,423.81903,1.6378663,100,26.313087,5.103085,17,0.2229658,4260.068,1501.5933,,43.198765,29.926012,500.0,1352.7902953624725,-0.6,42.600677,0.43198764,1700,18486.283,0.0032441765,48631212.0
,37.405968,900000,11835.764,4.365248e-07,46.601192,4.3652477e-09,0.00016565886,16.645235,34.403664,17.758423,34.40365881686142,1.0029193,3740.5967,1.6378663,100,29.955957,5.823009,18,0.31091326,37594.953,13646.102,,376.49802,32.0736,500.0,1432.8612296581268,-0.6,375.94952,3.76498,1800,603650.2,0.028646022,5468247600.0
,0.75430095,950000,230.09439,0.00013247631,46.624397,1.3247632e-06,0.17573588,18.771938,34.27814,15.506203,34.27814098054912,1.2585293,75.43011,1.6378663,100,27.852459,5.399485,19,0.27844745,758.3471,285.7044,,8.515821,31.94692,500.0,1510.8527255058289,-0.6,7.583471,0.08515822,1900,569.03577,0.023591578,1289827.1
,6.091449,1000000,1396.2959,1.0457475e-06,45.25184,1.0457474e-08,0.006516216,12.860521,33.70319,20.842669,33.703189218623585,1.0114628,609.1449,1.6378663,100,32.39132,5.8327956,20,0.22107482,6122.4697,1676.5865,,61.574818,31.440598,500.0,1595.6532316207886,-0.6,61.224697,0.61574817,2000,15346.33,0.010167256,77691890.0
,10.389763,1050000,3524.3792,4.027717e-08,49.16834,4.0277168e-10,0.00045418798,18.418356,37.768223,19.349867,37.76822219342048,1.0115843,1038.9762,1.6378663,100,30.749983,6.2114215,21,0.26095024,10442.668,4677.9326,,105.030266,35.309807,500.0,1677.9794127941132,-0.6,104.426674,1.0503026,2100,220173.16,0.021757334,749817700.0
,3.3765788,1100000,1026.9009,8.777925e-06,50.355812,8.777925e-08,0.0038589395,15.492272,37.855663,22.363386,37.85565925207521,1.0424497,337.6579,1.6378663,100,34.86354,5.5317907,22,0.24259426,3393.777,1432.2094,,34.656124,35.337868,500.0,1759.8264009952545,-0.6,33.93777,0.34656128,2200,25913.855,0.027287826,77066950.0
