InitialReturnMax,TimeElapsed,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnMin,MinIW,MaxIWNorm,MeanIWNorm,LearnableVariance,ReturnMeanIW,InitialReturnStd,ESSRenyi,TimestepsSoFar,EpThisIter,OptimizationReturnMin,J_sample_variance,Bound,MinIWNorm,MeanIW,StdIWNorm,Iteration,StdIW,ReturnStepMax,EpisodesSoFar,EmpiricalD2,VarianceInit,MeanEntropy,ESSClassic,EpLenMean,InitialBound,MaxIW,EpRewMean,OptimizationReturnMax
9.703799,194.17993664741516,16.621262,-2.9467707,0.060202792,-19.568031,6.037086e-05,9.438885,0.10137744,True,66.10671,5.390917,0.11819224,50000,100,,6420504.0,37.647514,6.037086e-07,10.137744,0.9389175,1,93.89175,0.2515044,100,846.0792,-1,2.8196652,1.1523751,500.0,-3.9251726,943.8885,-2.9467707917525137,29.271832
12.3412485,433.07883524894714,13.521117,0.24913527,0.14673008,-13.271982,8.3719334e-07,1836.8215,18.3709,True,14074.915,5.4165087,1.9813016e-05,100000,100,,148468380000.0,12584.077,8.371933e-09,1837.0898,182.76118,2,18276.117,0.33953488,200,5047187.0,-1,2.8771975,1.0002921,500.0,-0.41446373,183682.16,0.24913537291233484,25.613232
14.519899,672.0284328460693,14.004744,-0.0046520233,0.03258203,-14.009396,7.84465e-11,2000.2483,20.004438,True,21920.043,5.9650803,6.881292e-07,150000,100,,250199720000.0,13168.219,7.84465e-13,2000.4437,199.02202,3,19902.201,0.24480982,300,145321550.0,-1,2.8101895,1.0001954,500.0,-0.730647,200024.83,-0.004652030233452557,28.529295
17.49557,895.3647360801697,14.49054,5.4550543,0.02355583,-9.035486,1.03038275e-07,23.799303,0.24091929,True,417.64597,5.0680447,0.004716538,200000,100,,39912268.0,290.27032,1.0303828e-09,24.091928,2.3677378,4,236.77377,0.24204119,400,21201.992,-1,2.8185976,1.0247141,500.0,4.580275,2379.9304,5.455053939492274,26.531055
25.17118,1089.199070930481,16.192146,8.848152,0.07344282,-7.343996,7.699373e-07,457.7782,4.5823646,True,8095.385,6.0253205,2.451545e-05,250000,100,,13126332000.0,5553.5127,7.699373e-09,458.23648,45.547905,5,4554.7896,0.27172557,500,4079060.5,-1,2.8534877,1.0020028,500.0,7.589593,45777.82,8.848152366329245,32.515175
25.866966,1247.7076616287231,14.800648,13.000947,0.01894018,-1.7997004,2.854117e-09,891.86005,8.9193735,True,10006.961,5.2717066,1.347469e-05,300000,100,,13483834000.0,6483.6084,2.854117e-11,891.93756,88.738884,6,8873.889,0.29907507,600,7421321.0,-1,2.834142,1.0001738,500.0,11.707599,89186.01,13.00094739412359,27.666666
23.292343,1412.3100020885468,13.255662,13.044447,0.12338537,-0.21121417,3.0995336e-05,62.96441,0.6364151,True,1451.7672,5.351223,0.0028473507,350000,100,,212953100.0,1233.513,3.0995335e-07,63.64151,6.2643175,7,626.4317,0.2929542,700,35120.367,-1,2.8869357,1.0215836,500.0,11.879829,6296.441,13.04444763945616,23.503557
24.984783,1563.9169900417328,12.521174,13.739627,0.024292603,1.218451,6.021572e-09,1073.7264,10.742052,True,11918.896,4.631158,2.3182052e-05,400000,100,,11245233000.0,9324.301,6.021572e-11,1074.2052,106.83395,8,10683.3955,0.21991922,800,4313682.0,-1,2.8123693,1.0008918,500.0,12.490386,107372.64,13.739625348864633,23.766333
23.141632,1731.9418013095856,13.70196,13.150282,0.06844431,-0.55167645,3.5813434e-07,1296.2511,12.964313,True,17450.648,4.516432,1.3940409e-05,450000,100,,32989356000.0,14351.615,3.5813434e-09,1296.4313,128.97519,9,12897.516,0.25938246,900,7173390.5,-1,2.810928,1.000278,500.0,11.9932,129625.11,13.15028142934945,23.693308
29.372145,1921.8019390106201,8.817955,17.309294,0.017180532,8.491339,6.682242e-05,15.825529,0.17541113,True,296.02148,4.3407044,0.019490045,500000,100,,1709984.8,190.82547,6.682242e-07,17.541113,1.5762833,10,157.62833,0.24172656,1000,5130.8247,-1,2.866945,1.2232085,500.0,15.840687,1582.553,17.309293775999798,20.880806
