Bound,EpLenMean,MaxIWNorm,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnStd,StdIW,InitialBound,MeanIWNorm,TimestepsSoFar,EpThisIter,InitialReturnMax,StdIWNorm,MinIW,ReturnStepMax,MeanEntropy,Iteration,InitialReturnMin,MinIWNorm,MeanIW,J_sample_variance,VarianceInit,ReturnMeanIW,OptimizationReturnMax,TimeElapsed,EpisodesSoFar,ESSClassic,MaxIW,OptimizationReturnMin,EpRewMean,LearnableVariance,EmpiricalD2,ESSRenyi
-1.6489747,500.0,0.47918463,11.277024,-3.4606876,0.014357716,5.2789884,4.905143,-4.1975727,0.011109518,50000,100,9.387041,0.049051423,0.030417474,0.26717812,2.8174057,1,-14.73771,0.00030417473,1.1109519,7727.353,-1,0.39694518,24.124752,229.29649472236633,100,4.8793507,47.918465,,-3.460687576487871,True,7.7086306,12.972473
1428.0803,500.0,344.5445,19.485815,-1.1797839,0.13254152,5.9864607,3428.0798,-2.2130637,3.4552348,100000,100,11.505546,34.280796,5.0427796e-05,0.32724744,2.8216655,2,-20.665598,5.042779e-07,345.52344,8248173000.0,-1,1938.1401,32.171143,465.45517110824585,200,1.0056885,34454.45,,-1.179783921688647,True,243672.34,0.00041038715
664.53406,500.0,94.05849,16.31127,3.6410632,0.032010168,5.0419755,935.7704,2.7635074,0.9546945,150000,100,17.551115,9.357704,1.02649835e-08,0.22625954,2.7929454,3,-12.670206,1.0264983e-10,95.46946,419968000.0,-1,867.1043,30.221321,702.0843737125397,300,1.030133,9405.849,,3.6410631919475844,True,53284.637,0.0018767136
582.42017,500.0,56.77748,11.721362,4.60324,0.048552126,5.019337,564.8536,3.7728465,0.5847696,200000,100,16.60786,5.6485357,1.2173177e-05,0.28363326,2.8126123,4,-7.118123,1.2173177e-07,58.476967,142552060.0,-1,806.28467,23.725983,905.2581989765167,400,1.0603961,5677.748,,4.603240047746647,True,72678.04,0.0013759314
948.0319,500.0,71.36653,13.454603,9.8911495,0.0125683695,5.039288,710.05493,8.803229,0.7172415,250000,100,21.758396,7.100549,2.2938735e-08,0.26129884,2.779162,5,-3.563454,2.2938734e-10,71.72417,221293970.0,-1,1235.2225,25.32185,1083.071747303009,500,1.0100392,7136.6533,,9.89114993445237,True,69686.19,0.0014350046
9298.82,500.0,797.2373,20.689651,10.333515,0.013828307,5.0304174,7932.219,9.321291,7.9923234,300000,100,20.244513,79.32219,1.8197669e-07,0.24801636,2.8244843,6,-10.356133,1.8197669e-09,799.2326,35697525000.0,-1,10648.135,30.600647,1239.5756635665894,600,1.0050098,79723.734,,10.333516649482462,True,1776935.2,5.627667e-05
13758.035,500.0,680.9741,15.905283,10.847518,0.036592275,4.9735727,6775.6006,9.685588,6.8105035,350000,100,23.238607,67.75599,4.2619113e-09,0.23280911,2.6994624,7,-5.0577655,4.2619113e-11,681.0504,35269763000.0,-1,15333.45,28.296373,1402.830811738968,700,1.000224,68097.414,,10.847517893748174,True,1838356.6,5.439641e-05
233611.53,500.0,14864.095,14.358417,11.540722,0.008814603,4.871176,147895.88,10.392398,148.64166,400000,100,22.966465,1478.9587,9.381898e-09,0.24998851,2.6310062,8,-2.8176959,9.381898e-11,14864.166,8098432000000.0,-1,242664.44,25.78416,1562.8664548397064,800,1.0000097,1486409.5,,11.540720746056266,True,62150930.0,1.6089864e-06
2834.671,500.0,307.9342,15.839726,13.586526,0.013743892,5.4052796,3063.895,12.335951,3.0804822,450000,100,25.01153,30.638954,9.247057e-09,0.25272417,2.59854,9,-2.2531993,9.247057e-11,308.04816,2198892000.0,-1,3996.2188,27.264729,1719.9287328720093,900,1.0007403,30793.42,,13.586527429874822,True,862688.0,0.000115916766
951.7458,500.0,282.4195,15.078008,9.91319,0.001601547,4.8901567,2809.9111,8.8202715,2.8380625,500000,100,21.858374,28.09911,7.0613266e-09,0.20105284,2.523315,10,-5.164817,7.0613265e-11,283.80627,875174800.0,-1,1512.178,27.02319,1927.4612329006195,1000,1.0098361,28241.951,,9.913190003365312,True,262948.3,0.00038030287
15422.689,500.0,2063.5579,11.749129,9.72782,0.011095375,4.296366,20532.07,8.776709,20.642534,550000,100,19.022226,205.3207,5.5648127e-07,0.21997079,2.598541,11,-2.0213099,5.5648126e-09,2064.2534,57829560000.0,-1,19882.453,21.043537,2149.5861010551453,1100,1.000674,206355.8,,9.727820482136359,True,21986744.0,4.548195e-06
9198.227,500.0,1312.7522,16.172197,10.496893,0.08947106,5.198947,13061.691,9.295237,13.130424,600000,100,24.033125,130.6169,1.1128304e-06,0.29272512,2.6419425,12,-5.675303,1.11283045e-08,1313.0424,84907350000.0,-1,21683.363,29.708427,2431.7804324626923,1200,1.000442,131275.22,,10.496893541327644,True,107950856.0,9.2634747e-07
161.59732,500.0,20.483662,12.777719,13.814287,0.0676081,4.4545956,203.7557,12.612583,0.21173081,650000,100,24.034054,2.0375571,1.040235e-06,0.29999277,2.5571587,13,1.0365695,1.040235e-08,21.173084,5783781.5,-1,271.44263,22.997484,2719.449190378189,1300,1.0682778,2048.3662,,13.814287204437269,True,8355.432,0.0119682625
779.3106,500.0,62.942673,10.345311,17.017881,0.042825937,3.7711506,626.4345,15.743937,0.6569845,700000,100,25.478857,6.2643447,4.958109e-08,0.22592786,2.55691,14,6.6725693,4.958109e-10,65.698456,65765096.0,-1,1266.8809,18.806288,3002.9998717308044,1400,1.0879478,6294.2676,,17.017880263355732,True,146478.73,0.000682693
435.25784,500.0,29.456022,13.9151945,16.040476,0.07280123,4.4428883,293.03522,14.719899,0.3025396,750000,100,26.41153,2.9303522,6.4551233e-07,0.28455192,2.5385683,15,2.1252825,6.455123e-09,30.25396,22571228.0,-1,550.97064,24.286247,3292.651138782501,1500,1.0546783,2945.6023,,16.040475972294338,True,7677.7817,0.013024596
17541.184,500.0,1324.9498,11.257711,14.402554,0.018822074,4.844412,13183.062,13.123325,13.251809,800000,100,25.584566,131.83061,4.7507074e-09,0.22353306,2.6002138,16,3.1448424,4.750707e-11,1325.1809,32384367000.0,-1,22159.838,22.439724,3543.166127681732,1600,1.0003488,132494.98,,14.402553378417446,True,13035712.0,7.671234e-06
1500.3405,500.0,100.83979,14.021646,13.92013,0.0088085085,4.728155,1003.30597,12.6172905,1.0317272,850000,100,26.056753,10.033058,2.2275868e-05,0.22827634,2.6238723,17,-0.10151707,2.2275867e-07,103.17272,285326340.0,-1,1711.1459,26.15827,3770.7536466121674,1700,1.0463928,10083.9795,,13.92012777100048,True,26180.79,0.0038195946
196.85889,500.0,10.635813,12.321085,16.15335,0.004158005,4.580472,106.001396,14.868008,0.1195724,900000,100,25.706871,1.0600139,6.984634e-05,0.21279313,2.635375,18,3.832265,6.984634e-07,11.95724,3823878.2,-1,250.51491,21.874607,3998.9952619075775,1800,1.2564565,1063.5813,,16.153350904437122,True,1742.6027,0.05738543
93014.78,500.0,4450.0435,15.076451,16.162363,0.03216672,4.349089,44277.367,14.761132,44.500904,950000,100,28.024622,442.7737,2.432033e-07,0.2642743,2.560206,19,1.0859125,2.4320328e-09,4450.0903,949222440000.0,-1,102259.81,26.93871,4245.570610284805,1900,1.000021,445004.34,,16.162363814131652,True,43530896.0,2.297219e-06
22119.611,500.0,1190.0742,12.986363,17.339405,0.08810891,4.5548725,11841.072,15.989341,11.902393,1000000,100,27.001242,118.41072,7.919723e-09,0.26210594,2.5054634,20,4.3530416,7.9197225e-11,1190.2394,47158510000.0,-1,26893.828,22.648201,4535.291729211807,2000,1.0002775,119007.42,,17.33940513587729,True,12505375.0,7.996561e-06
154.75923,500.0,9.404709,9.488434,18.238012,0.03856249,4.147129,93.5438,16.76637,0.097564824,1050000,100,29.432846,0.935438,0.0004696796,0.25942165,2.564544,21,8.7495775,4.6967957e-06,9.756482,1410487.2,-1,207.48419,20.68327,4826.624948263168,2100,1.0761125,940.4709,,18.238011466499884,True,1283.5947,0.077906206
