InitialReturnMean,StdWReturnMean,MinIW,MinTargetPdf,MeanEntropy,EmpiricalD2Harmonic,OptimizationReturnMax,Inner Iteration,InitialReturnMin,Bound,MeanIW,VarianceInitializer,Penalization,LearnableVariance,TimeElapsed,ESSRenyiHarmonic,ReturnStepMax,Epsilon,Iteration,DivergenceHarmonic,EmpiricalD2Arithmetic,WReturnMean,InitialBound,InitialReturnMax,EpisodesSoFar,MaxIW,ReturnStepMaxmin,MeanD2-0,OptimizationReturnMin,InitialReturnStd,MinBehavPdf,TimestepsSoFar,OptimizationReturnMean,EpLenMean,EpRewMean,EpThisIter,ReturnMeanIW,ESSRenyiArithmetic,StdIW
-2.7345247,,0.0138981305,-903.3883,1.6378663,1.0,27.341564,1,-17.370697,-538527740.0,4123.9897,-0.6,True,,6.364561319351196,100.0,0.2853836,1.0,1,5119681000000000.0,1.0,246.2255,-253.73877,9.970868,100,119394.16,0.06898956,1.0,,5.657558,-903.3883,50000,14.636173,500.0,-2.7345247124057876,100,938476.2,100.0,16222.68
-1.2632422,,0.9858192,-867.69147,1.6378663,1.0,25.409966,1,-13.086572,-2.2337616e+16,140830030.0,-0.6,True,,13.561655044555664,100.0,0.2956712,1.0,2,1.1849282e+31,1.0,167.95967,-174.44887,12.323395,200,13396205000.0,0.038797855,1.0,,5.3074074,-867.69147,100000,11.823329,500.0,-1.263242332085865,100,14573483000.0,100.0,1333508100.0
5.1942415,,0.09165072,-882.197,1.6378663,1.0,31.959282,1,-9.53651,-83212640000.0,189887.5,-0.6,True,,21.6206533908844,100.0,0.2822516,1.0,3,6.5656167e+19,1.0,251.40051,-261.66592,22.422771,300,11279815.0,0.08603521,1.0,,5.8656178,-882.197,150000,14.730752,500.0,5.194241258570014,100,33542438.0,100.0,1216428.5
12.271803,,0.006566615,-864.7338,1.6378663,1.0,27.144789,1,-2.7779026,-8667892000.0,51321.695,-0.6,True,,34.00113248825073,100.0,0.3216219,1.0,4,1.366346e+18,1.0,255.14258,-262.5481,24.366886,400,2927825.2,0.03535077,1.0,,5.352474,-864.7338,200000,15.0497055,500.0,12.271801528023818,100,11523958.0,100.0,312607.34
15.346511,,0.00809089,-878.0222,1.6378663,1.0,35.18994,1,-3.2538218,-499995600000000.0,47820384.0,-0.6,True,,47.18489074707031,100.0,0.24822903,1.0,5,1.6138755e+27,1.0,379.52838,-391.9741,31.93612,500,4543941000.0,0.006238371,1.0,,5.792751,-878.0222,250000,18.600334,500.0,15.346511866092937,100,13421659000.0,100.0,452081100.0
18.861502,,0.29791784,-862.3264,1.6378663,1.0,28.270424,1,2.3715239,-204531710000000.0,352055.84,-0.6,True,,64.39663791656494,100.0,0.23164648,1.0,6,6.4837575e+26,1.0,301.36798,-309.4004,30.641947,600,13589455.0,0.03007333,1.0,,5.4266605,-862.3264,300000,16.489977,500.0,18.86150093588929,100,122857840.0,100.0,1466216.5
23.031776,,0.04223311,-904.94885,1.6378663,1.0,28.2168,1,11.7085085,-3130897000000000.0,3412016.0,-0.6,True,,86.30858325958252,100.0,0.32843906,1.0,7,1.5308808e+29,1.0,150.29747,-158.29942,39.92531,700,316397470.0,0.08145438,1.0,,4.699053,-904.94885,350000,11.323268,500.0,23.031775369148004,100,762855900.0,100.0,31486486.0
22.89132,,0.16908668,-863.52234,1.6378663,1.0,19.284403,1,14.156561,-229945.47,94.405426,-0.6,True,,113.15026330947876,100.0,0.27342227,1.0,8,3580383000.0,1.0,94.01592,-97.75351,33.440964,800,1358.466,0.12037413,1.0,,4.2095056,-863.52234,400000,8.734757,500.0,22.891317962408802,100,6300.2983,100.0,217.92357
24.146338,,0.14798498,-869.82074,1.6378663,1.0,21.587448,1,12.372037,-6.0976587e+16,2015533200.0,-0.6,True,,150.7280237674713,100.0,0.33949542,1.0,9,1.6949409e+32,1.0,156.73265,-161.41626,33.959484,900,197312900000.0,0.10861629,1.0,,4.254226,-869.82074,450000,11.774303,500.0,24.146339778854212,100,114919310000.0,100.0,19629724000.0
30.132662,,0.17156082,-882.67694,1.6378663,1.0,22.572123,1,18.515028,-5098046700000000.0,91403400.0,-0.6,True,,210.00893378257751,100.0,0.31562436,1.0,10,9.911786e+29,1.0,155.46747,-160.5881,41.08715,1000,8913998000.0,0.14097875,1.0,,4.527476,-882.67694,500000,11.617634,500.0,30.132663447910566,100,7413467000.0,100.0,886739900.0
33.88857,,0.18948372,-895.25696,1.6378663,1.0,22.539356,1,21.006474,-8586242000000000.0,416166.56,-0.6,True,,272.5555384159088,100.0,0.26791495,1.0,11,2.827974e+30,1.0,189.0233,-194.12909,43.54583,1100,9893829.0,0.00020202994,1.0,,4.803625,-895.25696,550000,12.882098,500.0,33.8885729331034,100,28854920.0,100.0,1501500.9
