MinIW,Iteration,EmpiricalD2Harmonic,Bound,OptimizationReturnMin,ReturnStepMax,EpThisIter,VarianceInitializer,WReturnMean,Inner Iteration,InitialReturnMin,EpRewMean,ReturnStepMaxmin,LearnableVariance,DivergenceHarmonic,InitialReturnMax,MinBehavPdf,OptimizationReturnMean,Penalization,StdWReturnMean,MeanIW,InitialReturnMean,MeanEntropy,ReturnMeanIW,Epsilon,TimestepsSoFar,InitialReturnStd,ESSRenyiArithmetic,ESSRenyiHarmonic,StdIW,OptimizationReturnMax,EpisodesSoFar,MinTargetPdf,MaxIW,TimeElapsed,MeanD2-0,InitialBound,EpLenMean,EmpiricalD2Arithmetic
0.007713787,1,1.0,-1665035700000.0,,0.2747229,100,-0.6,212.6748,1,-14.491786,-1.1616883623613492,0.030018687,,4.923451e+22,12.832714,-881.72894,13.330097,True,,138889.69,-1.1616883,1.6378663,7137173.0,1.0,50000,5.9146686,100.0,100.0,757360.56,27.324501,100,-881.72894,5584595.0,25.09756064414978,1.0,-220.1787,500.0,1.0
0.0008733162,2,1.0,-71952680.0,,0.2201279,100,-0.6,308.67004,1,-11.450434,5.043976683499081,0.020300195,,50932880000000.0,19.888237,-866.4501,16.49441,True,,6288.7383,5.043977,1.6378663,1508893.8,1.0,100000,6.0501623,100.0,100.0,29235.143,31.33867,200,-866.4501,248778.05,62.26185727119446,1.0,-318.54065,500.0,1.0
0.03340506,3,1.0,-20801014000.0,,0.2601371,100,-0.6,205.2198,1,-3.7200465,9.670339417446945,0.00265494,,8.4271365e+18,22.980312,-869.2471,13.390386,True,,10282.074,9.67034,1.6378663,1335731.5,1.0,150000,5.090911,100.0,100.0,61813.207,26.70036,300,-869.2471,613106.5,118.94198870658875,1.0,-212.38481,500.0,1.0
0.04040255,4,1.0,-411334000.0,,0.2480665,100,-0.6,241.62447,1,-0.57851124,13.916415068139024,0.03424348,,3554249500000000.0,25.61166,-872.2453,14.494926,True,,1662.1605,13.916415,1.6378663,342323.75,1.0,200000,5.6144075,100.0,100.0,6947.921,26.19017,400,-872.2453,54843.086,190.26423931121826,1.0,-248.51826,500.0,1.0
0.078144595,5,1.0,-6926376400.0,,0.28965464,100,-0.6,177.45256,1,6.366336,18.541201671001197,0.1356068,,1.3522254e+18,30.699797,-875.1257,12.174867,True,,56367.906,18.5412,1.6378663,6238941.5,1.0,250000,5.406033,100.0,100.0,256732.52,24.333462,500,-875.1257,1547571.2,255.524188041687,1.0,-183.40356,500.0,1.0
0.013339622,6,1.0,-22292070000.0,,0.25450563,100,-0.6,146.35864,1,14.508861,25.381023675050898,0.044848427,,1.1719365e+19,39.849846,-905.92426,10.872163,True,,806714.9,25.381023,1.6378663,197712260.0,1.0,300000,5.306102,100.0,100.0,7764621.5,25.340984,600,-905.92426,78049330.0,326.05850529670715,1.0,-152.81264,500.0,1.0
0.0028491977,7,1.0,-345725040000.0,,0.22239777,100,-0.6,161.99835,1,15.650491,27.27414998204355,0.007738024,,4.802262e+21,37.928658,-878.0998,11.62366,True,,270710.5,27.27415,1.6378663,53024900.0,1.0,350000,5.185452,100.0,100.0,2465770.5,22.278168,700,-878.0998,24767044.0,387.27080488204956,1.0,-166.9865,500.0,1.0
0.032039177,8,1.0,-154150770000000.0,,0.2588406,100,-0.6,209.16388,1,15.398779,29.10072219860369,0.099065885,,6.263729e+26,40.15435,-869.3939,13.701943,True,,3882526.0,29.100723,1.6378663,315721630.0,1.0,400000,4.6282425,100.0,100.0,22959418.0,24.755571,800,-869.3939,216767520.0,451.8792669773102,1.0,-215.3231,500.0,1.0
0.020625532,9,1.0,-386129.47,,0.30783448,100,-0.6,193.68095,1,21.492443,34.200598025643465,0.07146788,,2718276900.0,48.047737,-876.78503,12.708155,True,,68.62998,34.2006,1.6378663,16614.988,1.0,450000,5.6730733,100.0,100.0,232.74603,26.555294,900,-876.78503,1793.972,524.5289611816406,1.0,-200.76826,500.0,1.0
0.10410772,10,1.0,-55711355000000.0,,0.23960271,100,-0.6,155.59647,1,25.595484,36.8395752460549,0.048574924,,1.413298e+26,47.18894,-869.8128,11.244092,True,,195772.78,36.839577,1.6378663,24369550.0,1.0,500000,5.400636,100.0,100.0,1230387.4,21.593454,1000,-869.8128,12099997.0,588.1685125827789,1.0,-160.2827,500.0,1.0
0.06272966,11,1.0,-7.3086934e+16,,0.28342104,100,-0.6,175.1775,1,26.243092,38.58381288077181,0.04468119,,1.8972588e+32,49.220287,-881.2741,12.340721,True,,3426063.8,38.583813,1.6378663,766549570.0,1.0,550000,4.7837324,100.0,100.0,17554670.0,22.977196,1100,-881.2741,146564850.0,644.869677066803,1.0,-180.48357,500.0,1.0
0.048026096,12,1.0,-6.54057e+17,,0.26969022,100,-0.6,182.36674,1,27.168005,39.8291384448703,0.031070933,,1.4354389e+34,50.474148,-877.4234,12.661133,True,,387363460.0,39.82914,1.6378663,50501366000.0,1.0,600000,4.6970673,100.0,100.0,3351980500.0,23.306143,1200,-877.4234,33395580000.0,703.8686301708221,1.0,-187.8258,500.0,1.0
0.23988101,13,1.0,-3.7433556e+16,,0.31594607,100,-0.6,186.22134,1,31.315868,43.87465147991003,0.07167077,,5.248864e+31,53.9896,-874.3386,12.558782,True,,2718064.8,43.874653,1.6378663,500089760.0,1.0,650000,5.338382,100.0,100.0,9906290.0,22.673733,1300,-874.3386,71587130.0,768.5143346786499,1.0,-191.38815,500.0,1.0
0.039737344,14,1.0,-429637.4,,0.2863976,100,-0.6,243.42336,1,32.86357,47.51468878952376,0.04448761,,3319822000.0,59.340843,-872.1371,14.651117,True,,194.84654,47.514694,1.6378663,23674.545,1.0,700000,5.363589,100.0,100.0,705.9006,26.477272,1400,-872.1371,5653.4126,835.7127001285553,1.0,-250.469,500.0,1.0
0.030230578,15,1.0,-84005.63,,0.25518027,100,-0.6,122.355835,1,40.226734,50.162790763317055,0.042172417,,333925860.0,61.005978,-874.9998,9.936057,True,,131.59123,50.162792,1.6378663,4706.787,1.0,750000,4.8611326,100.0,100.0,804.78015,20.779243,1500,-874.9998,8025.3174,901.8790957927704,1.0,-126.695274,500.0,1.0
2.5864942e-05,16,1.0,-4.7989714e+17,,0.27860823,100,-0.6,305.34885,1,35.28665,51.80583704699536,0.06486209,,3.4048838e+33,63.892662,-869.81226,16.519186,True,,202416340.0,51.805832,1.6378663,68467864000.0,1.0,800000,5.6978416,100.0,100.0,1447767400.0,28.60601,1600,-869.81226,13801215000.0,973.9473810195923,1.0,-313.57294,500.0,1.0
0.051123515,17,1.0,-3302831.2,,0.28980112,100,-0.6,297.96948,1,38.715195,55.186784508801274,0.08061701,,153856790000.0,65.75106,-871.33826,16.47159,True,,1093.3121,55.186783,1.6378663,421313.6,1.0,850000,5.162968,100.0,100.0,6879.4023,27.035866,1700,-871.33826,60145.18,1041.7142357826233,1.0,-305.31552,500.0,1.0
0.013876093,18,1.0,-654642.44,,0.383343,100,-0.6,430.41724,1,36.562954,56.6037947262974,0.13990411,,4207495400.0,67.25301,-866.51904,20.04084,True,,111.02231,56.603794,1.6378663,40612.33,1.0,900000,5.364884,100.0,100.0,313.086,30.69006,1800,-866.51904,2684.865,1117.32679104805,1.0,-439.88327,500.0,1.0
0.03653633,19,1.0,-8516625.0,,0.29315525,100,-0.6,299.70947,1,41.915806,58.542249980444055,0.023611575,,1274800500000.0,68.218475,-873.5907,16.626446,True,,1720.0663,58.54225,1.6378663,666018.8,1.0,950000,4.8239856,100.0,100.0,7333.1323,26.30267,1900,-873.5907,52248.66,1179.3248941898346,1.0,-306.6624,500.0,1.0
0.020167427,20,1.0,-1970714.2,,0.30532727,100,-0.6,161.49817,1,46.62767,58.414122870820904,0.054389864,,91904655000.0,71.800476,-874.8727,11.786452,True,,303.1381,58.414127,1.6378663,40015.844,1.0,1000000,4.751601,100.0,100.0,816.08185,25.172806,2000,-874.8727,4861.6626,1244.355702638626,1.0,-167.86656,500.0,1.0
0.009179377,21,1.0,-6828915.5,,0.23139049,100,-0.6,267.20197,1,42.001175,57.79802369370873,0.0023536086,,767602200000.0,69.54274,-864.3979,15.796848,True,,849.5144,57.798027,1.6378663,149665.2,1.0,1050000,4.202562,100.0,100.0,2856.4036,27.541565,2100,-864.3979,19143.934,1313.0546743869781,1.0,-274.82523,500.0,1.0
0.014186094,22,1.0,-1345508.9,,0.2956912,100,-0.6,216.31783,1,47.314377,61.24973938612654,0.054891154,,27843810000.0,72.3965,-865.9351,13.935361,True,,2544.7144,61.249737,1.6378663,290453.53,1.0,1100000,4.7035627,100.0,100.0,18661.238,25.082123,2200,-865.9351,186553.73,1408.7051663398743,1.0,-222.64038,500.0,1.0
0.0659169,23,1.0,-88078910.0,,0.23819691,100,-0.6,217.6441,1,47.981804,61.91260201795096,0.03325653,,94091065000000.0,74.76397,-882.29297,13.930798,True,,73664.43,61.9126,1.6378663,18151412.0,1.0,1150000,4.8556128,100.0,100.0,722413.56,26.782166,2300,-882.29297,7261490.5,1514.525336265564,1.0,-224.85281,500.0,1.0
0.10184515,24,1.0,-5155275.0,,0.2553793,100,-0.6,243.17267,1,47.72709,62.34687863984325,0.048559487,,435403620000.0,75.312096,-891.4321,14.61979,True,,327.4604,62.346878,1.6378663,108957.21,1.0,1200000,5.42535,100.0,100.0,1388.6855,27.585007,2400,-891.4321,12007.786,1617.817621231079,1.0,-250.82008,500.0,1.0
