InitialReturnStd,InitialReturnMax,MeanIWNorm,StdIWNorm,J_sample_variance,MinIWNorm,InitialReturnMin,MinIW,ReturnStepMaxmin,Weights,MeanIW,InitialBound,Bound,Iteration,ReturnStepMax,TimestepsSoFar,ESSClassic,EmpiricalD2,EntropyCoefficient,InitialReturnMean,MaxIWNorm,EpThisIter,ReturnMeanIW,MaxIW,EpRewMean,EpLenMean,StdIW,TimeElapsed,ESSRenyi,MeanEntropy,EpisodesSoFar
74.96851,309.0515,0.09745012,0.8937894,772055230.0,0.00015245852,-103.785446,0.015245852,8.360894,[-0.822 -0.493 -0.474 -0.749  0.   ],9.745014,-23.661472,2331.3801,1,9.999997,1229,1.1747956,140.49011,10.0,-1.2207031e-06,8.990298,100,2767.254,899.02985,112.82767278686907,12.29,89.37894,2.1068456172943115,0.71179384,1.27676,100
113.27715,449.69553,4.954617,49.155117,4935765000000.0,1.1627675e-05,-149.44034,0.0011627675,8.886375,[-1.044e-03 -2.488e-01 -5.460e-01 -1.234e+00 -1.422e-01],495.46176,-42.308643,216546.53,2,9.999998,3043,1.0057563,11359.219,10.0,-1.2817382e-05,494.04108,100,222404.48,49404.11,171.2994259934003,18.14,4915.512,13.517829418182373,0.008803423,1.2050798,200
149.57515,325.08295,0.011722049,0.026383476,475419.84,0.0001256702,-194.16422,0.012567019,9.210403,[-0.34   0.384 -0.735 -1.253 -0.214],1.172205,-27.763578,55.637352,3,10.0,5610,16.48559,5.0962763,10.0,-4.8828124e-06,0.23231845,100,134.88815,23.231846,246.56547543179207,25.67,2.6383476,24.91182827949524,19.62217,1.0629877,300
166.01393,369.63098,0.012355438,0.024448054,565389.3,0.00012602532,-309.03406,0.012602532,9.499296,[-0.507  0.481 -1.    -1.416 -0.356],1.2355438,-34.640488,61.969795,4,9.999998,9683,20.344364,4.883612,10.0,6.1035155e-07,0.17541042,100,152.27588,17.541042,397.1030372511877,40.73,2.4448054,37.106706619262695,20.476646,0.97364295,400
169.68698,412.9167,0.0136935245,0.03583337,845865.44,4.0229475e-05,-414.6726,0.0040229475,9.651906,[-0.534  0.581 -1.217 -1.662 -0.445],1.3693525,-41.050354,74.930115,5,9.999999,15566,12.742581,5.998939,10.0,2.9296874e-05,0.22359395,100,190.62949,22.359396,578.0606486730728,58.83,3.583337,51.681342363357544,16.669615,0.86914045,500
149.89517,420.78174,0.013027378,0.015311616,100873.07,0.0009829494,-494.7002,0.09829494,9.723137,[-0.527  0.649 -1.285 -1.748 -0.55 ],1.3027378,-51.89675,4.573485,6,10.0,22977,41.991627,2.0759776,10.0,,0.108419836,100,83.88217,10.841984,730.840483487381,74.11,1.5311614,69.17414402961731,48.17008,0.7988257,600
157.77713,320.10986,0.010126552,0.006315951,40437.94,0.0013091895,-512.50525,0.13091895,9.734388,[-0.537  0.651 -1.361 -1.772 -0.62 ],1.0126551,-54.78054,-42.250755,7,10.0,30716,71.994026,1.381141,10.0,2.3193359e-05,0.035379358,100,23.893894,3.537936,763.6218735211788,77.39,0.6315951,84.99414253234863,72.40391,0.7622495,700
166.68088,363.13586,0.010860663,0.014313985,244183.17,0.0017728631,-510.47498,0.17728631,9.73506,[-0.553  0.69  -1.405 -1.767 -0.657],1.0860664,-54.89768,-16.983902,8,10.0,38478,36.53589,1.8500977,10.0,-9.155274e-06,0.11996152,100,60.056915,11.996153,765.9171635331995,77.62,1.4313986,100.79578065872192,54.0512,0.7998039,800
160.74121,322.38434,0.009918137,0.0027021097,24901.924,0.005002073,-529.36475,0.5002073,9.755108,[-0.593  0.731 -1.478 -1.885 -0.619],0.99181366,-56.835655,-53.52089,9,10.0,46882,93.09042,1.0691569,10.0,-1.5563965e-05,0.019341528,100,5.6456814,1.934153,830.1092227875178,84.04,0.27021098,117.52709126472473,93.53164,0.7871483,900
167.27203,307.5979,0.010223439,0.0028259486,28138.99,0.0039740247,-526.52783,0.3974025,9.746354,[-0.587  0.74  -1.502 -1.896 -0.632],1.0223441,-56.614746,-51.244102,10,9.999999,54986,92.90167,1.0788273,10.0,2.1362305e-06,0.017415509,100,8.037397,1.7415509,800.1218925606809,81.04,0.28259486,134.3229866027832,92.693245,0.76981485,1000
