MaxIWNorm,StdIW,J_sample_variance,MeanIW,EpLenMean,TimestepsSoFar,TimeElapsed,Bound,InitialReturnMean,ReturnStepMax,MinIW,ReturnStepMaxmin,MaxIW,StdIWNorm,ESSRenyi,InitialBound,EpThisIter,MeanEntropy,MinIWNorm,EpRewMean,ReturnMeanIW,MeanIWNorm,Iteration,EpisodesSoFar,InitialReturnStd,InitialReturnMin,Weights,EmpiricalD2,InitialReturnMax,ESSClassic,EntropyCoefficient
0.20580755,0.8970675,10852.895,1.1333926,10.0,200,0.6737837791442871,3.2295408,-1.5258789e-06,9.999976,0.17228988,7.9867163,4.116151,0.044853374,14.011137,-19.122694,20,1.3104243,0.008614494,89.9334678986239,29.92509,0.05666963,1,20,55.486576,-74.70904,[-0.365 -0.68  -0.484 -0.253  0.   ],1.4274359,121.638725,12.296683,10.0
3.421463,14.828052,10033855.0,3.8593266,11.45,429,2.848452091217041,545.6273,-7.6293946e-07,9.999978,0.020137599,8.242282,68.42926,0.74140257,1.9465914,-43.61278,20,1.1127586,0.00100688,104.4369427982092,716.2986,0.19296634,2,40,74.07389,-86.37311,[-0.618 -0.443 -0.732 -0.543 -0.109],10.27437,207.10129,1.2688745,10.0
0.32469413,1.3975449,94995.65,1.1552808,20.5,839,4.956567764282227,-15.59782,1.5258789e-06,9.999966,0.24245815,9.01156,6.493882,0.069877245,10.90593,-61.731667,20,1.1320385,0.012122908,194.8681561096265,71.747986,0.057764042,3,60,108.84506,-130.6075,[-0.682 -0.069 -1.267 -1.149 -0.306],1.8338648,266.04437,8.118934,10.0
2.926178,12.619853,6774039.0,3.604903,38.4,1607,7.590768337249756,300.4336,-2.5939942e-05,9.999993,0.12554047,9.470792,58.52356,0.63099265,1.6905627,-68.429214,20,1.2045581,0.0062770233,373.8390699517462,562.6892,0.18024516,4,80,167.92197,-261.8906,[-0.603  0.019 -1.437 -1.376 -0.287],11.83038,291.20428,1.5088385,10.0
0.15854573,0.68904847,36937.805,1.1910574,33.05,2268,10.34623408317566,-24.924871,-1.2207031e-05,9.999998,0.5190627,9.383648,3.1709146,0.034452427,14.64626,-57.538113,20,1.1529535,0.025953135,320.31473897506964,44.858414,0.05955288,5,100,128.53883,-254.08366,[-0.635  0.258 -1.582 -1.368 -0.214],1.3655363,204.81113,14.984825,10.0
0.07824291,0.29432204,26168.254,0.89677703,32.95,2927,12.78380823135376,-45.172035,7.6293945e-06,9.999995,0.51723045,9.384564,1.5648582,0.014716104,17.267126,-71.55109,20,1.1341444,0.025861522,319.3606490507202,32.900364,0.044838853,6,120,154.63579,-247.89458,[-0.8    0.388 -1.655 -1.394 -0.266],1.1582704,303.36758,18.05518,10.0
0.5021745,2.0886662,185870.22,1.1119149,49.15,3910,15.794555425643921,5.053899,-1.6784668e-05,9.999998,0.03092464,9.584179,10.043489,0.10443332,5.607889,-40.742996,20,1.0674291,0.001546232,481.28112556901414,92.740654,0.055595737,7,140,99.87398,-177.22722,[-0.889  0.461 -1.732 -1.531 -0.285],3.5664043,190.18542,4.4164343,10.0
0.11161252,0.50455344,28668.283,1.0149376,38.85,4687,18.46157741546631,-41.707157,-2.5939942e-05,9.999996,0.22264457,9.475462,2.2322505,0.02522767,16.650383,-71.51931,20,1.0447164,0.011132228,378.310764460145,37.928246,0.05074688,8,160,154.74017,-300.12848,[-0.838  0.534 -1.822 -1.696 -0.352],1.2011735,214.75043,16.036747,10.0
0.18294743,0.7837385,37773.816,0.90797204,58.75,5862,21.694911241531372,-41.4832,-1.9836425e-05,9.999997,0.36544195,9.651116,3.6589484,0.03918693,13.881776,-60.79858,20,1.0914192,0.018272098,577.2514600519286,33.11937,0.0453986,9,180,124.63127,-218.62714,[-0.921  0.595 -1.941 -1.829 -0.374],1.4407378,260.1526,11.460855,10.0
0.17851277,0.83205384,57543.48,1.1948472,55.65,6975,24.799148559570312,-67.39465,4.577637e-06,9.999997,0.3602612,9.632506,3.5702553,0.04160269,15.939609,-96.66651,20,1.092416,0.01801306,546.2744529559793,42.187706,0.05974236,10,200,199.55077,-392.82916,[-0.998  0.645 -2.021 -1.897 -0.328],1.254736,272.529,13.468658,10.0
0.12402449,0.43067697,27434.762,1.0508442,53.25,8040,27.925426959991455,-89.10603,-9.155274e-06,9.999998,0.4215058,9.615923,2.4804897,0.021533849,17.004555,-95.31355,20,1.1151094,0.021075292,522.273855868491,14.958408,0.05254221,11,220,117.818344,-387.92523,[-1.072  0.742 -2.102 -1.904 -0.327],1.1761554,217.00266,17.123753,10.0
1.1120404,4.7904086,698435.44,1.7824705,52.15,9083,30.780256748199463,69.41083,1.0681152e-05,9.999995,0.0013682235,9.608432,22.240807,0.23952046,2.376492,-34.916573,20,1.0060638,6.841117e-05,511.2897356825967,192.99223,0.08912354,12,240,69.849846,-108.12631,[-1.05   0.753 -2.108 -1.956 -0.304],8.415766,168.21536,2.4322867,10.0
