Iteration,TimestepsSoFar,MaxIW,EmpiricalD2,J_sample_variance,EpLenMean,MeanIW,MaxD2w0t,EpThisIter,ReturnMeanIW,ReturnStepMax,InitialReturnStd,EpRewMean,Weights,MeanD2w0t,InitialReturnMean,InitialBound,StdD2w0t,MeanEntropy,MinIW,MinD2w0t,Bound,ReturnStepMaxmin,EpisodesSoFar,StdIW,InitialReturnMax,TimeElapsed,InitialReturnMin
1,1187,8.949165,3.875003,397725.47,11.87,0.70262265,30.19205,100,-549.8607,9.151809,69.11874,108.63198042247897,[-0.266 -0.32   0.399 -0.856  0.   ],0.059710737,-4.4250487e-06,-891.54877,0.53285164,1.2215564,0.0021954486,,-744.7751,8.303618,100,0.8194076,223.57849,3.0558362007141113,-100.6026
2,2871,6.460398,2.5153847,98910.65,16.84,0.78319705,45.78802,100,-607.26355,9.400493,96.697685,158.3043038153117,[-0.22  -0.084  0.18  -1.329 -0.197],0.049524292,6.1035157e-06,-890.3151,0.47237098,1.1573384,0.17782879,,-763.4512,8.800989,200,0.41127273,327.89532,9.886175870895386,-141.08144
3,5427,4.6245384,1.4122138,89738.555,25.56,0.9585813,5.0747457,100,-707.49384,9.603196,161.29565,245.45771586152924,[-0.159  0.154  0.035 -1.555 -0.262],0.05952219,-2.5787354e-05,-863.7539,0.27541614,1.1656646,0.19743118,,-832.6471,9.206394,300,0.4350102,430.85114,18.079877614974976,-189.20058
4,7910,6.8160524,1.9393828,189568.77,24.83,0.80463594,8.521368,100,-597.7568,9.591772,153.46158,238.1637106634761,[-0.114  0.226 -0.012 -1.605 -0.253],0.086079665,-6.713867e-06,-863.6174,0.43197435,1.0590814,0.0079798605,,-760.674,9.183546,400,0.62223536,390.91565,25.651079893112183,-195.9657
5,11059,6.5834084,2.3868666,153281.62,31.49,0.8426391,14.273693,100,-581.24786,9.67712,158.46391,304.7325205575291,[-0.192  0.271 -0.094 -1.593 -0.36 ],0.105608135,-1.4801026e-05,-823.32745,0.50284857,1.0060089,0.018795716,,-746.6981,9.35424,500,0.64640564,356.64728,34.274486780166626,-246.50908
6,14845,4.439399,3.048853,124804.555,37.86,0.76159173,20.233593,100,-524.9753,9.731032,201.80388,368.4167718914969,[-0.313  0.419 -0.201 -1.584 -0.413],0.13583633,-1.953125e-05,-805.83044,0.6459769,0.9409266,0.006822458,,-698.9379,9.462066,600,0.50479245,528.3597,44.39284586906433,-277.18677
7,18935,8.98691,1.6698356,177177.05,40.9,0.9208092,3.4497733,100,-556.39777,9.750855,191.81946,398.8099357167861,[-0.427  0.469 -0.275 -1.579 -0.478],0.11779191,-1.5258789e-06,-778.65753,0.4101155,0.8701264,0.07804009,,-697.35803,9.501712,700,0.95938194,375.93735,54.157551765441895,-302.67966
8,24023,7.1490154,6.194196,245000.14,50.88,0.67768985,22.366913,100,-401.2866,9.799077,174.1499,498.5768937619177,[-0.439  0.503 -0.312 -1.671 -0.549],0.20228109,1.6479493e-05,-720.04736,0.85700774,0.81987226,0.008041189,,-572.1859,9.598154,800,0.80620146,414.84024,65.22402882575989,-370.0516
9,28661,8.457871,14.913713,312052.38,46.38,0.67855805,45.834373,100,-402.5815,9.780057,171.98557,453.5988943367579,[-0.528  0.478 -0.341 -1.695 -0.599],0.24099025,1.8920899e-05,-747.13324,1.4559184,0.818701,0.015479058,,-598.89996,9.560116,900,0.9252648,492.38162,75.69601082801819,-331.9599
10,34242,6.741624,5.289383,268462.66,55.81,0.7172492,17.368465,100,-419.443,9.816786,174.33714,547.8747467278355,[-0.468  0.538 -0.4   -1.848 -0.6  ],0.224845,2.166748e-05,-696.2687,0.8154109,0.7479961,0.0006202113,,-600.4865,9.633574,1000,0.8368499,489.1369,87.44075179100037,-387.74808
11,39628,8.88979,13.612018,268307.56,53.86,0.6499312,66.69675,100,-386.44562,9.810359,166.8683,528.3857466444571,[-0.549  0.537 -0.404 -1.827 -0.671],0.3086521,-1.3427734e-05,-697.77594,1.5897863,0.6872,0.00016741034,,-588.08655,9.620719,1100,0.8524111,309.4549,98.63602328300476,-390.9842
12,43981,17.670424,8.908599,245234.69,43.53,0.7553522,38.680935,100,-473.7456,9.765836,162.50824,425.1066788485145,[-0.564  0.434 -0.413 -1.713 -0.732],0.19265842,1.5258789e-05,-753.61835,1.1056429,0.7206582,0.045680277,,-650.8836,9.531672,1200,0.89432627,330.10034,109.24700164794922,-328.57202
13,49328,4.290092,8.97214,216154.5,53.47,0.6746647,34.97962,100,-412.9552,9.8088255,171.75491,524.4778200866137,[-0.511  0.486 -0.463 -1.69  -0.698],0.23480824,3.234863e-05,-703.7722,1.0395927,0.6646109,0.00038750086,,-595.8084,9.617652,1300,0.67304415,358.5369,121.14484453201294,-386.29868
14,53991,29.541113,16.332079,471709.5,46.63,0.7271401,52.468597,100,-415.0696,9.780829,140.20497,456.07998238909016,[-0.562  0.433 -0.471 -1.627 -0.754],0.29963112,8.850097e-06,-732.27374,1.7024289,0.56989026,0.007740123,,-653.9269,9.561659,1400,1.2052056,350.1057,131.91131854057312,-353.31683
