EpRewMean,Bound,TimestepsSoFar,ReturnStepMaxmin,MeanIW,MeanEntropy,InitialReturnStd,EpisodesSoFar,StdIW,MeanD2w0t,TimeElapsed,InitialReturnMax,StdD2w0t,InitialReturnMin,MinD2w0t,MinIW,MaxD2w0t,EmpiricalD2,InitialReturnMean,Weights,ReturnStepMax,EpThisIter,EpLenMean,Iteration,MaxIW,ReturnMeanIW,InitialBound,J_sample_variance
148.41425640566592,-960.2677,317,8.727355,0.8714661,1.4753436,95.30761,20,0.26552838,0.03791592,1.0466859340667725,280.11597,0.21317694,-122.7415,,0.34360647,2.1501079,1.2605641,-1.5258789e-06,[-0.822 -0.493 -0.474 -0.749  0.   ],9.999997,20,15.85,1,1.9624461,-699.15765,-1019.4303,65415.69
108.93066789007321,-840.46265,555,8.307731,0.6632311,1.314827,80.12231,40,0.50503886,0.038572006,3.402637481689453,217.49438,0.2695737,-79.99278,,0.065003924,4.7445054,1.8045353,-3.0517579e-06,[-0.899 -0.603 -0.475 -0.803  0.056],9.999946,20,11.9,2,3.4764843,-538.37213,-1010.59265,189630.89
106.92744670445916,-781.8302,789,8.278251,0.5972321,1.1606121,66.88321,60,0.42833915,0.045377105,5.172494173049927,153.4547,0.33396062,-79.40065,,0.03798303,6.2352023,2.5555818,8.392334e-06,[-1.028 -0.758 -0.504 -0.746 -0.104],9.999944,20,11.7,3,2.6188512,-478.35757,-992.2268,131107.62
167.90626003590677,-929.1221,1145,8.865872,0.7509008,1.0474877,116.492676,80,0.4067323,0.05316555,7.2776336669921875,338.81586,0.29855067,-126.107346,,0.1474759,4.186422,1.5867171,,[-1.191 -0.703 -0.773 -1.107 -0.258],9.999999,20,17.8,4,1.8768885,-604.6059,-1025.665,139189.81
178.4054207952832,-816.24475,1522,8.928973,0.6112255,0.8951419,76.18193,100,0.5681988,0.07281959,9.353626489639282,190.31296,0.41817194,-92.67407,,0.016422175,7.5887933,2.7505589,-4.577637e-06,[-1.262 -0.634 -0.844 -1.182 -0.371],9.999984,20,18.85,5,2.9132328,-463.468,-988.70056,191433.56
155.87766891431428,-807.064,1854,8.780488,0.7010208,0.9758783,51.476135,120,0.5802862,0.051249463,11.599268436431885,109.347824,0.2911588,-66.25629,,0.14745623,3.7815537,2.057588,9.155274e-06,[-1.411 -0.62  -0.948 -1.389 -0.524],9.999953,20,16.6,6,3.7333276,-556.94507,-973.0487,247618.55
174.90483452540894,-619.2053,2224,8.908635,0.3789302,0.9296158,87.185165,140,0.39433774,0.069670215,13.66991639137268,244.70107,0.5805628,-146.25284,,0.050639197,23.901304,6.846364,-9.155274e-06,[-1.368 -0.538 -0.813 -1.196 -0.443],9.999995,20,18.5,7,3.0576153,-269.09073,-1002.59485,78223.48
239.86391243648148,-608.45435,2724,9.189121,0.3557124,0.7936559,70.05101,160,0.29835632,0.11941527,16.116556644439697,113.019745,0.6066625,-171.78613,,0.0039571873,8.6870985,4.2041273,-1.7547607e-05,[-1.206 -0.061 -0.979 -1.599 -0.489],9.999992,20,25.0,8,2.5685234,-256.9459,-944.7416,49984.465
257.8633132540419,-578.5647,3260,9.24354,0.34802124,0.7614736,89.4248,180,0.317142,0.10852783,18.42125129699707,165.77014,0.7242463,-174.04578,,0.04510195,31.958424,8.154545,1.2207031e-05,[-1.199  0.108 -1.016 -1.471 -0.625],9.999992,20,26.8,9,7.393714,-226.14433,-950.01227,35766.414
339.33077743092593,-685.0737,3959,9.418109,0.53579843,0.8273193,90.37775,200,0.4116085,0.12811963,20.904980897903442,140.98236,0.5315347,-263.716,,0.06039334,6.309992,4.1278534,6.1035157e-06,[-1.094  0.289 -1.099 -1.739 -0.657],9.999961,20,34.95,10,2.676031,-369.413,-905.0929,112476.16
241.34999191175712,-721.23376,4462,9.192854,0.550346,0.80393976,96.60833,220,0.76729256,0.09493479,22.886172771453857,203.46156,0.5431501,-179.74098,,0.025796117,19.663668,5.3354616,-3.0517579e-06,[-1.136  0.183 -1.111 -1.774 -0.592],9.999989,20,25.15,11,10.156579,-378.3875,-965.8684,283015.9
353.3170707505092,-666.43787,5189,9.43975,0.5345169,0.84214824,87.84906,240,0.43311036,0.12393825,25.67151165008545,217.06882,0.6011972,-179.4704,,0.0701472,17.269457,5.9916487,-2.2888184e-05,[-1.13   0.311 -1.239 -2.08  -0.615],9.99998,20,36.35,12,2.9273968,-322.9752,-911.1145,66164.59
387.255080544599,-650.0167,5984,9.484537,0.5014265,0.8233633,100.66552,260,0.55313456,0.17388116,28.61190176010132,205.36713,1.022274,-174.62115,,0.03351248,30.209967,11.90004,-3.0517579e-06,[-1.013  0.386 -1.261 -2.231 -0.577],9.999994,20,39.75,13,4.671879,-288.5557,-893.3106,112535.86
455.80513321403515,-768.6156,6916,9.562456,0.74794394,0.84662366,163.75603,280,0.75132924,0.15182243,31.730095148086548,306.23456,0.8250558,-335.57986,,0.12921202,41.31975,6.692971,2.1362304e-05,[-0.926  0.497 -1.267 -2.228 -0.596],9.999998,20,46.6,14,9.156463,-431.94296,-881.95795,184688.48
529.283487096753,-543.9669,7995,9.621264,0.4478522,0.85259765,123.67559,300,0.42175788,0.17976221,35.039830684661865,229.91376,0.87413555,-341.8392,,0.03410166,31.46792,7.8250527,4.577637e-06,[-0.784  0.511 -1.286 -2.287 -0.572],9.999995,20,53.95,15,5.2189875,-217.63577,-827.9714,54639.887
615.2354989888387,-670.1256,9246,9.671799,0.7359989,0.9056534,73.34949,320,0.437437,0.18345481,38.48456358909607,130.80066,0.50316596,-125.32141,,0.25501126,3.195593,2.0393844,1.5258789e-06,[-0.693  0.554 -1.296 -2.342 -0.566],10.0,20,62.55,16,2.453123,-367.809,-769.8056,44397.703
704.2405937694118,-601.3959,10675,9.712829,0.5520905,0.8960484,150.61227,340,0.529375,0.24492437,42.40822649002075,273.54437,0.8611303,-476.29504,,0.010920029,12.727091,8.566762,4.119873e-05,[-0.791  0.66  -1.25  -2.495 -0.513],9.999993,20,71.45,17,4.1129146,-264.38156,-757.49255,104905.52
500.77354504112253,-557.72424,11697,9.599749,0.40502572,0.87263405,155.40115,360,0.3399885,0.16052607,45.408544301986694,267.27618,0.62908685,-377.40363,,0.027633749,13.731564,5.749295,-3.5095214e-05,[-0.848  0.597 -1.23  -2.466 -0.523],9.999998,20,51.1,18,2.6244779,-221.42867,-851.2699,79337.54
555.2517371895802,-591.2698,12828,9.637553,0.47841564,0.88727295,110.5658,380,0.3871483,0.22321573,48.74725270271301,216.36157,0.8809173,-340.331,,0.058667645,15.282026,8.55232,-1.5258789e-05,[-0.712  0.587 -1.224 -2.529 -0.546],9.999999,20,56.55,19,3.1218681,-238.88025,-811.9749,55091.703
592.2586131013177,-630.3517,14033,9.660041,0.57179356,0.9131381,71.91193,400,0.38929203,0.20786934,52.16792917251587,235.67764,0.6208988,-112.215515,,0.09535599,5.900189,3.2784352,-1.2207031e-05,[-0.652  0.645 -1.239 -2.51  -0.532],9.999999,20,60.25,20,4.5302644,-283.70367,-791.89966,46659.082
590.7734398143377,-644.16693,15235,9.659687,0.563558,0.89142627,194.49532,420,0.52998894,0.20353939,55.612131118774414,334.9686,0.73801196,-405.03616,,0.037906125,12.111621,6.506528,-1.8310548e-05,[-0.751  0.733 -1.24  -2.42  -0.506],9.999996,20,60.1,21,2.3777626,-306.28372,-825.4552,130872.555
732.2578126634738,-668.6278,16720,9.724118,0.68925107,0.85499424,189.50992,440,0.5293404,0.27500612,59.70302748680115,326.50543,0.8363594,-478.51385,,0.0032113707,11.9054575,6.0204034,-9.155274e-06,[-0.662  0.756 -1.262 -2.497 -0.528],9.999999,20,74.25,22,4.1839485,-314.7859,-758.97095,87643.38
803.2195029769073,-538.9624,18347,9.747252,0.57616186,0.869762,79.81543,460,0.5496758,0.28640175,63.86786413192749,211.60376,0.847125,-127.21344,,0.022036305,10.967042,6.8752317,-2.5939942e-05,[-0.682  0.886 -1.334 -2.585 -0.564],9.999999,20,81.35,23,9.679137,-197.0826,-699.48065,18774.754
835.2647049331157,-507.76196,20038,9.757891,0.4729726,0.83020115,143.5318,480,0.45216283,0.3153667,68.08937406539917,140.04895,0.932549,-531.4065,,0.03309387,12.894829,7.1349516,-2.8991699e-05,[-0.625  0.932 -1.355 -2.571 -0.549],10.0,20,84.55,24,4.718725,-176.17014,-689.5879,58184.066
