EpLenMean,InitialBound,MaxIWNorm,Weights,ReturnStepMaxmin,MeanEntropy,EpRewMean,J_sample_variance,InitialReturnMax,ReturnStepMax,EmpiricalD2,InitialReturnMean,EpThisIter,ESSClassic,InitialReturnStd,TimeElapsed,StdIWNorm,StdIW,Bound,MinIWNorm,ESSRenyi,TimestepsSoFar,ReturnMeanIW,MeanIW,MeanIWNorm,MaxIW,EntropyCoefficient,EpisodesSoFar,InitialReturnMin,MinIW,Iteration
35.09,13.072933,0.073161565,[-0.822 -0.493 -0.474 -0.749  0.   ],92.833694,1.4326382,-108.1894935537418,334.6479,33.495453,100.0,2.3021483,-4.119873e-06,100,53.357826,10.794412,9.387590885162354,0.011023434,1.1023434,14.792265,0.0005766798,43.437687,3509,2.1599526,1.1790345,0.011790344,7.3161564,10.0,100,-16.371025,0.057667986,1
37.19,13.067631,0.10570983,[-0.844 -0.498 -0.452 -0.787  0.014],93.17929,1.4419445,-108.2361337948169,510.85278,37.762463,100.0,3.6179917,-2.4032593e-06,100,37.561066,11.970201,21.882248163223267,0.013406346,1.3406345,15.835699,0.00028468762,27.639643,7228,3.810522,1.0398043,0.010398043,10.570983,10.0,200,-17.603508,0.028468763,2
38.82,13.287138,0.53551894,[-0.896 -0.537 -0.443 -0.81   0.023],93.516975,1.4466467,-106.42579630766677,4450.3076,33.96925,100.0,8.733751,1.7929077e-06,100,6.5856237,12.493409,35.9102828502655,0.053194765,5.3194766,17.770857,7.7166376e-05,11.449834,11110,6.6506925,1.4124092,0.014124092,53.551895,10.0,300,-16.698967,0.0077166376,3
40.09,13.527476,7.446388,[-0.837 -0.571 -0.405 -0.89   0.028],93.64256,1.3336174,-107.39002419704819,2113679.2,28.169743,100.0,884.66156,8.010864e-07,100,1.2273306,12.217181,51.20982003211975,0.7405523,74.05522,133.8515,2.7109017e-09,0.11303758,15119,148.44398,8.255019,0.08255019,744.6388,10.0,400,-17.030807,2.710902e-07,4
38.42,11.8972645,0.32592902,[-0.701 -0.625 -0.391 -1.014 -0.085],93.64542,1.3397244,-102.8616608502181,3399.4502,43.16722,100.0,6.7758565,-2.4795531e-06,100,11.501341,15.225484,67.25430011749268,0.03300372,3.3003721,16.223417,0.00027991054,14.758282,18961,6.5717177,1.1897858,0.011897857,32.592903,10.0,500,-22.307861,0.027991055,5
43.28,11.882772,0.091090575,[-0.747 -0.652 -0.362 -1.044 -0.079],94.210495,1.3120123,-103.64500744610594,669.8157,45.434097,100.0,2.9433365,-1.7929077e-06,100,34.623264,14.856651,82.70934820175171,0.014517859,1.4517859,14.333495,0.00022501082,33.975048,23289,3.81162,1.0565132,0.010565132,9.109057,10.0,600,-23.191063,0.022501083,6
44.48,11.578018,3.278203,[-0.75  -0.693 -0.343 -1.06  -0.107],94.38288,1.2157956,-102.68537416789758,41100.14,46.263145,100.0,48.51264,2.2888183e-07,100,1.3301151,15.065299,99.18216633796692,0.32585266,32.585266,22.62701,2.0303494e-08,2.0613184,27737,21.209972,3.7833245,0.037833244,327.8203,10.0,700,-23.509567,2.0303494e-06,7
43.81,10.937608,0.21992643,[-0.713 -0.68  -0.282 -1.015 -0.203],94.3163,1.2758794,-102.59649200253374,1947.0115,36.610325,100.0,4.2982535,-3.7765503e-06,100,19.80179,15.344446,115.90916872024536,0.024445368,2.444537,16.369244,0.00080515293,23.265263,32118,6.140495,1.214693,0.012146931,21.992643,10.0,800,-23.795265,0.080515295,8
43.84,10.715719,0.2471709,[-0.764 -0.722 -0.309 -1.038 -0.143],94.358765,1.3559182,-101.7358290502117,1442.0602,61.292152,100.0,4.600672,-2.4795531e-06,100,17.621958,15.965818,131.93247961997986,0.027124597,2.7124598,15.719418,0.00061806367,21.735956,36502,6.5424576,1.2545406,0.012545404,24.71709,10.0,900,-24.541222,0.06180637,9
43.88,12.118562,2.3544846,[-0.745 -0.738 -0.291 -1.028 -0.063],94.38512,1.4218749,-101.25068894496385,55718.258,43.218628,100.0,67.558815,1.5640259e-06,100,1.9377218,16.063585,147.89523220062256,0.23402916,23.402918,28.570118,3.7958645e-05,1.4801917,40890,26.192432,3.2897642,0.03289764,235.44847,10.0,1000,-25.261833,0.0037958648,10
