MaxIW,Bound,ReturnStepMaxmin,MinIW,MeanIW,EpRewMean,ESSClassic,MaxIWNorm,ESSRenyi,TimestepsSoFar,InitialReturnMax,InitialReturnMean,ReturnStepMax,InitialReturnStd,InitialBound,Weights,ReturnMeanIW,MinIWNorm,StdIW,EmpiricalD2,MeanIWNorm,Iteration,J_sample_variance,TimeElapsed,EpLenMean,EpThisIter,EpisodesSoFar,StdIWNorm,InitialReturnMin
2.717666,-0.06890164,100.0,0.21724063,0.96089053,-141.8229098366061,82.8057,0.027176658,72.80318,4609,6.4169464,-3.8146973e-07,100.0,2.1648557,-0.2138986,[ 0.579 -0.554  0.227  0.402  0.   ],0.18178548,0.0021724063,0.43786082,1.3735664,0.009608906,1,7.5381393,8.22206997871399,46.09,100,100,0.004378608,-2.4639435
3.8097916,-0.08749959,100.0,0.029971145,0.86775225,-136.77493495983893,56.41061,0.038097914,51.207973,8686,5.505951,3.890991e-06,100.0,1.7183077,-0.18352783,[ 0.58  -0.585  0.254  0.387 -0.026],0.1689738,0.00029971145,0.7627913,1.9528209,0.008677522,2,5.3915777,17.238771677017212,40.77,100,200,0.0076279123,-2.262886
1.0006872,-0.26207644,99.99077,0.9995325,1.0000132,-140.97552977390268,100.0,0.010006872,100.0,13191,7.8649597,-3.8146973e-06,100.0,2.1397114,-0.26216912,[ 0.53  -0.612  0.251  0.376 -0.064],8.890778e-05,0.009995325,0.00018155444,1.0,0.010000132,3,4.6254697,26.001351594924927,45.05,100,300,1.8155554e-06,-2.4755478
63.445107,1.2510974,100.0,0.00050830893,1.7415692,-140.23895253144022,5.8155823,0.63445103,3.4260767,17591,7.246826,-5.645752e-06,100.0,2.0496256,-0.24156654,[ 0.53  -0.612  0.251  0.376 -0.064],2.5561502,5.083089e-06,7.0086384,29.187904,0.017415687,4,1212.9915,34.449203968048096,44.0,100,400,0.07008638,-2.066185
1.0,-0.19175555,100.0,1.0,1.0,-139.82695807079924,100.0,0.01,100.0,21923,5.752632,-1.1444092e-06,100.0,1.6636194,-0.19175555,[ 0.442 -0.667  0.254  0.412 -0.159],-1.1362135e-06,0.01,,1.0,0.009999999,5,2.7955852,44.197898387908936,43.32,100,500,9.313226e-10,-1.9871979
6.196221,0.2331672,100.0,0.036662426,0.91905373,-139.10130873124837,45.806732,0.061962206,37.82442,26179,5.163704,3.890991e-06,100.0,1.6058862,-0.17211959,[ 0.442 -0.667  0.254  0.412 -0.159],0.51303566,0.00036662424,0.9996522,2.6437945,0.009190537,6,15.407649,51.9685115814209,42.56,100,600,0.009996521,-1.9390945
52.288982,3.1242385,100.0,0.008753144,1.6409411,-142.3683766190819,8.003529,0.5228898,5.194924,30817,9.345856,2.822876e-06,100.0,2.3849459,-0.3115257,[ 0.408 -0.707  0.254  0.409 -0.222],4.491049,8.7531436e-05,5.5633683,19.24956,0.016409412,7,2397.4912,61.31940960884094,46.38,100,700,0.055633683,-2.426941
160.7253,7.7820687,100.0,3.429546e-05,2.4799743,-141.33708100174573,2.357491,1.607253,1.3029356,35347,5.962181,-8.850097e-06,100.0,1.9080924,-0.19874823,[ 0.443 -0.699  0.274  0.314 -0.237],9.523164,3.429546e-07,15.960322,76.74976,0.024799747,8,9188.469,71.02688765525818,45.3,100,800,0.15960322,-2.341339
1.0,-0.23972367,99.99468,1.0,1.0,-140.95870878204605,100.0,0.01,100.0,39837,7.1916428,-2.2125244e-06,100.0,2.2337174,-0.23972367,[ 0.437 -0.751  0.26   0.427 -0.24 ],-2.2351742e-06,0.01,,1.0,0.009999999,9,5.039893,79.97005319595337,44.9,100,900,9.313226e-10,-2.4126358
2.5322957,-0.12039446,100.0,0.20952989,1.0244001,-146.1525154697968,83.11492,0.025322957,80.696465,44830,5.661949,-5.1879883e-06,100.0,1.9724768,-0.18873684,[ 0.437 -0.751  0.26   0.427 -0.24 ],0.08970139,0.0020952988,0.4617233,1.2392117,0.010244,10,4.6431303,90.08673858642578,49.93,100,1000,0.004617233,-2.0649872
4.5152726,0.04389906,100.0,0.34904036,1.051081,-143.19554176828223,65.873985,0.045152724,68.12138,49540,6.852844,1.5258789e-07,100.0,2.16808,-0.22842799,[ 0.442 -0.75   0.275  0.424 -0.252],0.32066196,0.0034904035,0.7565225,1.4679679,0.010510808,11,8.6808605,98.59430503845215,47.1,100,1100,0.007565225,-2.3041916
5.10397,0.08819291,100.0,0.18100064,1.1034931,-144.07238004235273,60.43728,0.0510397,51.186687,54341,9.041374,-2.3651123e-06,100.0,2.0200725,-0.3013815,[ 0.454 -0.739  0.272  0.415 -0.199],0.50943786,0.0018100063,0.89281255,1.953633,0.011034931,12,13.578478,108.55530166625977,48.01,100,1200,0.008928126,-2.2449112
22.11729,0.46957207,100.0,0.04319168,0.9809744,-137.77043761136127,12.466321,0.2211729,11.978874,58549,6.119484,6.8664554e-07,100.0,1.9639499,-0.20398214,[ 0.46  -0.741  0.299  0.45  -0.23 ],1.0589387,0.0004319168,2.599418,8.34803,0.009809744,13,81.85492,115.65307378768921,42.08,100,1300,0.025994176,-2.670372
1.0005318,-0.21332917,100.0,0.9995714,0.99997514,-138.94496184546722,100.0,0.010005318,100.0,62850,6.4018097,1.8310546e-06,100.0,2.098853,-0.2133919,[ 0.416 -0.786  0.293  0.43  -0.176],6.451458e-05,0.009995714,0.0001880529,1.0,0.009999751,14,4.4498243,124.91510510444641,43.01,100,1400,1.8805332e-06,-2.4577713
703.0775,46.60431,100.0,1.11723875e-05,8.002546,-139.9605359453162,1.2938052,7.030775,0.2010414,67226,7.485855,-4.272461e-06,100.0,2.0372827,-0.24953276,[ 0.416 -0.786  0.293  0.43  -0.176],52.169468,1.1172387e-07,69.898186,497.40997,0.080025464,15,277065.28,132.7220995426178,43.76,100,1500,0.6989819,-2.2542877
1.000008,-0.24982335,100.0,0.99999315,1.0000008,-142.49318816325132,99.99999,0.01000008,100.0,71878,7.494728,-4.5776366e-07,100.0,2.218671,-0.24982473,[ 0.511 -0.772  0.263  0.309 -0.293],9.3877316e-07,0.009999931,2.886533e-06,1.0,0.010000008,16,4.972246,141.73148560523987,46.52,100,1600,2.8843347e-08,-2.3916397
1.0,-0.2050806,100.0,1.0,1.0,-144.6220776616758,100.0,0.01,100.0,76729,6.152542,4.119873e-06,100.0,1.9677514,-0.2050806,[ 0.511 -0.772  0.263  0.309 -0.293],4.146248e-06,0.01,,1.0,0.009999999,17,3.9111571,150.6383237838745,48.51,100,1700,9.313226e-10,-2.2066803
1.0000235,-0.26907808,100.0,0.9999848,0.99999994,-140.259054627123,99.99999,0.0100002345,100.00027,81130,8.07238,-1.8310546e-06,100.0,2.1417627,-0.26908118,[ 0.511 -0.772  0.263  0.309 -0.293],9.3504786e-07,0.009999848,7.102926e-06,0.9999973,0.009999999,18,4.633521,158.060400724411,44.01,100,1800,7.1009175e-08,-2.2113495
134.18654,5.1922636,100.0,0.0007327806,2.9519324,-139.2082203010756,4.0037475,1.3418653,1.4475625,85454,5.9196777,1.2207031e-06,100.0,2.1934443,-0.1973214,[ 0.511 -0.772  0.263  0.309 -0.293],6.832318,7.327806e-06,14.454404,69.08165,0.029519321,19,2828.2844,166.24894046783447,43.24,100,1900,0.14454402,-2.4227066
12.9225025,0.9712915,100.0,0.08458637,1.2259787,-140.29817858510768,26.631308,0.12922502,23.198442,89924,7.817383,4.9591063e-06,100.0,2.4907725,-0.26057446,[ 0.504 -0.775  0.25   0.185 -0.31 ],1.5123082,0.00084586366,2.0348952,4.310634,0.012259786,20,76.97819,174.45831179618835,44.7,100,2000,0.020348951,-2.7368011
10.464091,-0.036713034,100.0,0.061326455,1.0527602,-143.9516162126882,42.233444,0.10464091,50.177834,94810,7.0519943,7.6293946e-07,100.0,2.4125414,-0.23506573,[ 0.511 -0.783  0.222  0.138 -0.268],0.29513156,0.00061326456,1.2312305,1.9929118,0.010527602,21,12.531906,184.2249734401703,48.86,100,2100,0.012312304,-3.1828995
12.244626,0.21067864,100.0,0.02682079,1.0847222,-149.01465578913948,30.284294,0.12244626,27.794054,100221,11.79586,-4.4250487e-06,100.0,2.7215235,-0.39319977,[ 0.503 -0.794  0.199  0.135 -0.268],0.9564959,0.0002682079,1.6457926,3.5978918,0.010847223,22,47.545464,194.19350814819336,54.11,100,2200,0.016457925,-3.0732193
1.0000253,-0.3040878,100.0,0.99996275,0.99999547,-154.17016965620988,100.000015,0.010000252,100.0,106107,9.122559,-4.043579e-06,100.0,2.5807846,-0.3040893,[ 0.494 -0.808  0.17   0.122 -0.264],-2.4791807e-06,0.009999627,1.0810455e-05,1.0,0.009999953,23,6.727665,204.10906219482422,58.86,100,2300,1.0808046e-07,-2.6520615
