InitialReturnStd,Iteration,InitialReturnMax,InitialReturnMin,EpLenMean,InitialBound,InitialReturnMean,EpThisIter,ESSClassic,EmpiricalD2,StdIWNorm,MaxIW,ReturnStepMaxmin,Bound,TimeElapsed,EpisodesSoFar,MeanIW,J_sample_variance,ReturnStepMax,StdIW,MeanIWNorm,Weights,EpRewMean,MaxIWNorm,EntropyCoefficient,ESSRenyi,TimestepsSoFar,MinIWNorm,ReturnMeanIW,MeanEntropy,MinIW
3.275067,1,9.20005,-4.7708664,17.45,-0.30666468,3.7384034e-06,100,65.66389,1.6963239,0.008082752,6.1914997,86.90667,0.20071325,4.361419916152954,100,1.1177562,38.03979,100.0,0.8082752,0.011177561,[-0.689  0.919 -0.673  0.288  0.   ],-108.67197648780628,0.061914995,,58.951008,1745,0.0020493239,0.6001273,1.4358878,0.20493239
3.17065,2,9.913506,-4.7280884,17.02,-0.33044735,2.822876e-06,100,72.73406,1.3616347,0.00670521,4.15865,86.64641,-0.19121344,10.453771114349365,200,1.0951434,17.636824,100.0,0.670521,0.010951434,[-0.651  0.917 -0.629  0.22   0.017],-108.37904972530612,0.0415865,,73.44113,3447,0.0033213156,0.19438593,1.4400061,0.33213156
2.4051454,3,8.616737,-4.074074,16.72,-0.2872258,-1.2207031e-06,100,100.0,1.0,9.313226e-10,1.0,86.42361,-0.2872258,14.029314994812012,300,1.0,5.843156,100.0,,0.009999999,[-0.651  0.903 -0.612  0.234  0.021],-108.18841660497375,0.01,,100.0,5119,0.01,-1.2144446e-06,1.4400061,1.0
3.0212307,4,8.840103,-4.334038,16.43,-0.2946631,7.019043e-06,100,27.517159,4.2153707,0.016088715,12.229866,86.24475,0.44698995,17.308191299438477,400,0.99130106,78.947205,100.0,1.6088716,0.009913009,[-0.651  0.903 -0.612  0.234  0.021],-107.83200387980278,0.12229866,,23.722706,6762,0.00040074243,1.051988,1.4166317,0.040074244
3.312573,5,13.41288,-4.472702,17.34,-0.4470975,-1.4495849e-06,100,3.6605864,2.3537092,0.10260362,103.76379,86.86696,13.13294,22.623515844345093,500,2.0000274,19398.209,100.0,10.260362,0.020000273,[-0.66   0.917 -0.656  0.194 -0.002],-108.72836412418377,1.0376378,-0.00027418137,42.486134,8496,0.0014568889,13.819257,1.4267366,0.14568889
3.1378503,6,10.742462,-4.2521667,16.63,-0.3580893,-7.2479247e-06,100,2.3190608,5.16889,0.12980188,130.95392,86.37822,8.832325,27.92848253250122,600,2.00001,10097.121,100.0,12.980187,0.020000102,[-0.695  0.89  -0.714  0.166  0.008],-108.03374573112309,1.3095392,-0.0001001358,19.346514,10159,4.4203705e-05,9.6465645,1.3250761,0.004420371
3.0043793,7,10.67749,-4.2649612,16.77,-0.35590726,9.155274e-06,100,2.8376837,45.041824,0.08100755,80.24643,86.455505,3.1576898,34.55024766921997,700,1.3843902,2778.847,100.0,8.100755,0.013843902,[-0.633  0.978 -0.581  0.161 -0.094],-108.42936695514015,0.80246425,,2.2201588,11836,1.5144514e-06,5.5463586,1.2568419,0.00015144514
2.804384,8,8.950409,-5.4145584,16.65,-0.29833767,9.307862e-06,100,99.999985,0.9999995,2.580688e-07,1.0000706,86.3068,-0.2983315,41.356017112731934,800,1.0000011,7.9440484,100.0,2.5811369e-05,0.010000011,[-0.594  1.06  -0.6    0.141 -0.162],-108.62890672106383,0.010000706,,100.000046,13501,0.009999317,1.5394762e-05,1.2568419,0.9999317
2.852033,9,8.116814,-4.039116,17.03,-0.27055892,1.6021728e-06,100,30.418982,4.463023,0.012956453,9.388582,86.65486,0.40365624,46.525489807128906,900,0.85666907,36.72443,100.0,1.2956454,0.008566692,[-0.594  1.06  -0.6    0.141 -0.162],-108.26068515293848,0.09388582,,22.406336,15204,0.00015794925,0.97523874,1.2603748,0.015794925
3.3317676,10,12.639168,-4.449173,17.01,-0.42130268,2.9754638e-06,100,56.035847,2.076462,0.009309229,5.673827,86.65583,0.3652171,52.09699535369873,1000,1.0509871,63.98279,100.0,0.9309229,0.01050987,[-0.57   1.078 -0.652  0.172 -0.158],-108.19224362831257,0.05673827,,48.15884,16905,0.00017180946,0.97231567,1.2637964,0.017180946
2.625539,11,8.714157,-4.162956,16.63,-0.29046825,3.6621093e-06,100,71.158455,1.5486836,0.0058793663,3.2381868,86.32599,-0.18892935,59.14832901954651,1100,0.9234951,8.827493,100.0,0.58793664,0.009234951,[-0.597  1.049 -0.705  0.143 -0.155],-108.30208099478934,0.032381866,,64.57097,18568,0.0019480775,0.17255166,1.2623323,0.19480775
3.0813618,12,10.091469,-4.634659,16.38,-0.33639395,-1.1672973e-05,100,90.2013,1.1120204,0.0033067958,2.4081686,86.25009,-0.121179044,64.08895468711853,1200,1.0032971,11.7614355,100.0,0.3306796,0.0100329695,[-0.593  1.065 -0.721  0.133 -0.157],-107.4562521810498,0.024081685,,89.92641,20206,0.0046154703,0.23354408,1.3037035,0.46154705
