EpisodesSoFar,Bound,InitialReturnMean,MinIWNorm,InitialReturnMax,ESSClassic,InitialReturnMin,MaxIW,InitialReturnStd,J_sample_variance,ReturnMeanIW,MeanIWNorm,EmpiricalD2,TimeElapsed,MaxIWNorm,TimestepsSoFar,EpRewMean,EpLenMean,MeanIW,StdIWNorm,MinIW,EpThisIter,Iteration,InitialBound,StdIW,ESSRenyi,Weights
100,0.022474676,6.866455e-06,0.0013851281,4.0299683,55.166576,-3.0504456,5.2712364,1.4360125,4.8158793,0.22784103,0.010702972,2.3372107,5.35178804397583,0.052712362,2014,-114.09164470450104,20.14,1.0702972,0.009648667,0.13851282,100,1,-0.13432541,0.9648667,42.786045,[0.865 0.619 0.341 0.65  0.   ]
200,0.64150596,-5.340576e-07,9.8314435e-05,4.7491837,15.339931,-2.9247131,22.071215,1.6181585,74.72788,1.0897869,0.011984509,8.018722,11.365360260009766,0.22071214,3971,-113.66358830938219,19.57,1.1984508,0.028154502,0.009831443,100,2,-0.15830669,2.8154504,12.470816,[0.877 0.656 0.373 0.63  0.008]
300,0.27063045,-5.4931643e-06,0.00078839273,8.117401,55.77176,-4.015854,6.756117,2.1316729,24.225395,0.6938179,0.00926518,2.4460993,17.514808177947998,0.067561164,5859,-112.04879026788423,18.88,0.9265181,0.00825081,0.07883927,100,3,-0.27058554,0.82508105,40.881416,[0.848 0.643 0.436 0.546 0.037]
400,-0.113683775,-8.392334e-06,0.0013338476,7.700119,59.163063,-4.009239,5.8719325,2.1333907,5.6022825,0.22232531,0.00931732,1.7137586,23.21884512901306,0.058719322,7859,-112.82946394983662,20.0,0.931732,0.007740914,0.13338476,100,4,-0.256679,0.7740915,58.351276,[0.829 0.632 0.505 0.523 0.057]
500,-0.20875087,6.1035155e-07,0.01,6.2625427,100.0,-3.351982,1.0,2.1587715,4.7073684,5.662441e-07,0.010000002,1.0,28.887171983718872,0.01,9748,-111.2436366483013,18.89,1.0,1.8626451e-09,1.0,100,5,-0.20875087,,100.0,[0.828 0.643 0.553 0.508 0.05 ]
600,-0.19161199,1.27410885e-05,0.01,5.748741,100.0,-4.3913116,1.0,2.2370625,5.0549984,1.2725592e-05,0.010000002,1.0,34.262139558792114,0.01,11688,-111.65271658082281,19.4,1.0,1.8626451e-09,1.0,100,6,-0.19161199,,100.0,[0.828 0.643 0.553 0.508 0.05 ]
700,1.591636,7.6293944e-08,4.1188673e-06,8.488388,16.059576,-4.5975113,23.866467,2.2411432,187.79774,2.268475,0.013467376,5.7222004,39.12016558647156,0.23866466,13524,-110.96055435733697,18.36,1.3467376,0.030789422,0.00041188675,100,7,-0.28294623,3.0789423,17.475796,[0.828 0.643 0.553 0.508 0.05 ]
800,0.271322,8.31604e-06,0.00018809935,7.041847,48.62398,-5.423691,5.443839,2.6067138,19.162672,0.6358026,0.010355551,2.4111164,45.98009133338928,0.05443839,15336,-109.98144316281392,18.12,1.0355552,0.010644572,0.018809935,100,8,-0.23471995,1.0644572,41.474564,[ 0.821  0.666  0.603  0.462 -0.116]
900,275.14847,6.8664554e-07,2.5639317e-09,7.1461487,1.0127484,-4.015732,6439.465,2.6278932,10168528.0,318.2187,0.6480385,32692.85,52.084476947784424,64.394646,17035,-108.89270646420844,16.99,64.80386,6.406779,2.5639318e-07,100,9,-0.2382043,640.678,0.0030587728,[ 0.818  0.64   0.623  0.418 -0.257]
1000,0.042883754,-2.5177003e-06,0.0013297218,7.264763,68.58376,-4.6248016,3.2981565,2.152656,9.042321,0.34964058,0.00947635,1.6046788,58.67797303199768,0.032981563,18766,-109.74994548111624,17.31,0.94763505,0.0064136833,0.13297218,100,10,-0.2421613,0.64136827,62.31777,[ 0.867  0.649  0.527  0.536 -0.313]
1100,-0.0056566894,6.3323973e-06,0.0004506189,7.0079575,55.50544,-3.2273483,4.4714546,2.1464403,15.03553,0.33014524,0.008492022,2.066455,63.70960068702698,0.044714544,20488,-109.44808866335511,17.22,0.8492022,0.0076032067,0.045061894,100,11,-0.23359229,0.7603206,48.392056,[ 0.875  0.671  0.541  0.531 -0.311]
1200,0.18365744,9.07898e-06,0.00096476,5.691017,40.194332,-3.4137192,6.446084,2.036144,9.895197,0.5176984,0.009457043,3.100717,68.81027364730835,0.06446084,22187,-109.32271926600828,16.99,0.9457045,0.011535706,0.096476,100,12,-0.18969151,1.1535708,32.250603,[ 0.877  0.687  0.566  0.512 -0.319]
1300,0.71903837,3.7384034e-06,7.044106e-06,4.7099915,15.7194,-3.4922943,27.154253,2.0571365,129.48615,1.205595,0.012932363,9.604376,73.94597268104553,0.27154252,23907,-109.74112457659871,17.2,1.2932363,0.029944954,0.0007044106,100,13,-0.15699603,2.9944956,10.411921,[ 0.914  0.734  0.544  0.519 -0.297]
1400,0.39460135,8.239746e-06,0.0006898121,5.6464615,46.30974,-4.071129,7.3669863,2.0570998,26.140858,0.7265615,0.010679204,3.1107252,80.69699740409851,0.07366986,25637,-109.3730926399063,17.3,1.0679204,0.0114987455,0.068981215,100,14,-0.18820713,1.1498746,32.146847,[ 0.87   0.68   0.605  0.531 -0.382]
1500,-0.29927507,3.5095215e-06,0.009999721,8.978485,100.000015,-4.2246704,1.0000409,2.564006,6.6406083,7.76723e-06,0.010000011,1.0,84.62071943283081,0.010000409,27356,-109.04380843805185,17.19,1.0000012,1.2205528e-07,0.99997216,100,15,-0.29927933,1.2203551e-05,100.0,[ 0.849  0.65   0.611  0.466 -0.388]
1600,-0.22926924,-5.1879883e-06,0.00999981,6.8779984,99.99997,-3.615631,1.0000234,2.4449167,6.0380487,-2.6077032e-06,0.010000012,1.0,88.30335140228271,0.010000234,28996,-108.2624680313741,16.4,1.0000012,7.120325e-08,0.999981,100,16,-0.2292718,7.1176883e-06,100.0,[ 0.849  0.65   0.611  0.466 -0.388]
1700,-0.119883075,-1.6784668e-06,0.002004372,7.0059433,83.18844,-4.8322525,2.7732754,2.3184175,6.420614,0.13766532,0.010127421,1.2162614,91.99442791938782,0.027732752,30643,-108.73070678089462,16.47,1.0127422,0.004552727,0.2004372,100,17,-0.23353311,0.45527267,82.21917,[ 0.849  0.65   0.611  0.466 -0.388]
1800,17.094522,-1.3732911e-06,2.4611692e-05,7.296318,1.649331,-4.0420074,304.78232,2.557575,49481.76,22.04498,0.03922533,414.31015,96.43109035491943,3.0478232,32310,-108.5140445269198,16.67,3.9225333,0.3029015,0.0024611694,100,18,-0.24321198,30.290146,0.24136508,[ 0.86   0.666  0.62   0.478 -0.393]
1900,-0.21928895,5.340576e-07,0.0047632293,7.95874,92.809654,-5.589035,2.4301438,2.970675,10.434231,0.054019094,0.010253459,1.0613502,101.59207701683044,0.024301438,34018,-108.66431596196777,17.08,1.025346,0.0028539647,0.47632295,100,19,-0.26529086,0.2853965,94.219604,[ 0.842  0.645  0.58   0.353 -0.309]
2000,-0.081329554,1.5258789e-07,0.00427908,5.988716,88.96227,-5.2466507,2.3900661,2.466682,7.772224,0.1333217,0.010207515,1.1562238,106.32089018821716,0.023900662,35706,-109.00029308726816,16.88,1.0207515,0.00359548,0.427908,100,20,-0.19962372,0.359548,86.48845,[ 0.845  0.646  0.579  0.369 -0.303]
2100,0.04425332,6.4849855e-06,0.0006334703,8.7089,48.420906,-5.0484924,4.1267667,2.4307537,6.223459,0.5200887,0.0082059875,2.6867628,110.87423205375671,0.041267667,37355,-108.58954510680607,16.49,0.8205988,0.008469374,0.063347034,100,21,-0.2902902,0.84693736,37.219513,[ 0.84   0.646  0.592  0.352 -0.292]
