Iteration,EpLenMean,ReturnStepMaxmin,InitialReturnStd,ReturnStepMax,Bound,ReturnMeanIW,EpisodesSoFar,StdD2w0t,TimestepsSoFar,MeanD2w0t,MinIW,MaxIW,InitialReturnMean,MeanIW,InitialBound,MinD2w0t,Weights,EmpiricalD2,J_sample_variance,StdIW,InitialReturnMin,EpThisIter,TimeElapsed,EpRewMean,InitialReturnMax,MaxD2w0t
1,17.45,86.90667,3.275067,100.0,354.3319,579.435,100,0.21375994,1745,0.040317036,0.21108522,4.048882,3.7384034e-06,1.110662,320.55475,,[-0.689  0.919 -0.673  0.288  0.   ],1.2590728,77478.14,0.5773287,-4.7708664,100,4.324450254440308,-108.67197648780628,9.20005,1.7947578
2,17.13,86.68425,2.9998696,100.0,740.1903,1316.0101,200,2.0450015,3458,0.18446797,0.0019830177,75.10827,-1.9836425e-06,2.6067016,331.01544,,[-0.653  0.94  -0.637  0.245 -0.011],12.889149,21162996.0,9.6423,-4.4235992,100,15.389121055603027,-108.79916020902068,9.088028,88.73694
3,16.44,86.23156,2.6742537,100.0,540.8921,983.14764,300,0.67217934,5102,0.09162096,0.044754017,68.94294,-6.1035155e-07,1.8363864,370.7235,,[-0.64   0.902 -0.667  0.357 -0.006],9.028635,12861618.0,7.169691,-4.7178955,100,27.41735601425171,-108.33001515643869,9.345947,24.569788
4,18.31,87.49499,3.701396,100.0,286.92322,507.1811,400,0.19270861,6933,0.037564117,0.5739082,2.1331904,-3.5095215e-06,1.0194522,281.89716,,[-0.66   0.83  -0.663  0.348  0.093],1.0612931,13058.312,0.25513825,-5.199806,100,39.09841966629028,-108.7869142652391,10.796379,1.0856708
5,16.81,86.44049,2.840385,100.0,384.411,624.9377,500,0.22016208,8614,0.040373918,0.1984874,8.767193,9.002685e-06,1.1476222,334.6502,,[-0.661  0.836 -0.671  0.344  0.108],1.5357932,275906.25,1.0415859,-3.6687393,100,48.032705307006836,-108.87544616473366,10.071571,2.383684
6,16.86,86.547905,3.1405258,100.0,350.53125,565.49164,600,0.18617076,10300,0.034754764,0.5170151,1.732194,-4.119873e-06,1.0420265,337.713,,[-0.584  0.808 -0.719  0.364  0.099],1.0758439,17986.33,0.2733826,-4.608719,100,59.23305940628052,-108.10123596605423,9.106461,1.3141519
7,16.97,86.621826,3.0466797,100.0,381.61542,578.6692,700,0.20531541,11997,0.03830127,0.3348086,2.500833,7.6293946e-07,1.0765455,356.1067,,[-0.613  0.794 -0.727  0.354  0.073],1.1947107,43448.43,0.40991214,-4.5244827,100,68.83355784416199,-108.04650551427403,8.335861,1.7472657
8,17.2,86.78568,3.1766891,100.0,340.02377,542.4979,800,0.18596792,13717,0.035096455,0.5721065,1.6496336,3.0517579e-06,1.0198178,333.93738,,[-0.593  0.815 -0.687  0.319  0.106],1.0297418,7055.922,0.1688534,-4.5828094,100,78.01376295089722,-108.26428924379032,10.182625,1.1255481
9,17.56,86.98876,3.2141054,100.0,337.3946,557.43024,900,0.2042868,15473,0.03886465,0.24562027,2.9359517,-3.967285e-06,1.0774219,318.1783,,[-0.613  0.809 -0.702  0.32   0.084],1.2409929,60146.465,0.5187893,-4.705185,100,87.45090460777283,-108.58254022893891,12.610847,1.3587315
10,16.87,86.55262,3.1004632,100.0,339.7286,572.7397,1000,0.19003382,17160,0.035439774,0.34958816,3.7875967,-3.890991e-06,1.0591884,324.23285,,[-0.623  0.805 -0.684  0.327  0.038],1.1967071,55017.062,0.50273895,-4.248436,100,96.83456373214722,-108.26366656349546,13.978912,1.3920537
11,17.0,86.62876,2.9005597,100.0,343.15668,576.8892,1100,0.20615244,18860,0.038396303,0.21435982,5.3301673,4.5776366e-07,1.0792625,324.42624,,[-0.582  0.818 -0.687  0.337  0.026],1.3135301,101129.48,0.65865093,-3.8863144,100,105.97016048431396,-108.32701863686815,10.525406,1.6153626
12,17.41,86.908936,3.3830907,100.0,368.9035,639.58875,1200,0.28886697,20601,0.05065193,0.030637337,8.661163,-8.392334e-07,1.2313198,308.34366,,[-0.576  0.794 -0.684  0.351  0.048],2.1563845,389134.75,1.2802824,-4.6961365,100,114.5948257446289,-108.50208100263586,11.53389,5.1753426
13,17.77,87.10982,3.0652194,100.0,313.1782,592.9999,1300,0.24438578,22378,0.04597153,0.1759238,12.4613,5.340576e-07,1.1664716,286.70972,,[-0.549  0.844 -0.658  0.304  0.046],1.7470818,381290.03,1.348072,-4.3563995,100,124.2218725681305,-109.13661244805802,12.270569,2.147417
14,17.45,86.96783,3.0814116,100.0,324.13202,541.58484,1400,0.18929215,24123,0.035977595,0.363273,2.1036198,-6.3323973e-06,1.0369785,314.49063,,[-0.528  0.856 -0.672  0.29   0.114],1.0410109,9788.247,0.20152792,-5.320137,100,133.82677698135376,-108.25815374787182,9.533012,1.2365165
15,16.93,86.53453,2.5717392,100.0,358.34656,607.64075,1500,0.25052774,25816,0.04519204,0.008375209,8.584482,-1.5258789e-07,1.1239743,336.6286,,[-0.539  0.843 -0.693  0.286  0.102],1.7927978,283694.3,1.0708044,-3.8058167,100,143.02523708343506,-108.77926602733741,9.549751,2.983608
16,16.51,86.270004,2.5945597,100.0,388.65414,593.64844,1600,0.19466722,27467,0.035855576,0.18947244,2.6667924,-5.722046e-06,1.0655477,365.26813,,[-0.539  0.889 -0.682  0.249  0.039],1.2371397,63587.902,0.49700022,-4.2433167,100,152.57259678840637,-108.27546907575548,9.159027,1.4245319
17,16.48,86.25462,3.0992334,100.0,428.49078,655.96545,1700,0.23450373,29115,0.042582124,0.023024397,5.723892,-8.544922e-06,1.1943665,369.53253,,[-0.494  0.879 -0.708  0.261  0.017],1.7706958,270960.44,1.0377204,-4.528694,100,161.6104121208191,-107.93222550960868,11.308449,2.3823574
