MinIW,EpisodesSoFar,EpRewMean,TimestepsSoFar,StdD2w0t,EpLenMean,ReturnStepMaxmin,InitialReturnMax,Bound,MaxD2w0t,EpThisIter,ReturnMeanIW,InitialReturnStd,MinD2w0t,MeanD2w0t,TimeElapsed,InitialBound,StdIW,InitialReturnMin,MaxIW,InitialReturnMean,EmpiricalD2,Iteration,J_sample_variance,ReturnStepMax,MeanIW,Weights
0.8322077,100,-121.62483749719935,4573,0.2888336,45.73,99.023315,-56.768597,-379.3662,1.0104935,100,-81.48127,8.854463,,0.091643,9.432605266571045,-379.86673,0.06680073,-99.28012,1.1604729,-82.39787,1.00583,1,110.368004,100.0,0.98670954,[-0.365 -0.68  -0.484 -0.253  0.   ]
0.815683,200,-120.76893720668832,8774,0.27800563,42.01,99.13174,-60.584076,-368.26288,1.0094206,100,-83.43309,7.420543,,0.084199496,25.371951818466187,-368.67786,0.059239127,-98.999084,1.1655301,-84.21691,1.005424,2,56.824562,100.0,0.99064153,[-0.37  -0.682 -0.485 -0.251  0.004]
0.79797435,300,-122.83899381236635,13423,0.2908024,46.49,99.2203,-56.62007,-369.09772,1.0049679,100,-82.40386,8.931135,,0.09310825,41.07876253128052,-369.3686,0.0535556,-98.75422,1.1274905,-82.8989,1.0024841,3,107.17207,100.0,0.99177784,[-0.376 -0.683 -0.485 -0.252  0.005]
0.9111521,400,-121.49431498624018,18135,0.29243556,47.12,99.11109,-57.301937,-380.13635,1.0029657,100,-81.096405,8.735156,,0.09432475,57.498302936553955,-380.3054,0.04046439,-98.21786,1.1271976,-81.41699,1.0017347,4,83.85029,100.0,0.9952198,[-0.374 -0.686 -0.487 -0.251  0.003]
0.7594683,500,-120.5700869812976,22755,0.29123178,46.2,99.15936,-52.986702,-369.63513,1.0165176,100,-79.44781,9.318378,,0.09292306,71.59550547599792,-370.58282,0.0820862,-97.66547,1.2758629,-81.272484,1.0075121,5,139.86914,100.0,0.973807,[-0.375 -0.684 -0.488 -0.252  0.004]
0.9184817,600,-120.61238161526242,27385,0.2901532,46.3,99.000145,-37.024147,-383.16577,1.0029991,100,-80.82861,9.721502,,0.09268624,86.33512878417969,-383.5695,0.03400656,-94.87692,1.1289532,-81.39987,1.0014914,6,109.33722,100.0,0.9912811,[-0.367 -0.685 -0.482 -0.252  0.007]
0.6689167,700,-122.07014952991253,31937,0.28900763,45.52,99.2239,-61.506878,-373.4156,1.0204668,100,-80.73439,8.39505,,0.09146526,100.43645644187927,-374.84137,0.09825672,-98.4862,1.1904742,-82.88295,1.0081435,7,100.1889,100.0,0.9723868,[-0.363 -0.68  -0.479 -0.252  0.009]
0.7474997,800,-121.37222733943106,36507,0.28881508,45.7,99.0783,-60.846893,-365.03275,1.0140184,100,-81.22433,8.65194,,0.09160168,114.751469373703,-365.6061,0.0857271,-99.28406,1.2536796,-82.18601,1.0081023,8,108.55852,100.0,0.986878,[-0.367 -0.691 -0.484 -0.254  0.005]
0.79479975,900,-121.93889733449447,41219,0.2928104,47.12,99.07177,-54.17949,-375.6466,1.013276,100,-80.758995,8.674772,,0.09445075,129.51946592330933,-376.15457,0.074410215,-97.004364,1.2018467,-81.72589,1.0063634,9,109.42261,100.0,0.9858595,[-0.375 -0.691 -0.486 -0.251  0.006]
0.92109364,1000,-121.72668606470441,45867,0.29059908,46.48,99.169624,-60.49011,-373.68973,1.0030053,100,-81.61106,7.464506,,0.09302835,144.4048421382904,-373.8929,0.033085104,-98.61782,1.0895236,-81.9345,1.0010631,10,69.59962,100.0,0.99500906,[-0.368 -0.692 -0.484 -0.254  0.007]
0.8809816,1100,-120.78249200779261,50625,0.2937468,47.58,99.00031,-36.5313,-383.66138,1.0044568,100,-80.06011,9.450579,,0.09526265,159.55524349212646,-383.92584,0.04100762,-98.39244,1.1317312,-80.54311,1.0017928,11,103.27802,100.0,0.99286,[-0.364 -0.69  -0.481 -0.253  0.006]
0.81542593,1200,-120.63924206070902,55366,0.2939775,47.41,99.02315,-40.532158,-377.977,1.0141106,100,-79.139626,9.164702,,0.09514533,175.04497456550598,-378.69705,0.07001616,-96.44343,1.2504246,-80.5104,1.0058156,12,107.73618,100.0,0.9810963,[-0.369 -0.689 -0.483 -0.252  0.008]
0.8258204,1300,-121.76562801146761,60017,0.29103556,46.51,99.13084,-49.117004,-378.43942,1.0074139,100,-81.36807,9.823213,,0.093202285,190.51145029067993,-378.8752,0.055482097,-98.07175,1.101309,-82.140594,1.0033778,13,117.643616,100.0,0.9894625,[-0.367 -0.678 -0.479 -0.25   0.006]
0.76502836,1400,-121.28326323338106,64609,0.289859,45.92,99.202675,-60.328564,-371.09692,1.0185461,100,-80.216415,7.9500456,,0.09217921,204.84868049621582,-372.2303,0.09333575,-97.76339,1.5405133,-82.01668,1.0090625,14,96.227844,100.0,0.9774695,[-0.365 -0.684 -0.479 -0.252  0.005]
