MaxIW,Weights,EpThisIter,EpisodesSoFar,J_sample_variance,InitialReturnMax,ReturnStepMax,InitialReturnMean,MinIW,EmpiricalD2,Bound,MeanIW,InitialReturnStd,MinD2w0t,MaxD2w0t,StdIW,ReturnStepMaxmin,TimestepsSoFar,MeanD2w0t,InitialReturnMin,Iteration,ReturnMeanIW,EntropyCoefficient,EpRewMean,MeanEntropy,StdD2w0t,EpLenMean,TimeElapsed,InitialBound
39.40661,[-0.822 -0.493 -0.474 -0.749  0.   ],100,100,285936.6,33.495453,100.0,-4.119873e-06,0.001320746,61.19965,327.27625,1.2877097,10.794412,,765.3467,2.2938845,92.833694,3509,1.8568372,-16.371025,1,313.0185,10.0,-108.1894935537418,1.4257742,15.743957,35.09,7.686496257781982,240.60687
65.96948,[-0.838 -0.461 -0.374 -0.77   0.007],100,200,308457.0,29.43549,100.0,-6.408691e-06,0.0035621836,26.00971,254.66978,1.2692217,13.168715,,669.0195,3.367858,93.87584,7666,0.9333782,-20.935913,2,241.09564,10.0,-106.50554385272817,1.3574148,9.257981,41.57,21.37850046157837,194.2394
172.39197,[-0.839 -0.523 -0.428 -0.736 -0.062],100,300,6144680.5,30.479557,100.0,-2.7465821e-06,2.0782093e-07,457.701,454.87338,2.4170294,10.442759,,26862.52,15.462915,93.22606,11384,17.549168,-16.448639,3,442.05603,10.0,-107.33771757977202,1.2817364,403.3234,37.18,33.4239604473114,222.61806
759.06885,[-0.863 -0.59  -0.543 -0.702 -0.137],100,400,62798852.0,29.069935,100.0,6.3323973e-06,5.5294898e-09,21148.734,960.47253,6.057984,11.282667,,306848.22,55.87499,92.943115,14959,141.35892,-15.138748,4,948.92474,10.0,-108.26687515227798,1.1547785,3546.7544,35.75,45.51210403442383,234.38286
1201.5317,[-0.867 -0.62  -0.606 -0.81  -0.264],100,500,286712770.0,42.19016,100.0,-3.0517577e-07,5.7375997e-09,114767.85,2015.9883,12.504613,14.134081,,2450460.0,114.271645,92.865135,18429,2205.4902,-16.806557,5,2005.959,10.0,-106.43993257121215,1.0029296,35611.86,34.7,58.96336793899536,237.66005
114.37602,[-0.77  -0.639 -0.484 -0.9   -0.416],100,600,4040358.5,51.126865,100.0,3.5095215e-06,5.367243e-05,119.532845,518.6908,2.6076424,13.499773,,4280.7197,11.490376,92.903534,21890,5.1246347,-17.0037,6,509.36108,10.0,-105.49930804592367,0.9329743,87.156525,34.61,72.09031891822815,234.78993
1527.0082,[-0.834 -0.702 -0.504 -0.962 -0.486],100,700,198818430.0,53.685432,100.0,1.9836425e-06,5.09581e-10,32700.795,1535.8711,6.870676,14.049716,,2402566.5,65.84705,93.228,25569,357.29047,-17.876495,7,1527.792,10.0,-106.17637930053426,0.8079081,18442.814,36.79,84.99228048324585,218.79176
483.27017,[-0.741 -0.718 -0.4   -0.978 -0.611],100,800,24152490.0,43.51059,100.0,5.340576e-07,4.3586922e-05,223685.92,637.9082,5.28287,15.111498,,3698168.5,45.759117,94.28776,29949,2686.0742,-23.438972,8,628.7104,10.0,-103.19817047431393,0.9197806,46930.6,43.8,101.13883328437805,171.6366
18138.877,[-0.747 -0.677 -0.408 -0.898 -0.499],100,900,554635260.0,40.06847,100.0,-2.7465821e-06,,inf,2376.489,2.1613994,13.936404,,inf,158.38159,93.81323,34045,nan,-18.07914,9,2368.178,10.0,-106.22500281852385,0.83110267,nan,40.96,114.78619194030762,192.1116
225.10208,[-0.821 -0.748 -0.269 -0.702 -0.588],100,1000,779102.9,31.964802,100.0,3.4332277e-07,2.1840961e-08,11562214.0,214.89688,2.6432805,14.557585,,885179650.0,12.999091,95.87927,40485,123788.125,-22.010658,10,207.14453,10.0,-100.48745925818463,0.77523565,6403351.0,64.4,134.17304158210754,105.57869
688.23914,[-0.788 -0.757 -0.317 -0.698 -0.644],100,1100,20550658.0,48.868248,100.0,-5.340576e-06,5.7371333e-15,197590270000000.0,551.936,7.0113506,13.453814,,1.967602e+16,65.02714,95.30667,46122,7951172000000.0,-26.738361,11,544.3266,10.0,-104.09649123185376,0.7609401,334878900000000.0,56.37,149.8404779434204,127.50682
20.163116,[-0.76  -0.739 -0.375 -0.645 -0.658],100,1200,45362.73,37.39985,100.0,-1.5258789e-06,0.0136907585,14.286884,153.37221,1.1925254,13.585201,,153.96387,2.0991306,95.22833,51727,0.9523053,-22.582466,12,145.50064,10.0,-105.70084225654297,0.7871572,4.924335,56.05,164.9585509300232,129.82414
2707.891,[-0.813 -0.743 -0.418 -0.623 -0.632],100,1300,143183070.0,42.38956,100.0,1.1444092e-06,3.3274913e-12,3380386800000000.0,1246.5632,21.8896,14.245573,,2.9561116e+17,230.3094,95.39798,57500,19724510000000.0,-24.735191,13,1239.1897,10.0,-103.97217750618537,0.73734796,1751285400000000.0,57.73,179.52213859558105,124.00126
241.963,[-0.817 -0.851 -0.406 -0.63  -0.682],100,1400,117172.22,32.494354,100.0,-1.335144e-06,8.647051e-05,2585.8748,108.5375,1.0574064,15.632937,,75198.62,5.650859,96.37544,65566,58.461185,-25.551472,14,101.67718,10.0,-105.84834723882216,0.6860322,1073.4681,80.66,199.62502098083496,83.182846
9875.583,[-0.827 -0.897 -0.397 -0.635 -0.733],100,1500,18102512.0,37.05758,100.0,2.2888183e-07,1.8985716e-15,1.5116133e+28,443.52005,2.490395,19.560701,,1.5116019e+30,87.45078,97.388855,78529,3.712744e+26,-36.166862,15,437.37744,10.0,-104.4263520948528,0.61426187,inf,129.63,227.07475233078003,44.70558
283.15588,[-0.784 -0.872 -0.381 -0.565 -0.805],100,1600,1095.6661,28.486593,100.0,6.67572e-07,4.67171e-05,1637.0413,12.725227,1.92929,16.62013,,7017.244,9.114477,98.522446,113925,198.71184,-52.918488,16,6.2335362,10.0,-84.51729404717224,0.64916915,557.85254,353.96,296.49453139305115,6.2157836
22250.365,[-0.782 -0.892 -0.374 -0.567 -0.77 ],100,1700,9671553.0,26.262491,100.0,,3.7978515e-13,8.464289e+26,311.67267,24.13377,14.187224,,4.7637816e+28,444.0306,98.612625,154771,2.8837728e+25,-57.030094,17,304.1992,10.0,-79.11322440369916,0.74734783,inf,408.46,374.11857318878174,4.0539813
2874.1628,[-1.011 -0.815 -0.477 -0.513 -0.672],100,1800,300083.47,26.676903,100.0,1.9073486e-06,3.2080056e-15,9.9002357e+17,67.16531,2.3997056,15.805888,,4.2163377e+19,47.893948,98.384796,184565,2.4216559e+16,-45.982796,18,59.44239,10.0,-91.6465282252073,0.77229273,inf,297.94,433.3137319087982,15.102386
116.857956,[-1.001 -0.866 -0.453 -0.514 -0.647],100,1900,1825.8921,20.573912,100.0,1.2779236e-06,1.0152927e-11,85880340000000.0,13.326309,0.39722595,10.409852,,554809550000000.0,3.3064167,98.59589,226635,2763320500000.0,-48.797653,19,5.2760735,10.0,-85.00554332399192,0.8050236,18490895000000.0,420.7,513.5957429409027,6.1608257
1395.7692,[-0.994 -0.852 -0.465 -0.538 -0.614],100,2000,46977.81,47.569214,100.0,1.6784668e-06,4.67935e-12,468049430000000.0,34.848454,1.9433767,20.007412,,1.1497078e+16,30.075188,98.51602,258538,13613502000000.0,-54.32251,20,26.684782,10.0,-77.20185389825762,0.8163672,170918730000000.0,319.03,574.7076930999756,9.876346
6324.413,[-0.998 -0.882 -0.454 -0.52  -0.603],100,2100,271.34192,27.628912,100.0,7.6293944e-08,1.6336983e-08,950848.94,7.732517,2.2441106,11.9573555,,4187917.0,64.537636,98.61961,301790,65283.348,-32.206886,21,-0.3612181,10.0,-82.26232631159108,0.80937344,247547.3,432.52,656.4617898464203,4.9978013
