StdD2w0t,Weights,InitialReturnStd,InitialReturnMean,MeanIW,EpThisIter,InitialReturnMax,MeanD2w0t,ReturnMeanIW,J_sample_variance,EmpiricalD2,MaxIW,InitialReturnMin,StdIW,EpisodesSoFar,TimeElapsed,MinD2w0t,EpLenMean,Iteration,EpRewMean,MeanEntropy,MinIW,ReturnStepMaxmin,Bound,TimestepsSoFar,MaxD2w0t,ReturnStepMax,InitialBound
2.0124757,[-0.822 -0.493 -0.474 -0.749  0.   ],10.794411,-79.87676,0.5014751,100,-46.38131,0.34175113,-44.10696,5856.5664,15.17899,7.7206354,-96.24779,0.9173117,100,9.444793224334717,,35.09,1,-108.1894935537418,1.3026408,0.00015327241,99.00009,-54.966274,3509,76.81549,100.0,-83.608505
3.6397777,[-0.823 -0.466 -0.52  -0.758 -0.116],11.052372,-81.42089,0.60412246,100,-52.42355,0.5324935,-52.66864,5215.2466,30.834805,9.578016,-97.43516,0.92416865,200,27.43995499610901,,33.13,2,-108.52622999134523,1.3251972,0.0021206613,99.000015,-65.04018,6822,159.00572,100.0,-85.02333
1.8678106,[-0.789 -0.492 -0.451 -0.76  -0.094],11.648445,-78.980385,0.6728651,100,-43.809948,0.30704892,-57.410984,4492.273,11.959866,5.01445,-94.53852,0.8197125,300,44.683634519577026,,36.33,3,-108.04561649823985,1.3530707,0.004330576,99.00036,-68.020706,10455,49.329903,100.0,-82.84652
3.198644,[-0.799 -0.504 -0.486 -0.813 -0.066],13.861518,-77.46442,0.5329249,100,-34.00257,0.43427554,-45.45731,2186.3367,31.822657,7.726567,-95.58115,0.62407637,400,61.320436239242554,,36.55,4,-106.29629491587043,1.3899995,0.0029260241,99.0,-58.43642,14110,150.91092,100.0,-81.34903
2.7214873,[-0.747 -0.484 -0.49  -0.865 -0.029],13.165852,-79.24584,0.6204225,100,-39.273186,0.3405089,-50.806072,6962.523,21.8225,8.987559,-96.84771,1.0243582,500,76.79289245605469,,34.88,5,-107.2042111692616,1.4136151,0.010016115,99.0,-62.666153,17598,115.3587,100.0,-83.116776
2.958105,[-0.782 -0.469 -0.436 -0.822 -0.005],14.588209,-77.639656,0.60068494,100,-28.826054,0.41992506,-46.86787,4588.786,19.218204,13.879601,-95.47231,1.0845264,600,93.26411318778992,,38.32,6,-107.22044283960447,1.4566189,0.012360734,99.0,-59.531574,21430,171.27075,100.0,-81.65135
0.71308804,[-0.795 -0.477 -0.406 -0.776  0.038],13.492574,-77.10207,0.8078444,100,-34.915195,0.17209223,-64.415344,1826.4052,3.2621717,4.6376424,-94.71106,0.5491891,700,109.4733521938324,,38.96,7,-107.43045261228743,1.551423,0.056818828,99.000046,-71.39082,25326,11.374184,100.0,-81.03537
2.7370975,[-0.784 -0.507 -0.411 -0.797  0.132],12.364308,-75.10853,0.48908767,100,-41.976723,0.46057165,-38.63327,3792.5842,16.64367,10.316391,-95.774155,0.92935425,800,125.64326453208923,,42.57,8,-108.089462205982,1.4258657,7.8920755e-05,99.0,-52.46003,29583,118.17716,100.0,-79.09351
3.8532128,[-0.765 -0.487 -0.415 -0.848  0.007],13.334865,-76.691536,0.539472,100,-36.826805,0.5184079,-43.796757,3463.0398,32.26735,7.1025643,-94.03669,0.8136358,900,141.48420476913452,,39.02,9,-107.08839896438798,1.3873478,0.00026890528,99.00011,-58.248714,33485,150.95534,100.0,-80.68201
0.47088972,[-0.799 -0.496 -0.372 -0.802 -0.032],15.530427,-76.40141,0.853769,100,-6.5468683,0.11579743,-68.12597,3074.6619,2.2720778,6.2341547,-94.0517,0.6813492,1000,157.87509179115295,,37.13,10,-104.77225530179425,1.4278395,0.045497783,99.0,-73.488106,37198,7.704972,100.0,-80.27661
