MaxD2w0t,MeanD2w0t,EmpiricalD2,ReturnMeanIW,InitialReturnMin,StdD2w0t,Weights,MeanIW,TimeElapsed,MinD2w0t,EpisodesSoFar,MinIW,ReturnStepMaxmin,EpRewMean,MaxIW,InitialReturnStd,EpLenMean,StdIW,Bound,InitialBound,J_sample_variance,InitialReturnMax,TimestepsSoFar,InitialReturnMean,Iteration,ReturnStepMax,MeanEntropy,EpThisIter
1.0003537,0.09146614,1.0001944,-82.230255,-99.28012,0.28827703,[-0.365 -0.68  -0.484 -0.253  0.   ],0.9975736,9.08337688446045,,100,0.966185,99.023315,-121.62483749719935,1.0295202,8.854463,45.73,0.012476843,-1867.1277,-1867.2112,81.529976,-56.768597,4573,-82.39787,1,100.0,1.4195836,100
1.0004069,0.09352541,1.0002111,-81.50723,-98.04274,0.2911821,[-0.366 -0.68  -0.484 -0.253  0.001],0.99746704,22.704938173294067,,200,0.9732057,99.13315,-121.632303606299,1.0396544,7.7386084,46.76,0.011940923,-1838.3906,-1838.4965,62.34521,-61.40037,9249,-81.69106,2,100.0,1.4200069,100
1.0002137,0.09130547,1.0001194,-82.09016,-98.02143,0.28804743,[-0.368 -0.68  -0.484 -0.252  0.001],0.99812675,37.12824511528015,,300,0.96602464,99.12651,-121.24461992806064,1.026532,8.120418,45.65,0.011589557,-1875.4873,-1875.5555,67.08071,-56.14087,13814,-82.22527,3,100.0,1.4193681,100
1.000176,0.09214485,1.0001016,-81.003685,-98.004524,0.2892313,[-3.678e-01 -6.795e-01 -4.843e-01 -2.525e-01  3.757e-04],0.99839664,49.762539863586426,,400,0.97487974,99.08288,-120.27164584525605,1.0253079,8.521286,46.07,0.009520683,-1837.8633,-1837.9163,76.15673,-60.005253,18421,-81.11083,4,100.0,1.4198936,100
1.0008954,0.09017382,1.000507,-82.503044,-98.76632,0.28644514,[-0.368 -0.679 -0.485 -0.252  0.001],0.9950076,62.39109182357788,,500,0.9494481,99.13443,-121.5739031574826,1.0832365,9.844885,45.08,0.021292523,-1818.5447,-1818.7373,96.99468,-55.09884,22929,-82.87538,5,100.0,1.4202813,100
1.0001558,0.0925832,1.0000601,-82.8335,-98.69415,0.28985706,[-0.369 -0.679 -0.484 -0.251  0.001],0.9987214,72.70018243789673,,600,0.9771292,99.1312,-122.81067688525394,1.0244503,8.922828,46.29,0.007842179,-1813.1808,-1813.2167,85.209595,-53.867886,27558,-82.90286,6,100.0,1.4205592,100
1.0002424,0.089924686,1.0001285,-82.80156,-99.15876,0.28608266,[-0.369 -0.678 -0.484 -0.251  0.002],0.99810374,83.55717897415161,,700,0.96484345,99.005394,-121.56922545263167,1.0274976,8.672864,44.96,0.012169481,-1903.1659,-1903.2552,74.59534,-33.075493,32054,-82.958984,7,100.0,1.419895,100
1.0001976,0.08940499,1.0000939,-82.54434,-98.69334,0.2853394,[-0.37  -0.678 -0.484 -0.251  0.001],0.99848706,95.26532530784607,,800,0.9713286,99.199554,-121.04044261782688,1.0254635,8.097821,44.7,0.009991215,-1834.3507,-1834.4081,67.05379,-59.647354,36524,-82.657745,8,100.0,1.4199286,100
1.0004597,0.09425091,1.0002253,-80.26109,-95.96728,0.29219475,[-0.369 -0.679 -0.484 -0.251  0.001],0.9962625,107.22866702079773,,900,0.9663039,99.11932,-120.41460014273662,1.0394892,9.640034,47.12,0.012892496,-1832.1224,-1832.2854,94.261284,-56.456528,41236,-80.53508,9,100.0,1.420012,100
1.000221,0.09242439,1.0000743,-82.6344,-98.64152,0.28963545,[-0.369 -0.677 -0.483 -0.252  0.001],0.9982579,120.66434216499329,,1000,0.9767289,99.220726,-122.49665586757827,1.0251298,7.5645356,46.21,0.008701266,-1834.4316,-1834.4965,60.92747,-59.626007,45857,-82.746124,10,100.0,1.4200064,100
